Text:  US COMFORT AND JOY IN THE MOMENT BUT I'M NOT COMPLETELY SURE ABOUT THE COMFORT AS YOU'LL SEE IN A SECOND AND THE 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
001163 	0.428 	0.134 	0.068 	0.215 
001164 	0.430 	0.139 	0.068 	0.205 
001165 	0.431 	0.141 	0.068 	0.205 
001166 	0.433 	0.141 	0.068 	0.207 
001167 	0.432 	0.141 	0.069 	0.206 
001168 	0.433 	0.140 	0.069 	0.208 
001169 	0.434 	0.143 	0.069 	0.206 
001170 	0.435 	0.145 	0.069 	0.207 
001171 	0.435 	0.142 	0.068 	0.212 
001172 	0.436 	0.142 	0.068 	0.214 
001173 	0.437 	0.143 	0.066 	0.213 
001174 	0.435 	0.142 	0.067 	0.204 
001175 	0.435 	0.141 	0.066 	0.206 
001176 	0.433 	0.142 	0.068 	0.204 
001177 	0.432 	0.143 	0.068 	0.205 
001178 	0.432 	0.142 	0.068 	0.211 
001179 	0.431 	0.144 	0.068 	0.211 
001180 	0.430 	0.144 	0.069 	0.212 
001181 	0.427 	0.145 	0.071 	0.212 
001182 	0.426 	0.145 	0.072 	0.212 
001183 	0.424 	0.145 	0.074 	0.212 
001184 	0.424 	0.146 	0.072 	0.210 
001185 	0.425 	0.146 	0.072 	0.210 
001186 	0.424 	0.146 	0.073 	0.212 
001187 	0.425 	0.145 	0.072 	0.213 
001188 	0.426 	0.144 	0.071 	0.215 
001189 	0.427 	0.147 	0.070 	0.210 
001190 	0.428 	0.145 	0.069 	0.210 
001191 	0.426 	0.146 	0.070 	0.211 
001192 	0.425 	0.143 	0.071 	0.217 
001193 	0.425 	0.145 	0.071 	0.214 
001194 	0.424 	0.144 	0.072 	0.217 
001195 	0.424 	0.145 	0.071 	0.212 
001196 	0.424 	0.145 	0.071 	0.219 
001197 	0.425 	0.156 	0.067 	0.200 
001198 	0.426 	0.159 	0.065 	0.198 
001199 	0.425 	0.162 	0.066 	0.190 
001200 	0.424 	0.164 	0.065 	0.186 
001201 	0.423 	0.162 	0.066 	0.193 
001202 	0.422 	0.162 	0.068 	0.192 
001203 	0.422 	0.163 	0.068 	0.192 
001204 	0.422 	0.162 	0.067 	0.190 
001205 	0.422 	0.162 	0.068 	0.190 
001206 	0.422 	0.161 	0.067 	0.192 
001207 	0.421 	0.160 	0.068 	0.192 
001208 	0.421 	0.151 	0.070 	0.201 
001209 	0.420 	0.152 	0.070 	0.195 
001210 	0.419 	0.151 	0.071 	0.197 
001211 	0.411 	0.149 	0.078 	0.211 
001212 	0.410 	0.150 	0.078 	0.206 
001213 	0.411 	0.152 	0.076 	0.204 
001214 	0.409 	0.154 	0.071 	0.198 
001215 	0.409 	0.149 	0.073 	0.207 
001216 	0.407 	0.148 	0.074 	0.209 
001217 	0.407 	0.148 	0.072 	0.205 
001218 	0.405 	0.148 	0.072 	0.204 
001219 	0.402 	0.144 	0.070 	0.208 
001220 	0.401 	0.141 	0.070 	0.209 
001221 	0.400 	0.143 	0.069 	0.204 
001222 	0.398 	0.143 	0.070 	0.207 
001223 	0.394 	0.142 	0.072 	0.207 
001224 	0.384 	0.142 	0.077 	0.209 
001225 	0.384 	0.142 	0.074 	0.209 
001226 	0.382 	0.143 	0.073 	0.205 
001227 	0.381 	0.142 	0.071 	0.202 
