Text:  STUFF AS A WHOLE IN THE MIDDLE CLASS WE CURRENTLY SPEND 21 TRILLION DOLLARS A 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
001925 	0.460 	0.127 	0.070 	0.198 
001926 	0.463 	0.124 	0.074 	0.206 
001927 	0.477 	0.123 	0.067 	0.200 
001928 	0.482 	0.121 	0.068 	0.209 
001929 	0.491 	0.132 	0.068 	0.200 
001930 	0.495 	0.137 	0.069 	0.196 
001931 	0.505 	0.138 	0.066 	0.199 
001932 	0.507 	0.141 	0.068 	0.203 
001933 	0.511 	0.143 	0.066 	0.202 
001934 	0.512 	0.148 	0.070 	0.205 
001935 	0.514 	0.149 	0.072 	0.203 
001936 	0.516 	0.150 	0.073 	0.201 
001937 	0.518 	0.150 	0.075 	0.204 
001938 	0.526 	0.147 	0.071 	0.197 
001939 	0.532 	0.149 	0.071 	0.207 
001940 	0.535 	0.148 	0.070 	0.211 
001941 	0.535 	0.149 	0.071 	0.211 
001942 	0.537 	0.152 	0.072 	0.207 
001943 	0.539 	0.153 	0.071 	0.204 
001944 	0.540 	0.155 	0.074 	0.202 
001945 	0.540 	0.155 	0.074 	0.201 
001946 	0.541 	0.155 	0.075 	0.202 
001947 	0.542 	0.154 	0.072 	0.199 
001948 	0.543 	0.154 	0.071 	0.196 
001949 	0.543 	0.157 	0.072 	0.195 
001950 	0.542 	0.159 	0.072 	0.195 
001951 	0.543 	0.162 	0.072 	0.193 
001952 	0.543 	0.166 	0.072 	0.192 
001953 	0.544 	0.169 	0.073 	0.191 
001954 	0.544 	0.171 	0.076 	0.195 
001955 	0.544 	0.175 	0.076 	0.195 
001956 	0.546 	0.177 	0.076 	0.193 
001957 	0.553 	0.176 	0.072 	0.187 
001958 	0.552 	0.176 	0.075 	0.192 
001959 	0.551 	0.184 	0.075 	0.190 
001960 	0.551 	0.186 	0.076 	0.188 
001961 	0.552 	0.186 	0.076 	0.189 
001962 	0.552 	0.187 	0.076 	0.189 
001963 	0.553 	0.187 	0.075 	0.190 
001964 	0.553 	0.190 	0.074 	0.190 
001965 	0.553 	0.192 	0.075 	0.191 
001966 	0.553 	0.192 	0.076 	0.192 
001967 	0.553 	0.191 	0.075 	0.190 
001968 	0.552 	0.190 	0.076 	0.192 
001969 	0.551 	0.190 	0.076 	0.190 
001970 	0.550 	0.189 	0.077 	0.192 
001971 	0.551 	0.188 	0.075 	0.190 
001972 	0.545 	0.187 	0.078 	0.196 
001973 	0.544 	0.186 	0.078 	0.193 
001974 	0.544 	0.180 	0.078 	0.201 
001975 	0.542 	0.177 	0.078 	0.204 
001976 	0.541 	0.175 	0.077 	0.202 
001977 	0.540 	0.172 	0.075 	0.202 
001978 	0.539 	0.169 	0.075 	0.201 
001979 	0.538 	0.168 	0.074 	0.197 
001980 	0.537 	0.167 	0.075 	0.199 
001981 	0.537 	0.165 	0.076 	0.200 
001982 	0.537 	0.163 	0.076 	0.200 
001983 	0.536 	0.161 	0.077 	0.203 
001984 	0.538 	0.161 	0.076 	0.201 
001985 	0.538 	0.161 	0.076 	0.202 
001986 	0.539 	0.161 	0.075 	0.199 
001987 	0.539 	0.161 	0.075 	0.199 
001988 	0.539 	0.161 	0.076 	0.199 
001989 	0.540 	0.161 	0.077 	0.199 
001990 	0.540 	0.161 	0.078 	0.199 
001991 	0.541 	0.161 	0.078 	0.200 
001992 	0.541 	0.160 	0.078 	0.201 
001993 	0.542 	0.160 	0.076 	0.201 
001994 	0.542 	0.158 	0.076 	0.205 
001995 	0.542 	0.157 	0.076 	0.206 
001996 	0.540 	0.157 	0.078 	0.205 
001997 	0.540 	0.158 	0.078 	0.203 
001998 	0.540 	0.157 	0.077 	0.203 
001999 	0.541 	0.160 	0.075 	0.199 
002000 	0.539 	0.159 	0.077 	0.205 
002001 	0.539 	0.159 	0.076 	0.203 
