Text:  1 OF THEM WE UNDERSTAND THE HAZARDS OF 1 OF THEM AND THEN WHEN WE LIVE IN DENSE AREAS LIKE CITIES ALL OF SUDDEN THE IMPACTS OF THAT BECOMES LOT 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
002995 	0.438 	0.120 	0.076 	0.227 
002996 	0.438 	0.121 	0.076 	0.222 
002997 	0.446 	0.127 	0.072 	0.207 
002998 	0.447 	0.127 	0.071 	0.210 
002999 	0.447 	0.129 	0.071 	0.206 
003000 	0.447 	0.129 	0.072 	0.207 
003001 	0.449 	0.118 	0.070 	0.214 
003002 	0.447 	0.126 	0.072 	0.208 
003003 	0.448 	0.118 	0.072 	0.214 
003004 	0.448 	0.117 	0.073 	0.216 
003005 	0.448 	0.117 	0.073 	0.211 
003006 	0.450 	0.115 	0.073 	0.215 
003007 	0.450 	0.122 	0.071 	0.204 
003008 	0.455 	0.123 	0.067 	0.203 
003009 	0.457 	0.119 	0.069 	0.211 
003010 	0.459 	0.124 	0.068 	0.204 
003011 	0.460 	0.127 	0.068 	0.199 
003012 	0.463 	0.131 	0.067 	0.200 
003013 	0.462 	0.128 	0.071 	0.204 
003014 	0.465 	0.124 	0.073 	0.214 
003015 	0.474 	0.132 	0.070 	0.200 
003016 	0.475 	0.130 	0.071 	0.202 
003017 	0.480 	0.131 	0.068 	0.204 
003018 	0.482 	0.134 	0.067 	0.203 
003019 	0.485 	0.133 	0.068 	0.204 
003020 	0.489 	0.138 	0.071 	0.202 
003021 	0.492 	0.139 	0.072 	0.205 
003022 	0.501 	0.140 	0.069 	0.199 
003023 	0.504 	0.139 	0.071 	0.203 
003024 	0.509 	0.141 	0.068 	0.200 
003025 	0.515 	0.145 	0.071 	0.200 
003026 	0.517 	0.147 	0.073 	0.199 
003027 	0.520 	0.145 	0.074 	0.203 
003028 	0.529 	0.146 	0.070 	0.201 
003029 	0.529 	0.148 	0.073 	0.201 
003030 	0.535 	0.153 	0.069 	0.203 
003031 	0.536 	0.155 	0.068 	0.207 
003032 	0.537 	0.156 	0.068 	0.206 
003033 	0.536 	0.153 	0.069 	0.210 
003034 	0.536 	0.152 	0.068 	0.208 
003035 	0.537 	0.145 	0.069 	0.214 
003036 	0.536 	0.143 	0.069 	0.214 
003037 	0.536 	0.142 	0.069 	0.213 
003038 	0.535 	0.142 	0.069 	0.208 
003039 	0.535 	0.140 	0.068 	0.204 
003040 	0.536 	0.138 	0.069 	0.203 
003041 	0.535 	0.137 	0.070 	0.205 
003042 	0.535 	0.137 	0.070 	0.206 
003043 	0.537 	0.141 	0.067 	0.204 
003044 	0.538 	0.142 	0.065 	0.207 
003045 	0.539 	0.139 	0.066 	0.206 
003046 	0.539 	0.140 	0.066 	0.206 
003047 	0.539 	0.141 	0.066 	0.206 
003048 	0.540 	0.141 	0.066 	0.212 
003049 	0.539 	0.139 	0.067 	0.217 
003050 	0.539 	0.140 	0.068 	0.219 
003051 	0.540 	0.142 	0.068 	0.219 
003052 	0.540 	0.143 	0.068 	0.214 
003053 	0.540 	0.143 	0.067 	0.210 
003054 	0.539 	0.141 	0.069 	0.210 
003055 	0.539 	0.142 	0.069 	0.210 
003056 	0.539 	0.143 	0.068 	0.206 
003057 	0.539 	0.142 	0.068 	0.212 
003058 	0.540 	0.143 	0.068 	0.209 
003059 	0.540 	0.144 	0.068 	0.211 
003060 	0.540 	0.147 	0.068 	0.208 
003061 	0.541 	0.146 	0.069 	0.216 
003062 	0.540 	0.150 	0.068 	0.205 
003063 	0.542 	0.146 	0.068 	0.214 
003064 	0.543 	0.146 	0.067 	0.214 
003065 	0.543 	0.152 	0.066 	0.201 
003066 	0.543 	0.155 	0.066 	0.200 
003067 	0.543 	0.154 	0.066 	0.200 
003068 	0.543 	0.153 	0.067 	0.205 
003069 	0.542 	0.147 	0.071 	0.214 
003070 	0.542 	0.145 	0.072 	0.218 
003071 	0.542 	0.145 	0.074 	0.219 
003072 	0.544 	0.144 	0.072 	0.217 
003073 	0.543 	0.144 	0.074 	0.218 
003074 	0.544 	0.143 	0.074 	0.218 
003075 	0.544 	0.148 	0.075 	0.212 
003076 	0.543 	0.148 	0.077 	0.215 
003077 	0.544 	0.148 	0.078 	0.214 
003078 	0.552 	0.155 	0.072 	0.201 
003079 	0.554 	0.157 	0.071 	0.201 
003080 	0.556 	0.157 	0.070 	0.201 
003081 	0.557 	0.156 	0.071 	0.208 
003082 	0.558 	0.154 	0.070 	0.209 
003083 	0.558 	0.154 	0.071 	0.209 
003084 	0.558 	0.155 	0.070 	0.208 
003085 	0.558 	0.155 	0.071 	0.208 
003086 	0.557 	0.156 	0.071 	0.206 
003087 	0.557 	0.156 	0.072 	0.208 
003088 	0.557 	0.157 	0.071 	0.206 
003089 	0.556 	0.159 	0.072 	0.206 
003090 	0.556 	0.161 	0.072 	0.201 
003091 	0.554 	0.161 	0.073 	0.202 
003092 	0.552 	0.165 	0.074 	0.196 
003093 	0.551 	0.169 	0.075 	0.193 
003094 	0.551 	0.173 	0.075 	0.191 
003095 	0.543 	0.180 	0.081 	0.194 
003096 	0.542 	0.186 	0.079 	0.194 
003097 	0.541 	0.189 	0.079 	0.189 
003098 	0.540 	0.191 	0.078 	0.186 
003099 	0.540 	0.198 	0.075 	0.187 
003100 	0.539 	0.203 	0.075 	0.182 
003101 	0.533 	0.215 	0.075 	0.182 
003102 	0.530 	0.224 	0.076 	0.179 
003103 	0.529 	0.226 	0.075 	0.179 
003104 	0.525 	0.225 	0.077 	0.183 
003105 	0.525 	0.224 	0.075 	0.182 
003106 	0.522 	0.209 	0.073 	0.191 
003107 	0.519 	0.199 	0.075 	0.196 
003108 	0.515 	0.188 	0.077 	0.199 
003109 	0.512 	0.175 	0.076 	0.209 
003110 	0.509 	0.174 	0.077 	0.205 
003111 	0.505 	0.165 	0.076 	0.210 
003112 	0.505 	0.165 	0.073 	0.206 
003113 	0.502 	0.163 	0.074 	0.205 
003114 	0.502 	0.159 	0.075 	0.206 
003115 	0.502 	0.160 	0.073 	0.202 
003116 	0.500 	0.158 	0.073 	0.205 
003117 	0.499 	0.158 	0.072 	0.205 
003118 	0.496 	0.156 	0.073 	0.206 
003119 	0.494 	0.153 	0.073 	0.209 
003120 	0.493 	0.153 	0.073 	0.209 
003121 	0.490 	0.149 	0.074 	0.215 
003122 	0.488 	0.148 	0.075 	0.213 
003123 	0.488 	0.147 	0.075 	0.212 
003124 	0.489 	0.147 	0.075 	0.207 
003125 	0.489 	0.144 	0.078 	0.215 
003126 	0.498 	0.150 	0.074 	0.201 
003127 	0.500 	0.143 	0.078 	0.211 
003128 	0.502 	0.144 	0.078 	0.210 
003129 	0.505 	0.144 	0.077 	0.207 
003130 	0.510 	0.145 	0.074 	0.197 
003131 	0.512 	0.142 	0.074 	0.198 
003132 	0.513 	0.140 	0.074 	0.202 
003133 	0.514 	0.140 	0.073 	0.199 
003134 	0.514 	0.141 	0.072 	0.201 
003135 	0.514 	0.141 	0.072 	0.200 
003136 	0.512 	0.141 	0.073 	0.207 
003137 	0.511 	0.143 	0.073 	0.208 
003138 	0.510 	0.143 	0.075 	0.207 
003139 	0.511 	0.145 	0.075 	0.206 
003140 	0.510 	0.142 	0.078 	0.202 
003141 	0.512 	0.147 	0.078 	0.200 
003142 	0.514 	0.148 	0.078 	0.198 
003143 	0.514 	0.150 	0.078 	0.197 
003144 	0.514 	0.152 	0.078 	0.198 
003145 	0.516 	0.153 	0.077 	0.201 
003146 	0.518 	0.158 	0.077 	0.203 
003147 	0.519 	0.158 	0.076 	0.207 
003148 	0.519 	0.159 	0.077 	0.207 
003149 	0.521 	0.158 	0.076 	0.206 
003150 	0.523 	0.157 	0.075 	0.206 
003151 	0.525 	0.156 	0.074 	0.206 
003152 	0.525 	0.154 	0.074 	0.207 
003153 	0.523 	0.156 	0.077 	0.207 
003154 	0.524 	0.156 	0.076 	0.208 
003155 	0.525 	0.156 	0.074 	0.208 
003156 	0.524 	0.157 	0.078 	0.208 
