Text:  BLOOD AND THEY FOUND 287 DIFFERENT CHEMICALS IN 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
003462 	0.342 	0.127 	0.071 	0.205 
003463 	0.342 	0.127 	0.071 	0.203 
003464 	0.341 	0.126 	0.071 	0.203 
003465 	0.341 	0.127 	0.070 	0.200 
003466 	0.341 	0.128 	0.070 	0.196 
003467 	0.342 	0.128 	0.069 	0.200 
003468 	0.343 	0.129 	0.068 	0.204 
003469 	0.343 	0.131 	0.067 	0.202 
003470 	0.341 	0.120 	0.072 	0.217 
003471 	0.341 	0.119 	0.071 	0.219 
003472 	0.341 	0.118 	0.070 	0.217 
003473 	0.342 	0.120 	0.067 	0.210 
003474 	0.331 	0.119 	0.076 	0.217 
003475 	0.330 	0.123 	0.076 	0.208 
003476 	0.329 	0.120 	0.076 	0.213 
003477 	0.330 	0.123 	0.075 	0.208 
003478 	0.329 	0.120 	0.076 	0.215 
003479 	0.329 	0.121 	0.075 	0.213 
003480 	0.329 	0.122 	0.074 	0.213 
003481 	0.328 	0.123 	0.075 	0.212 
003482 	0.328 	0.124 	0.072 	0.209 
003483 	0.327 	0.125 	0.071 	0.208 
003484 	0.327 	0.125 	0.071 	0.205 
003485 	0.326 	0.124 	0.071 	0.206 
003486 	0.326 	0.124 	0.071 	0.208 
003487 	0.326 	0.123 	0.070 	0.210 
003488 	0.325 	0.122 	0.070 	0.210 
003489 	0.325 	0.122 	0.070 	0.210 
003490 	0.324 	0.122 	0.070 	0.209 
003491 	0.325 	0.123 	0.069 	0.208 
003492 	0.325 	0.123 	0.069 	0.203 
003493 	0.326 	0.121 	0.067 	0.205 
003494 	0.325 	0.119 	0.067 	0.210 
003495 	0.325 	0.119 	0.068 	0.216 
003496 	0.325 	0.118 	0.069 	0.216 
003497 	0.325 	0.120 	0.068 	0.214 
003498 	0.325 	0.122 	0.069 	0.203 
003499 	0.325 	0.122 	0.068 	0.198 
003500 	0.325 	0.123 	0.068 	0.196 
003501 	0.325 	0.124 	0.069 	0.199 
003502 	0.325 	0.124 	0.069 	0.200 
003503 	0.326 	0.123 	0.070 	0.206 
003504 	0.326 	0.123 	0.070 	0.206 
003505 	0.326 	0.124 	0.070 	0.204 
003506 	0.324 	0.122 	0.071 	0.209 
003507 	0.325 	0.124 	0.068 	0.202 
003508 	0.321 	0.120 	0.072 	0.208 
003509 	0.320 	0.118 	0.073 	0.210 
003510 	0.319 	0.118 	0.073 	0.209 
003511 	0.320 	0.118 	0.072 	0.211 
003512 	0.320 	0.120 	0.071 	0.203 
003513 	0.323 	0.118 	0.071 	0.200 
003514 	0.325 	0.118 	0.070 	0.199 
003515 	0.325 	0.118 	0.070 	0.199 
003516 	0.326 	0.120 	0.069 	0.195 
003517 	0.326 	0.119 	0.070 	0.199 
003518 	0.327 	0.121 	0.069 	0.202 
003519 	0.326 	0.121 	0.071 	0.209 
003520 	0.327 	0.121 	0.071 	0.209 
003521 	0.327 	0.120 	0.070 	0.210 
003522 	0.326 	0.120 	0.071 	0.210 
003523 	0.326 	0.119 	0.069 	0.209 
003524 	0.326 	0.119 	0.070 	0.210 
003525 	0.327 	0.118 	0.069 	0.211 
003526 	0.327 	0.119 	0.069 	0.208 
003527 	0.326 	0.118 	0.069 	0.211 
003528 	0.325 	0.119 	0.070 	0.212 
003529 	0.322 	0.119 	0.074 	0.214 
003530 	0.322 	0.119 	0.072 	0.214 
003531 	0.322 	0.119 	0.073 	0.216 
003532 	0.322 	0.120 	0.073 	0.213 
003533 	0.323 	0.121 	0.071 	0.203 
003534 	0.323 	0.120 	0.071 	0.205 
003535 	0.323 	0.120 	0.070 	0.208 
003536 	0.323 	0.121 	0.071 	0.206 
003537 	0.323 	0.119 	0.071 	0.208 
003538 	0.324 	0.123 	0.070 	0.207 
003539 	0.324 	0.123 	0.070 	0.206 
003540 	0.324 	0.123 	0.070 	0.205 
003541 	0.324 	0.122 	0.070 	0.209 
003542 	0.324 	0.124 	0.070 	0.207 
003543 	0.325 	0.124 	0.070 	0.212 
003544 	0.325 	0.123 	0.070 	0.215 
003545 	0.325 	0.127 	0.067 	0.215 
003546 	0.324 	0.127 	0.068 	0.213 
003547 	0.324 	0.127 	0.068 	0.208 
003548 	0.323 	0.128 	0.069 	0.208 
003549 	0.324 	0.129 	0.069 	0.209 
003550 	0.324 	0.130 	0.069 	0.205 
003551 	0.323 	0.129 	0.069 	0.207 
003552 	0.324 	0.128 	0.069 	0.205 
003553 	0.324 	0.130 	0.069 	0.204 
003554 	0.324 	0.130 	0.069 	0.204 
003555 	0.324 	0.130 	0.069 	0.206 
003556 	0.323 	0.128 	0.069 	0.207 
003557 	0.323 	0.129 	0.069 	0.204 
003558 	0.323 	0.131 	0.069 	0.202 
003559 	0.323 	0.131 	0.069 	0.206 
003560 	0.322 	0.132 	0.069 	0.205 
003561 	0.322 	0.133 	0.069 	0.207 
003562 	0.322 	0.133 	0.069 	0.211 
003563 	0.324 	0.136 	0.070 	0.209 
003564 	0.324 	0.136 	0.071 	0.209 
003565 	0.325 	0.139 	0.072 	0.206 

WORD START END ASDSCORE
BLOOD 0.09 0.49 4.6
AND 0.49 0.58 4.9
THEY 0.96 1.11 4.1
FOUND 1.11 1.49 7.1
287 1.49 2.94 6.2
DIFFERENT 2.94 3.26 5.5
CHEMICALS 3.26 3.84 6.5
IN 3.91 4.06 7.1
