Text:  BIRTH DEFECTS AND ULTIMATELY DEVELOPMENTAL PROBLEMS AND WHERE WERE THESE CHEMICALS COMING FROM THEY'RE COMING FROM OUR STUFF THEY'RE COMING FROM OUR CONSUMER GOODS THEY'RE COMING FROM OUR PESTICIDES THEY'RE COMING FROM THE WASTE THAT HAPPENS WHEN WE BURN OUR STUFF OUR GARBAGE SO IT'S NOT REALLY SURPRISING THAT WE'RE SPENDING IN THIS COUNTRY ALONE AGAIN ON ONE SEGMENT OF THE POPULATION KIDS 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
003954 	0.410 	0.121 	0.079 	0.212 
003955 	0.410 	0.119 	0.078 	0.210 
003956 	0.410 	0.116 	0.074 	0.205 
003957 	0.409 	0.118 	0.075 	0.197 
003958 	0.409 	0.117 	0.075 	0.198 
003959 	0.410 	0.117 	0.075 	0.202 
003960 	0.410 	0.117 	0.076 	0.209 
003961 	0.411 	0.115 	0.075 	0.216 
003962 	0.411 	0.117 	0.075 	0.216 
003963 	0.409 	0.117 	0.077 	0.214 
003964 	0.409 	0.118 	0.077 	0.217 
003965 	0.409 	0.119 	0.077 	0.217 
003966 	0.410 	0.119 	0.076 	0.215 
003967 	0.410 	0.118 	0.075 	0.217 
003968 	0.409 	0.117 	0.074 	0.223 
003969 	0.409 	0.115 	0.074 	0.228 
003970 	0.406 	0.117 	0.075 	0.224 
003971 	0.406 	0.117 	0.074 	0.220 
003972 	0.405 	0.117 	0.072 	0.219 
003973 	0.404 	0.118 	0.072 	0.212 
003974 	0.401 	0.121 	0.073 	0.204 
003975 	0.399 	0.117 	0.073 	0.211 
003976 	0.393 	0.115 	0.074 	0.212 
003977 	0.386 	0.115 	0.075 	0.220 
003978 	0.383 	0.114 	0.075 	0.222 
003979 	0.382 	0.115 	0.072 	0.219 
003980 	0.379 	0.120 	0.070 	0.203 
003981 	0.370 	0.116 	0.074 	0.209 
003982 	0.367 	0.116 	0.074 	0.206 
003983 	0.365 	0.115 	0.074 	0.207 
003984 	0.359 	0.116 	0.075 	0.215 
003985 	0.356 	0.119 	0.075 	0.214 
003986 	0.354 	0.125 	0.072 	0.204 
003987 	0.352 	0.123 	0.070 	0.203 
003988 	0.351 	0.121 	0.072 	0.211 
003989 	0.348 	0.125 	0.069 	0.205 
003990 	0.347 	0.128 	0.070 	0.205 
003991 	0.343 	0.131 	0.070 	0.203 
003992 	0.339 	0.135 	0.072 	0.202 
003993 	0.332 	0.134 	0.075 	0.206 
003994 	0.331 	0.131 	0.073 	0.207 
003995 	0.331 	0.130 	0.072 	0.206 
003996 	0.330 	0.131 	0.071 	0.201 
003997 	0.330 	0.132 	0.070 	0.202 
003998 	0.328 	0.130 	0.070 	0.203 
003999 	0.328 	0.129 	0.069 	0.201 
004000 	0.327 	0.130 	0.069 	0.202 
004001 	0.327 	0.130 	0.068 	0.209 
004002 	0.328 	0.133 	0.067 	0.206 
004003 	0.328 	0.133 	0.067 	0.205 
004004 	0.327 	0.135 	0.068 	0.205 
004005 	0.327 	0.137 	0.067 	0.197 
004006 	0.326 	0.138 	0.069 	0.203 
004007 	0.326 	0.137 	0.069 	0.208 
004008 	0.325 	0.136 	0.070 	0.212 
004009 	0.325 	0.137 	0.069 	0.209 
004010 	0.325 	0.137 	0.069 	0.209 
004011 	0.324 	0.138 	0.070 	0.204 
004012 	0.324 	0.140 	0.070 	0.201 
004013 	0.325 	0.139 	0.069 	0.207 
004014 	0.326 	0.139 	0.069 	0.207 
004015 	0.326 	0.139 	0.069 	0.206 
004016 	0.326 	0.139 	0.069 	0.205 
004017 	0.325 	0.140 	0.070 	0.202 
004018 	0.325 	0.139 	0.072 	0.204 
004019 	0.325 	0.140 	0.071 	0.202 
004020 	0.325 	0.139 	0.072 	0.204 
004021 	0.326 	0.140 	0.072 	0.199 
004022 	0.326 	0.141 	0.072 	0.199 
004023 	0.327 	0.141 	0.072 	0.199 
004024 	0.326 	0.141 	0.072 	0.201 
004025 	0.327 	0.140 	0.072 	0.202 
004026 	0.327 	0.141 	0.072 	0.205 
004027 	0.327 	0.140 	0.071 	0.205 
004028 	0.328 	0.140 	0.072 	0.206 
004029 	0.327 	0.138 	0.073 	0.209 
004030 	0.327 	0.137 	0.073 	0.211 
004031 	0.328 	0.136 	0.073 	0.210 
004032 	0.327 	0.136 	0.074 	0.212 
004033 	0.327 	0.135 	0.075 	0.214 
004034 	0.327 	0.135 	0.075 	0.214 
004035 	0.327 	0.134 	0.076 	0.217 
004036 	0.327 	0.134 	0.076 	0.216 
004037 	0.326 	0.135 	0.076 	0.213 
004038 	0.326 	0.134 	0.076 	0.212 
004039 	0.327 	0.133 	0.074 	0.208 
004040 	0.327 	0.131 	0.074 	0.210 
004041 	0.325 	0.130 	0.074 	0.208 
004042 	0.324 	0.130 	0.073 	0.208 
004043 	0.324 	0.128 	0.075 	0.211 
004044 	0.323 	0.127 	0.075 	0.214 
004045 	0.323 	0.126 	0.075 	0.214 
004046 	0.322 	0.125 	0.078 	0.210 
004047 	0.322 	0.124 	0.078 	0.210 
004048 	0.322 	0.123 	0.078 	0.213 
004049 	0.323 	0.123 	0.078 	0.212 
004050 	0.322 	0.124 	0.079 	0.207 
004051 	0.323 	0.124 	0.078 	0.207 
004052 	0.324 	0.124 	0.077 	0.209 
004053 	0.325 	0.124 	0.077 	0.210 
004054 	0.325 	0.125 	0.076 	0.207 
004055 	0.326 	0.124 	0.077 	0.206 
004056 	0.329 	0.128 	0.075 	0.206 
004057 	0.330 	0.129 	0.077 	0.204 
004058 	0.330 	0.130 	0.078 	0.205 
004059 	0.331 	0.130 	0.079 	0.202 
004060 	0.330 	0.130 	0.081 	0.204 
004061 	0.331 	0.133 	0.081 	0.199 
004062 	0.329 	0.134 	0.080 	0.199 
004063 	0.328 	0.135 	0.079 	0.198 
004064 	0.327 	0.136 	0.079 	0.197 
004065 	0.326 	0.138 	0.077 	0.195 
004066 	0.324 	0.136 	0.078 	0.205 
004067 	0.325 	0.137 	0.077 	0.202 
004068 	0.326 	0.137 	0.077 	0.201 
004069 	0.327 	0.139 	0.077 	0.198 
004070 	0.328 	0.138 	0.079 	0.199 
004071 	0.329 	0.137 	0.081 	0.201 
004072 	0.330 	0.137 	0.081 	0.201 
004073 	0.334 	0.136 	0.079 	0.200 
004074 	0.335 	0.135 	0.079 	0.203 
004075 	0.336 	0.136 	0.079 	0.203 
004076 	0.338 	0.133 	0.077 	0.209 
004077 	0.339 	0.134 	0.075 	0.210 
004078 	0.337 	0.133 	0.076 	0.205 
004079 	0.336 	0.131 	0.076 	0.206 
004080 	0.336 	0.131 	0.076 	0.203 
004081 	0.337 	0.132 	0.075 	0.204 
004082 	0.330 	0.133 	0.079 	0.205 
004083 	0.330 	0.134 	0.079 	0.205 
004084 	0.331 	0.134 	0.078 	0.208 
004085 	0.330 	0.135 	0.079 	0.207 
004086 	0.330 	0.135 	0.079 	0.205 
004087 	0.329 	0.135 	0.079 	0.205 
004088 	0.328 	0.134 	0.080 	0.203 
004089 	0.328 	0.133 	0.080 	0.204 
004090 	0.328 	0.134 	0.080 	0.200 
004091 	0.328 	0.135 	0.079 	0.199 
004092 	0.329 	0.135 	0.079 	0.200 
004093 	0.328 	0.134 	0.080 	0.200 
004094 	0.329 	0.133 	0.079 	0.199 
004095 	0.329 	0.133 	0.079 	0.199 
004096 	0.329 	0.132 	0.079 	0.199 
004097 	0.328 	0.133 	0.079 	0.198 
004098 	0.329 	0.132 	0.080 	0.200 
004099 	0.329 	0.133 	0.080 	0.200 
004100 	0.329 	0.133 	0.080 	0.200 
004101 	0.329 	0.132 	0.080 	0.200 
004102 	0.329 	0.132 	0.079 	0.197 
004103 	0.330 	0.133 	0.078 	0.197 
004104 	0.331 	0.134 	0.076 	0.194 
004105 	0.332 	0.132 	0.076 	0.195 
004106 	0.331 	0.131 	0.077 	0.194 
004107 	0.334 	0.122 	0.074 	0.208 
004108 	0.334 	0.123 	0.075 	0.200 
004109 	0.331 	0.121 	0.078 	0.202 
004110 	0.339 	0.119 	0.073 	0.202 
004111 	0.339 	0.118 	0.074 	0.200 
004112 	0.340 	0.116 	0.074 	0.201 
004113 	0.339 	0.116 	0.075 	0.201 
004114 	0.341 	0.115 	0.073 	0.200 
004115 	0.341 	0.113 	0.073 	0.200 
004116 	0.342 	0.112 	0.072 	0.201 
004117 	0.342 	0.112 	0.072 	0.199 
004118 	0.344 	0.110 	0.071 	0.199 
004119 	0.343 	0.111 	0.071 	0.199 
004120 	0.344 	0.110 	0.071 	0.200 
004121 	0.344 	0.110 	0.071 	0.203 
004122 	0.346 	0.111 	0.071 	0.212 
004123 	0.347 	0.110 	0.070 	0.216 
004124 	0.349 	0.112 	0.069 	0.215 
004125 	0.349 	0.113 	0.069 	0.211 
004126 	0.351 	0.111 	0.068 	0.213 
004127 	0.353 	0.115 	0.068 	0.216 
004128 	0.353 	0.116 	0.069 	0.207 
004129 	0.356 	0.116 	0.068 	0.207 
004130 	0.354 	0.117 	0.071 	0.203 
004131 	0.356 	0.115 	0.071 	0.200 
004132 	0.361 	0.112 	0.069 	0.200 
004133 	0.361 	0.111 	0.070 	0.199 
004134 	0.362 	0.111 	0.071 	0.201 
004135 	0.369 	0.112 	0.067 	0.196 
004136 	0.369 	0.112 	0.067 	0.197 
004137 	0.368 	0.111 	0.069 	0.200 
004138 	0.366 	0.110 	0.071 	0.202 
004139 	0.368 	0.111 	0.070 	0.203 
004140 	0.369 	0.109 	0.070 	0.208 
004141 	0.369 	0.110 	0.070 	0.208 
004142 	0.369 	0.112 	0.071 	0.205 
004143 	0.370 	0.112 	0.070 	0.203 
004144 	0.370 	0.111 	0.071 	0.205 
004145 	0.371 	0.113 	0.070 	0.201 
004146 	0.372 	0.113 	0.070 	0.204 
004147 	0.374 	0.113 	0.068 	0.207 
004148 	0.374 	0.115 	0.068 	0.202 
004149 	0.374 	0.114 	0.068 	0.202 
004150 	0.374 	0.113 	0.068 	0.207 
004151 	0.374 	0.112 	0.068 	0.207 
004152 	0.375 	0.112 	0.068 	0.210 
004153 	0.375 	0.113 	0.068 	0.208 
004154 	0.375 	0.112 	0.069 	0.211 
004155 	0.375 	0.112 	0.069 	0.211 
004156 	0.375 	0.112 	0.069 	0.210 
004157 	0.375 	0.113 	0.069 	0.210 
004158 	0.375 	0.113 	0.069 	0.210 
004159 	0.374 	0.114 	0.070 	0.209 
004160 	0.375 	0.114 	0.069 	0.211 
004161 	0.375 	0.115 	0.069 	0.207 
004162 	0.375 	0.115 	0.068 	0.209 
004163 	0.375 	0.114 	0.068 	0.211 
004164 	0.375 	0.115 	0.069 	0.210 
004165 	0.375 	0.115 	0.068 	0.212 
004166 	0.375 	0.114 	0.069 	0.212 
004167 	0.375 	0.114 	0.068 	0.210 
004168 	0.377 	0.113 	0.066 	0.217 
004169 	0.377 	0.114 	0.066 	0.218 
004170 	0.377 	0.113 	0.067 	0.219 
004171 	0.378 	0.114 	0.067 	0.214 
004172 	0.379 	0.116 	0.067 	0.209 
004173 	0.380 	0.117 	0.068 	0.210 
004174 	0.379 	0.117 	0.068 	0.207 
004175 	0.381 	0.119 	0.067 	0.201 
004176 	0.381 	0.118 	0.067 	0.201 
004177 	0.380 	0.116 	0.069 	0.208 
004178 	0.381 	0.118 	0.069 	0.204 
004179 	0.382 	0.118 	0.068 	0.197 
004180 	0.383 	0.118 	0.069 	0.198 
004181 	0.384 	0.118 	0.069 	0.202 
004182 	0.385 	0.120 	0.072 	0.205 
004183 	0.386 	0.118 	0.074 	0.207 
004184 	0.386 	0.118 	0.075 	0.205 
004185 	0.394 	0.115 	0.072 	0.208 
004186 	0.395 	0.115 	0.072 	0.210 
004187 	0.400 	0.117 	0.070 	0.206 
004188 	0.401 	0.116 	0.069 	0.204 
004189 	0.404 	0.113 	0.068 	0.214 
004190 	0.403 	0.115 	0.071 	0.208 
004191 	0.406 	0.116 	0.069 	0.207 
004192 	0.409 	0.116 	0.071 	0.204 
004193 	0.410 	0.116 	0.072 	0.208 
004194 	0.410 	0.116 	0.073 	0.208 
