Text:  NUMBER WE'LL SEE IN THERE IS ACTUALLY LEAD POISONING AND THAT COMES FROM THE FACT THAT HOUSES BUILT BEFORE 1978 WERE MADE WITH LEAD PAINT RIGHT WE 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
004879 	0.599 	0.200 	0.153 	0.407 
004880 	0.613 	0.208 	0.149 	0.402 
004881 	0.622 	0.214 	0.151 	0.380 
004882 	0.625 	0.218 	0.152 	0.379 
004883 	0.629 	0.216 	0.150 	0.379 
004884 	0.633 	0.211 	0.150 	0.389 
004885 	0.636 	0.208 	0.148 	0.394 
004886 	0.635 	0.207 	0.149 	0.394 
004887 	0.635 	0.206 	0.149 	0.397 
004888 	0.632 	0.207 	0.149 	0.398 
004889 	0.629 	0.209 	0.149 	0.389 
004890 	0.627 	0.207 	0.149 	0.389 
004891 	0.622 	0.209 	0.149 	0.381 
004892 	0.620 	0.202 	0.149 	0.385 
004893 	0.619 	0.195 	0.150 	0.391 
004894 	0.616 	0.185 	0.149 	0.399 
004895 	0.611 	0.178 	0.151 	0.395 
004896 	0.602 	0.158 	0.154 	0.406 
004897 	0.598 	0.154 	0.154 	0.393 
004898 	0.596 	0.146 	0.153 	0.393 
004899 	0.593 	0.138 	0.153 	0.403 
004900 	0.590 	0.131 	0.153 	0.409 
004901 	0.586 	0.127 	0.153 	0.403 
004902 	0.585 	0.123 	0.153 	0.412 
004903 	0.584 	0.119 	0.152 	0.409 
004904 	0.582 	0.122 	0.154 	0.401 
004905 	0.580 	0.118 	0.154 	0.409 
004906 	0.578 	0.116 	0.154 	0.395 
004907 	0.575 	0.117 	0.155 	0.393 
004908 	0.576 	0.115 	0.153 	0.397 
004909 	0.573 	0.125 	0.154 	0.399 
004910 	0.572 	0.121 	0.153 	0.397 
004911 	0.572 	0.123 	0.152 	0.394 
004912 	0.574 	0.113 	0.151 	0.392 
004913 	0.573 	0.112 	0.154 	0.395 
004914 	0.577 	0.111 	0.152 	0.398 
004915 	0.580 	0.111 	0.152 	0.396 
004916 	0.583 	0.112 	0.152 	0.398 
004917 	0.588 	0.112 	0.151 	0.396 
004918 	0.592 	0.106 	0.148 	0.413 
004919 	0.590 	0.102 	0.149 	0.429 
004920 	0.588 	0.108 	0.150 	0.419 
004921 	0.586 	0.107 	0.150 	0.405 
004922 	0.591 	0.106 	0.153 	0.396 
004923 	0.596 	0.105 	0.151 	0.397 
004924 	0.601 	0.109 	0.149 	0.399 
004925 	0.604 	0.111 	0.147 	0.407 
004926 	0.605 	0.111 	0.147 	0.407 
004927 	0.603 	0.115 	0.150 	0.410 
004928 	0.604 	0.116 	0.149 	0.401 
004929 	0.601 	0.117 	0.150 	0.403 
004930 	0.598 	0.120 	0.151 	0.399 
004931 	0.597 	0.119 	0.150 	0.406 
004932 	0.593 	0.127 	0.151 	0.399 
004933 	0.593 	0.129 	0.150 	0.404 
004934 	0.589 	0.127 	0.150 	0.403 
004935 	0.588 	0.126 	0.151 	0.405 
004936 	0.587 	0.125 	0.151 	0.403 
004937 	0.582 	0.123 	0.151 	0.405 
004938 	0.581 	0.126 	0.151 	0.401 
004939 	0.580 	0.124 	0.151 	0.399 
