Text:  PAINT BUT THE DUST IS STILL HAPPENING THE DUST IS COMING IN AND IS COATING OUR FLOORS IT'S COATING OUR TOYS AND THEN TOYS 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
005120 	0.465 	0.119 	0.077 	0.224 
005121 	0.465 	0.125 	0.073 	0.208 
005122 	0.462 	0.125 	0.073 	0.204 
005123 	0.453 	0.117 	0.074 	0.211 
005124 	0.450 	0.119 	0.073 	0.199 
005125 	0.445 	0.117 	0.075 	0.201 
005126 	0.437 	0.116 	0.078 	0.217 
005127 	0.434 	0.118 	0.077 	0.215 
005128 	0.430 	0.121 	0.075 	0.207 
005129 	0.429 	0.119 	0.075 	0.208 
005130 	0.427 	0.117 	0.075 	0.210 
005131 	0.427 	0.119 	0.074 	0.211 
005132 	0.425 	0.119 	0.076 	0.213 
005133 	0.424 	0.119 	0.076 	0.215 
005134 	0.425 	0.123 	0.073 	0.208 
005135 	0.425 	0.124 	0.073 	0.206 
005136 	0.426 	0.125 	0.072 	0.206 
005137 	0.426 	0.125 	0.072 	0.206 
005138 	0.426 	0.126 	0.072 	0.203 
005139 	0.427 	0.124 	0.071 	0.204 
005140 	0.426 	0.124 	0.072 	0.203 
005141 	0.426 	0.122 	0.073 	0.203 
005142 	0.424 	0.121 	0.074 	0.202 
005143 	0.424 	0.121 	0.076 	0.205 
005144 	0.423 	0.120 	0.077 	0.205 
005145 	0.423 	0.119 	0.077 	0.203 
005146 	0.424 	0.120 	0.077 	0.205 
005147 	0.425 	0.119 	0.077 	0.205 
005148 	0.429 	0.121 	0.076 	0.200 
005149 	0.431 	0.120 	0.075 	0.208 
005150 	0.432 	0.120 	0.075 	0.210 
005151 	0.433 	0.121 	0.076 	0.207 
005152 	0.434 	0.120 	0.076 	0.209 
005153 	0.435 	0.121 	0.077 	0.206 
005154 	0.435 	0.121 	0.078 	0.202 
005155 	0.436 	0.119 	0.077 	0.212 
005156 	0.437 	0.118 	0.077 	0.213 
005157 	0.437 	0.119 	0.076 	0.213 
005158 	0.436 	0.117 	0.075 	0.214 
005159 	0.436 	0.119 	0.074 	0.208 
005160 	0.434 	0.120 	0.076 	0.205 
005161 	0.433 	0.121 	0.076 	0.205 
005162 	0.433 	0.121 	0.076 	0.205 
005163 	0.431 	0.119 	0.075 	0.204 
005164 	0.432 	0.120 	0.074 	0.207 
005165 	0.430 	0.119 	0.076 	0.210 
005166 	0.430 	0.120 	0.075 	0.209 
005167 	0.431 	0.121 	0.074 	0.206 
005168 	0.431 	0.121 	0.074 	0.200 
005169 	0.432 	0.121 	0.075 	0.201 
005170 	0.431 	0.121 	0.076 	0.204 
005171 	0.432 	0.121 	0.076 	0.206 
005172 	0.432 	0.121 	0.075 	0.204 
005173 	0.432 	0.122 	0.075 	0.207 
005174 	0.432 	0.122 	0.075 	0.208 
005175 	0.432 	0.121 	0.075 	0.209 
005176 	0.432 	0.122 	0.075 	0.209 
005177 	0.432 	0.120 	0.074 	0.212 
005178 	0.433 	0.119 	0.074 	0.218 
005179 	0.432 	0.119 	0.075 	0.218 
005180 	0.432 	0.118 	0.074 	0.216 
005181 	0.432 	0.120 	0.072 	0.211 
005182 	0.431 	0.120 	0.072 	0.210 
005183 	0.427 	0.118 	0.074 	0.210 
005184 	0.425 	0.116 	0.077 	0.216 
005185 	0.424 	0.116 	0.076 	0.217 
005186 	0.423 	0.117 	0.077 	0.214 
005187 	0.423 	0.118 	0.076 	0.207 
005188 	0.424 	0.116 	0.075 	0.205 
005189 	0.425 	0.117 	0.075 	0.206 
005190 	0.426 	0.118 	0.074 	0.203 
005191 	0.427 	0.120 	0.074 	0.198 
005192 	0.430 	0.120 	0.073 	0.199 
005193 	0.433 	0.120 	0.074 	0.205 
005194 	0.433 	0.121 	0.076 	0.209 
005195 	0.435 	0.120 	0.076 	0.212 
005196 	0.437 	0.122 	0.074 	0.211 
005197 	0.437 	0.122 	0.075 	0.210 
005198 	0.438 	0.123 	0.074 	0.212 
005199 	0.437 	0.123 	0.074 	0.211 
005200 	0.436 	0.124 	0.074 	0.208 
005201 	0.437 	0.124 	0.073 	0.205 
005202 	0.435 	0.126 	0.074 	0.207 
005203 	0.433 	0.125 	0.073 	0.205 
005204 	0.433 	0.124 	0.073 	0.205 
005205 	0.433 	0.125 	0.073 	0.205 
005206 	0.432 	0.124 	0.074 	0.206 
005207 	0.432 	0.124 	0.074 	0.208 
005208 	0.434 	0.127 	0.070 	0.207 
005209 	0.433 	0.129 	0.070 	0.203 
005210 	0.432 	0.129 	0.072 	0.206 
005211 	0.431 	0.128 	0.074 	0.208 
005212 	0.431 	0.129 	0.074 	0.206 
005213 	0.432 	0.128 	0.075 	0.206 
005214 	0.432 	0.127 	0.075 	0.205 
005215 	0.434 	0.129 	0.073 	0.203 
005216 	0.434 	0.129 	0.073 	0.205 
005217 	0.435 	0.132 	0.071 	0.202 
005218 	0.434 	0.133 	0.070 	0.201 
005219 	0.433 	0.132 	0.069 	0.203 
005220 	0.434 	0.132 	0.067 	0.204 
005221 	0.430 	0.134 	0.069 	0.205 
005222 	0.429 	0.134 	0.070 	0.207 
005223 	0.425 	0.135 	0.072 	0.205 
005224 	0.424 	0.137 	0.073 	0.201 
005225 	0.422 	0.138 	0.074 	0.200 
005226 	0.421 	0.137 	0.074 	0.203 
005227 	0.420 	0.136 	0.075 	0.202 
005228 	0.420 	0.130 	0.075 	0.206 
005229 	0.420 	0.130 	0.076 	0.205 
005230 	0.421 	0.128 	0.074 	0.207 
005231 	0.421 	0.128 	0.075 	0.207 
005232 	0.421 	0.127 	0.075 	0.209 
005233 	0.427 	0.126 	0.070 	0.208 
005234 	0.426 	0.126 	0.071 	0.207 
005235 	0.427 	0.125 	0.071 	0.207 
005236 	0.427 	0.124 	0.070 	0.206 
005237 	0.427 	0.119 	0.073 	0.215 
005238 	0.427 	0.119 	0.071 	0.212 
005239 	0.427 	0.118 	0.072 	0.211 
005240 	0.426 	0.121 	0.070 	0.207 
005241 	0.425 	0.122 	0.070 	0.207 
005242 	0.424 	0.122 	0.072 	0.208 
005243 	0.424 	0.118 	0.074 	0.214 
005244 	0.422 	0.116 	0.075 	0.219 
005245 	0.421 	0.117 	0.076 	0.217 
005246 	0.422 	0.118 	0.076 	0.216 
005247 	0.421 	0.123 	0.074 	0.207 
005248 	0.421 	0.124 	0.073 	0.208 
005249 	0.423 	0.125 	0.072 	0.208 
005250 	0.422 	0.127 	0.071 	0.208 
005251 	0.421 	0.127 	0.072 	0.210 
005252 	0.421 	0.128 	0.072 	0.210 
005253 	0.419 	0.130 	0.072 	0.207 
005254 	0.411 	0.133 	0.077 	0.205 
005255 	0.410 	0.133 	0.078 	0.205 
005256 	0.409 	0.133 	0.079 	0.204 
005257 	0.410 	0.131 	0.080 	0.203 
005258 	0.409 	0.131 	0.080 	0.201 
005259 	0.418 	0.127 	0.077 	0.204 
005260 	0.420 	0.125 	0.076 	0.209 
005261 	0.425 	0.125 	0.073 	0.207 
005262 	0.431 	0.125 	0.072 	0.204 
005263 	0.434 	0.128 	0.075 	0.199 
005264 	0.451 	0.128 	0.072 	0.204 
005265 	0.460 	0.132 	0.069 	0.204 
005266 	0.463 	0.144 	0.072 	0.203 
005267 	0.467 	0.143 	0.073 	0.208 
005268 	0.477 	0.145 	0.069 	0.203 
005269 	0.476 	0.148 	0.073 	0.205 
005270 	0.474 	0.149 	0.071 	0.197 
005271 	0.465 	0.151 	0.074 	0.200 
005272 	0.461 	0.149 	0.074 	0.200 
005273 	0.457 	0.144 	0.072 	0.199 

WORD START END ASDSCORE
PAINT 0.10 0.50 10.1
BUT 0.82 0.92 2.9
THE 0.92 0.99 2.6
DUST 0.99 1.38 3.1
IS 1.38 1.47 3.7
STILL 1.47 1.67 5.4
HAPPENING 1.67 2.15 7.5
THE 2.23 2.37 4.8
DUST 2.37 2.73 4.7
IS 2.73 2.83 5.5
COMING 2.83 3.18 7.4
IN 3.18 3.31 6.3
AND 3.31 3.40 2.2
IS 3.40 3.46 2.2
COATING 3.46 3.70 2.1
OUR 3.70 3.81 3.2
FLOORS 3.81 4.34 6.2
IT'S 4.34 4.58 6.6
COATING 4.58 4.94 5.0
OUR 4.94 5.06 5.4
TOYS 5.06 5.50 6.6
AND 5.50 5.59 5.9
THEN 5.59 5.68 4.2
TOYS 5.68 6.06 6.0
