Text:  LIKE I WAS GOING TO GO AHEAD AND MAKE MY HOUSE REALLY BEAUTIFUL WITH DIFFERENT COLOR PAINT I'M PAINTING AND PAINTING ONE 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
005642 	0.367 	0.119 	0.080 	0.204 
005643 	0.370 	0.121 	0.074 	0.203 
005644 	0.370 	0.122 	0.074 	0.201 
005645 	0.370 	0.121 	0.075 	0.205 
005646 	0.370 	0.122 	0.081 	0.202 
005647 	0.372 	0.123 	0.080 	0.199 
005648 	0.373 	0.122 	0.080 	0.202 
005649 	0.373 	0.122 	0.082 	0.203 
005650 	0.375 	0.122 	0.079 	0.204 
005651 	0.376 	0.122 	0.079 	0.203 
005652 	0.376 	0.122 	0.079 	0.202 
005653 	0.377 	0.121 	0.078 	0.203 
005654 	0.376 	0.122 	0.078 	0.202 
005655 	0.376 	0.121 	0.078 	0.203 
005656 	0.375 	0.122 	0.080 	0.200 
005657 	0.374 	0.121 	0.080 	0.201 
005658 	0.374 	0.121 	0.080 	0.204 
005659 	0.375 	0.120 	0.079 	0.204 
005660 	0.376 	0.122 	0.078 	0.203 
005661 	0.377 	0.120 	0.082 	0.208 
005662 	0.380 	0.118 	0.082 	0.210 
005663 	0.382 	0.117 	0.081 	0.212 
005664 	0.381 	0.117 	0.081 	0.214 
005665 	0.382 	0.117 	0.080 	0.215 
005666 	0.382 	0.120 	0.081 	0.204 
005667 	0.384 	0.120 	0.080 	0.204 
005668 	0.391 	0.128 	0.078 	0.194 
005669 	0.392 	0.125 	0.078 	0.197 
005670 	0.393 	0.127 	0.078 	0.193 
005671 	0.396 	0.126 	0.077 	0.193 
005672 	0.398 	0.121 	0.076 	0.204 
005673 	0.401 	0.122 	0.077 	0.203 
005674 	0.404 	0.122 	0.078 	0.205 
005675 	0.405 	0.122 	0.080 	0.206 
005676 	0.416 	0.124 	0.078 	0.202 
005677 	0.420 	0.125 	0.078 	0.206 
005678 	0.424 	0.129 	0.075 	0.199 
005679 	0.426 	0.131 	0.076 	0.200 
005680 	0.428 	0.132 	0.077 	0.202 
005681 	0.433 	0.129 	0.078 	0.205 
005682 	0.435 	0.130 	0.081 	0.207 
005683 	0.437 	0.132 	0.080 	0.205 
005684 	0.443 	0.128 	0.079 	0.218 
005685 	0.446 	0.130 	0.077 	0.215 
005686 	0.450 	0.134 	0.077 	0.207 
005687 	0.450 	0.136 	0.079 	0.208 
005688 	0.453 	0.137 	0.077 	0.203 
005689 	0.455 	0.142 	0.075 	0.197 
005690 	0.457 	0.143 	0.074 	0.195 
005691 	0.460 	0.143 	0.075 	0.205 
005692 	0.460 	0.144 	0.075 	0.206 
005693 	0.460 	0.147 	0.076 	0.201 
005694 	0.461 	0.146 	0.076 	0.201 
005695 	0.462 	0.148 	0.076 	0.198 
005696 	0.461 	0.144 	0.079 	0.214 
005697 	0.462 	0.148 	0.079 	0.211 
005698 	0.462 	0.148 	0.080 	0.199 
005699 	0.462 	0.145 	0.081 	0.198 
005700 	0.461 	0.144 	0.083 	0.198 
005701 	0.462 	0.145 	0.085 	0.198 
005702 	0.463 	0.143 	0.084 	0.203 
005703 	0.462 	0.144 	0.085 	0.200 
005704 	0.467 	0.146 	0.082 	0.205 
005705 	0.471 	0.149 	0.078 	0.205 
005706 	0.476 	0.149 	0.076 	0.206 
005707 	0.476 	0.150 	0.077 	0.202 
005708 	0.476 	0.151 	0.077 	0.202 
005709 	0.477 	0.151 	0.077 	0.201 
005710 	0.477 	0.151 	0.076 	0.202 
005711 	0.477 	0.150 	0.076 	0.199 
005712 	0.478 	0.150 	0.075 	0.199 
005713 	0.478 	0.152 	0.075 	0.199 
005714 	0.477 	0.152 	0.076 	0.201 
005715 	0.477 	0.152 	0.076 	0.200 
005716 	0.476 	0.149 	0.077 	0.202 
005717 	0.477 	0.150 	0.075 	0.202 
005718 	0.476 	0.152 	0.076 	0.203 
005719 	0.478 	0.152 	0.075 	0.203 
005720 	0.478 	0.153 	0.074 	0.201 
005721 	0.478 	0.151 	0.074 	0.203 
005722 	0.478 	0.152 	0.073 	0.202 
005723 	0.478 	0.152 	0.074 	0.203 
005724 	0.477 	0.152 	0.075 	0.204 
005725 	0.478 	0.153 	0.074 	0.203 
005726 	0.479 	0.153 	0.073 	0.200 
005727 	0.479 	0.153 	0.074 	0.200 
005728 	0.478 	0.153 	0.074 	0.200 
005729 	0.477 	0.153 	0.077 	0.202 
005730 	0.479 	0.155 	0.076 	0.199 
005731 	0.480 	0.153 	0.075 	0.200 
005732 	0.480 	0.153 	0.075 	0.200 
005733 	0.480 	0.153 	0.075 	0.200 
005734 	0.478 	0.153 	0.075 	0.203 
005735 	0.478 	0.157 	0.075 	0.196 
005736 	0.475 	0.156 	0.077 	0.200 
005737 	0.475 	0.156 	0.078 	0.198 
005738 	0.475 	0.154 	0.078 	0.203 
005739 	0.477 	0.156 	0.076 	0.202 
005740 	0.479 	0.157 	0.074 	0.199 
005741 	0.480 	0.157 	0.075 	0.198 
005742 	0.481 	0.158 	0.074 	0.200 
005743 	0.481 	0.158 	0.075 	0.201 
005744 	0.481 	0.158 	0.075 	0.198 
005745 	0.481 	0.156 	0.076 	0.200 
005746 	0.482 	0.153 	0.076 	0.202 
005747 	0.484 	0.152 	0.077 	0.204 
005748 	0.483 	0.149 	0.079 	0.209 
005749 	0.485 	0.147 	0.078 	0.211 
005750 	0.487 	0.148 	0.077 	0.205 
005751 	0.486 	0.146 	0.076 	0.201 
005752 	0.486 	0.143 	0.078 	0.202 
005753 	0.486 	0.142 	0.078 	0.202 
005754 	0.486 	0.143 	0.077 	0.203 
005755 	0.485 	0.142 	0.076 	0.203 
005756 	0.486 	0.143 	0.075 	0.204 
005757 	0.486 	0.146 	0.074 	0.201 
005758 	0.486 	0.146 	0.074 	0.203 
005759 	0.486 	0.147 	0.074 	0.203 
005760 	0.487 	0.144 	0.074 	0.209 
005761 	0.486 	0.143 	0.074 	0.210 
005762 	0.488 	0.146 	0.075 	0.203 
005763 	0.488 	0.143 	0.076 	0.208 
005764 	0.490 	0.143 	0.074 	0.208 
005765 	0.491 	0.142 	0.074 	0.208 
005766 	0.492 	0.140 	0.075 	0.209 
005767 	0.500 	0.141 	0.073 	0.211 
005768 	0.501 	0.142 	0.072 	0.212 
