Text:  I TAKE THIS DEEP BREATH AND I INSTANTLY FELT BETTER I KNOW YOU'RE 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
006088 	0.246 	0.156 	0.156 	0.378 
006089 	0.260 	0.152 	0.153 	0.390 
006090 	0.269 	0.153 	0.153 	0.384 
006091 	0.275 	0.150 	0.152 	0.383 
006092 	0.280 	0.149 	0.150 	0.387 
006093 	0.285 	0.149 	0.149 	0.386 
006094 	0.292 	0.143 	0.149 	0.398 
006095 	0.294 	0.137 	0.149 	0.398 
006096 	0.299 	0.137 	0.148 	0.400 
006097 	0.301 	0.140 	0.148 	0.393 
006098 	0.298 	0.140 	0.152 	0.392 
006099 	0.306 	0.144 	0.150 	0.398 
006100 	0.310 	0.144 	0.150 	0.402 
006101 	0.315 	0.138 	0.150 	0.413 
006102 	0.319 	0.138 	0.151 	0.409 
006103 	0.326 	0.138 	0.150 	0.401 
006104 	0.338 	0.133 	0.147 	0.398 
006105 	0.346 	0.126 	0.141 	0.402 
006106 	0.348 	0.121 	0.141 	0.393 
006107 	0.347 	0.115 	0.145 	0.384 
006108 	0.344 	0.112 	0.143 	0.392 
006109 	0.338 	0.105 	0.143 	0.398 
006110 	0.338 	0.108 	0.143 	0.399 
006111 	0.337 	0.103 	0.144 	0.389 
006112 	0.335 	0.105 	0.142 	0.384 
006113 	0.332 	0.102 	0.145 	0.385 
006114 	0.327 	0.108 	0.148 	0.397 
006115 	0.326 	0.105 	0.145 	0.412 
006116 	0.325 	0.105 	0.148 	0.414 
006117 	0.325 	0.109 	0.147 	0.408 
006118 	0.323 	0.105 	0.149 	0.420 
006119 	0.321 	0.111 	0.148 	0.414 
006120 	0.321 	0.115 	0.147 	0.408 
006121 	0.322 	0.120 	0.146 	0.406 
006122 	0.321 	0.123 	0.147 	0.400 
006123 	0.320 	0.123 	0.148 	0.399 
006124 	0.320 	0.119 	0.148 	0.408 
006125 	0.318 	0.119 	0.149 	0.408 
006126 	0.320 	0.120 	0.149 	0.405 
006127 	0.320 	0.120 	0.148 	0.408 
006128 	0.319 	0.121 	0.149 	0.406 
006129 	0.317 	0.121 	0.149 	0.408 
006130 	0.317 	0.122 	0.148 	0.408 
006131 	0.315 	0.125 	0.150 	0.405 
006132 	0.316 	0.124 	0.149 	0.406 
006133 	0.315 	0.125 	0.151 	0.409 
006134 	0.317 	0.121 	0.150 	0.409 
006135 	0.319 	0.114 	0.150 	0.417 
006136 	0.319 	0.110 	0.148 	0.411 
006137 	0.318 	0.104 	0.149 	0.415 
006138 	0.316 	0.102 	0.148 	0.411 
006139 	0.313 	0.099 	0.146 	0.402 
006140 	0.309 	0.102 	0.147 	0.397 
006141 	0.307 	0.101 	0.147 	0.395 
006142 	0.305 	0.100 	0.148 	0.395 
006143 	0.303 	0.099 	0.149 	0.397 
006144 	0.299 	0.097 	0.149 	0.388 
006145 	0.301 	0.094 	0.148 	0.394 
006146 	0.299 	0.096 	0.150 	0.393 
006147 	0.299 	0.097 	0.148 	0.393 
006148 	0.298 	0.095 	0.149 	0.395 
006149 	0.297 	0.098 	0.149 	0.394 
006150 	0.296 	0.098 	0.149 	0.396 
006151 	0.296 	0.098 	0.150 	0.399 
006152 	0.295 	0.098 	0.150 	0.399 
006153 	0.295 	0.097 	0.149 	0.404 
006154 	0.296 	0.099 	0.149 	0.405 
006155 	0.296 	0.101 	0.149 	0.400 
006156 	0.295 	0.098 	0.150 	0.404 
006157 	0.295 	0.101 	0.150 	0.404 
006158 	0.291 	0.101 	0.152 	0.412 
006159 	0.282 	0.123 	0.151 	0.410 
006160 	0.279 	0.144 	0.152 	0.405 
006161 	0.276 	0.156 	0.151 	0.410 
006162 	0.273 	0.162 	0.150 	0.418 
006163 	0.271 	0.165 	0.150 	0.415 
006164 	0.268 	0.165 	0.151 	0.410 
006165 	0.267 	0.161 	0.150 	0.417 
006166 	0.263 	0.160 	0.151 	0.413 
006167 	0.263 	0.156 	0.151 	0.420 
006168 	0.262 	0.154 	0.152 	0.420 
006169 	0.260 	0.158 	0.151 	0.414 
006170 	0.259 	0.159 	0.151 	0.417 
006171 	0.259 	0.159 	0.152 	0.417 
006172 	0.260 	0.160 	0.150 	0.415 
006173 	0.259 	0.159 	0.152 	0.416 
006174 	0.259 	0.161 	0.153 	0.419 
006175 	0.258 	0.160 	0.154 	0.421 
006176 	0.258 	0.162 	0.153 	0.416 
006177 	0.259 	0.163 	0.153 	0.414 
006178 	0.258 	0.164 	0.154 	0.404 
006179 	0.256 	0.166 	0.155 	0.402 
006180 	0.256 	0.165 	0.155 	0.400 
006181 	0.258 	0.166 	0.154 	0.395 
006182 	0.258 	0.162 	0.154 	0.400 
006183 	0.259 	0.161 	0.152 	0.402 
006184 	0.259 	0.159 	0.152 	0.405 
006185 	0.259 	0.159 	0.151 	0.405 
006186 	0.260 	0.157 	0.152 	0.408 
006187 	0.261 	0.157 	0.150 	0.409 
006188 	0.261 	0.157 	0.150 	0.413 
006189 	0.262 	0.162 	0.149 	0.408 
006190 	0.262 	0.163 	0.151 	0.410 
006191 	0.261 	0.164 	0.152 	0.408 
006192 	0.261 	0.165 	0.152 	0.406 
006193 	0.265 	0.162 	0.150 	0.412 
006194 	0.263 	0.160 	0.151 	0.413 
006195 	0.264 	0.160 	0.150 	0.413 
006196 	0.265 	0.161 	0.152 	0.407 
006197 	0.265 	0.160 	0.152 	0.410 
006198 	0.266 	0.163 	0.152 	0.406 
006199 	0.268 	0.162 	0.152 	0.401 
006200 	0.267 	0.161 	0.152 	0.400 
006201 	0.268 	0.161 	0.152 	0.396 
006202 	0.268 	0.160 	0.152 	0.398 
006203 	0.267 	0.159 	0.151 	0.400 
006204 	0.266 	0.160 	0.152 	0.395 
006205 	0.266 	0.160 	0.150 	0.396 
006206 	0.264 	0.160 	0.152 	0.394 
006207 	0.261 	0.161 	0.152 	0.391 
006208 	0.261 	0.161 	0.151 	0.393 
006209 	0.259 	0.160 	0.152 	0.393 
006210 	0.258 	0.161 	0.152 	0.393 
006211 	0.258 	0.161 	0.153 	0.391 
006212 	0.257 	0.160 	0.153 	0.392 
006213 	0.258 	0.160 	0.153 	0.394 
006214 	0.259 	0.161 	0.151 	0.396 
006215 	0.259 	0.162 	0.152 	0.396 
006216 	0.260 	0.160 	0.150 	0.399 
006217 	0.259 	0.162 	0.152 	0.397 
006218 	0.260 	0.164 	0.151 	0.397 
006219 	0.263 	0.161 	0.151 	0.403 
006220 	0.264 	0.161 	0.151 	0.404 
006221 	0.266 	0.158 	0.151 	0.411 
