Text:  KNOW THAT IS THE INDICATION THAT WE ALL REALIZE WE LIVE WITH TOXIC CHEMICALS EVERY DAY BUT WE JUST DON'T KNOW WHAT TO DO ABOUT IT WE THINK WE HAVE TO CHOOSE BETWEEN THINGS THAT ARE BEAUTIFUL AND THINGS 
Conf:  2
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
006359 	0.343 	0.147 	0.148 	0.391 
006360 	0.339 	0.145 	0.148 	0.396 
006361 	0.336 	0.141 	0.150 	0.406 
006362 	0.335 	0.142 	0.149 	0.400 
006363 	0.334 	0.143 	0.149 	0.396 
006364 	0.336 	0.141 	0.146 	0.395 
006365 	0.336 	0.140 	0.149 	0.399 
006366 	0.338 	0.137 	0.149 	0.400 
006367 	0.338 	0.139 	0.148 	0.397 
006368 	0.338 	0.138 	0.150 	0.397 
006369 	0.338 	0.138 	0.149 	0.398 
006370 	0.340 	0.139 	0.149 	0.409 
006371 	0.341 	0.143 	0.149 	0.405 
006372 	0.343 	0.143 	0.150 	0.408 
006373 	0.343 	0.141 	0.149 	0.414 
006374 	0.344 	0.141 	0.149 	0.411 
006375 	0.344 	0.141 	0.150 	0.407 
006376 	0.346 	0.140 	0.150 	0.407 
006377 	0.344 	0.143 	0.151 	0.404 
006378 	0.344 	0.142 	0.151 	0.402 
006379 	0.344 	0.141 	0.151 	0.404 
006380 	0.342 	0.143 	0.152 	0.404 
006381 	0.343 	0.142 	0.151 	0.406 
006382 	0.344 	0.143 	0.150 	0.402 
006383 	0.344 	0.142 	0.151 	0.408 
006384 	0.343 	0.145 	0.151 	0.402 
006385 	0.342 	0.146 	0.150 	0.401 
006386 	0.340 	0.146 	0.150 	0.396 
006387 	0.340 	0.149 	0.150 	0.394 
006388 	0.339 	0.154 	0.151 	0.390 
006389 	0.338 	0.153 	0.150 	0.392 
006390 	0.339 	0.153 	0.151 	0.397 
006391 	0.339 	0.155 	0.151 	0.393 
006392 	0.340 	0.154 	0.151 	0.395 
006393 	0.340 	0.151 	0.151 	0.395 
006394 	0.340 	0.153 	0.151 	0.395 
006395 	0.341 	0.152 	0.150 	0.396 
006396 	0.342 	0.150 	0.151 	0.400 
006397 	0.340 	0.149 	0.151 	0.404 
006398 	0.340 	0.152 	0.151 	0.397 
006399 	0.339 	0.151 	0.151 	0.395 
006400 	0.338 	0.150 	0.152 	0.390 
006401 	0.339 	0.149 	0.149 	0.394 
006402 	0.339 	0.151 	0.150 	0.391 
006403 	0.340 	0.152 	0.150 	0.394 
006404 	0.340 	0.153 	0.150 	0.391 
006405 	0.341 	0.156 	0.151 	0.393 
006406 	0.341 	0.157 	0.150 	0.391 
006407 	0.340 	0.159 	0.150 	0.388 
006408 	0.339 	0.157 	0.151 	0.395 
006409 	0.339 	0.159 	0.151 	0.398 
006410 	0.340 	0.157 	0.150 	0.409 
006411 	0.337 	0.156 	0.149 	0.408 
006412 	0.336 	0.157 	0.149 	0.407 
006413 	0.334 	0.161 	0.149 	0.408 
006414 	0.330 	0.157 	0.150 	0.409 
006415 	0.329 	0.158 	0.150 	0.401 
006416 	0.327 	0.157 	0.151 	0.390 
006417 	0.327 	0.154 	0.151 	0.394 
006418 	0.327 	0.153 	0.152 	0.394 
006419 	0.328 	0.153 	0.151 	0.389 
006420 	0.328 	0.153 	0.152 	0.394 
006421 	0.330 	0.152 	0.151 	0.396 
006422 	0.332 	0.149 	0.151 	0.399 
006423 	0.332 	0.151 	0.151 	0.402 
006424 	0.332 	0.151 	0.151 	0.405 
006425 	0.331 	0.149 	0.151 	0.403 
006426 	0.324 	0.151 	0.153 	0.393 
006427 	0.321 	0.151 	0.151 	0.394 
006428 	0.317 	0.149 	0.153 	0.393 
006429 	0.319 	0.147 	0.151 	0.397 
006430 	0.318 	0.148 	0.152 	0.392 
006431 	0.322 	0.145 	0.151 	0.394 
006432 	0.324 	0.143 	0.153 	0.388 
006433 	0.330 	0.147 	0.152 	0.384 
006434 	0.334 	0.145 	0.154 	0.392 
006435 	0.337 	0.149 	0.154 	0.384 
006436 	0.341 	0.152 	0.151 	0.397 
006437 	0.340 	0.152 	0.151 	0.399 
006438 	0.337 	0.151 	0.151 	0.389 
006439 	0.334 	0.148 	0.151 	0.390 
006440 	0.334 	0.150 	0.152 	0.385 
006441 	0.333 	0.148 	0.154 	0.383 
006442 	0.336 	0.146 	0.154 	0.388 
006443 	0.339 	0.147 	0.153 	0.394 
006444 	0.343 	0.147 	0.151 	0.412 
006445 	0.344 	0.152 	0.150 	0.413 
006446 	0.341 	0.155 	0.150 	0.407 
006447 	0.339 	0.158 	0.152 	0.396 
006448 	0.336 	0.161 	0.152 	0.383 
006449 	0.333 	0.155 	0.153 	0.391 
006450 	0.334 	0.153 	0.153 	0.393 
006451 	0.339 	0.149 	0.152 	0.404 
006452 	0.343 	0.149 	0.151 	0.408 
006453 	0.344 	0.150 	0.151 	0.409 
006454 	0.344 	0.154 	0.151 	0.408 
006455 	0.342 	0.154 	0.150 	0.414 
006456 	0.335 	0.159 	0.147 	0.417 
006457 	0.328 	0.162 	0.149 	0.406 
006458 	0.322 	0.163 	0.150 	0.401 
006459 	0.316 	0.164 	0.151 	0.394 
006460 	0.311 	0.167 	0.152 	0.386 
006461 	0.311 	0.162 	0.153 	0.384 
006462 	0.315 	0.160 	0.151 	0.390 
006463 	0.319 	0.161 	0.151 	0.390 
006464 	0.321 	0.161 	0.151 	0.396 
006465 	0.321 	0.161 	0.152 	0.390 
006466 	0.314 	0.166 	0.154 	0.388 
006467 	0.312 	0.164 	0.153 	0.399 
006468 	0.311 	0.161 	0.152 	0.409 
006469 	0.310 	0.165 	0.151 	0.403 
006470 	0.312 	0.170 	0.151 	0.395 
006471 	0.315 	0.168 	0.151 	0.405 
006472 	0.316 	0.168 	0.153 	0.404 
006473 	0.318 	0.166 	0.152 	0.408 
006474 	0.319 	0.169 	0.152 	0.402 
006475 	0.319 	0.169 	0.152 	0.403 
006476 	0.321 	0.160 	0.150 	0.422 
006477 	0.321 	0.164 	0.150 	0.414 
006478 	0.321 	0.163 	0.151 	0.411 
006479 	0.321 	0.162 	0.151 	0.416 
006480 	0.321 	0.162 	0.150 	0.416 
006481 	0.321 	0.160 	0.150 	0.414 
006482 	0.321 	0.158 	0.151 	0.415 
006483 	0.320 	0.158 	0.150 	0.417 
006484 	0.320 	0.158 	0.151 	0.419 
