Text:  YOUR CARPETS IT'S EVERYWHERE BUT I HAVE TWO GOOD BOOKS FOR YOU HE HANDED ME THESE TWO BOOKS THAT LITERALLY 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
006948 	0.564 	0.119 	0.157 	0.439 
006949 	0.564 	0.107 	0.157 	0.443 
006950 	0.567 	0.114 	0.156 	0.431 
006951 	0.570 	0.111 	0.153 	0.423 
006952 	0.572 	0.110 	0.153 	0.424 
006953 	0.574 	0.111 	0.152 	0.425 
006954 	0.583 	0.110 	0.148 	0.427 
006955 	0.589 	0.107 	0.146 	0.430 
006956 	0.595 	0.107 	0.144 	0.434 
006957 	0.598 	0.103 	0.144 	0.431 
006958 	0.600 	0.106 	0.145 	0.429 
006959 	0.607 	0.106 	0.143 	0.441 
006960 	0.605 	0.107 	0.146 	0.454 
006961 	0.603 	0.116 	0.149 	0.456 
006962 	0.603 	0.118 	0.147 	0.457 
006963 	0.600 	0.125 	0.150 	0.446 
006964 	0.594 	0.132 	0.152 	0.435 
006965 	0.593 	0.130 	0.150 	0.441 
006966 	0.586 	0.133 	0.154 	0.437 
006967 	0.581 	0.139 	0.154 	0.428 
006968 	0.578 	0.138 	0.155 	0.426 
006969 	0.580 	0.127 	0.151 	0.437 
006970 	0.581 	0.131 	0.150 	0.423 
006971 	0.587 	0.124 	0.143 	0.429 
006972 	0.592 	0.121 	0.139 	0.446 
006973 	0.593 	0.120 	0.137 	0.446 
006974 	0.594 	0.117 	0.133 	0.428 
006975 	0.588 	0.113 	0.136 	0.426 
006976 	0.586 	0.118 	0.135 	0.426 
006977 	0.580 	0.118 	0.139 	0.427 
006978 	0.579 	0.112 	0.139 	0.428 
006979 	0.571 	0.110 	0.144 	0.416 
006980 	0.570 	0.110 	0.143 	0.437 
006981 	0.566 	0.114 	0.146 	0.439 
006982 	0.565 	0.112 	0.146 	0.441 
006983 	0.564 	0.116 	0.152 	0.434 
006984 	0.557 	0.109 	0.155 	0.443 
006985 	0.558 	0.109 	0.150 	0.441 
006986 	0.554 	0.107 	0.152 	0.445 
006987 	0.552 	0.105 	0.152 	0.449 
006988 	0.550 	0.104 	0.149 	0.453 
006989 	0.550 	0.103 	0.142 	0.455 
006990 	0.546 	0.103 	0.147 	0.450 
006991 	0.547 	0.108 	0.147 	0.424 
006992 	0.547 	0.117 	0.149 	0.425 
006993 	0.549 	0.115 	0.149 	0.441 
006994 	0.552 	0.124 	0.149 	0.452 
006995 	0.553 	0.124 	0.147 	0.454 
006996 	0.555 	0.134 	0.143 	0.447 
006997 	0.553 	0.140 	0.146 	0.437 
006998 	0.548 	0.135 	0.149 	0.436 
006999 	0.545 	0.129 	0.148 	0.443 
007000 	0.545 	0.123 	0.147 	0.454 
007001 	0.544 	0.130 	0.145 	0.445 
007002 	0.541 	0.126 	0.146 	0.450 
007003 	0.535 	0.127 	0.149 	0.448 
007004 	0.530 	0.126 	0.149 	0.445 
007005 	0.525 	0.126 	0.150 	0.446 
007006 	0.526 	0.123 	0.147 	0.449 
007007 	0.521 	0.123 	0.148 	0.452 
007008 	0.519 	0.119 	0.147 	0.457 
007009 	0.515 	0.114 	0.147 	0.463 
007010 	0.512 	0.121 	0.148 	0.449 
007011 	0.510 	0.118 	0.152 	0.446 
007012 	0.511 	0.117 	0.150 	0.435 
007013 	0.511 	0.115 	0.149 	0.432 
007014 	0.513 	0.117 	0.144 	0.447 
007015 	0.519 	0.124 	0.134 	0.451 
007016 	0.513 	0.128 	0.140 	0.445 
007017 	0.514 	0.153 	0.140 	0.424 
007018 	0.514 	0.160 	0.135 	0.412 
007019 	0.504 	0.131 	0.140 	0.441 
007020 	0.497 	0.142 	0.141 	0.433 
007021 	0.493 	0.127 	0.141 	0.453 
007022 	0.492 	0.122 	0.142 	0.460 
007023 	0.489 	0.126 	0.144 	0.446 
007024 	0.480 	0.123 	0.150 	0.445 
007025 	0.478 	0.119 	0.148 	0.460 
007026 	0.476 	0.125 	0.148 	0.455 
007027 	0.477 	0.120 	0.147 	0.460 
007028 	0.477 	0.120 	0.147 	0.460 
007029 	0.476 	0.122 	0.151 	0.445 
007030 	0.477 	0.122 	0.149 	0.443 
007031 	0.476 	0.123 	0.150 	0.449 
007032 	0.474 	0.122 	0.152 	0.451 
007033 	0.476 	0.123 	0.151 	0.450 
007034 	0.480 	0.125 	0.149 	0.452 
007035 	0.481 	0.120 	0.148 	0.453 
007036 	0.484 	0.116 	0.147 	0.458 
007037 	0.483 	0.118 	0.148 	0.454 
007038 	0.482 	0.122 	0.150 	0.447 
007039 	0.479 	0.122 	0.150 	0.445 
007040 	0.477 	0.124 	0.150 	0.442 
007041 	0.478 	0.123 	0.147 	0.442 
007042 	0.473 	0.120 	0.150 	0.452 
007043 	0.470 	0.121 	0.152 	0.445 
007044 	0.466 	0.124 	0.151 	0.450 
007045 	0.467 	0.119 	0.149 	0.461 
007046 	0.466 	0.125 	0.150 	0.454 
007047 	0.463 	0.117 	0.151 	0.460 
007048 	0.459 	0.117 	0.154 	0.460 
007049 	0.459 	0.109 	0.150 	0.462 
007050 	0.456 	0.105 	0.152 	0.466 
007051 	0.455 	0.099 	0.154 	0.470 
007052 	0.457 	0.103 	0.153 	0.466 
007053 	0.456 	0.096 	0.151 	0.459 
007054 	0.456 	0.100 	0.154 	0.465 
007055 	0.457 	0.103 	0.150 	0.461 
007056 	0.456 	0.105 	0.151 	0.470 
007057 	0.455 	0.110 	0.155 	0.469 
007058 	0.456 	0.115 	0.153 	0.470 
007059 	0.456 	0.121 	0.155 	0.468 
007060 	0.456 	0.121 	0.152 	0.464 
007061 	0.459 	0.116 	0.149 	0.459 
007062 	0.458 	0.112 	0.150 	0.454 
007063 	0.456 	0.113 	0.153 	0.425 
007064 	0.457 	0.092 	0.154 	0.438 
007065 	0.457 	0.092 	0.155 	0.438 
007066 	0.460 	0.094 	0.154 	0.431 
007067 	0.461 	0.092 	0.156 	0.431 
007068 	0.468 	0.093 	0.156 	0.425 
007069 	0.472 	0.099 	0.158 	0.412 
007070 	0.470 	0.097 	0.159 	0.417 
007071 	0.468 	0.094 	0.158 	0.417 
007072 	0.465 	0.091 	0.155 	0.412 
007073 	0.459 	0.084 	0.158 	0.422 
007074 	0.447 	0.085 	0.162 	0.421 
007075 	0.439 	0.085 	0.161 	0.420 
007076 	0.429 	0.091 	0.159 	0.427 
007077 	0.417 	0.090 	0.159 	0.434 
007078 	0.405 	0.089 	0.158 	0.431 
007079 	0.392 	0.081 	0.161 	0.435 
007080 	0.365 	0.079 	0.163 	0.446 
007081 	0.351 	0.083 	0.162 	0.423 
007082 	0.337 	0.076 	0.164 	0.443 
007083 	0.320 	0.082 	0.165 	0.430 
007084 	0.305 	0.080 	0.163 	0.437 
007085 	0.268 	0.065 	0.172 	0.461 
007086 	0.261 	0.064 	0.164 	0.467 
007087 	0.246 	0.064 	0.162 	0.456 
007088 	0.233 	0.059 	0.164 	0.458 
007089 	0.210 	0.042 	0.175 	0.484 
007090 	0.182 	0.053 	0.176 	0.456 
007091 	0.167 	0.054 	0.175 	0.458 
007092 	0.166 	0.070 	0.162 	0.435 
007093 	0.157 	0.074 	0.159 	0.437 
007094 	0.144 	0.082 	0.157 	0.431 
007095 	0.124 	0.091 	0.162 	0.436 
007096 	0.119 	0.103 	0.162 	0.431 
007097 	0.115 	0.096 	0.158 	0.434 
007098 	0.107 	0.091 	0.161 	0.426 
007099 	0.105 	0.082 	0.157 	0.430 
007100 	0.100 	0.071 	0.157 	0.430 
007101 	0.101 	0.070 	0.156 	0.430 
007102 	0.102 	0.068 	0.155 	0.433 
007103 	0.102 	0.069 	0.155 	0.433 
007104 	0.106 	0.074 	0.154 	0.432 
007105 	0.111 	0.065 	0.153 	0.442 
007106 	0.116 	0.064 	0.152 	0.447 
007107 	0.118 	0.064 	0.153 	0.445 
007108 	0.119 	0.068 	0.157 	0.438 
007109 	0.126 	0.067 	0.157 	0.440 

WORD START END ASDSCORE
YOUR 0.10 0.34 9.8
CARPETS 0.34 0.75 4.6
IT'S 0.75 0.88 6.0
EVERYWHERE 0.88 1.45 10.2
BUT 1.69 1.90 5.4
I 1.90 1.93 2.9
HAVE 2.35 2.56 8.1
TWO 2.56 2.73 5.8
GOOD 2.73 2.99 7.1
BOOKS 2.99 3.23 7.0
FOR 3.23 3.31 7.4
YOU 3.31 3.55 6.9
HE 4.11 4.30 5.8
HANDED 4.30 4.56 7.2
ME 4.56 4.65 8.2
THESE 4.65 4.78 8.1
TWO 4.78 4.96 6.3
BOOKS 4.96 5.36 5.6
THAT 5.49 5.76 1.7
LITERALLY 5.76 6.35 2.0
