Text:  NATURE HAS SOLVED MOST OF THE DESIGN PROBLEMS THAT WE HAVE TODAY WE JUST NEED TO LOOK 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
007540 	0.168 	0.111 	0.156 	0.440 
007541 	0.165 	0.109 	0.156 	0.440 
007542 	0.157 	0.110 	0.159 	0.432 
007543 	0.156 	0.110 	0.160 	0.428 
007544 	0.156 	0.106 	0.159 	0.428 
007545 	0.155 	0.102 	0.160 	0.430 
007546 	0.158 	0.098 	0.162 	0.436 
007547 	0.165 	0.089 	0.158 	0.445 
007548 	0.171 	0.091 	0.156 	0.448 
007549 	0.172 	0.094 	0.160 	0.449 
007550 	0.177 	0.096 	0.157 	0.432 
007551 	0.179 	0.096 	0.158 	0.428 
007552 	0.178 	0.100 	0.158 	0.413 
007553 	0.176 	0.094 	0.158 	0.425 
007554 	0.173 	0.097 	0.157 	0.417 
007555 	0.172 	0.096 	0.157 	0.421 
007556 	0.170 	0.093 	0.157 	0.423 
007557 	0.170 	0.089 	0.157 	0.429 
007558 	0.169 	0.090 	0.159 	0.429 
007559 	0.170 	0.088 	0.157 	0.432 
007560 	0.169 	0.089 	0.158 	0.432 
007561 	0.169 	0.087 	0.158 	0.439 
007562 	0.173 	0.089 	0.160 	0.423 
007563 	0.178 	0.086 	0.160 	0.423 
007564 	0.176 	0.070 	0.171 	0.444 
007565 	0.191 	0.088 	0.162 	0.424 
007566 	0.195 	0.088 	0.159 	0.422 
007567 	0.201 	0.085 	0.154 	0.444 
007568 	0.202 	0.085 	0.153 	0.449 
007569 	0.201 	0.086 	0.155 	0.442 
007570 	0.201 	0.089 	0.155 	0.434 
007571 	0.200 	0.089 	0.155 	0.426 
007572 	0.197 	0.087 	0.158 	0.417 
007573 	0.196 	0.087 	0.158 	0.416 
007574 	0.196 	0.087 	0.159 	0.415 
007575 	0.196 	0.083 	0.157 	0.431 
007576 	0.198 	0.083 	0.156 	0.436 
007577 	0.206 	0.083 	0.154 	0.433 
007578 	0.211 	0.080 	0.153 	0.434 
007579 	0.213 	0.081 	0.154 	0.436 
007580 	0.215 	0.082 	0.153 	0.430 
007581 	0.210 	0.084 	0.156 	0.427 
007582 	0.210 	0.082 	0.155 	0.425 
007583 	0.201 	0.083 	0.156 	0.438 
007584 	0.197 	0.085 	0.157 	0.436 
007585 	0.192 	0.085 	0.158 	0.426 
007586 	0.190 	0.082 	0.159 	0.430 
007587 	0.177 	0.067 	0.168 	0.453 
007588 	0.185 	0.080 	0.160 	0.433 
007589 	0.184 	0.080 	0.161 	0.431 
007590 	0.177 	0.065 	0.169 	0.452 
007591 	0.188 	0.082 	0.159 	0.429 
007592 	0.190 	0.082 	0.159 	0.429 
007593 	0.196 	0.077 	0.153 	0.449 
007594 	0.198 	0.080 	0.154 	0.447 
007595 	0.201 	0.086 	0.154 	0.437 
007596 	0.200 	0.094 	0.158 	0.421 
007597 	0.203 	0.094 	0.155 	0.413 
007598 	0.206 	0.084 	0.154 	0.427 
007599 	0.208 	0.080 	0.150 	0.440 
007600 	0.207 	0.084 	0.151 	0.438 
007601 	0.206 	0.081 	0.152 	0.439 
007602 	0.206 	0.084 	0.153 	0.432 
007603 	0.206 	0.083 	0.154 	0.431 
