Text:  AND THAT IS BECAUSE IT USES FORMALDEHYDE FOR THOSE WHO DON'T KNOW FORMALDEHYDE HAS BEEN LINKED TO CANCER SPECIFICALLY LEUKEMIA IT IS AN ENDOCRINE DISRUPTOR WHICH MEANS IT'S GOING TO MESS WITH YOUR HORMONES IT IS A 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
010851 	0.299 	0.093 	0.111 	0.326 
010852 	0.293 	0.091 	0.113 	0.330 
010853 	0.293 	0.087 	0.111 	0.340 
010854 	0.291 	0.082 	0.112 	0.352 
010855 	0.289 	0.076 	0.112 	0.358 
010856 	0.292 	0.079 	0.108 	0.352 
010857 	0.289 	0.071 	0.110 	0.342 
010858 	0.287 	0.071 	0.112 	0.339 
010859 	0.289 	0.069 	0.110 	0.346 
010860 	0.291 	0.067 	0.108 	0.349 
010861 	0.292 	0.067 	0.107 	0.345 
010862 	0.295 	0.068 	0.106 	0.332 
010863 	0.295 	0.073 	0.107 	0.325 
010864 	0.299 	0.075 	0.104 	0.318 
010865 	0.299 	0.075 	0.106 	0.317 
010866 	0.300 	0.083 	0.107 	0.305 
010867 	0.303 	0.085 	0.104 	0.312 
010868 	0.307 	0.087 	0.102 	0.311 
010869 	0.307 	0.081 	0.102 	0.320 
010870 	0.306 	0.083 	0.104 	0.321 
010871 	0.308 	0.083 	0.102 	0.320 
010872 	0.312 	0.087 	0.098 	0.317 
010873 	0.310 	0.084 	0.101 	0.317 
010874 	0.312 	0.085 	0.100 	0.316 
010875 	0.312 	0.085 	0.099 	0.317 
010876 	0.312 	0.086 	0.100 	0.313 
010877 	0.311 	0.085 	0.101 	0.316 
010878 	0.312 	0.088 	0.101 	0.311 
010879 	0.311 	0.088 	0.101 	0.311 
010880 	0.310 	0.083 	0.103 	0.318 
010881 	0.309 	0.087 	0.103 	0.323 
010882 	0.309 	0.086 	0.106 	0.322 
010883 	0.308 	0.084 	0.107 	0.325 
010884 	0.310 	0.085 	0.103 	0.323 
010885 	0.310 	0.086 	0.106 	0.325 
010886 	0.310 	0.082 	0.107 	0.327 
010887 	0.312 	0.082 	0.104 	0.330 
010888 	0.313 	0.081 	0.103 	0.340 
010889 	0.314 	0.083 	0.104 	0.340 
010890 	0.313 	0.084 	0.104 	0.338 
010891 	0.313 	0.085 	0.105 	0.333 
010892 	0.315 	0.092 	0.102 	0.322 
010893 	0.313 	0.088 	0.103 	0.336 
010894 	0.313 	0.092 	0.102 	0.334 
010895 	0.311 	0.087 	0.104 	0.344 
010896 	0.310 	0.087 	0.104 	0.339 
010897 	0.309 	0.089 	0.104 	0.342 
010898 	0.306 	0.088 	0.106 	0.338 
010899 	0.306 	0.091 	0.107 	0.337 
010900 	0.306 	0.087 	0.107 	0.336 
010901 	0.305 	0.086 	0.106 	0.338 
010902 	0.303 	0.085 	0.107 	0.339 
010903 	0.304 	0.085 	0.104 	0.337 
010904 	0.304 	0.087 	0.104 	0.334 
010905 	0.305 	0.088 	0.101 	0.333 
010906 	0.304 	0.090 	0.102 	0.332 
010907 	0.302 	0.092 	0.102 	0.332 
010908 	0.303 	0.093 	0.100 	0.331 
010909 	0.301 	0.091 	0.102 	0.332 
010910 	0.300 	0.093 	0.102 	0.332 
010911 	0.297 	0.092 	0.104 	0.333 
010912 	0.297 	0.089 	0.103 	0.335 
010913 	0.298 	0.088 	0.101 	0.336 
010914 	0.298 	0.087 	0.103 	0.337 
010915 	0.295 	0.081 	0.104 	0.345 
010916 	0.296 	0.083 	0.100 	0.336 
010917 	0.291 	0.078 	0.104 	0.345 
010918 	0.287 	0.078 	0.107 	0.327 
010919 	0.285 	0.079 	0.108 	0.327 
010920 	0.287 	0.084 	0.108 	0.318 
010921 	0.284 	0.086 	0.110 	0.314 
010922 	0.283 	0.086 	0.111 	0.314 
010923 	0.280 	0.085 	0.113 	0.320 
010924 	0.279 	0.089 	0.114 	0.315 
010925 	0.277 	0.088 	0.113 	0.320 
010926 	0.276 	0.097 	0.116 	0.312 
010927 	0.274 	0.093 	0.116 	0.318 
010928 	0.274 	0.101 	0.114 	0.312 
010929 	0.275 	0.102 	0.112 	0.312 
010930 	0.275 	0.105 	0.111 	0.318 
010931 	0.276 	0.103 	0.109 	0.320 
010932 	0.275 	0.108 	0.109 	0.313 
010933 	0.274 	0.113 	0.112 	0.308 
010934 	0.273 	0.112 	0.111 	0.309 
010935 	0.271 	0.108 	0.113 	0.319 
010936 	0.271 	0.103 	0.112 	0.327 
010937 	0.272 	0.097 	0.112 	0.331 
010938 	0.272 	0.091 	0.113 	0.331 
010939 	0.274 	0.087 	0.110 	0.334 
010940 	0.275 	0.083 	0.110 	0.329 
010941 	0.276 	0.083 	0.110 	0.321 
010942 	0.275 	0.082 	0.113 	0.320 
010943 	0.276 	0.075 	0.116 	0.328 
010944 	0.286 	0.078 	0.110 	0.327 
010945 	0.295 	0.082 	0.107 	0.321 
010946 	0.295 	0.078 	0.114 	0.326 
010947 	0.303 	0.079 	0.110 	0.333 
010948 	0.315 	0.069 	0.115 	0.339 
010949 	0.323 	0.081 	0.111 	0.321 
010950 	0.331 	0.074 	0.107 	0.320 
010951 	0.336 	0.067 	0.109 	0.330 
010952 	0.344 	0.063 	0.105 	0.338 
010953 	0.361 	0.064 	0.104 	0.345 
010954 	0.365 	0.060 	0.106 	0.344 
010955 	0.372 	0.060 	0.106 	0.336 
010956 	0.378 	0.074 	0.103 	0.316 
010957 	0.383 	0.068 	0.104 	0.316 
010958 	0.388 	0.075 	0.107 	0.323 
010959 	0.400 	0.077 	0.100 	0.325 
010960 	0.404 	0.078 	0.102 	0.319 
010961 	0.409 	0.076 	0.102 	0.321 
010962 	0.414 	0.076 	0.103 	0.323 
010963 	0.419 	0.081 	0.105 	0.317 
010964 	0.419 	0.077 	0.106 	0.319 
010965 	0.423 	0.081 	0.104 	0.308 
010966 	0.422 	0.078 	0.106 	0.311 
010967 	0.426 	0.082 	0.105 	0.309 
010968 	0.426 	0.080 	0.107 	0.313 
010969 	0.427 	0.080 	0.108 	0.311 
010970 	0.427 	0.084 	0.106 	0.308 
010971 	0.427 	0.084 	0.106 	0.306 
010972 	0.427 	0.082 	0.107 	0.308 
010973 	0.427 	0.085 	0.107 	0.304 
010974 	0.427 	0.085 	0.108 	0.304 
010975 	0.428 	0.086 	0.108 	0.304 
010976 	0.430 	0.085 	0.107 	0.306 
010977 	0.433 	0.088 	0.106 	0.305 
010978 	0.435 	0.084 	0.106 	0.317 
010979 	0.435 	0.084 	0.106 	0.319 
010980 	0.434 	0.085 	0.109 	0.321 
010981 	0.433 	0.093 	0.110 	0.310 
010982 	0.438 	0.092 	0.105 	0.308 
010983 	0.439 	0.091 	0.105 	0.328 
010984 	0.442 	0.096 	0.102 	0.325 
010985 	0.441 	0.094 	0.105 	0.331 
010986 	0.447 	0.096 	0.101 	0.331 
010987 	0.448 	0.098 	0.101 	0.327 
010988 	0.451 	0.097 	0.100 	0.314 
010989 	0.451 	0.097 	0.101 	0.313 
010990 	0.454 	0.097 	0.101 	0.312 
010991 	0.454 	0.097 	0.101 	0.313 
010992 	0.455 	0.098 	0.100 	0.312 
010993 	0.454 	0.099 	0.102 	0.312 
010994 	0.454 	0.097 	0.101 	0.313 
010995 	0.451 	0.096 	0.104 	0.314 
010996 	0.451 	0.095 	0.105 	0.314 
