Text:  AND AGAIN WE USE A MILLION METRIC TONS OF THIS A YEAR WHICH IS PARTICULARLY BAD IF YOU WORK 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
011302 	0.441 	0.218 	0.074 	0.205 
011303 	0.444 	0.220 	0.079 	0.204 
011304 	0.445 	0.218 	0.079 	0.205 
011305 	0.447 	0.217 	0.078 	0.208 
011306 	0.448 	0.218 	0.078 	0.206 
011307 	0.449 	0.214 	0.079 	0.211 
011308 	0.449 	0.215 	0.078 	0.211 
011309 	0.450 	0.215 	0.078 	0.210 
011310 	0.452 	0.216 	0.075 	0.212 
011311 	0.453 	0.218 	0.073 	0.209 
011312 	0.454 	0.215 	0.073 	0.211 
011313 	0.454 	0.214 	0.072 	0.215 
011314 	0.455 	0.216 	0.071 	0.214 
011315 	0.456 	0.217 	0.068 	0.217 
011316 	0.458 	0.214 	0.065 	0.218 
011317 	0.457 	0.217 	0.067 	0.216 
011318 	0.458 	0.214 	0.068 	0.218 
011319 	0.459 	0.217 	0.070 	0.208 
011320 	0.460 	0.215 	0.068 	0.210 
011321 	0.458 	0.212 	0.070 	0.214 
011322 	0.459 	0.214 	0.072 	0.210 
011323 	0.460 	0.215 	0.072 	0.206 
011324 	0.461 	0.216 	0.072 	0.204 
011325 	0.462 	0.217 	0.072 	0.201 
011326 	0.463 	0.216 	0.072 	0.197 
011327 	0.463 	0.216 	0.073 	0.198 
011328 	0.464 	0.215 	0.073 	0.200 
011329 	0.463 	0.213 	0.072 	0.205 
011330 	0.463 	0.213 	0.073 	0.207 
011331 	0.462 	0.212 	0.075 	0.207 
011332 	0.462 	0.212 	0.075 	0.206 
011333 	0.462 	0.213 	0.075 	0.207 
011334 	0.462 	0.212 	0.075 	0.209 
011335 	0.462 	0.216 	0.076 	0.205 
011336 	0.463 	0.217 	0.076 	0.206 
011337 	0.462 	0.215 	0.077 	0.208 
011338 	0.462 	0.215 	0.078 	0.207 
011339 	0.463 	0.215 	0.078 	0.208 
011340 	0.462 	0.212 	0.078 	0.207 
011341 	0.462 	0.213 	0.077 	0.208 
011342 	0.462 	0.212 	0.078 	0.208 
011343 	0.463 	0.210 	0.078 	0.208 
011344 	0.462 	0.211 	0.079 	0.206 
011345 	0.463 	0.211 	0.078 	0.203 
011346 	0.463 	0.211 	0.078 	0.205 
011347 	0.463 	0.210 	0.078 	0.204 
011348 	0.463 	0.210 	0.078 	0.206 
011349 	0.463 	0.209 	0.079 	0.207 
011350 	0.464 	0.209 	0.078 	0.206 
011351 	0.463 	0.209 	0.079 	0.205 
011352 	0.463 	0.209 	0.079 	0.205 
011353 	0.463 	0.208 	0.079 	0.205 
011354 	0.464 	0.208 	0.078 	0.207 
