Text:  HIS PARTNER DR MEGAN SCHWARZMAN RUN A CLASS CALLED GREENER SOLUTIONS 
Conf:  2
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
011678 	0.245 	0.113 	0.094 	0.249 
011679 	0.244 	0.112 	0.093 	0.253 
011680 	0.243 	0.113 	0.093 	0.251 
011681 	0.242 	0.114 	0.093 	0.250 
011682 	0.239 	0.115 	0.095 	0.248 
011683 	0.238 	0.115 	0.096 	0.246 
011684 	0.239 	0.113 	0.094 	0.253 
011685 	0.238 	0.113 	0.095 	0.251 
011686 	0.238 	0.113 	0.095 	0.248 
011687 	0.239 	0.110 	0.094 	0.250 
011688 	0.239 	0.109 	0.092 	0.253 
011689 	0.239 	0.112 	0.094 	0.251 
011690 	0.240 	0.113 	0.094 	0.252 
011691 	0.240 	0.113 	0.094 	0.250 
011692 	0.239 	0.113 	0.096 	0.250 
011693 	0.240 	0.114 	0.095 	0.247 
011694 	0.239 	0.113 	0.095 	0.248 
011695 	0.239 	0.113 	0.096 	0.249 
011696 	0.240 	0.113 	0.096 	0.250 
011697 	0.240 	0.114 	0.095 	0.252 
011698 	0.240 	0.113 	0.096 	0.253 
011699 	0.240 	0.113 	0.095 	0.254 
011700 	0.240 	0.114 	0.095 	0.253 
011701 	0.240 	0.114 	0.095 	0.251 
011702 	0.240 	0.116 	0.095 	0.249 
011703 	0.241 	0.115 	0.095 	0.251 
011704 	0.241 	0.115 	0.096 	0.248 
011705 	0.241 	0.115 	0.096 	0.246 
011706 	0.241 	0.115 	0.096 	0.245 
011707 	0.240 	0.115 	0.097 	0.246 
011708 	0.240 	0.114 	0.096 	0.252 
011709 	0.241 	0.114 	0.095 	0.249 
011710 	0.242 	0.113 	0.095 	0.245 
011711 	0.244 	0.112 	0.095 	0.248 
011712 	0.244 	0.110 	0.094 	0.249 
011713 	0.244 	0.111 	0.093 	0.249 
011714 	0.244 	0.111 	0.092 	0.247 
011715 	0.242 	0.111 	0.093 	0.244 
011716 	0.241 	0.110 	0.093 	0.253 
011717 	0.240 	0.112 	0.093 	0.256 
011718 	0.239 	0.113 	0.094 	0.256 
011719 	0.238 	0.113 	0.095 	0.254 
011720 	0.236 	0.114 	0.097 	0.254 
011721 	0.235 	0.116 	0.097 	0.252 
011722 	0.234 	0.117 	0.095 	0.252 
011723 	0.233 	0.117 	0.096 	0.253 
011724 	0.233 	0.117 	0.096 	0.253 
011725 	0.233 	0.117 	0.096 	0.255 
011726 	0.233 	0.117 	0.096 	0.251 
011727 	0.232 	0.116 	0.096 	0.251 
011728 	0.232 	0.117 	0.096 	0.249 
011729 	0.233 	0.116 	0.095 	0.252 
011730 	0.232 	0.117 	0.096 	0.249 
011731 	0.232 	0.116 	0.096 	0.249 
011732 	0.231 	0.115 	0.097 	0.250 
011733 	0.231 	0.113 	0.097 	0.252 
011734 	0.231 	0.113 	0.098 	0.250 
011735 	0.230 	0.112 	0.099 	0.252 
011736 	0.230 	0.112 	0.098 	0.253 
011737 	0.230 	0.109 	0.098 	0.256 
011738 	0.231 	0.110 	0.098 	0.257 
011739 	0.231 	0.109 	0.098 	0.253 
011740 	0.232 	0.110 	0.097 	0.247 
011741 	0.231 	0.108 	0.097 	0.249 
011742 	0.233 	0.106 	0.095 	0.247 
011743 	0.233 	0.105 	0.095 	0.247 
011744 	0.233 	0.105 	0.095 	0.252 
011745 	0.234 	0.106 	0.096 	0.258 
011746 	0.235 	0.107 	0.095 	0.259 
011747 	0.235 	0.110 	0.097 	0.254 
011748 	0.236 	0.110 	0.096 	0.250 
011749 	0.236 	0.111 	0.097 	0.246 
011750 	0.237 	0.111 	0.098 	0.245 
011751 	0.238 	0.110 	0.097 	0.246 
011752 	0.239 	0.111 	0.097 	0.244 
011753 	0.239 	0.110 	0.097 	0.246 
011754 	0.238 	0.110 	0.097 	0.245 
011755 	0.239 	0.109 	0.096 	0.247 
011756 	0.239 	0.108 	0.096 	0.248 
011757 	0.240 	0.107 	0.095 	0.251 
011758 	0.240 	0.105 	0.094 	0.252 
011759 	0.239 	0.107 	0.094 	0.253 
011760 	0.240 	0.108 	0.092 	0.252 
011761 	0.241 	0.107 	0.090 	0.250 
011762 	0.242 	0.108 	0.091 	0.250 
011763 	0.241 	0.107 	0.092 	0.245 
011764 	0.242 	0.105 	0.092 	0.252 
011765 	0.241 	0.105 	0.093 	0.251 
011766 	0.240 	0.105 	0.094 	0.248 
011767 	0.240 	0.106 	0.094 	0.245 
011768 	0.239 	0.101 	0.095 	0.246 
011769 	0.239 	0.102 	0.096 	0.246 
011770 	0.240 	0.101 	0.094 	0.248 
011771 	0.239 	0.102 	0.096 	0.246 
011772 	0.238 	0.105 	0.097 	0.251 
011773 	0.235 	0.109 	0.099 	0.251 
011774 	0.234 	0.112 	0.099 	0.250 
011775 	0.233 	0.112 	0.098 	0.254 
011776 	0.232 	0.113 	0.100 	0.252 
011777 	0.233 	0.111 	0.098 	0.254 
011778 	0.234 	0.112 	0.099 	0.253 
011779 	0.233 	0.111 	0.100 	0.254 
011780 	0.233 	0.113 	0.100 	0.251 
011781 	0.233 	0.113 	0.101 	0.251 
011782 	0.233 	0.112 	0.100 	0.252 
011783 	0.233 	0.111 	0.100 	0.251 
011784 	0.234 	0.112 	0.100 	0.249 

WORD START END ASDSCORE
HIS 0.07 0.22 4.5
PARTNER 0.26 0.67 6.1
DR 1.01 1.29 8.5
MEGAN 1.29 1.67 10.0
SCHWARZMAN 1.67 2.17 10.3
RUN 2.17 2.32 8.8
A 2.32 2.36 7.2
CLASS 2.36 2.94 9.5
CALLED 2.94 3.22 8.0
GREENER 3.22 3.50 8.1
SOLUTIONS 3.50 4.16 4.8
