Text:  LET ME FIRST TELL YOU HOW A WRINKLE FORMS THIS YOUR LITTLE TECHNICAL LESSON FOR TODAY SO PRETEND THESE ARE YOUR FIBERS IN 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
012027 	0.210 	0.129 	0.099 	0.250 
012028 	0.210 	0.128 	0.097 	0.252 
012029 	0.211 	0.124 	0.097 	0.255 
012030 	0.211 	0.124 	0.098 	0.252 
012031 	0.211 	0.125 	0.098 	0.251 
012032 	0.211 	0.123 	0.099 	0.251 
012033 	0.212 	0.124 	0.097 	0.253 
012034 	0.212 	0.127 	0.097 	0.255 
012035 	0.214 	0.127 	0.097 	0.254 
012036 	0.214 	0.127 	0.096 	0.257 
012037 	0.212 	0.129 	0.097 	0.255 
012038 	0.211 	0.132 	0.098 	0.253 
012039 	0.207 	0.137 	0.098 	0.248 
012040 	0.204 	0.140 	0.099 	0.242 
012041 	0.203 	0.143 	0.100 	0.240 
012042 	0.201 	0.142 	0.100 	0.238 
012043 	0.201 	0.142 	0.100 	0.241 
012044 	0.202 	0.134 	0.098 	0.248 
012045 	0.200 	0.134 	0.099 	0.244 
012046 	0.199 	0.131 	0.097 	0.250 
012047 	0.198 	0.126 	0.096 	0.255 
012048 	0.197 	0.126 	0.093 	0.259 
012049 	0.195 	0.118 	0.090 	0.263 
012050 	0.195 	0.118 	0.089 	0.263 
012051 	0.194 	0.120 	0.089 	0.261 
012052 	0.191 	0.124 	0.094 	0.253 
012053 	0.191 	0.125 	0.095 	0.247 
012054 	0.188 	0.126 	0.095 	0.245 
012055 	0.186 	0.124 	0.094 	0.248 
012056 	0.186 	0.123 	0.095 	0.250 
012057 	0.186 	0.123 	0.094 	0.249 
012058 	0.186 	0.121 	0.095 	0.249 
012059 	0.190 	0.118 	0.095 	0.252 
012060 	0.191 	0.120 	0.096 	0.250 
012061 	0.191 	0.120 	0.096 	0.251 
012062 	0.191 	0.120 	0.095 	0.249 
012063 	0.190 	0.120 	0.095 	0.249 
012064 	0.192 	0.122 	0.096 	0.251 
012065 	0.193 	0.123 	0.095 	0.254 
012066 	0.196 	0.120 	0.091 	0.262 
012067 	0.195 	0.123 	0.095 	0.260 
012068 	0.196 	0.126 	0.094 	0.256 
012069 	0.197 	0.125 	0.095 	0.253 
012070 	0.196 	0.126 	0.097 	0.248 
012071 	0.195 	0.124 	0.097 	0.247 
012072 	0.194 	0.123 	0.098 	0.245 
012073 	0.195 	0.123 	0.099 	0.244 
012074 	0.193 	0.121 	0.100 	0.245 
012075 	0.191 	0.116 	0.099 	0.250 
012076 	0.189 	0.115 	0.097 	0.249 
012077 	0.184 	0.115 	0.099 	0.251 
012078 	0.181 	0.114 	0.100 	0.249 
012079 	0.179 	0.111 	0.102 	0.250 
012080 	0.181 	0.111 	0.101 	0.249 
012081 	0.183 	0.111 	0.101 	0.244 
012082 	0.187 	0.111 	0.100 	0.245 
012083 	0.191 	0.110 	0.100 	0.242 
012084 	0.195 	0.108 	0.099 	0.247 
012085 	0.208 	0.102 	0.099 	0.254 
012086 	0.212 	0.103 	0.101 	0.251 
012087 	0.221 	0.103 	0.101 	0.251 
012088 	0.228 	0.101 	0.100 	0.251 
012089 	0.238 	0.102 	0.097 	0.250 
012090 	0.256 	0.095 	0.101 	0.255 
012091 	0.268 	0.095 	0.095 	0.255 
012092 	0.277 	0.093 	0.094 	0.259 
012093 	0.284 	0.096 	0.093 	0.256 
012094 	0.291 	0.098 	0.094 	0.250 
012095 	0.306 	0.097 	0.096 	0.251 
012096 	0.314 	0.096 	0.095 	0.251 
012097 	0.321 	0.096 	0.093 	0.251 
012098 	0.329 	0.094 	0.095 	0.253 
012099 	0.335 	0.097 	0.094 	0.252 
012100 	0.353 	0.095 	0.089 	0.252 
012101 	0.358 	0.098 	0.094 	0.247 
012102 	0.364 	0.096 	0.094 	0.251 
012103 	0.370 	0.093 	0.094 	0.259 
012104 	0.375 	0.092 	0.094 	0.260 
012105 	0.384 	0.096 	0.096 	0.253 
012106 	0.389 	0.098 	0.096 	0.252 
012107 	0.394 	0.098 	0.097 	0.249 
012108 	0.398 	0.096 	0.094 	0.252 
012109 	0.406 	0.093 	0.091 	0.251 
012110 	0.413 	0.095 	0.095 	0.250 
012111 	0.416 	0.093 	0.096 	0.250 
012112 	0.419 	0.090 	0.096 	0.256 
012113 	0.420 	0.089 	0.096 	0.258 
012114 	0.420 	0.088 	0.097 	0.260 
012115 	0.419 	0.090 	0.098 	0.255 
012116 	0.419 	0.088 	0.098 	0.256 
012117 	0.418 	0.085 	0.098 	0.260 
012118 	0.418 	0.085 	0.098 	0.261 
012119 	0.416 	0.084 	0.098 	0.260 
012120 	0.412 	0.084 	0.095 	0.260 
012121 	0.409 	0.086 	0.093 	0.259 
012122 	0.405 	0.086 	0.093 	0.260 
012123 	0.400 	0.087 	0.095 	0.259 
