Text:  THEY ARE CROSSLINKED TOGETHER BY HYDROGEN BONDS BUT THOSE ARE WEAK BONDS AND WHEN THEY ARE EXPOSED TO 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
012218 	0.244 	0.090 	0.128 	0.322 
012219 	0.244 	0.092 	0.124 	0.318 
012220 	0.241 	0.091 	0.126 	0.321 
012221 	0.241 	0.092 	0.123 	0.321 
012222 	0.236 	0.093 	0.126 	0.322 
012223 	0.237 	0.092 	0.124 	0.325 
012224 	0.235 	0.092 	0.125 	0.327 
012225 	0.234 	0.089 	0.124 	0.324 
012226 	0.234 	0.089 	0.123 	0.327 
012227 	0.234 	0.090 	0.123 	0.325 
012228 	0.234 	0.093 	0.122 	0.321 
012229 	0.235 	0.092 	0.121 	0.322 
012230 	0.235 	0.092 	0.121 	0.323 
012231 	0.236 	0.092 	0.120 	0.321 
012232 	0.234 	0.091 	0.122 	0.321 
012233 	0.234 	0.094 	0.122 	0.316 
012234 	0.233 	0.095 	0.123 	0.315 
012235 	0.234 	0.102 	0.123 	0.311 
012236 	0.236 	0.106 	0.119 	0.308 
012237 	0.235 	0.109 	0.122 	0.308 
012238 	0.235 	0.110 	0.122 	0.308 
012239 	0.235 	0.109 	0.121 	0.314 
012240 	0.233 	0.112 	0.122 	0.314 
012241 	0.231 	0.111 	0.124 	0.315 
012242 	0.231 	0.112 	0.125 	0.315 
012243 	0.231 	0.113 	0.125 	0.315 
012244 	0.232 	0.113 	0.123 	0.314 
012245 	0.234 	0.114 	0.121 	0.314 
012246 	0.235 	0.112 	0.121 	0.317 
012247 	0.236 	0.114 	0.119 	0.316 
012248 	0.235 	0.113 	0.121 	0.316 
012249 	0.235 	0.113 	0.121 	0.316 
012250 	0.236 	0.114 	0.120 	0.316 
012251 	0.236 	0.115 	0.120 	0.312 
012252 	0.235 	0.116 	0.121 	0.312 
012253 	0.235 	0.114 	0.120 	0.315 
012254 	0.234 	0.112 	0.120 	0.320 
012255 	0.233 	0.110 	0.121 	0.324 
012256 	0.232 	0.110 	0.121 	0.326 
012257 	0.231 	0.110 	0.123 	0.319 
012258 	0.231 	0.109 	0.122 	0.316 
012259 	0.230 	0.108 	0.121 	0.316 
012260 	0.230 	0.111 	0.122 	0.308 
012261 	0.232 	0.109 	0.120 	0.314 
012262 	0.231 	0.108 	0.122 	0.316 
012263 	0.231 	0.106 	0.123 	0.322 
012264 	0.231 	0.108 	0.123 	0.319 
012265 	0.231 	0.107 	0.122 	0.321 
012266 	0.230 	0.105 	0.124 	0.313 
012267 	0.230 	0.104 	0.124 	0.313 
012268 	0.230 	0.103 	0.123 	0.314 
012269 	0.230 	0.103 	0.123 	0.313 
012270 	0.230 	0.102 	0.124 	0.314 
012271 	0.229 	0.102 	0.123 	0.312 
012272 	0.229 	0.104 	0.124 	0.312 
012273 	0.230 	0.104 	0.123 	0.312 
012274 	0.229 	0.102 	0.125 	0.316 
012275 	0.229 	0.100 	0.123 	0.324 
012276 	0.229 	0.098 	0.123 	0.330 
012277 	0.229 	0.098 	0.122 	0.332 
012278 	0.228 	0.099 	0.123 	0.326 
012279 	0.228 	0.101 	0.122 	0.318 
012280 	0.229 	0.100 	0.121 	0.318 
012281 	0.229 	0.101 	0.121 	0.317 
012282 	0.228 	0.102 	0.123 	0.317 
012283 	0.229 	0.101 	0.122 	0.317 
012284 	0.228 	0.100 	0.122 	0.316 
012285 	0.229 	0.101 	0.122 	0.316 
012286 	0.229 	0.100 	0.122 	0.320 
012287 	0.228 	0.099 	0.123 	0.321 
012288 	0.229 	0.098 	0.121 	0.323 
012289 	0.230 	0.097 	0.121 	0.326 
012290 	0.231 	0.099 	0.120 	0.320 
012291 	0.230 	0.102 	0.121 	0.315 
012292 	0.230 	0.101 	0.121 	0.315 
012293 	0.229 	0.097 	0.122 	0.326 
012294 	0.228 	0.094 	0.122 	0.328 
012295 	0.228 	0.093 	0.123 	0.328 
012296 	0.231 	0.091 	0.121 	0.333 
012297 	0.232 	0.091 	0.119 	0.333 
012298 	0.230 	0.090 	0.122 	0.337 
012299 	0.232 	0.091 	0.118 	0.336 
012300 	0.232 	0.095 	0.117 	0.327 
012301 	0.228 	0.096 	0.121 	0.322 
012302 	0.228 	0.094 	0.122 	0.323 
012303 	0.232 	0.094 	0.119 	0.320 
012304 	0.231 	0.095 	0.121 	0.316 
012305 	0.231 	0.094 	0.120 	0.322 
012306 	0.233 	0.098 	0.120 	0.319 
012307 	0.235 	0.103 	0.118 	0.315 
012308 	0.233 	0.103 	0.119 	0.314 
012309 	0.233 	0.103 	0.119 	0.315 
012310 	0.234 	0.102 	0.117 	0.316 
012311 	0.235 	0.102 	0.117 	0.319 
012312 	0.234 	0.100 	0.118 	0.324 
012313 	0.235 	0.102 	0.117 	0.316 
012314 	0.234 	0.103 	0.117 	0.313 
012315 	0.233 	0.104 	0.119 	0.310 
012316 	0.233 	0.105 	0.119 	0.308 
012317 	0.233 	0.103 	0.119 	0.311 
012318 	0.232 	0.102 	0.120 	0.312 
012319 	0.231 	0.100 	0.121 	0.316 
012320 	0.229 	0.099 	0.124 	0.317 
012321 	0.228 	0.098 	0.124 	0.319 
012322 	0.228 	0.099 	0.123 	0.319 
012323 	0.227 	0.099 	0.123 	0.319 
012324 	0.226 	0.099 	0.123 	0.319 
012325 	0.228 	0.100 	0.120 	0.320 
012326 	0.227 	0.101 	0.121 	0.318 
012327 	0.227 	0.100 	0.120 	0.317 
012328 	0.225 	0.100 	0.122 	0.318 
012329 	0.224 	0.101 	0.122 	0.318 
012330 	0.222 	0.099 	0.123 	0.320 
012331 	0.222 	0.101 	0.123 	0.320 
012332 	0.221 	0.100 	0.123 	0.321 
012333 	0.223 	0.100 	0.122 	0.320 
012334 	0.221 	0.096 	0.123 	0.323 
012335 	0.221 	0.093 	0.122 	0.323 
012336 	0.223 	0.090 	0.121 	0.323 
012337 	0.226 	0.087 	0.118 	0.326 
012338 	0.223 	0.084 	0.121 	0.327 
012339 	0.223 	0.086 	0.121 	0.323 
012340 	0.224 	0.091 	0.119 	0.319 
012341 	0.225 	0.088 	0.117 	0.325 
012342 	0.223 	0.088 	0.117 	0.322 
012343 	0.224 	0.088 	0.117 	0.318 
012344 	0.223 	0.093 	0.119 	0.312 
012345 	0.223 	0.095 	0.119 	0.309 
012346 	0.226 	0.093 	0.116 	0.312 
