Text:  THAT FUNCTION AGAIN IS CROSSLINKING SO WHAT WE TRYING TO DO NOW IS FIGURE OUT HOW DO WE ACHIEVE CROSSLINKING 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
012764 	0.412 	0.105 	0.097 	0.256 
012765 	0.403 	0.105 	0.096 	0.255 
012766 	0.396 	0.105 	0.098 	0.254 
012767 	0.389 	0.100 	0.097 	0.257 
012768 	0.384 	0.101 	0.095 	0.253 
012769 	0.373 	0.098 	0.096 	0.254 
012770 	0.370 	0.099 	0.096 	0.250 
012771 	0.366 	0.097 	0.097 	0.260 
012772 	0.362 	0.097 	0.095 	0.264 
012773 	0.358 	0.103 	0.094 	0.252 
012774 	0.352 	0.112 	0.093 	0.252 
012775 	0.349 	0.114 	0.093 	0.252 
012776 	0.345 	0.116 	0.094 	0.252 
012777 	0.342 	0.117 	0.096 	0.250 
012778 	0.338 	0.121 	0.097 	0.251 
012779 	0.333 	0.130 	0.097 	0.248 
012780 	0.331 	0.132 	0.097 	0.250 
012781 	0.330 	0.136 	0.099 	0.249 
012782 	0.330 	0.136 	0.098 	0.252 
012783 	0.330 	0.135 	0.100 	0.252 
012784 	0.330 	0.134 	0.098 	0.251 
012785 	0.330 	0.133 	0.099 	0.252 
012786 	0.330 	0.130 	0.099 	0.253 
012787 	0.331 	0.130 	0.098 	0.249 
012788 	0.331 	0.128 	0.098 	0.251 
012789 	0.332 	0.121 	0.096 	0.263 
012790 	0.332 	0.122 	0.097 	0.256 
012791 	0.332 	0.122 	0.099 	0.251 
012792 	0.333 	0.121 	0.100 	0.251 
012793 	0.332 	0.120 	0.100 	0.248 
012794 	0.334 	0.117 	0.098 	0.249 
012795 	0.336 	0.111 	0.096 	0.254 
012796 	0.337 	0.109 	0.096 	0.256 
012797 	0.338 	0.106 	0.094 	0.258 
012798 	0.339 	0.104 	0.094 	0.259 
012799 	0.341 	0.106 	0.093 	0.255 
012800 	0.341 	0.105 	0.093 	0.257 
012801 	0.341 	0.106 	0.093 	0.256 
012802 	0.342 	0.103 	0.092 	0.265 
012803 	0.344 	0.104 	0.093 	0.264 
012804 	0.345 	0.108 	0.093 	0.254 
012805 	0.346 	0.107 	0.094 	0.253 
012806 	0.348 	0.106 	0.094 	0.249 
012807 	0.349 	0.105 	0.093 	0.251 
012808 	0.350 	0.105 	0.093 	0.252 
012809 	0.352 	0.105 	0.093 	0.249 
012810 	0.352 	0.104 	0.094 	0.251 
012811 	0.353 	0.105 	0.093 	0.252 
012812 	0.354 	0.105 	0.092 	0.253 
012813 	0.355 	0.107 	0.093 	0.252 
012814 	0.354 	0.107 	0.093 	0.254 
012815 	0.354 	0.107 	0.092 	0.254 
012816 	0.352 	0.106 	0.094 	0.254 
012817 	0.351 	0.106 	0.093 	0.253 
012818 	0.350 	0.107 	0.093 	0.252 
012819 	0.346 	0.104 	0.095 	0.252 
012820 	0.343 	0.102 	0.097 	0.250 
012821 	0.339 	0.100 	0.096 	0.253 
012822 	0.336 	0.097 	0.096 	0.254 
012823 	0.331 	0.097 	0.096 	0.253 
012824 	0.322 	0.095 	0.094 	0.256 
012825 	0.317 	0.095 	0.095 	0.250 
012826 	0.310 	0.093 	0.095 	0.252 
012827 	0.305 	0.093 	0.091 	0.252 
012828 	0.299 	0.091 	0.090 	0.253 
012829 	0.285 	0.090 	0.094 	0.260 
012830 	0.279 	0.094 	0.096 	0.250 
012831 	0.274 	0.094 	0.094 	0.257 
012832 	0.269 	0.094 	0.092 	0.265 
012833 	0.263 	0.097 	0.095 	0.262 
012834 	0.252 	0.108 	0.092 	0.252 
012835 	0.245 	0.112 	0.091 	0.249 
012836 	0.238 	0.112 	0.096 	0.252 
012837 	0.233 	0.118 	0.096 	0.251 
012838 	0.229 	0.124 	0.095 	0.250 
012839 	0.223 	0.139 	0.096 	0.251 
012840 	0.215 	0.149 	0.096 	0.254 
012841 	0.212 	0.152 	0.097 	0.254 
012842 	0.210 	0.158 	0.098 	0.249 
012843 	0.209 	0.161 	0.099 	0.247 
012844 	0.208 	0.161 	0.097 	0.247 
012845 	0.209 	0.160 	0.096 	0.247 
012846 	0.208 	0.158 	0.097 	0.246 
012847 	0.208 	0.159 	0.096 	0.244 
012848 	0.208 	0.157 	0.096 	0.244 
012849 	0.209 	0.155 	0.095 	0.247 
012850 	0.209 	0.154 	0.095 	0.244 
012851 	0.208 	0.153 	0.095 	0.245 
