Text:  THE PROBLEM IS THAT MOST PEOPLE DON'T KNOW WHAT TO DO WITH THIS QUESTION THIS IS THE BIOLOGIZED QUESTION HOW DOES NATURE CROSSLINK 
Conf:  3
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
013027 	0.208 	0.111 	0.097 	0.252 
013028 	0.206 	0.113 	0.098 	0.252 
013029 	0.206 	0.112 	0.098 	0.254 
013030 	0.203 	0.115 	0.098 	0.249 
013031 	0.202 	0.117 	0.098 	0.245 
013032 	0.200 	0.117 	0.097 	0.248 
013033 	0.199 	0.115 	0.099 	0.250 
013034 	0.196 	0.116 	0.099 	0.250 
013035 	0.191 	0.113 	0.095 	0.257 
013036 	0.191 	0.116 	0.095 	0.259 
013037 	0.189 	0.119 	0.096 	0.256 
013038 	0.188 	0.119 	0.097 	0.253 
013039 	0.186 	0.120 	0.098 	0.247 
013040 	0.189 	0.116 	0.097 	0.249 
013041 	0.189 	0.114 	0.097 	0.248 
013042 	0.190 	0.113 	0.097 	0.250 
013043 	0.190 	0.110 	0.096 	0.251 
013044 	0.190 	0.109 	0.096 	0.246 
013045 	0.189 	0.107 	0.098 	0.245 
013046 	0.189 	0.108 	0.098 	0.244 
013047 	0.190 	0.108 	0.098 	0.244 
013048 	0.191 	0.108 	0.097 	0.248 
013049 	0.191 	0.107 	0.097 	0.250 
013050 	0.191 	0.106 	0.098 	0.246 
013051 	0.192 	0.108 	0.095 	0.252 
013052 	0.192 	0.108 	0.095 	0.255 
013053 	0.192 	0.110 	0.094 	0.255 
013054 	0.191 	0.112 	0.095 	0.252 
013055 	0.191 	0.113 	0.096 	0.248 
013056 	0.192 	0.111 	0.098 	0.245 
013057 	0.194 	0.110 	0.098 	0.247 
013058 	0.195 	0.108 	0.097 	0.246 
013059 	0.197 	0.107 	0.098 	0.249 
013060 	0.201 	0.109 	0.097 	0.246 
013061 	0.201 	0.106 	0.096 	0.249 
013062 	0.203 	0.106 	0.096 	0.251 
013063 	0.203 	0.106 	0.095 	0.254 
013064 	0.204 	0.107 	0.095 	0.255 
013065 	0.204 	0.108 	0.095 	0.253 
013066 	0.203 	0.109 	0.096 	0.254 
013067 	0.203 	0.110 	0.096 	0.252 
013068 	0.201 	0.109 	0.098 	0.252 
013069 	0.200 	0.111 	0.097 	0.252 
013070 	0.201 	0.112 	0.097 	0.258 
013071 	0.201 	0.111 	0.097 	0.259 
013072 	0.202 	0.111 	0.096 	0.259 
013073 	0.203 	0.108 	0.096 	0.260 
013074 	0.205 	0.109 	0.096 	0.261 
013075 	0.205 	0.109 	0.098 	0.255 
013076 	0.205 	0.109 	0.100 	0.251 
013077 	0.207 	0.108 	0.099 	0.253 
013078 	0.207 	0.107 	0.099 	0.254 
013079 	0.208 	0.107 	0.099 	0.252 
013080 	0.209 	0.108 	0.098 	0.251 
013081 	0.209 	0.109 	0.098 	0.251 
013082 	0.211 	0.112 	0.097 	0.251 
013083 	0.209 	0.113 	0.099 	0.255 
013084 	0.210 	0.114 	0.098 	0.256 
013085 	0.210 	0.115 	0.099 	0.255 
013086 	0.211 	0.112 	0.098 	0.254 
013087 	0.211 	0.111 	0.098 	0.256 
013088 	0.212 	0.111 	0.097 	0.258 
013089 	0.212 	0.110 	0.098 	0.257 
013090 	0.211 	0.111 	0.099 	0.255 
013091 	0.212 	0.110 	0.099 	0.255 
013092 	0.212 	0.111 	0.097 	0.255 
013093 	0.211 	0.109 	0.098 	0.259 
013094 	0.211 	0.109 	0.097 	0.260 
013095 	0.210 	0.109 	0.097 	0.261 
013096 	0.211 	0.109 	0.095 	0.264 
013097 	0.210 	0.110 	0.095 	0.262 
013098 	0.209 	0.111 	0.096 	0.261 
013099 	0.209 	0.111 	0.097 	0.262 
013100 	0.207 	0.112 	0.098 	0.258 
013101 	0.207 	0.112 	0.099 	0.258 
013102 	0.207 	0.111 	0.098 	0.259 
013103 	0.206 	0.113 	0.099 	0.256 
013104 	0.206 	0.114 	0.099 	0.254 
013105 	0.207 	0.114 	0.099 	0.255 
013106 	0.208 	0.113 	0.098 	0.257 
013107 	0.209 	0.113 	0.098 	0.258 
013108 	0.210 	0.111 	0.098 	0.259 
013109 	0.211 	0.109 	0.097 	0.260 
013110 	0.212 	0.110 	0.097 	0.258 
013111 	0.212 	0.111 	0.098 	0.257 
013112 	0.213 	0.111 	0.098 	0.255 
013113 	0.215 	0.111 	0.098 	0.252 
013114 	0.217 	0.111 	0.096 	0.255 
013115 	0.218 	0.111 	0.096 	0.255 
013116 	0.221 	0.107 	0.095 	0.264 
013117 	0.221 	0.108 	0.096 	0.258 
013118 	0.223 	0.108 	0.096 	0.260 
013119 	0.223 	0.108 	0.096 	0.263 
013120 	0.224 	0.108 	0.096 	0.260 
013121 	0.227 	0.106 	0.097 	0.265 
013122 	0.227 	0.106 	0.099 	0.260 
013123 	0.228 	0.104 	0.097 	0.264 
013124 	0.229 	0.103 	0.096 	0.265 
013125 	0.229 	0.103 	0.097 	0.260 
013126 	0.233 	0.105 	0.096 	0.255 
013127 	0.233 	0.105 	0.096 	0.252 
013128 	0.232 	0.105 	0.097 	0.251 
013129 	0.232 	0.105 	0.096 	0.250 
013130 	0.231 	0.106 	0.095 	0.249 
013131 	0.230 	0.106 	0.096 	0.254 
013132 	0.230 	0.105 	0.096 	0.259 
013133 	0.230 	0.106 	0.096 	0.256 
013134 	0.231 	0.107 	0.095 	0.255 
013135 	0.231 	0.105 	0.096 	0.257 
013136 	0.231 	0.106 	0.095 	0.258 
013137 	0.232 	0.106 	0.093 	0.265 
013138 	0.233 	0.105 	0.094 	0.264 
013139 	0.234 	0.107 	0.094 	0.263 
013140 	0.233 	0.107 	0.094 	0.263 
013141 	0.235 	0.108 	0.093 	0.263 
013142 	0.236 	0.110 	0.094 	0.260 
013143 	0.236 	0.111 	0.093 	0.257 
013144 	0.235 	0.110 	0.094 	0.256 
013145 	0.235 	0.111 	0.094 	0.253 
013146 	0.234 	0.112 	0.093 	0.253 
013147 	0.233 	0.109 	0.094 	0.256 
013148 	0.231 	0.110 	0.095 	0.255 
013149 	0.232 	0.108 	0.094 	0.260 
013150 	0.232 	0.107 	0.094 	0.260 
013151 	0.232 	0.107 	0.093 	0.257 
013152 	0.232 	0.107 	0.093 	0.256 
013153 	0.232 	0.106 	0.094 	0.250 
013154 	0.232 	0.105 	0.094 	0.247 
013155 	0.232 	0.105 	0.094 	0.247 
013156 	0.232 	0.104 	0.093 	0.247 
013157 	0.233 	0.102 	0.092 	0.252 
013158 	0.233 	0.102 	0.093 	0.253 
013159 	0.232 	0.101 	0.094 	0.252 
013160 	0.235 	0.101 	0.092 	0.252 
013161 	0.236 	0.099 	0.089 	0.250 
013162 	0.235 	0.097 	0.090 	0.249 
013163 	0.235 	0.096 	0.089 	0.247 
013164 	0.234 	0.093 	0.090 	0.251 
013165 	0.231 	0.087 	0.092 	0.252 
013166 	0.226 	0.089 	0.091 	0.257 
013167 	0.226 	0.089 	0.088 	0.263 
013168 	0.225 	0.091 	0.089 	0.264 
013169 	0.225 	0.092 	0.090 	0.264 
013170 	0.224 	0.097 	0.092 	0.254 
013171 	0.226 	0.099 	0.092 	0.248 
013172 	0.226 	0.100 	0.093 	0.246 
013173 	0.225 	0.101 	0.095 	0.246 
013174 	0.226 	0.101 	0.094 	0.248 
013175 	0.227 	0.101 	0.093 	0.252 
013176 	0.228 	0.100 	0.094 	0.254 
013177 	0.229 	0.101 	0.093 	0.255 
013178 	0.229 	0.101 	0.094 	0.256 
013179 	0.230 	0.101 	0.095 	0.255 
013180 	0.230 	0.100 	0.094 	0.258 
013181 	0.231 	0.099 	0.094 	0.257 
013182 	0.231 	0.100 	0.094 	0.256 

WORD START END ASDSCORE
THE 0.06 0.15 1.2
PROBLEM 0.15 0.54 6.7
IS 0.54 0.69 9.0
THAT 0.69 0.84 8.4
MOST 0.84 1.05 5.5
PEOPLE 1.05 1.25 3.1
DON'T 1.25 1.55 3.6
KNOW 1.55 1.79 3.8
WHAT 1.79 1.89 4.2
TO 1.89 2.01 4.6
DO 2.01 2.28 4.7
WITH 2.28 2.41 4.3
THIS 2.41 2.63 4.9
QUESTION 2.63 3.11 8.1
THIS 3.11 3.28 7.2
IS 3.28 3.38 6.9
THE 3.38 3.52 6.4
BIOLOGIZED 3.52 4.35 4.5
QUESTION 4.35 4.72 9.5
HOW 4.72 4.91 9.4
DOES 4.91 5.06 8.7
NATURE 5.06 5.31 9.4
CROSSLINK 5.31 6.11 7.0
