Text:  NATURAL WATERPROOFING RESILIENT MATERIAL THAT IS ALSO ANTI MICROBIAL AND IT IS ACTIVATED JUST BY ENZYMES 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
014202 	0.273 	0.067 	0.103 	0.333 
014203 	0.265 	0.072 	0.112 	0.326 
014204 	0.265 	0.070 	0.112 	0.327 
014205 	0.267 	0.076 	0.108 	0.314 
014206 	0.268 	0.073 	0.107 	0.313 
014207 	0.271 	0.070 	0.105 	0.313 
014208 	0.273 	0.074 	0.104 	0.312 
014209 	0.277 	0.064 	0.101 	0.327 
014210 	0.277 	0.063 	0.100 	0.337 
014211 	0.275 	0.064 	0.102 	0.337 
014212 	0.272 	0.065 	0.103 	0.326 
014213 	0.267 	0.068 	0.108 	0.319 
014214 	0.267 	0.067 	0.108 	0.316 
014215 	0.267 	0.063 	0.109 	0.319 
014216 	0.267 	0.062 	0.108 	0.316 
014217 	0.264 	0.060 	0.114 	0.320 
014218 	0.264 	0.062 	0.113 	0.318 
014219 	0.268 	0.070 	0.107 	0.310 
014220 	0.268 	0.070 	0.106 	0.309 
014221 	0.269 	0.069 	0.105 	0.314 
014222 	0.266 	0.073 	0.106 	0.308 
014223 	0.266 	0.070 	0.109 	0.311 
014224 	0.260 	0.067 	0.112 	0.327 
014225 	0.253 	0.069 	0.117 	0.335 
014226 	0.249 	0.071 	0.117 	0.333 
014227 	0.244 	0.074 	0.115 	0.321 
014228 	0.242 	0.068 	0.116 	0.324 
014229 	0.240 	0.067 	0.119 	0.321 
014230 	0.242 	0.065 	0.117 	0.325 
014231 	0.244 	0.067 	0.118 	0.313 
014232 	0.251 	0.067 	0.117 	0.311 
014233 	0.255 	0.073 	0.114 	0.305 
014234 	0.258 	0.070 	0.114 	0.309 
014235 	0.261 	0.073 	0.116 	0.304 
014236 	0.263 	0.072 	0.114 	0.309 
014237 	0.266 	0.067 	0.112 	0.316 
014238 	0.266 	0.068 	0.112 	0.313 
014239 	0.269 	0.067 	0.111 	0.314 
014240 	0.269 	0.066 	0.110 	0.313 
014241 	0.271 	0.067 	0.109 	0.315 
014242 	0.275 	0.066 	0.105 	0.323 
014243 	0.277 	0.068 	0.102 	0.322 
014244 	0.280 	0.069 	0.098 	0.320 
014245 	0.279 	0.069 	0.098 	0.320 
014246 	0.278 	0.068 	0.098 	0.320 
014247 	0.277 	0.064 	0.098 	0.323 
014248 	0.278 	0.068 	0.096 	0.315 
014249 	0.276 	0.066 	0.096 	0.318 
014250 	0.270 	0.072 	0.102 	0.312 
014251 	0.266 	0.071 	0.104 	0.309 
014252 	0.261 	0.062 	0.106 	0.321 
014253 	0.250 	0.061 	0.113 	0.328 
014254 	0.246 	0.062 	0.113 	0.319 
014255 	0.245 	0.064 	0.110 	0.317 
014256 	0.239 	0.061 	0.113 	0.327 
014257 	0.234 	0.054 	0.113 	0.345 
014258 	0.231 	0.055 	0.111 	0.343 
014259 	0.229 	0.060 	0.110 	0.325 
014260 	0.228 	0.062 	0.109 	0.324 
014261 	0.228 	0.067 	0.108 	0.311 
014262 	0.226 	0.069 	0.107 	0.315 
014263 	0.219 	0.072 	0.108 	0.307 
014264 	0.212 	0.067 	0.110 	0.308 
014265 	0.210 	0.064 	0.109 	0.315 
014266 	0.205 	0.062 	0.112 	0.316 
014267 	0.204 	0.063 	0.110 	0.312 
014268 	0.201 	0.067 	0.111 	0.300 
014269 	0.200 	0.072 	0.112 	0.298 
014270 	0.200 	0.077 	0.109 	0.292 
014271 	0.196 	0.081 	0.111 	0.298 
014272 	0.197 	0.085 	0.106 	0.294 
014273 	0.197 	0.090 	0.099 	0.305 
014274 	0.193 	0.095 	0.100 	0.294 
014275 	0.191 	0.096 	0.100 	0.297 
014276 	0.185 	0.096 	0.103 	0.300 
014277 	0.179 	0.098 	0.106 	0.314 
014278 	0.167 	0.098 	0.113 	0.313 
014279 	0.165 	0.094 	0.113 	0.319 
014280 	0.165 	0.094 	0.111 	0.315 
014281 	0.164 	0.093 	0.112 	0.308 
014282 	0.165 	0.091 	0.113 	0.303 
014283 	0.167 	0.085 	0.112 	0.316 
014284 	0.168 	0.082 	0.112 	0.330 
014285 	0.172 	0.086 	0.110 	0.327 
014286 	0.175 	0.091 	0.108 	0.322 
014287 	0.177 	0.090 	0.106 	0.321 
014288 	0.179 	0.091 	0.107 	0.305 
014289 	0.179 	0.093 	0.108 	0.306 
014290 	0.180 	0.090 	0.109 	0.310 
014291 	0.181 	0.090 	0.108 	0.315 
014292 	0.183 	0.089 	0.109 	0.319 
014293 	0.189 	0.090 	0.107 	0.320 
014294 	0.188 	0.093 	0.110 	0.315 
014295 	0.192 	0.096 	0.106 	0.313 
014296 	0.191 	0.096 	0.109 	0.317 
014297 	0.189 	0.094 	0.111 	0.320 
014298 	0.190 	0.093 	0.110 	0.320 
014299 	0.191 	0.091 	0.109 	0.323 
014300 	0.188 	0.092 	0.112 	0.319 
014301 	0.188 	0.090 	0.113 	0.320 
014302 	0.189 	0.093 	0.110 	0.316 
014303 	0.192 	0.092 	0.108 	0.320 
014304 	0.191 	0.095 	0.109 	0.325 
014305 	0.196 	0.098 	0.104 	0.321 
014306 	0.198 	0.096 	0.103 	0.318 
014307 	0.197 	0.098 	0.104 	0.309 
014308 	0.200 	0.098 	0.102 	0.305 
014309 	0.198 	0.099 	0.103 	0.311 
014310 	0.195 	0.100 	0.104 	0.312 
014311 	0.193 	0.097 	0.104 	0.309 
014312 	0.189 	0.097 	0.108 	0.321 
014313 	0.190 	0.094 	0.106 	0.331 
014314 	0.191 	0.085 	0.109 	0.335 
014315 	0.192 	0.088 	0.107 	0.325 
014316 	0.193 	0.091 	0.107 	0.325 
014317 	0.194 	0.091 	0.106 	0.329 
014318 	0.192 	0.092 	0.109 	0.320 
014319 	0.192 	0.096 	0.108 	0.314 
014320 	0.190 	0.097 	0.110 	0.321 
014321 	0.191 	0.091 	0.108 	0.336 
014322 	0.192 	0.095 	0.106 	0.333 
014323 	0.190 	0.096 	0.107 	0.321 
014324 	0.189 	0.097 	0.106 	0.320 
014325 	0.189 	0.098 	0.106 	0.318 
014326 	0.190 	0.098 	0.106 	0.316 
014327 	0.190 	0.096 	0.106 	0.322 
014328 	0.186 	0.094 	0.107 	0.324 
014329 	0.187 	0.093 	0.106 	0.324 
014330 	0.185 	0.094 	0.106 	0.318 
014331 	0.184 	0.092 	0.107 	0.327 
014332 	0.182 	0.088 	0.111 	0.334 
014333 	0.182 	0.089 	0.110 	0.331 
014334 	0.182 	0.090 	0.109 	0.328 
014335 	0.182 	0.090 	0.111 	0.327 
014336 	0.181 	0.088 	0.112 	0.330 
014337 	0.182 	0.090 	0.111 	0.325 
014338 	0.182 	0.085 	0.109 	0.340 
014339 	0.181 	0.088 	0.109 	0.332 
014340 	0.178 	0.087 	0.112 	0.331 
014341 	0.176 	0.086 	0.113 	0.331 
014342 	0.172 	0.087 	0.117 	0.327 
014343 	0.163 	0.095 	0.124 	0.315 
014344 	0.161 	0.095 	0.123 	0.315 
014345 	0.160 	0.097 	0.122 	0.319 
014346 	0.158 	0.090 	0.122 	0.337 
014347 	0.157 	0.091 	0.123 	0.336 
014348 	0.158 	0.098 	0.123 	0.315 
014349 	0.160 	0.097 	0.122 	0.314 
014350 	0.159 	0.096 	0.122 	0.315 
014351 	0.159 	0.098 	0.123 	0.311 
014352 	0.160 	0.097 	0.121 	0.315 
014353 	0.160 	0.097 	0.121 	0.321 
014354 	0.159 	0.097 	0.121 	0.320 
014355 	0.159 	0.097 	0.121 	0.320 
014356 	0.160 	0.098 	0.120 	0.317 
014357 	0.158 	0.097 	0.121 	0.313 
014358 	0.158 	0.095 	0.119 	0.312 
014359 	0.159 	0.096 	0.119 	0.313 
014360 	0.158 	0.096 	0.118 	0.311 
014361 	0.159 	0.096 	0.120 	0.309 
014362 	0.158 	0.095 	0.121 	0.308 
014363 	0.158 	0.089 	0.120 	0.313 
014364 	0.158 	0.087 	0.121 	0.320 
014365 	0.157 	0.085 	0.122 	0.325 
014366 	0.158 	0.086 	0.122 	0.320 
014367 	0.158 	0.084 	0.122 	0.324 
014368 	0.156 	0.085 	0.124 	0.325 
014369 	0.156 	0.084 	0.123 	0.321 
014370 	0.158 	0.083 	0.122 	0.318 
014371 	0.158 	0.085 	0.122 	0.312 
014372 	0.160 	0.086 	0.121 	0.310 
014373 	0.161 	0.090 	0.121 	0.312 
014374 	0.162 	0.088 	0.121 	0.319 
014375 	0.163 	0.087 	0.121 	0.319 
014376 	0.161 	0.084 	0.123 	0.321 
014377 	0.162 	0.086 	0.122 	0.321 
014378 	0.162 	0.086 	0.122 	0.316 
014379 	0.162 	0.086 	0.120 	0.316 
014380 	0.163 	0.086 	0.120 	0.315 
014381 	0.163 	0.086 	0.120 	0.313 
014382 	0.163 	0.088 	0.119 	0.309 
014383 	0.161 	0.085 	0.121 	0.312 

WORD START END ASDSCORE
NATURAL 0.08 0.74 10.7
WATERPROOFING 0.74 1.89 8.5
RESILIENT 2.27 3.43 4.4
MATERIAL 3.43 3.89 4.7
THAT 3.89 3.98 2.5
IS 3.98 4.04 2.6
ALSO 4.04 4.36 6.5
ANTI 4.36 4.60 8.8
MICROBIAL 4.60 5.32 10.3
AND 5.32 5.41 6.9
IT 5.41 5.52 4.6
IS 5.52 5.65 4.9
ACTIVATED 5.65 6.17 8.3
JUST 6.17 6.42 8.4
BY 6.42 6.56 9.3
ENZYMES 6.56 7.16 6.9
