Text:  DRIES INSTANTLY AND THAT ACHIEVES THE SAME SORT OF LIKE ADHESIVE GLUEY SUBSTANCE 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
014663 	0.439 	0.108 	0.113 	0.320 
014664 	0.442 	0.112 	0.113 	0.307 
014665 	0.442 	0.111 	0.113 	0.307 
014666 	0.442 	0.109 	0.114 	0.307 
014667 	0.443 	0.108 	0.113 	0.307 
014668 	0.442 	0.108 	0.115 	0.308 
014669 	0.441 	0.104 	0.116 	0.318 
014670 	0.438 	0.100 	0.115 	0.335 
014671 	0.438 	0.100 	0.115 	0.342 
014672 	0.439 	0.100 	0.115 	0.339 
014673 	0.439 	0.101 	0.116 	0.336 
014674 	0.441 	0.102 	0.118 	0.325 
014675 	0.443 	0.108 	0.116 	0.305 
014676 	0.443 	0.106 	0.117 	0.308 
014677 	0.446 	0.102 	0.114 	0.311 
014678 	0.449 	0.101 	0.111 	0.315 
014679 	0.452 	0.097 	0.108 	0.326 
014680 	0.457 	0.094 	0.107 	0.314 
014681 	0.455 	0.096 	0.107 	0.306 
014682 	0.453 	0.096 	0.108 	0.302 
014683 	0.453 	0.097 	0.106 	0.304 
014684 	0.449 	0.098 	0.108 	0.303 
014685 	0.450 	0.103 	0.107 	0.303 
014686 	0.451 	0.102 	0.106 	0.309 
014687 	0.449 	0.103 	0.109 	0.307 
014688 	0.449 	0.101 	0.109 	0.311 
014689 	0.449 	0.103 	0.107 	0.310 
014690 	0.445 	0.103 	0.109 	0.319 
014691 	0.444 	0.102 	0.109 	0.321 
014692 	0.444 	0.102 	0.109 	0.322 
014693 	0.442 	0.104 	0.111 	0.318 
014694 	0.442 	0.104 	0.112 	0.319 
014695 	0.438 	0.106 	0.115 	0.315 
014696 	0.438 	0.106 	0.115 	0.316 
014697 	0.437 	0.107 	0.113 	0.316 
014698 	0.435 	0.108 	0.114 	0.315 
014699 	0.435 	0.104 	0.115 	0.320 
014700 	0.433 	0.106 	0.115 	0.322 
014701 	0.432 	0.109 	0.115 	0.318 
014702 	0.432 	0.109 	0.114 	0.323 
014703 	0.431 	0.106 	0.113 	0.332 
014704 	0.430 	0.105 	0.113 	0.334 
014705 	0.431 	0.104 	0.114 	0.332 
014706 	0.433 	0.107 	0.115 	0.322 
014707 	0.433 	0.107 	0.115 	0.327 
014708 	0.434 	0.106 	0.116 	0.337 
014709 	0.439 	0.106 	0.115 	0.335 
014710 	0.450 	0.107 	0.111 	0.314 
014711 	0.451 	0.105 	0.115 	0.310 
014712 	0.454 	0.103 	0.114 	0.308 
014713 	0.456 	0.096 	0.114 	0.311 
014714 	0.458 	0.094 	0.116 	0.313 
014715 	0.455 	0.092 	0.118 	0.315 
014716 	0.455 	0.094 	0.117 	0.308 
014717 	0.452 	0.095 	0.116 	0.311 
014718 	0.448 	0.094 	0.115 	0.317 
014719 	0.447 	0.101 	0.111 	0.315 
014720 	0.429 	0.088 	0.118 	0.333 
014721 	0.425 	0.096 	0.116 	0.320 
014722 	0.415 	0.093 	0.120 	0.317 
014723 	0.410 	0.091 	0.116 	0.330 
014724 	0.395 	0.088 	0.120 	0.330 
014725 	0.380 	0.095 	0.117 	0.319 
014726 	0.371 	0.090 	0.118 	0.322 
014727 	0.361 	0.089 	0.120 	0.321 
014728 	0.356 	0.088 	0.118 	0.324 
014729 	0.345 	0.088 	0.119 	0.327 
014730 	0.331 	0.089 	0.118 	0.320 
014731 	0.328 	0.095 	0.116 	0.311 
014732 	0.321 	0.095 	0.118 	0.309 
014733 	0.316 	0.091 	0.118 	0.312 
014734 	0.314 	0.090 	0.118 	0.309 
014735 	0.308 	0.087 	0.117 	0.309 
014736 	0.303 	0.082 	0.122 	0.314 
014737 	0.303 	0.083 	0.119 	0.314 
014738 	0.302 	0.082 	0.120 	0.313 
014739 	0.300 	0.082 	0.122 	0.309 
014740 	0.302 	0.083 	0.119 	0.309 
014741 	0.304 	0.086 	0.118 	0.307 
014742 	0.305 	0.089 	0.121 	0.304 
014743 	0.308 	0.086 	0.121 	0.308 
014744 	0.309 	0.084 	0.120 	0.311 
014745 	0.314 	0.080 	0.119 	0.326 
014746 	0.318 	0.086 	0.117 	0.325 
014747 	0.318 	0.088 	0.120 	0.320 
014748 	0.321 	0.093 	0.120 	0.315 
014749 	0.324 	0.095 	0.119 	0.316 
014750 	0.329 	0.092 	0.115 	0.318 
014751 	0.331 	0.099 	0.116 	0.313 
014752 	0.335 	0.097 	0.115 	0.318 
014753 	0.337 	0.098 	0.117 	0.317 
014754 	0.339 	0.096 	0.117 	0.317 
014755 	0.339 	0.096 	0.119 	0.320 
014756 	0.341 	0.095 	0.119 	0.336 
014757 	0.343 	0.093 	0.122 	0.342 
014758 	0.348 	0.093 	0.120 	0.335 
014759 	0.352 	0.093 	0.117 	0.334 
014760 	0.352 	0.098 	0.119 	0.325 
014761 	0.356 	0.097 	0.123 	0.334 
014762 	0.358 	0.094 	0.124 	0.341 
014763 	0.361 	0.094 	0.123 	0.340 
014764 	0.360 	0.094 	0.127 	0.338 
014765 	0.364 	0.098 	0.123 	0.331 
014766 	0.368 	0.101 	0.122 	0.332 
014767 	0.369 	0.100 	0.121 	0.332 
014768 	0.369 	0.100 	0.122 	0.332 
014769 	0.369 	0.101 	0.122 	0.333 
014770 	0.368 	0.100 	0.121 	0.331 
014771 	0.363 	0.097 	0.122 	0.322 
014772 	0.362 	0.092 	0.123 	0.323 
014773 	0.361 	0.091 	0.121 	0.322 
014774 	0.361 	0.091 	0.121 	0.324 
014775 	0.360 	0.090 	0.121 	0.324 
014776 	0.360 	0.091 	0.118 	0.325 
014777 	0.358 	0.093 	0.119 	0.324 
014778 	0.360 	0.095 	0.118 	0.319 
014779 	0.359 	0.096 	0.118 	0.319 
014780 	0.358 	0.098 	0.119 	0.317 
014781 	0.357 	0.096 	0.118 	0.321 
014782 	0.357 	0.095 	0.119 	0.322 
014783 	0.359 	0.099 	0.116 	0.319 
014784 	0.360 	0.100 	0.115 	0.318 
014785 	0.360 	0.100 	0.116 	0.319 
014786 	0.360 	0.098 	0.118 	0.320 
014787 	0.364 	0.099 	0.115 	0.318 
014788 	0.366 	0.099 	0.116 	0.320 
014789 	0.369 	0.096 	0.115 	0.324 
014790 	0.371 	0.097 	0.114 	0.324 
014791 	0.373 	0.094 	0.116 	0.331 
014792 	0.377 	0.099 	0.113 	0.327 
014793 	0.377 	0.099 	0.114 	0.324 
014794 	0.379 	0.102 	0.113 	0.322 
014795 	0.378 	0.101 	0.114 	0.322 
014796 	0.376 	0.102 	0.117 	0.323 
014797 	0.375 	0.099 	0.118 	0.331 
014798 	0.375 	0.101 	0.117 	0.326 
014799 	0.376 	0.104 	0.116 	0.322 
014800 	0.375 	0.102 	0.116 	0.323 
014801 	0.377 	0.097 	0.114 	0.323 
014802 	0.375 	0.100 	0.114 	0.316 
014803 	0.377 	0.094 	0.112 	0.320 
014804 	0.378 	0.089 	0.111 	0.328 
014805 	0.376 	0.092 	0.113 	0.324 
014806 	0.376 	0.086 	0.109 	0.334 
014807 	0.375 	0.089 	0.110 	0.329 
014808 	0.374 	0.092 	0.111 	0.316 
014809 	0.373 	0.091 	0.111 	0.317 
014810 	0.371 	0.087 	0.113 	0.321 
014811 	0.364 	0.090 	0.114 	0.324 
014812 	0.362 	0.096 	0.112 	0.319 
014813 	0.359 	0.096 	0.113 	0.319 
014814 	0.357 	0.094 	0.113 	0.322 
014815 	0.353 	0.092 	0.116 	0.326 
014816 	0.352 	0.094 	0.115 	0.318 
014817 	0.349 	0.093 	0.116 	0.316 
014818 	0.348 	0.091 	0.117 	0.319 
014819 	0.349 	0.091 	0.114 	0.321 
014820 	0.347 	0.091 	0.116 	0.321 
014821 	0.345 	0.090 	0.116 	0.320 
014822 	0.344 	0.089 	0.115 	0.327 

WORD START END ASDSCORE
DRIES 0.07 0.55 14.1
INSTANTLY 0.55 1.21 7.6
AND 1.56 1.71 4.4
THAT 1.71 1.92 5.6
ACHIEVES 2.61 2.99 6.9
THE 2.99 3.06 9.0
SAME 3.06 3.34 9.1
SORT 3.34 3.54 9.2
OF 3.54 3.63 8.6
LIKE 3.63 3.87 7.0
ADHESIVE 3.90 4.68 8.3
GLUEY 4.98 5.48 2.3
SUBSTANCE 5.48 6.26 8.0
