Text:  THE SLUG IS DOING EXACTLY WHAT FORMALDEHYDE IS DOING THAT'S WHAT YOU DESCRIBED RIGHT GLUE SO IF I GET ALL THOSE 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
014983 	0.293 	0.081 	0.119 	0.309 
014984 	0.290 	0.082 	0.119 	0.310 
014985 	0.288 	0.081 	0.118 	0.309 
014986 	0.288 	0.088 	0.119 	0.301 
014987 	0.294 	0.085 	0.121 	0.307 
014988 	0.300 	0.089 	0.119 	0.306 
014989 	0.305 	0.090 	0.119 	0.309 
014990 	0.308 	0.086 	0.118 	0.314 
014991 	0.316 	0.086 	0.116 	0.316 
014992 	0.326 	0.090 	0.111 	0.323 
014993 	0.327 	0.092 	0.113 	0.320 
014994 	0.327 	0.088 	0.115 	0.324 
014995 	0.329 	0.083 	0.119 	0.334 
014996 	0.333 	0.087 	0.117 	0.324 
014997 	0.336 	0.087 	0.119 	0.321 
014998 	0.344 	0.089 	0.115 	0.319 
014999 	0.346 	0.088 	0.117 	0.322 
015000 	0.350 	0.090 	0.120 	0.319 
015001 	0.353 	0.088 	0.119 	0.327 
015002 	0.359 	0.089 	0.116 	0.333 
015003 	0.358 	0.087 	0.115 	0.333 
015004 	0.355 	0.088 	0.117 	0.327 
015005 	0.352 	0.088 	0.117 	0.328 
015006 	0.348 	0.089 	0.116 	0.329 
015007 	0.339 	0.084 	0.121 	0.349 
015008 	0.339 	0.087 	0.119 	0.341 
015009 	0.338 	0.086 	0.119 	0.336 
015010 	0.338 	0.090 	0.117 	0.326 
015011 	0.337 	0.088 	0.117 	0.330 
015012 	0.335 	0.093 	0.117 	0.323 
015013 	0.336 	0.092 	0.116 	0.326 
015014 	0.335 	0.096 	0.114 	0.323 
015015 	0.330 	0.095 	0.117 	0.323 
015016 	0.328 	0.094 	0.118 	0.325 
015017 	0.325 	0.093 	0.117 	0.332 
015018 	0.324 	0.091 	0.116 	0.333 
015019 	0.323 	0.092 	0.115 	0.336 
015020 	0.328 	0.096 	0.109 	0.329 
015021 	0.326 	0.097 	0.110 	0.328 
015022 	0.328 	0.095 	0.106 	0.338 
015023 	0.327 	0.101 	0.101 	0.333 
015024 	0.324 	0.096 	0.104 	0.334 
015025 	0.314 	0.086 	0.113 	0.340 
015026 	0.310 	0.095 	0.115 	0.322 
015027 	0.299 	0.108 	0.119 	0.313 
015028 	0.295 	0.106 	0.118 	0.324 
015029 	0.293 	0.107 	0.118 	0.332 
015030 	0.291 	0.109 	0.117 	0.327 
015031 	0.290 	0.105 	0.116 	0.329 
015032 	0.293 	0.101 	0.115 	0.330 
015033 	0.295 	0.104 	0.114 	0.324 
015034 	0.301 	0.106 	0.110 	0.317 
015035 	0.300 	0.107 	0.111 	0.317 
015036 	0.300 	0.108 	0.110 	0.314 
015037 	0.293 	0.104 	0.117 	0.322 
015038 	0.294 	0.109 	0.112 	0.310 
015039 	0.292 	0.107 	0.113 	0.312 
015040 	0.290 	0.106 	0.113 	0.310 
015041 	0.288 	0.105 	0.114 	0.311 
015042 	0.285 	0.099 	0.117 	0.316 
015043 	0.288 	0.097 	0.112 	0.317 
015044 	0.289 	0.096 	0.110 	0.322 
015045 	0.290 	0.093 	0.109 	0.326 
015046 	0.294 	0.092 	0.105 	0.319 
015047 	0.301 	0.100 	0.099 	0.310 
015048 	0.300 	0.101 	0.099 	0.312 
015049 	0.299 	0.100 	0.100 	0.314 
015050 	0.294 	0.100 	0.103 	0.315 
015051 	0.292 	0.104 	0.104 	0.308 
015052 	0.282 	0.108 	0.110 	0.306 
015053 	0.278 	0.105 	0.112 	0.312 
015054 	0.279 	0.108 	0.110 	0.312 
015055 	0.278 	0.109 	0.110 	0.308 
015056 	0.281 	0.109 	0.107 	0.310 
015057 	0.285 	0.110 	0.104 	0.312 
015058 	0.285 	0.106 	0.103 	0.322 
015059 	0.286 	0.106 	0.103 	0.326 
015060 	0.286 	0.106 	0.102 	0.325 
015061 	0.284 	0.108 	0.104 	0.323 
015062 	0.284 	0.113 	0.105 	0.310 
015063 	0.284 	0.115 	0.105 	0.305 
015064 	0.285 	0.111 	0.104 	0.313 
015065 	0.287 	0.111 	0.104 	0.320 
015066 	0.288 	0.108 	0.105 	0.324 
015067 	0.293 	0.109 	0.103 	0.321 
015068 	0.293 	0.113 	0.102 	0.318 
015069 	0.293 	0.116 	0.102 	0.312 
015070 	0.295 	0.122 	0.103 	0.307 
015071 	0.295 	0.116 	0.106 	0.313 
015072 	0.297 	0.122 	0.106 	0.307 
015073 	0.299 	0.125 	0.106 	0.307 
015074 	0.302 	0.126 	0.106 	0.306 
015075 	0.303 	0.122 	0.108 	0.308 
015076 	0.305 	0.122 	0.110 	0.309 
015077 	0.308 	0.113 	0.112 	0.312 
015078 	0.314 	0.108 	0.107 	0.315 
015079 	0.314 	0.103 	0.108 	0.320 
015080 	0.313 	0.098 	0.109 	0.325 
015081 	0.313 	0.097 	0.110 	0.324 
015082 	0.313 	0.089 	0.109 	0.331 
015083 	0.313 	0.090 	0.109 	0.333 
015084 	0.310 	0.093 	0.111 	0.328 
015085 	0.311 	0.087 	0.110 	0.336 
015086 	0.311 	0.093 	0.108 	0.329 
015087 	0.309 	0.090 	0.109 	0.329 
015088 	0.306 	0.086 	0.109 	0.320 
015089 	0.303 	0.085 	0.107 	0.315 
015090 	0.301 	0.085 	0.107 	0.313 
015091 	0.298 	0.081 	0.107 	0.314 
015092 	0.293 	0.075 	0.108 	0.319 
015093 	0.289 	0.078 	0.108 	0.321 
015094 	0.285 	0.078 	0.110 	0.322 
015095 	0.281 	0.083 	0.111 	0.321 
015096 	0.277 	0.086 	0.114 	0.322 
015097 	0.273 	0.091 	0.117 	0.316 
015098 	0.269 	0.100 	0.114 	0.306 
015099 	0.262 	0.100 	0.117 	0.314 
015100 	0.261 	0.106 	0.117 	0.308 
015101 	0.258 	0.112 	0.119 	0.316 
015102 	0.257 	0.112 	0.119 	0.322 
015103 	0.259 	0.108 	0.120 	0.318 
015104 	0.262 	0.103 	0.119 	0.314 
015105 	0.264 	0.098 	0.120 	0.314 
015106 	0.264 	0.095 	0.121 	0.316 
015107 	0.266 	0.095 	0.121 	0.313 
015108 	0.267 	0.095 	0.121 	0.315 
015109 	0.268 	0.096 	0.122 	0.314 
015110 	0.268 	0.095 	0.123 	0.317 
015111 	0.271 	0.095 	0.123 	0.319 
015112 	0.272 	0.095 	0.122 	0.314 
015113 	0.277 	0.090 	0.120 	0.318 
015114 	0.276 	0.089 	0.121 	0.320 
015115 	0.278 	0.087 	0.122 	0.318 
015116 	0.280 	0.088 	0.121 	0.313 
015117 	0.281 	0.084 	0.122 	0.316 
015118 	0.283 	0.085 	0.122 	0.313 
015119 	0.286 	0.086 	0.122 	0.311 
015120 	0.287 	0.088 	0.123 	0.306 
015121 	0.290 	0.089 	0.124 	0.310 

WORD START END ASDSCORE
THE 0.07 0.13 7.5
SLUG 0.13 0.45 7.6
IS 0.45 0.54 4.8
DOING 0.54 0.73 2.8
EXACTLY 0.73 1.14 5.2
WHAT 1.14 1.31 7.2
FORMALDEHYDE 1.31 1.98 8.1
IS 1.98 2.09 7.8
DOING 2.09 2.36 4.8
THAT'S 2.36 2.53 3.6
WHAT 2.53 2.63 4.9
YOU 2.63 2.70 5.3
DESCRIBED 2.70 3.15 8.2
RIGHT 3.15 3.38 10.4
GLUE 3.38 3.82 5.4
SO 4.16 4.45 7.1
IF 4.45 4.61 8.4
I 4.61 4.80 9.0
GET 4.93 5.17 8.6
ALL 5.17 5.29 8.7
THOSE 5.29 5.45 8.3
