Text:  FUNCTION THIS IS WHAT HAPPENS WHEN YOU GO 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
016115 	0.362 	0.068 	0.062 	0.171 
016116 	0.363 	0.070 	0.062 	0.168 
016117 	0.363 	0.070 	0.063 	0.168 
016118 	0.362 	0.071 	0.064 	0.166 
016119 	0.365 	0.072 	0.063 	0.165 
016120 	0.365 	0.073 	0.065 	0.167 
016121 	0.368 	0.073 	0.064 	0.168 
016122 	0.370 	0.073 	0.065 	0.168 
016123 	0.371 	0.074 	0.065 	0.165 
016124 	0.376 	0.077 	0.060 	0.164 
016125 	0.377 	0.078 	0.059 	0.163 
016126 	0.379 	0.078 	0.059 	0.164 
016127 	0.379 	0.077 	0.061 	0.168 
016128 	0.379 	0.077 	0.061 	0.166 
016129 	0.380 	0.078 	0.062 	0.163 
016130 	0.381 	0.080 	0.061 	0.161 
016131 	0.381 	0.082 	0.061 	0.160 
016132 	0.381 	0.084 	0.061 	0.160 
016133 	0.380 	0.087 	0.061 	0.158 
016134 	0.379 	0.094 	0.062 	0.159 
016135 	0.378 	0.100 	0.062 	0.156 
016136 	0.378 	0.104 	0.061 	0.155 
016137 	0.377 	0.104 	0.063 	0.156 
016138 	0.377 	0.104 	0.062 	0.156 
016139 	0.379 	0.100 	0.062 	0.160 
016140 	0.379 	0.097 	0.063 	0.160 
016141 	0.380 	0.094 	0.065 	0.158 
016142 	0.383 	0.090 	0.064 	0.157 
016143 	0.385 	0.086 	0.065 	0.160 
016144 	0.392 	0.083 	0.066 	0.158 
016145 	0.398 	0.082 	0.064 	0.160 
016146 	0.402 	0.079 	0.063 	0.161 
016147 	0.405 	0.079 	0.066 	0.157 
016148 	0.410 	0.078 	0.066 	0.160 
016149 	0.418 	0.074 	0.065 	0.164 
016150 	0.422 	0.072 	0.067 	0.161 
016151 	0.426 	0.074 	0.064 	0.157 
016152 	0.431 	0.073 	0.063 	0.159 
016153 	0.436 	0.073 	0.063 	0.160 
016154 	0.443 	0.074 	0.063 	0.169 
016155 	0.446 	0.078 	0.062 	0.166 
016156 	0.451 	0.082 	0.061 	0.165 
016157 	0.455 	0.089 	0.061 	0.163 
016158 	0.457 	0.098 	0.060 	0.167 
016159 	0.459 	0.112 	0.062 	0.165 
016160 	0.460 	0.124 	0.063 	0.161 
016161 	0.460 	0.133 	0.064 	0.154 
016162 	0.459 	0.137 	0.064 	0.154 
016163 	0.459 	0.141 	0.064 	0.148 
016164 	0.457 	0.136 	0.067 	0.155 
016165 	0.458 	0.134 	0.067 	0.153 
016166 	0.458 	0.130 	0.065 	0.158 
016167 	0.457 	0.124 	0.065 	0.161 
016168 	0.459 	0.122 	0.061 	0.158 
016169 	0.457 	0.112 	0.061 	0.163 
016170 	0.457 	0.108 	0.060 	0.159 
016171 	0.455 	0.107 	0.061 	0.159 
016172 	0.454 	0.108 	0.060 	0.158 
016173 	0.452 	0.107 	0.063 	0.159 
016174 	0.451 	0.105 	0.064 	0.162 
016175 	0.452 	0.109 	0.063 	0.160 
016176 	0.451 	0.107 	0.064 	0.160 
016177 	0.451 	0.109 	0.063 	0.160 
016178 	0.451 	0.110 	0.062 	0.159 
016179 	0.446 	0.102 	0.067 	0.157 
016180 	0.447 	0.103 	0.065 	0.155 
016181 	0.446 	0.104 	0.067 	0.154 
016182 	0.446 	0.101 	0.069 	0.159 
016183 	0.446 	0.102 	0.070 	0.157 
016184 	0.447 	0.103 	0.066 	0.157 
016185 	0.446 	0.103 	0.066 	0.157 
016186 	0.445 	0.100 	0.067 	0.158 
016187 	0.445 	0.099 	0.066 	0.162 
016188 	0.444 	0.098 	0.065 	0.164 
016189 	0.442 	0.099 	0.066 	0.162 
016190 	0.441 	0.096 	0.066 	0.162 
016191 	0.442 	0.099 	0.063 	0.159 
016192 	0.439 	0.096 	0.065 	0.161 
016193 	0.439 	0.096 	0.065 	0.161 
016194 	0.438 	0.097 	0.064 	0.163 
016195 	0.437 	0.097 	0.065 	0.161 
016196 	0.435 	0.097 	0.065 	0.162 
016197 	0.433 	0.096 	0.066 	0.163 
016198 	0.433 	0.097 	0.065 	0.163 
016199 	0.429 	0.097 	0.066 	0.165 
016200 	0.429 	0.100 	0.065 	0.162 
016201 	0.429 	0.102 	0.064 	0.159 
016202 	0.429 	0.103 	0.065 	0.159 
016203 	0.431 	0.106 	0.064 	0.158 
016204 	0.432 	0.108 	0.064 	0.158 

WORD START END ASDSCORE
FUNCTION 0.07 0.59 7.8
THIS 1.89 2.13 1.4
IS 2.13 2.21 1.4
WHAT 2.21 2.36 3.2
HAPPENS 2.36 2.87 6.2
WHEN 2.87 3.14 7.3
YOU 3.14 3.25 7.7
GO 3.25 3.46 5.9
