Text:  IS A GROUP AT MIT THAT JUST CREATED THE MOST WATER REPELLENT FINISH TO DAY SUPPOSEDLY 40 MORE EFFECTIVE THAN ANYTHING THAT'S BEEN CREATED THUS FAR THEY 
Conf:  2
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
017297 	0.464 	0.090 	0.063 	0.161 
017298 	0.465 	0.089 	0.064 	0.163 
017299 	0.466 	0.091 	0.064 	0.162 
017300 	0.468 	0.092 	0.063 	0.161 
017301 	0.471 	0.093 	0.062 	0.162 
017302 	0.473 	0.095 	0.061 	0.161 
017303 	0.474 	0.096 	0.061 	0.165 
017304 	0.475 	0.098 	0.062 	0.163 
017305 	0.474 	0.099 	0.065 	0.161 
017306 	0.477 	0.099 	0.065 	0.164 
017307 	0.479 	0.101 	0.063 	0.165 
017308 	0.482 	0.101 	0.061 	0.164 
017309 	0.484 	0.102 	0.061 	0.159 
017310 	0.485 	0.101 	0.062 	0.160 
017311 	0.488 	0.101 	0.064 	0.162 
017312 	0.488 	0.101 	0.064 	0.166 
017313 	0.490 	0.102 	0.063 	0.167 
017314 	0.491 	0.102 	0.064 	0.162 
017315 	0.492 	0.103 	0.064 	0.159 
017316 	0.492 	0.105 	0.065 	0.164 
017317 	0.493 	0.105 	0.065 	0.163 
017318 	0.494 	0.104 	0.064 	0.162 
017319 	0.494 	0.104 	0.064 	0.161 
017320 	0.494 	0.104 	0.064 	0.162 
017321 	0.493 	0.104 	0.065 	0.162 
017322 	0.494 	0.104 	0.064 	0.163 
017323 	0.493 	0.105 	0.065 	0.162 
017324 	0.493 	0.106 	0.064 	0.162 
017325 	0.493 	0.105 	0.065 	0.161 
017326 	0.492 	0.106 	0.066 	0.156 
017327 	0.492 	0.106 	0.065 	0.157 
017328 	0.492 	0.106 	0.065 	0.156 
017329 	0.492 	0.105 	0.065 	0.157 
017330 	0.491 	0.105 	0.064 	0.158 
017331 	0.491 	0.105 	0.063 	0.163 
017332 	0.490 	0.106 	0.063 	0.159 
017333 	0.489 	0.105 	0.064 	0.160 
017334 	0.489 	0.105 	0.064 	0.160 
017335 	0.489 	0.106 	0.063 	0.161 
017336 	0.488 	0.106 	0.064 	0.162 
017337 	0.488 	0.107 	0.064 	0.161 
017338 	0.488 	0.107 	0.064 	0.160 
017339 	0.488 	0.107 	0.064 	0.161 
017340 	0.487 	0.107 	0.064 	0.158 
017341 	0.486 	0.107 	0.063 	0.159 
017342 	0.485 	0.106 	0.064 	0.162 
017343 	0.486 	0.107 	0.063 	0.163 
017344 	0.486 	0.106 	0.063 	0.164 
017345 	0.486 	0.106 	0.062 	0.166 
017346 	0.484 	0.106 	0.063 	0.164 
017347 	0.483 	0.101 	0.063 	0.170 
017348 	0.483 	0.101 	0.062 	0.170 
017349 	0.483 	0.105 	0.063 	0.166 
017350 	0.481 	0.106 	0.064 	0.165 
017351 	0.481 	0.103 	0.063 	0.166 
017352 	0.481 	0.104 	0.062 	0.165 
017353 	0.480 	0.104 	0.063 	0.164 
017354 	0.479 	0.105 	0.063 	0.162 
017355 	0.479 	0.106 	0.063 	0.161 
017356 	0.478 	0.107 	0.064 	0.159 
017357 	0.479 	0.106 	0.063 	0.160 
017358 	0.479 	0.107 	0.063 	0.159 
017359 	0.481 	0.102 	0.061 	0.168 
017360 	0.482 	0.104 	0.061 	0.165 
017361 	0.482 	0.107 	0.060 	0.161 
017362 	0.481 	0.106 	0.059 	0.160 
017363 	0.479 	0.106 	0.060 	0.159 
017364 	0.478 	0.107 	0.061 	0.157 
017365 	0.477 	0.110 	0.060 	0.159 
017366 	0.477 	0.109 	0.060 	0.161 
017367 	0.477 	0.106 	0.061 	0.167 
017368 	0.477 	0.103 	0.064 	0.172 
017369 	0.480 	0.103 	0.062 	0.169 
017370 	0.481 	0.104 	0.063 	0.164 
017371 	0.484 	0.104 	0.062 	0.159 
017372 	0.485 	0.104 	0.061 	0.160 
017373 	0.486 	0.104 	0.061 	0.161 
017374 	0.487 	0.105 	0.060 	0.157 
017375 	0.486 	0.105 	0.062 	0.158 
017376 	0.485 	0.107 	0.062 	0.165 
017377 	0.485 	0.107 	0.062 	0.164 
017378 	0.485 	0.107 	0.063 	0.165 
017379 	0.484 	0.106 	0.063 	0.164 
017380 	0.484 	0.106 	0.063 	0.162 
017381 	0.483 	0.104 	0.064 	0.160 
017382 	0.483 	0.104 	0.063 	0.160 
017383 	0.483 	0.104 	0.063 	0.161 
017384 	0.484 	0.106 	0.061 	0.162 
017385 	0.483 	0.102 	0.061 	0.167 
017386 	0.481 	0.102 	0.061 	0.167 
017387 	0.480 	0.102 	0.063 	0.167 
017388 	0.481 	0.103 	0.062 	0.165 
017389 	0.481 	0.102 	0.062 	0.164 
017390 	0.481 	0.104 	0.063 	0.163 
017391 	0.482 	0.104 	0.063 	0.162 
017392 	0.482 	0.104 	0.063 	0.162 
017393 	0.482 	0.104 	0.063 	0.161 
017394 	0.482 	0.104 	0.062 	0.161 
017395 	0.483 	0.105 	0.062 	0.160 
017396 	0.484 	0.105 	0.061 	0.158 
017397 	0.484 	0.105 	0.061 	0.161 
017398 	0.486 	0.101 	0.060 	0.166 
017399 	0.486 	0.106 	0.061 	0.158 
017400 	0.485 	0.104 	0.063 	0.162 
017401 	0.486 	0.104 	0.063 	0.163 
017402 	0.487 	0.104 	0.062 	0.164 
017403 	0.487 	0.104 	0.062 	0.162 
017404 	0.487 	0.104 	0.063 	0.163 
017405 	0.488 	0.104 	0.061 	0.161 
017406 	0.490 	0.102 	0.061 	0.162 
017407 	0.494 	0.103 	0.060 	0.162 
017408 	0.497 	0.104 	0.059 	0.157 
017409 	0.499 	0.104 	0.058 	0.157 
017410 	0.502 	0.103 	0.056 	0.162 
017411 	0.508 	0.104 	0.057 	0.163 
017412 	0.511 	0.106 	0.055 	0.162 
017413 	0.512 	0.108 	0.054 	0.159 
017414 	0.513 	0.108 	0.054 	0.158 
017415 	0.512 	0.108 	0.055 	0.165 
017416 	0.511 	0.107 	0.057 	0.164 
017417 	0.513 	0.109 	0.054 	0.161 
017418 	0.512 	0.106 	0.056 	0.163 
017419 	0.512 	0.104 	0.056 	0.162 
017420 	0.512 	0.104 	0.057 	0.161 
017421 	0.515 	0.103 	0.055 	0.160 
017422 	0.517 	0.103 	0.054 	0.160 
017423 	0.517 	0.102 	0.054 	0.161 
017424 	0.516 	0.100 	0.057 	0.166 
017425 	0.518 	0.099 	0.056 	0.169 
017426 	0.518 	0.094 	0.056 	0.165 
017427 	0.519 	0.094 	0.055 	0.165 
017428 	0.516 	0.089 	0.056 	0.168 
017429 	0.514 	0.092 	0.056 	0.168 
017430 	0.511 	0.090 	0.057 	0.164 
017431 	0.508 	0.090 	0.057 	0.160 
017432 	0.501 	0.083 	0.059 	0.169 
017433 	0.497 	0.081 	0.060 	0.170 
017434 	0.494 	0.077 	0.059 	0.172 
017435 	0.491 	0.083 	0.057 	0.163 
017436 	0.488 	0.082 	0.057 	0.165 
017437 	0.479 	0.081 	0.058 	0.166 
017438 	0.475 	0.076 	0.060 	0.176 
017439 	0.470 	0.079 	0.060 	0.173 
017440 	0.464 	0.077 	0.061 	0.171 
017441 	0.461 	0.078 	0.057 	0.167 
017442 	0.453 	0.078 	0.056 	0.164 
017443 	0.446 	0.074 	0.058 	0.171 
017444 	0.439 	0.073 	0.059 	0.159 
017445 	0.435 	0.074 	0.057 	0.162 
017446 	0.434 	0.074 	0.055 	0.157 
017447 	0.423 	0.072 	0.057 	0.165 
017448 	0.421 	0.070 	0.056 	0.165 
017449 	0.416 	0.070 	0.058 	0.166 
017450 	0.412 	0.067 	0.058 	0.165 
017451 	0.408 	0.068 	0.057 	0.162 
017452 	0.407 	0.074 	0.053 	0.157 
017453 	0.403 	0.075 	0.055 	0.165 
017454 	0.400 	0.076 	0.056 	0.166 
017455 	0.398 	0.073 	0.059 	0.167 
017456 	0.396 	0.074 	0.060 	0.168 
017457 	0.393 	0.079 	0.060 	0.161 
017458 	0.393 	0.075 	0.060 	0.166 
017459 	0.393 	0.076 	0.059 	0.167 
017460 	0.394 	0.074 	0.058 	0.167 
017461 	0.392 	0.076 	0.060 	0.163 
017462 	0.392 	0.076 	0.061 	0.165 
017463 	0.393 	0.074 	0.061 	0.170 
017464 	0.393 	0.073 	0.062 	0.172 
017465 	0.393 	0.073 	0.062 	0.174 
017466 	0.394 	0.074 	0.060 	0.174 
017467 	0.391 	0.072 	0.064 	0.183 
017468 	0.393 	0.073 	0.063 	0.177 
017469 	0.392 	0.073 	0.065 	0.180 
017470 	0.392 	0.072 	0.063 	0.179 
017471 	0.392 	0.074 	0.063 	0.176 
017472 	0.394 	0.074 	0.061 	0.173 
017473 	0.393 	0.073 	0.063 	0.176 
017474 	0.392 	0.073 	0.063 	0.176 
017475 	0.391 	0.074 	0.064 	0.176 
017476 	0.392 	0.076 	0.062 	0.169 
017477 	0.393 	0.075 	0.061 	0.172 
