Text:  IN NATURE MAGAZINE AS BEING INSPIRED BY THE BUTTERFLY YOU CAN SEE IN 
Conf:  2
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
017537 	0.263 	0.178 	0.153 	0.402 
017538 	0.265 	0.181 	0.154 	0.401 
017539 	0.267 	0.182 	0.154 	0.403 
017540 	0.269 	0.187 	0.155 	0.401 
017541 	0.271 	0.184 	0.154 	0.407 
017542 	0.274 	0.186 	0.153 	0.410 
017543 	0.274 	0.187 	0.154 	0.410 
017544 	0.276 	0.192 	0.155 	0.416 
017545 	0.278 	0.200 	0.150 	0.419 
017546 	0.276 	0.203 	0.152 	0.422 
017547 	0.279 	0.208 	0.147 	0.418 
017548 	0.280 	0.208 	0.150 	0.410 
017549 	0.280 	0.210 	0.150 	0.408 
017550 	0.279 	0.211 	0.149 	0.403 
017551 	0.278 	0.207 	0.150 	0.406 
017552 	0.279 	0.203 	0.148 	0.404 
017553 	0.277 	0.201 	0.148 	0.413 
017554 	0.276 	0.195 	0.148 	0.437 
017555 	0.275 	0.204 	0.148 	0.423 
017556 	0.274 	0.205 	0.150 	0.422 
017557 	0.272 	0.216 	0.149 	0.406 
017558 	0.274 	0.210 	0.148 	0.409 
017559 	0.272 	0.210 	0.149 	0.408 
017560 	0.273 	0.211 	0.148 	0.407 
017561 	0.272 	0.206 	0.149 	0.408 
017562 	0.271 	0.204 	0.151 	0.411 
017563 	0.271 	0.203 	0.151 	0.413 
017564 	0.271 	0.201 	0.152 	0.414 
017565 	0.270 	0.202 	0.152 	0.409 
017566 	0.269 	0.202 	0.153 	0.409 
017567 	0.273 	0.197 	0.150 	0.417 
017568 	0.273 	0.195 	0.151 	0.420 
017569 	0.273 	0.194 	0.151 	0.422 
017570 	0.275 	0.193 	0.149 	0.421 
017571 	0.276 	0.191 	0.147 	0.426 
017572 	0.278 	0.185 	0.148 	0.438 
017573 	0.280 	0.182 	0.147 	0.441 
017574 	0.280 	0.181 	0.149 	0.439 
017575 	0.280 	0.184 	0.150 	0.433 
017576 	0.281 	0.190 	0.150 	0.414 
017577 	0.284 	0.181 	0.151 	0.424 
017578 	0.286 	0.184 	0.151 	0.415 
017579 	0.287 	0.184 	0.153 	0.416 
017580 	0.289 	0.182 	0.152 	0.413 
017581 	0.288 	0.186 	0.153 	0.408 
017582 	0.290 	0.183 	0.152 	0.407 
017583 	0.292 	0.178 	0.150 	0.414 
017584 	0.293 	0.181 	0.152 	0.417 
017585 	0.293 	0.177 	0.152 	0.427 
017586 	0.294 	0.176 	0.151 	0.428 
017587 	0.293 	0.178 	0.151 	0.426 
017588 	0.292 	0.176 	0.152 	0.427 
017589 	0.292 	0.175 	0.152 	0.429 
017590 	0.292 	0.177 	0.152 	0.426 
017591 	0.291 	0.173 	0.153 	0.432 
017592 	0.294 	0.175 	0.153 	0.429 
017593 	0.295 	0.178 	0.153 	0.412 
017594 	0.298 	0.179 	0.151 	0.405 
017595 	0.300 	0.180 	0.152 	0.404 
017596 	0.301 	0.181 	0.150 	0.402 
017597 	0.302 	0.185 	0.151 	0.399 
017598 	0.302 	0.191 	0.152 	0.403 
017599 	0.296 	0.194 	0.158 	0.405 
017600 	0.294 	0.196 	0.160 	0.406 
017601 	0.292 	0.200 	0.163 	0.410 
017602 	0.292 	0.200 	0.163 	0.402 
017603 	0.292 	0.196 	0.161 	0.408 
017604 	0.291 	0.198 	0.164 	0.406 
017605 	0.293 	0.197 	0.164 	0.404 
017606 	0.295 	0.195 	0.163 	0.403 
017607 	0.299 	0.195 	0.162 	0.408 
017608 	0.304 	0.194 	0.163 	0.410 
017609 	0.310 	0.196 	0.162 	0.409 
017610 	0.316 	0.194 	0.160 	0.406 
017611 	0.319 	0.201 	0.161 	0.398 
017612 	0.321 	0.198 	0.162 	0.402 
017613 	0.328 	0.200 	0.161 	0.401 
017614 	0.332 	0.200 	0.160 	0.400 
017615 	0.332 	0.203 	0.163 	0.402 
017616 	0.337 	0.201 	0.161 	0.406 
017617 	0.340 	0.204 	0.162 	0.401 
017618 	0.347 	0.204 	0.156 	0.405 
017619 	0.347 	0.203 	0.157 	0.400 
017620 	0.346 	0.198 	0.157 	0.402 
017621 	0.349 	0.196 	0.155 	0.406 
017622 	0.348 	0.190 	0.155 	0.418 
017623 	0.351 	0.188 	0.152 	0.419 
017624 	0.350 	0.190 	0.154 	0.417 
017625 	0.353 	0.192 	0.151 	0.415 
017626 	0.353 	0.191 	0.151 	0.409 
017627 	0.354 	0.188 	0.153 	0.407 
017628 	0.355 	0.187 	0.153 	0.402 
017629 	0.356 	0.186 	0.151 	0.407 
017630 	0.354 	0.182 	0.151 	0.414 
017631 	0.352 	0.184 	0.153 	0.411 
017632 	0.350 	0.183 	0.155 	0.415 
017633 	0.349 	0.186 	0.155 	0.410 
017634 	0.346 	0.186 	0.156 	0.411 
017635 	0.345 	0.185 	0.156 	0.410 
017636 	0.342 	0.182 	0.158 	0.415 
017637 	0.342 	0.183 	0.156 	0.410 
017638 	0.341 	0.184 	0.156 	0.402 
017639 	0.341 	0.185 	0.154 	0.403 
017640 	0.340 	0.181 	0.153 	0.403 
017641 	0.340 	0.180 	0.153 	0.403 
017642 	0.340 	0.181 	0.153 	0.400 
017643 	0.342 	0.182 	0.155 	0.397 
017644 	0.342 	0.183 	0.155 	0.400 
017645 	0.344 	0.182 	0.155 	0.398 
017646 	0.345 	0.181 	0.153 	0.408 
017647 	0.344 	0.177 	0.155 	0.420 
017648 	0.339 	0.182 	0.157 	0.410 
017649 	0.337 	0.184 	0.157 	0.398 
017650 	0.333 	0.181 	0.158 	0.399 
017651 	0.329 	0.179 	0.157 	0.393 
017652 	0.327 	0.178 	0.153 	0.393 
017653 	0.316 	0.164 	0.156 	0.423 
017654 	0.315 	0.168 	0.155 	0.409 
017655 	0.313 	0.171 	0.156 	0.404 
017656 	0.312 	0.167 	0.156 	0.410 
017657 	0.315 	0.167 	0.157 	0.408 
017658 	0.324 	0.161 	0.151 	0.415 
017659 	0.329 	0.161 	0.150 	0.411 
017660 	0.329 	0.160 	0.148 	0.413 
017661 	0.330 	0.160 	0.150 	0.413 
