Text:  BROKE THE WATER APART INTO TINY LITTLE PARTS WHICH CREATED A MORE EFFECTIVE WATER REPELLENT SURFACE 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
017840 	0.581 	0.242 	0.187 	0.442 
017841 	0.590 	0.272 	0.146 	0.415 
017842 	0.603 	0.284 	0.145 	0.408 
017843 	0.616 	0.293 	0.145 	0.395 
017844 	0.638 	0.298 	0.140 	0.399 
017845 	0.646 	0.296 	0.141 	0.415 
017846 	0.653 	0.302 	0.140 	0.413 
017847 	0.658 	0.308 	0.139 	0.411 
017848 	0.661 	0.309 	0.142 	0.412 
017849 	0.665 	0.315 	0.141 	0.416 
017850 	0.665 	0.321 	0.140 	0.412 
017851 	0.662 	0.322 	0.143 	0.421 
017852 	0.660 	0.322 	0.143 	0.422 
017853 	0.654 	0.321 	0.142 	0.424 
017854 	0.638 	0.331 	0.142 	0.403 
017855 	0.628 	0.325 	0.143 	0.408 
017856 	0.618 	0.318 	0.144 	0.423 
017857 	0.607 	0.314 	0.145 	0.418 
017858 	0.596 	0.312 	0.145 	0.411 
017859 	0.569 	0.303 	0.146 	0.403 
017860 	0.559 	0.289 	0.148 	0.409 
017861 	0.546 	0.278 	0.148 	0.407 
017862 	0.534 	0.266 	0.151 	0.415 
017863 	0.521 	0.261 	0.150 	0.416 
017864 	0.503 	0.238 	0.150 	0.432 
017865 	0.495 	0.232 	0.149 	0.434 
017866 	0.488 	0.231 	0.148 	0.434 
017867 	0.480 	0.226 	0.150 	0.435 
017868 	0.470 	0.225 	0.149 	0.430 
017869 	0.459 	0.220 	0.148 	0.424 
017870 	0.455 	0.210 	0.150 	0.426 
017871 	0.449 	0.203 	0.150 	0.432 
017872 	0.444 	0.197 	0.153 	0.433 
017873 	0.440 	0.195 	0.151 	0.435 
017874 	0.434 	0.191 	0.151 	0.427 
017875 	0.432 	0.187 	0.151 	0.429 
017876 	0.430 	0.185 	0.152 	0.428 
017877 	0.430 	0.186 	0.152 	0.425 
017878 	0.431 	0.188 	0.152 	0.427 
017879 	0.436 	0.201 	0.148 	0.425 
017880 	0.438 	0.201 	0.149 	0.424 
017881 	0.444 	0.203 	0.149 	0.426 
017882 	0.451 	0.214 	0.150 	0.413 
017883 	0.457 	0.227 	0.149 	0.395 
017884 	0.468 	0.226 	0.150 	0.397 
017885 	0.476 	0.220 	0.150 	0.409 
017886 	0.486 	0.215 	0.148 	0.420 
017887 	0.492 	0.222 	0.152 	0.417 
017888 	0.500 	0.220 	0.149 	0.419 
017889 	0.515 	0.225 	0.150 	0.415 
017890 	0.526 	0.219 	0.151 	0.423 
017891 	0.534 	0.221 	0.150 	0.418 
017892 	0.540 	0.218 	0.149 	0.420 
017893 	0.542 	0.222 	0.150 	0.419 
017894 	0.541 	0.226 	0.155 	0.417 
017895 	0.539 	0.229 	0.155 	0.409 
017896 	0.534 	0.227 	0.156 	0.409 
017897 	0.527 	0.226 	0.158 	0.412 
017898 	0.523 	0.230 	0.157 	0.401 
017899 	0.515 	0.219 	0.157 	0.403 
017900 	0.512 	0.207 	0.156 	0.424 
017901 	0.508 	0.206 	0.155 	0.423 
017902 	0.500 	0.204 	0.159 	0.418 
017903 	0.491 	0.207 	0.161 	0.409 
017904 	0.474 	0.208 	0.157 	0.398 
017905 	0.467 	0.209 	0.158 	0.402 
017906 	0.464 	0.205 	0.159 	0.412 
017907 	0.462 	0.215 	0.156 	0.411 
017908 	0.463 	0.209 	0.152 	0.431 
017909 	0.463 	0.219 	0.151 	0.417 
017910 	0.465 	0.227 	0.148 	0.401 
017911 	0.466 	0.228 	0.147 	0.413 
017912 	0.466 	0.227 	0.144 	0.414 
017913 	0.465 	0.227 	0.147 	0.425 
017914 	0.462 	0.225 	0.150 	0.437 
017915 	0.459 	0.228 	0.153 	0.432 
017916 	0.457 	0.229 	0.153 	0.424 
017917 	0.456 	0.230 	0.154 	0.422 
017918 	0.457 	0.222 	0.153 	0.440 
017919 	0.455 	0.223 	0.157 	0.431 
017920 	0.454 	0.219 	0.156 	0.425 
017921 	0.455 	0.215 	0.155 	0.427 
017922 	0.455 	0.212 	0.158 	0.433 
017923 	0.453 	0.213 	0.158 	0.429 
017924 	0.451 	0.210 	0.156 	0.422 
017925 	0.447 	0.210 	0.156 	0.416 
017926 	0.445 	0.208 	0.157 	0.409 
017927 	0.442 	0.201 	0.156 	0.414 
017928 	0.440 	0.200 	0.156 	0.419 
017929 	0.439 	0.192 	0.156 	0.427 
017930 	0.433 	0.186 	0.159 	0.427 
017931 	0.434 	0.186 	0.158 	0.427 
017932 	0.433 	0.185 	0.158 	0.422 
017933 	0.432 	0.184 	0.156 	0.420 
017934 	0.432 	0.181 	0.157 	0.423 
017935 	0.433 	0.186 	0.155 	0.417 
017936 	0.434 	0.185 	0.156 	0.425 
017937 	0.433 	0.186 	0.157 	0.422 
017938 	0.435 	0.188 	0.156 	0.421 
017939 	0.433 	0.191 	0.157 	0.413 
017940 	0.437 	0.194 	0.156 	0.408 
017941 	0.436 	0.195 	0.158 	0.405 
017942 	0.436 	0.199 	0.156 	0.402 
017943 	0.435 	0.200 	0.157 	0.410 
017944 	0.436 	0.195 	0.157 	0.409 
017945 	0.434 	0.193 	0.157 	0.400 
017946 	0.435 	0.189 	0.157 	0.406 
017947 	0.436 	0.185 	0.157 	0.405 
017948 	0.436 	0.186 	0.158 	0.404 
