Text:  WAS THAT THE MATERIAL THAT THEY USED TO CREATE IT WERE THESE CA PERFLUORINATED CHEMICALS WHICH WERE 
Conf:  3
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
018029 	0.388 	0.077 	0.060 	0.165 
018030 	0.390 	0.079 	0.059 	0.165 
018031 	0.390 	0.078 	0.059 	0.165 
018032 	0.389 	0.077 	0.060 	0.166 
018033 	0.389 	0.078 	0.060 	0.168 
018034 	0.388 	0.079 	0.061 	0.169 
018035 	0.387 	0.077 	0.063 	0.167 
018036 	0.387 	0.076 	0.062 	0.167 
018037 	0.386 	0.075 	0.062 	0.166 
018038 	0.386 	0.080 	0.062 	0.162 
018039 	0.386 	0.080 	0.062 	0.164 
018040 	0.384 	0.078 	0.062 	0.165 
018041 	0.383 	0.079 	0.062 	0.163 
018042 	0.383 	0.079 	0.061 	0.162 
018043 	0.382 	0.079 	0.063 	0.161 
018044 	0.380 	0.078 	0.064 	0.162 
018045 	0.380 	0.078 	0.063 	0.162 
018046 	0.380 	0.079 	0.063 	0.160 
018047 	0.380 	0.079 	0.062 	0.158 
018048 	0.380 	0.080 	0.061 	0.158 
018049 	0.378 	0.080 	0.062 	0.159 
018050 	0.377 	0.081 	0.063 	0.162 
018051 	0.376 	0.081 	0.063 	0.161 
018052 	0.375 	0.081 	0.062 	0.160 
018053 	0.375 	0.080 	0.062 	0.161 
018054 	0.374 	0.080 	0.063 	0.160 
018055 	0.375 	0.080 	0.061 	0.158 
018056 	0.374 	0.079 	0.063 	0.159 
018057 	0.374 	0.080 	0.062 	0.158 
018058 	0.374 	0.078 	0.062 	0.159 
018059 	0.373 	0.078 	0.062 	0.159 
018060 	0.373 	0.078 	0.063 	0.164 
018061 	0.374 	0.081 	0.060 	0.161 
018062 	0.373 	0.080 	0.060 	0.161 
018063 	0.372 	0.079 	0.061 	0.165 
018064 	0.371 	0.079 	0.061 	0.165 
018065 	0.371 	0.079 	0.063 	0.163 
018066 	0.371 	0.078 	0.063 	0.165 
018067 	0.372 	0.078 	0.062 	0.163 
018068 	0.372 	0.079 	0.062 	0.161 
018069 	0.372 	0.079 	0.062 	0.163 
018070 	0.371 	0.078 	0.062 	0.162 
018071 	0.371 	0.078 	0.062 	0.162 
018072 	0.373 	0.080 	0.060 	0.160 
018073 	0.372 	0.081 	0.061 	0.162 
018074 	0.371 	0.080 	0.062 	0.161 
018075 	0.371 	0.081 	0.062 	0.162 
018076 	0.372 	0.082 	0.061 	0.161 
018077 	0.371 	0.080 	0.063 	0.165 
018078 	0.372 	0.080 	0.062 	0.166 
018079 	0.371 	0.080 	0.063 	0.168 
018080 	0.372 	0.081 	0.062 	0.167 
018081 	0.371 	0.080 	0.062 	0.168 
018082 	0.371 	0.079 	0.062 	0.169 
018083 	0.372 	0.080 	0.062 	0.169 
018084 	0.372 	0.079 	0.061 	0.169 
018085 	0.371 	0.080 	0.062 	0.166 
018086 	0.371 	0.080 	0.063 	0.164 
018087 	0.371 	0.080 	0.063 	0.164 
018088 	0.372 	0.081 	0.060 	0.160 
018089 	0.372 	0.081 	0.061 	0.159 
018090 	0.372 	0.081 	0.061 	0.161 
018091 	0.371 	0.082 	0.061 	0.164 
018092 	0.371 	0.082 	0.060 	0.163 
018093 	0.370 	0.081 	0.062 	0.167 
018094 	0.368 	0.080 	0.063 	0.167 
018095 	0.366 	0.075 	0.066 	0.174 
018096 	0.366 	0.075 	0.064 	0.168 
018097 	0.367 	0.073 	0.062 	0.166 
018098 	0.366 	0.072 	0.063 	0.164 
018099 	0.366 	0.069 	0.063 	0.167 
018100 	0.368 	0.068 	0.061 	0.167 
018101 	0.367 	0.065 	0.063 	0.170 
018102 	0.367 	0.063 	0.064 	0.168 
018103 	0.367 	0.062 	0.064 	0.167 
018104 	0.367 	0.064 	0.064 	0.163 
018105 	0.368 	0.064 	0.064 	0.164 
018106 	0.369 	0.062 	0.066 	0.167 
018107 	0.369 	0.063 	0.066 	0.167 
018108 	0.370 	0.064 	0.066 	0.166 
018109 	0.371 	0.067 	0.064 	0.165 
018110 	0.371 	0.066 	0.067 	0.167 
018111 	0.371 	0.070 	0.066 	0.164 
018112 	0.372 	0.070 	0.066 	0.166 
018113 	0.370 	0.069 	0.067 	0.170 
018114 	0.371 	0.069 	0.066 	0.173 
018115 	0.371 	0.072 	0.066 	0.171 
018116 	0.369 	0.072 	0.066 	0.172 
018117 	0.369 	0.073 	0.066 	0.171 
018118 	0.369 	0.073 	0.066 	0.169 
018119 	0.369 	0.072 	0.066 	0.166 
018120 	0.369 	0.073 	0.065 	0.165 
018121 	0.368 	0.073 	0.064 	0.169 
018122 	0.368 	0.075 	0.063 	0.164 
018123 	0.368 	0.074 	0.064 	0.168 
018124 	0.366 	0.075 	0.065 	0.164 
018125 	0.366 	0.074 	0.065 	0.165 
018126 	0.366 	0.074 	0.064 	0.169 
018127 	0.366 	0.075 	0.065 	0.168 
018128 	0.366 	0.074 	0.065 	0.169 
018129 	0.366 	0.075 	0.064 	0.167 
018130 	0.366 	0.075 	0.065 	0.170 
018131 	0.366 	0.075 	0.065 	0.172 
018132 	0.366 	0.074 	0.065 	0.174 
018133 	0.365 	0.074 	0.067 	0.175 
018134 	0.365 	0.075 	0.066 	0.172 
018135 	0.367 	0.074 	0.064 	0.170 
018136 	0.366 	0.076 	0.066 	0.170 
018137 	0.367 	0.079 	0.063 	0.164 
018138 	0.367 	0.075 	0.065 	0.169 
018139 	0.367 	0.077 	0.065 	0.170 
018140 	0.367 	0.082 	0.064 	0.171 
018141 	0.371 	0.081 	0.061 	0.165 
018142 	0.373 	0.082 	0.059 	0.162 
018143 	0.372 	0.082 	0.060 	0.167 
018144 	0.372 	0.082 	0.061 	0.166 
018145 	0.371 	0.082 	0.062 	0.166 
018146 	0.371 	0.079 	0.063 	0.169 
018147 	0.373 	0.080 	0.061 	0.166 
018148 	0.371 	0.080 	0.062 	0.167 
018149 	0.373 	0.081 	0.061 	0.166 
018150 	0.373 	0.081 	0.061 	0.165 
018151 	0.374 	0.081 	0.060 	0.162 
018152 	0.374 	0.081 	0.060 	0.162 
018153 	0.375 	0.080 	0.059 	0.164 
018154 	0.374 	0.079 	0.061 	0.166 
018155 	0.375 	0.079 	0.060 	0.166 
018156 	0.374 	0.080 	0.060 	0.163 
018157 	0.375 	0.081 	0.060 	0.162 
018158 	0.374 	0.078 	0.061 	0.166 
018159 	0.373 	0.078 	0.062 	0.167 
018160 	0.373 	0.078 	0.064 	0.167 
018161 	0.372 	0.078 	0.064 	0.167 
018162 	0.373 	0.077 	0.062 	0.165 
018163 	0.372 	0.078 	0.064 	0.168 
018164 	0.373 	0.078 	0.063 	0.166 
018165 	0.372 	0.078 	0.062 	0.167 

WORD START END ASDSCORE
WAS 0.07 0.43 6.8
THAT 0.43 0.56 4.3
