Text:  AND SO TOXIC THAT IF AN ACTUAL BUTTERFLY HAD BEEN GOING IN THE LAB AT THE TIME IT WOULD HAVE BEEN DEAD IN AN INSTANT SO THIS IS MY SECOND POINT ABOUT WHAT IS BIOMIMICRY AND WHAT IS NOT IF YOUR 
Conf:  2
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
018191 	0.282 	0.191 	0.157 	0.406 
018192 	0.281 	0.194 	0.159 	0.402 
018193 	0.280 	0.190 	0.159 	0.410 
018194 	0.280 	0.191 	0.158 	0.408 
018195 	0.278 	0.189 	0.159 	0.407 
018196 	0.275 	0.184 	0.155 	0.408 
018197 	0.273 	0.187 	0.156 	0.406 
018198 	0.271 	0.185 	0.157 	0.408 
018199 	0.271 	0.183 	0.157 	0.409 
018200 	0.269 	0.186 	0.157 	0.404 
018201 	0.270 	0.191 	0.156 	0.399 
018202 	0.271 	0.193 	0.154 	0.397 
018203 	0.272 	0.193 	0.154 	0.394 
018204 	0.271 	0.190 	0.156 	0.392 
018205 	0.272 	0.186 	0.157 	0.395 
018206 	0.276 	0.187 	0.154 	0.407 
018207 	0.276 	0.191 	0.155 	0.407 
018208 	0.278 	0.189 	0.154 	0.409 
018209 	0.277 	0.189 	0.155 	0.408 
018210 	0.277 	0.189 	0.156 	0.407 
018211 	0.275 	0.192 	0.156 	0.402 
018212 	0.274 	0.194 	0.157 	0.399 
018213 	0.274 	0.193 	0.154 	0.408 
018214 	0.274 	0.198 	0.154 	0.407 
018215 	0.273 	0.201 	0.155 	0.411 
018216 	0.272 	0.203 	0.156 	0.413 
018217 	0.270 	0.204 	0.155 	0.411 
018218 	0.270 	0.204 	0.155 	0.411 
018219 	0.268 	0.205 	0.157 	0.412 
018220 	0.266 	0.203 	0.155 	0.417 
018221 	0.258 	0.203 	0.156 	0.411 
018222 	0.255 	0.201 	0.157 	0.410 
018223 	0.253 	0.200 	0.157 	0.410 
018224 	0.252 	0.200 	0.159 	0.404 
018225 	0.252 	0.199 	0.159 	0.401 
018226 	0.255 	0.185 	0.156 	0.410 
018227 	0.257 	0.180 	0.156 	0.406 
018228 	0.259 	0.172 	0.156 	0.413 
018229 	0.260 	0.163 	0.156 	0.429 
018230 	0.260 	0.160 	0.155 	0.442 
018231 	0.259 	0.156 	0.156 	0.445 
018232 	0.257 	0.159 	0.156 	0.439 
018233 	0.258 	0.160 	0.156 	0.434 
018234 	0.259 	0.166 	0.156 	0.428 
018235 	0.259 	0.169 	0.155 	0.423 
018236 	0.259 	0.171 	0.156 	0.429 
018237 	0.258 	0.172 	0.157 	0.428 
018238 	0.260 	0.173 	0.156 	0.424 
018239 	0.261 	0.174 	0.156 	0.430 
018240 	0.263 	0.174 	0.155 	0.432 
018241 	0.270 	0.178 	0.151 	0.433 
018242 	0.273 	0.181 	0.151 	0.419 
018243 	0.276 	0.181 	0.151 	0.410 
018244 	0.278 	0.185 	0.151 	0.402 
018245 	0.282 	0.184 	0.153 	0.405 
018246 	0.293 	0.178 	0.152 	0.434 
018247 	0.297 	0.175 	0.151 	0.454 
018248 	0.303 	0.170 	0.147 	0.474 
018249 	0.307 	0.179 	0.148 	0.455 
018250 	0.310 	0.188 	0.147 	0.438 
018251 	0.318 	0.195 	0.150 	0.411 
018252 	0.323 	0.188 	0.148 	0.420 
018253 	0.332 	0.190 	0.146 	0.417 
018254 	0.337 	0.186 	0.147 	0.423 
018255 	0.346 	0.186 	0.146 	0.416 
018256 	0.353 	0.194 	0.145 	0.406 
018257 	0.364 	0.194 	0.148 	0.417 
018258 	0.373 	0.193 	0.145 	0.417 
018259 	0.383 	0.190 	0.143 	0.415 
018260 	0.390 	0.181 	0.146 	0.424 
018261 	0.397 	0.185 	0.145 	0.405 
018262 	0.401 	0.187 	0.150 	0.408 
018263 	0.405 	0.183 	0.150 	0.423 
018264 	0.408 	0.177 	0.149 	0.436 
018265 	0.409 	0.175 	0.150 	0.446 
018266 	0.412 	0.183 	0.152 	0.438 
018267 	0.423 	0.187 	0.153 	0.438 
018268 	0.436 	0.185 	0.150 	0.443 
018269 	0.442 	0.189 	0.153 	0.435 
018270 	0.451 	0.197 	0.150 	0.428 
018271 	0.457 	0.197 	0.151 	0.428 
