Text:  CAN KILL THE EMULATED ORGANISM THAT YOU'RE TRYING TO MODEL 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
018560 	0.321 	0.193 	0.075 	0.209 
018561 	0.321 	0.191 	0.075 	0.212 
018562 	0.321 	0.192 	0.075 	0.209 
018563 	0.322 	0.194 	0.073 	0.209 
018564 	0.321 	0.191 	0.074 	0.211 
018565 	0.321 	0.191 	0.074 	0.211 
018566 	0.322 	0.193 	0.073 	0.208 
018567 	0.322 	0.189 	0.073 	0.211 
018568 	0.321 	0.185 	0.074 	0.208 
018569 	0.321 	0.185 	0.074 	0.210 
018570 	0.322 	0.185 	0.075 	0.210 
018571 	0.323 	0.188 	0.074 	0.204 
018572 	0.325 	0.187 	0.073 	0.203 
018573 	0.326 	0.183 	0.074 	0.213 
018574 	0.326 	0.182 	0.074 	0.210 
018575 	0.326 	0.181 	0.072 	0.213 
018576 	0.327 	0.179 	0.073 	0.212 
018577 	0.326 	0.177 	0.074 	0.215 
018578 	0.327 	0.172 	0.077 	0.214 
018579 	0.328 	0.171 	0.079 	0.211 
018580 	0.330 	0.168 	0.078 	0.216 
018581 	0.334 	0.170 	0.075 	0.210 
018582 	0.339 	0.167 	0.078 	0.216 
018583 	0.348 	0.164 	0.077 	0.211 
018584 	0.351 	0.160 	0.080 	0.214 
018585 	0.355 	0.157 	0.080 	0.211 
018586 	0.359 	0.157 	0.078 	0.208 
018587 	0.365 	0.155 	0.081 	0.210 
018588 	0.373 	0.154 	0.081 	0.197 
018589 	0.374 	0.151 	0.082 	0.199 
018590 	0.374 	0.150 	0.084 	0.201 
018591 	0.377 	0.149 	0.083 	0.191 
018592 	0.379 	0.147 	0.083 	0.190 
018593 	0.379 	0.137 	0.081 	0.214 
018594 	0.382 	0.139 	0.101 	0.199 
018595 	0.383 	0.139 	0.081 	0.200 
018596 	0.387 	0.142 	0.083 	0.193 
018597 	0.389 	0.138 	0.083 	0.201 
018598 	0.394 	0.140 	0.082 	0.196 
