Text:  ACTUALLY JUST THE OPPOSITE THEY SHARE ALL OF THAT MATERIAL THROUGH THE MYCORRHIZAL LAYER AND THAT IS BECAUSE THE 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
019226 	0.414 	0.077 	0.063 	0.162 
019227 	0.415 	0.077 	0.063 	0.163 
019228 	0.415 	0.076 	0.064 	0.165 
019229 	0.414 	0.076 	0.065 	0.164 
019230 	0.414 	0.072 	0.065 	0.169 
019231 	0.413 	0.075 	0.065 	0.173 
019232 	0.414 	0.074 	0.065 	0.171 
019233 	0.414 	0.074 	0.064 	0.167 
019234 	0.416 	0.075 	0.063 	0.163 
019235 	0.416 	0.072 	0.062 	0.167 
019236 	0.416 	0.072 	0.065 	0.166 
019237 	0.414 	0.071 	0.066 	0.170 
019238 	0.413 	0.073 	0.066 	0.168 
019239 	0.414 	0.074 	0.064 	0.166 
019240 	0.414 	0.074 	0.063 	0.165 
019241 	0.414 	0.074 	0.063 	0.167 
019242 	0.411 	0.073 	0.065 	0.166 
019243 	0.410 	0.073 	0.064 	0.168 
019244 	0.412 	0.073 	0.063 	0.175 
019245 	0.411 	0.074 	0.063 	0.175 
019246 	0.411 	0.074 	0.063 	0.175 
019247 	0.410 	0.073 	0.064 	0.166 
019248 	0.409 	0.073 	0.064 	0.166 
019249 	0.409 	0.074 	0.065 	0.171 
019250 	0.408 	0.075 	0.065 	0.168 
019251 	0.407 	0.074 	0.065 	0.168 
019252 	0.405 	0.074 	0.066 	0.167 
019253 	0.405 	0.074 	0.066 	0.166 
019254 	0.405 	0.076 	0.066 	0.163 
019255 	0.402 	0.074 	0.068 	0.169 
019256 	0.403 	0.075 	0.066 	0.167 
019257 	0.402 	0.073 	0.065 	0.171 
019258 	0.400 	0.075 	0.065 	0.171 
019259 	0.401 	0.077 	0.063 	0.171 
019260 	0.398 	0.079 	0.064 	0.172 
019261 	0.398 	0.083 	0.063 	0.170 
019262 	0.395 	0.087 	0.064 	0.169 
019263 	0.390 	0.090 	0.064 	0.170 
019264 	0.387 	0.090 	0.065 	0.166 
019265 	0.385 	0.092 	0.064 	0.163 
019266 	0.382 	0.090 	0.065 	0.169 
019267 	0.380 	0.090 	0.063 	0.168 
019268 	0.373 	0.090 	0.065 	0.170 
019269 	0.370 	0.088 	0.065 	0.169 
019270 	0.368 	0.086 	0.065 	0.170 
019271 	0.363 	0.083 	0.066 	0.170 
019272 	0.359 	0.082 	0.067 	0.170 
019273 	0.357 	0.078 	0.064 	0.176 
019274 	0.353 	0.078 	0.065 	0.177 
019275 	0.352 	0.077 	0.065 	0.178 
019276 	0.349 	0.077 	0.066 	0.181 
019277 	0.348 	0.080 	0.066 	0.177 
019278 	0.344 	0.081 	0.066 	0.176 
019279 	0.343 	0.083 	0.065 	0.173 
019280 	0.340 	0.083 	0.066 	0.171 
019281 	0.336 	0.081 	0.068 	0.175 
019282 	0.334 	0.079 	0.069 	0.179 
019283 	0.333 	0.082 	0.067 	0.177 
019284 	0.333 	0.083 	0.067 	0.176 
019285 	0.332 	0.085 	0.066 	0.176 
019286 	0.331 	0.083 	0.067 	0.176 
019287 	0.330 	0.081 	0.068 	0.176 
019288 	0.330 	0.080 	0.068 	0.174 
019289 	0.330 	0.081 	0.068 	0.172 
019290 	0.330 	0.081 	0.069 	0.174 
019291 	0.331 	0.082 	0.068 	0.178 
019292 	0.331 	0.083 	0.068 	0.175 
019293 	0.331 	0.082 	0.069 	0.178 
019294 	0.332 	0.082 	0.068 	0.174 
019295 	0.332 	0.082 	0.068 	0.178 
019296 	0.333 	0.081 	0.067 	0.177 
019297 	0.333 	0.082 	0.067 	0.180 
019298 	0.333 	0.083 	0.067 	0.176 
019299 	0.334 	0.083 	0.066 	0.175 
019300 	0.335 	0.084 	0.066 	0.171 
019301 	0.335 	0.082 	0.068 	0.172 
019302 	0.336 	0.080 	0.067 	0.172 
019303 	0.337 	0.081 	0.068 	0.167 
019304 	0.337 	0.080 	0.069 	0.168 
019305 	0.342 	0.081 	0.064 	0.171 
019306 	0.342 	0.081 	0.066 	0.174 
019307 	0.343 	0.081 	0.066 	0.175 
019308 	0.343 	0.082 	0.067 	0.170 
019309 	0.343 	0.083 	0.067 	0.170 
019310 	0.344 	0.082 	0.066 	0.171 
019311 	0.345 	0.081 	0.065 	0.172 
019312 	0.345 	0.080 	0.065 	0.167 
019313 	0.345 	0.078 	0.066 	0.171 
019314 	0.346 	0.076 	0.066 	0.173 
019315 	0.345 	0.077 	0.067 	0.171 
019316 	0.346 	0.076 	0.067 	0.174 
019317 	0.345 	0.076 	0.068 	0.174 
019318 	0.346 	0.076 	0.066 	0.177 
019319 	0.346 	0.076 	0.065 	0.177 
019320 	0.347 	0.077 	0.065 	0.176 
019321 	0.347 	0.076 	0.065 	0.176 
019322 	0.347 	0.078 	0.065 	0.173 
019323 	0.346 	0.079 	0.065 	0.172 
019324 	0.346 	0.080 	0.066 	0.171 
019325 	0.347 	0.081 	0.064 	0.170 
019326 	0.346 	0.078 	0.064 	0.170 
019327 	0.347 	0.079 	0.062 	0.167 
019328 	0.349 	0.077 	0.063 	0.169 
019329 	0.350 	0.077 	0.062 	0.171 
019330 	0.350 	0.076 	0.061 	0.172 
019331 	0.350 	0.076 	0.062 	0.172 
019332 	0.350 	0.078 	0.062 	0.174 
019333 	0.348 	0.079 	0.064 	0.173 
019334 	0.348 	0.076 	0.063 	0.177 
019335 	0.348 	0.075 	0.063 	0.174 
019336 	0.348 	0.074 	0.063 	0.176 
019337 	0.348 	0.076 	0.063 	0.172 
019338 	0.349 	0.076 	0.062 	0.167 
019339 	0.349 	0.075 	0.063 	0.166 
019340 	0.348 	0.075 	0.064 	0.168 
019341 	0.348 	0.076 	0.064 	0.177 
019342 	0.348 	0.076 	0.064 	0.174 
019343 	0.348 	0.075 	0.063 	0.171 
019344 	0.349 	0.076 	0.062 	0.169 
019345 	0.349 	0.076 	0.063 	0.169 
019346 	0.349 	0.076 	0.063 	0.165 
019347 	0.347 	0.075 	0.064 	0.166 
019348 	0.348 	0.075 	0.064 	0.174 
019349 	0.347 	0.075 	0.065 	0.175 
019350 	0.347 	0.074 	0.064 	0.174 
019351 	0.348 	0.076 	0.063 	0.168 
019352 	0.348 	0.075 	0.063 	0.168 
019353 	0.348 	0.075 	0.064 	0.167 
019354 	0.346 	0.076 	0.066 	0.167 
019355 	0.347 	0.077 	0.065 	0.167 
019356 	0.349 	0.075 	0.063 	0.170 
019357 	0.347 	0.076 	0.065 	0.170 
019358 	0.347 	0.075 	0.066 	0.175 
019359 	0.347 	0.074 	0.065 	0.172 
019360 	0.347 	0.074 	0.065 	0.173 
019361 	0.347 	0.074 	0.065 	0.172 
019362 	0.347 	0.075 	0.065 	0.171 
019363 	0.347 	0.074 	0.064 	0.171 
019364 	0.348 	0.074 	0.064 	0.171 
019365 	0.348 	0.075 	0.064 	0.172 
019366 	0.348 	0.074 	0.064 	0.174 
019367 	0.348 	0.073 	0.064 	0.175 
019368 	0.347 	0.075 	0.064 	0.171 
019369 	0.347 	0.076 	0.064 	0.171 
019370 	0.347 	0.076 	0.064 	0.173 
019371 	0.347 	0.076 	0.063 	0.173 
019372 	0.347 	0.076 	0.064 	0.172 
019373 	0.346 	0.076 	0.064 	0.172 
019374 	0.346 	0.076 	0.065 	0.173 
019375 	0.347 	0.076 	0.064 	0.173 
019376 	0.347 	0.075 	0.063 	0.172 
019377 	0.347 	0.076 	0.064 	0.174 
019378 	0.349 	0.076 	0.064 	0.173 
019379 	0.348 	0.075 	0.065 	0.176 
019380 	0.349 	0.075 	0.065 	0.178 
019381 	0.351 	0.075 	0.063 	0.177 
019382 	0.350 	0.075 	0.065 	0.178 
019383 	0.353 	0.072 	0.063 	0.172 
019384 	0.354 	0.072 	0.062 	0.170 
019385 	0.356 	0.072 	0.061 	0.170 
019386 	0.356 	0.070 	0.062 	0.173 
019387 	0.356 	0.070 	0.062 	0.171 
019388 	0.356 	0.070 	0.060 	0.171 
019389 	0.353 	0.072 	0.063 	0.169 
019390 	0.354 	0.070 	0.062 	0.171 
019391 	0.353 	0.074 	0.062 	0.168 
019392 	0.351 	0.075 	0.063 	0.168 
019393 	0.350 	0.074 	0.063 	0.165 
019394 	0.349 	0.075 	0.063 	0.165 
019395 	0.349 	0.076 	0.064 	0.166 
019396 	0.349 	0.076 	0.064 	0.166 
019397 	0.349 	0.076 	0.064 	0.168 
019398 	0.351 	0.078 	0.063 	0.165 

WORD START END ASDSCORE
ACTUALLY 0.09 0.41 7.2
JUST 0.41 0.58 5.7
THE 0.58 0.68 5.8
OPPOSITE 0.68 1.23 7.1
THEY 1.53 1.86 4.8
SHARE 1.86 2.60 6.3
ALL 2.78 2.96 2.2
OF 2.96 3.05 3.6
THAT 3.05 3.26 4.8
MATERIAL 3.26 3.72 2.9
THROUGH 3.72 4.02 2.6
THE 4.02 4.33 3.5
MYCORRHIZAL 4.47 5.11 8.0
LAYER 5.11 5.49 5.5
AND 5.49 5.58 1.9
THAT 6.12 6.29 2.2
IS 6.29 6.42 3.7
BECAUSE 6.42 6.69 5.6
THE 6.72 6.80 6.3
