Text:  WHAT IF WE HAD COMPANIES DOING THE SAME THING COULD COMPANIES ACTUALLY STOP COMPETING WITH EACH OTHER BUT COOPERATE WHAT WOULD THAT LOOK LIKE WE'RE DOING THAT NOW WITH OUR DESIGN CHALLENGES WE'RE BRINGING TOGETHER 
Conf:  2
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
019510 	0.495 	0.090 	0.065 	0.174 
019511 	0.496 	0.087 	0.064 	0.175 
019512 	0.495 	0.088 	0.065 	0.175 
019513 	0.495 	0.088 	0.065 	0.176 
019514 	0.496 	0.088 	0.063 	0.175 
019515 	0.497 	0.088 	0.060 	0.170 
019516 	0.496 	0.088 	0.062 	0.167 
019517 	0.497 	0.089 	0.061 	0.165 
019518 	0.496 	0.089 	0.061 	0.164 
019519 	0.495 	0.090 	0.061 	0.169 
019520 	0.494 	0.091 	0.063 	0.169 
019521 	0.494 	0.093 	0.063 	0.168 
019522 	0.494 	0.094 	0.063 	0.166 
019523 	0.493 	0.093 	0.063 	0.164 
019524 	0.493 	0.093 	0.064 	0.167 
019525 	0.495 	0.095 	0.063 	0.168 
019526 	0.495 	0.094 	0.064 	0.169 
019527 	0.494 	0.093 	0.065 	0.173 
019528 	0.493 	0.093 	0.064 	0.177 
019529 	0.494 	0.093 	0.063 	0.178 
019530 	0.494 	0.093 	0.064 	0.179 
019531 	0.494 	0.092 	0.065 	0.177 
019532 	0.495 	0.092 	0.065 	0.173 
019533 	0.494 	0.091 	0.066 	0.171 
019534 	0.494 	0.091 	0.065 	0.171 
019535 	0.495 	0.093 	0.063 	0.174 
019536 	0.493 	0.093 	0.065 	0.175 
019537 	0.494 	0.093 	0.064 	0.174 
019538 	0.495 	0.091 	0.063 	0.171 
019539 	0.494 	0.091 	0.065 	0.170 
019540 	0.495 	0.093 	0.065 	0.168 
019541 	0.494 	0.093 	0.066 	0.168 
019542 	0.494 	0.092 	0.066 	0.169 
019543 	0.495 	0.093 	0.066 	0.166 
019544 	0.496 	0.092 	0.066 	0.167 
019545 	0.495 	0.091 	0.067 	0.167 
019546 	0.496 	0.093 	0.066 	0.167 
019547 	0.495 	0.091 	0.067 	0.169 
019548 	0.496 	0.093 	0.065 	0.167 
019549 	0.496 	0.091 	0.065 	0.168 
019550 	0.495 	0.092 	0.067 	0.166 
019551 	0.495 	0.092 	0.066 	0.166 
019552 	0.494 	0.091 	0.068 	0.166 
019553 	0.495 	0.091 	0.067 	0.165 
019554 	0.494 	0.090 	0.066 	0.171 
019555 	0.495 	0.088 	0.065 	0.173 
019556 	0.495 	0.088 	0.066 	0.172 
019557 	0.495 	0.089 	0.066 	0.170 
019558 	0.496 	0.090 	0.064 	0.170 
019559 	0.495 	0.091 	0.065 	0.170 
019560 	0.496 	0.091 	0.064 	0.171 
019561 	0.496 	0.091 	0.063 	0.170 
019562 	0.496 	0.089 	0.063 	0.171 
019563 	0.495 	0.091 	0.064 	0.172 
019564 	0.496 	0.091 	0.063 	0.170 
019565 	0.496 	0.092 	0.062 	0.168 
019566 	0.497 	0.092 	0.062 	0.167 
019567 	0.496 	0.092 	0.063 	0.166 
019568 	0.496 	0.092 	0.063 	0.166 
019569 	0.496 	0.093 	0.064 	0.164 
019570 	0.496 	0.093 	0.063 	0.168 
019571 	0.496 	0.095 	0.062 	0.172 
019572 	0.497 	0.096 	0.061 	0.173 
019573 	0.495 	0.096 	0.062 	0.173 
019574 	0.493 	0.095 	0.063 	0.166 
019575 	0.492 	0.097 	0.064 	0.166 
019576 	0.492 	0.098 	0.064 	0.166 
019577 	0.491 	0.098 	0.064 	0.166 
019578 	0.491 	0.098 	0.065 	0.166 
019579 	0.491 	0.098 	0.065 	0.165 
019580 	0.492 	0.096 	0.065 	0.166 
019581 	0.492 	0.096 	0.064 	0.165 
019582 	0.492 	0.095 	0.065 	0.166 
019583 	0.493 	0.094 	0.064 	0.165 
019584 	0.494 	0.094 	0.063 	0.168 
019585 	0.494 	0.094 	0.062 	0.170 
019586 	0.493 	0.094 	0.063 	0.174 
019587 	0.492 	0.095 	0.063 	0.177 
019588 	0.492 	0.096 	0.063 	0.177 
019589 	0.492 	0.095 	0.063 	0.169 
019590 	0.493 	0.096 	0.062 	0.165 
019591 	0.492 	0.095 	0.063 	0.164 
019592 	0.492 	0.096 	0.062 	0.166 
019593 	0.493 	0.096 	0.062 	0.165 
019594 	0.493 	0.096 	0.061 	0.165 
019595 	0.493 	0.097 	0.062 	0.164 
