Text:  ADHESIVES AND COLOR AND SEE IF WE CAN ACTUALLY CREATE A HEALTHY INDUSTRIAL ECOSYSTEM 
Conf:  4
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
019873 	0.342 	0.213 	0.082 	0.216 
019874 	0.344 	0.210 	0.082 	0.217 
019875 	0.347 	0.211 	0.082 	0.219 
019876 	0.353 	0.195 	0.084 	0.242 
019877 	0.357 	0.192 	0.084 	0.247 
019878 	0.360 	0.189 	0.086 	0.246 
019879 	0.362 	0.188 	0.088 	0.242 
019880 	0.370 	0.201 	0.084 	0.224 
019881 	0.376 	0.208 	0.083 	0.218 
019882 	0.379 	0.208 	0.084 	0.218 
019883 	0.382 	0.208 	0.085 	0.218 
019884 	0.385 	0.208 	0.085 	0.219 
019885 	0.388 	0.208 	0.086 	0.219 
019886 	0.391 	0.209 	0.087 	0.219 
019887 	0.393 	0.209 	0.086 	0.221 
019888 	0.392 	0.199 	0.092 	0.236 
019889 	0.396 	0.216 	0.085 	0.215 
019890 	0.397 	0.218 	0.085 	0.214 
019891 	0.397 	0.220 	0.085 	0.215 
019892 	0.397 	0.220 	0.085 	0.213 
019893 	0.396 	0.220 	0.085 	0.214 
019894 	0.396 	0.220 	0.084 	0.212 
019895 	0.395 	0.219 	0.084 	0.214 
019896 	0.392 	0.216 	0.084 	0.213 
019897 	0.391 	0.216 	0.085 	0.213 
019898 	0.389 	0.218 	0.085 	0.212 
019899 	0.386 	0.217 	0.085 	0.212 
019900 	0.383 	0.216 	0.084 	0.211 
019901 	0.380 	0.216 	0.083 	0.210 
019902 	0.377 	0.215 	0.085 	0.212 
019903 	0.374 	0.213 	0.087 	0.217 
019904 	0.371 	0.191 	0.090 	0.248 
019905 	0.369 	0.191 	0.090 	0.245 
019906 	0.360 	0.194 	0.090 	0.234 
019907 	0.354 	0.194 	0.093 	0.232 
019908 	0.355 	0.195 	0.088 	0.237 
019909 	0.352 	0.195 	0.088 	0.242 
