Text:  HEALTHY COMPANY AT A TIME AS CONSUMERS I WANT US TO REMEMBER THAT WE HAVE CHOICES TOO WE HAVE 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
020064 	0.412 	0.079 	0.062 	0.170 
020065 	0.412 	0.079 	0.063 	0.170 
020066 	0.412 	0.078 	0.064 	0.170 
020067 	0.412 	0.077 	0.064 	0.175 
020068 	0.412 	0.075 	0.063 	0.179 
020069 	0.412 	0.076 	0.062 	0.176 
020070 	0.412 	0.076 	0.062 	0.175 
020071 	0.411 	0.077 	0.061 	0.173 
020072 	0.408 	0.076 	0.060 	0.174 
020073 	0.404 	0.076 	0.064 	0.172 
020074 	0.403 	0.078 	0.064 	0.171 
020075 	0.402 	0.079 	0.064 	0.172 
020076 	0.401 	0.078 	0.064 	0.173 
020077 	0.401 	0.078 	0.064 	0.174 
020078 	0.401 	0.076 	0.064 	0.172 
020079 	0.402 	0.073 	0.063 	0.171 
020080 	0.401 	0.074 	0.064 	0.171 
020081 	0.401 	0.075 	0.066 	0.167 
020082 	0.400 	0.075 	0.064 	0.171 
020083 	0.401 	0.074 	0.062 	0.173 
020084 	0.399 	0.074 	0.063 	0.172 
020085 	0.398 	0.075 	0.064 	0.172 
020086 	0.398 	0.075 	0.066 	0.171 
020087 	0.397 	0.074 	0.064 	0.173 
020088 	0.398 	0.074 	0.065 	0.175 
020089 	0.397 	0.074 	0.065 	0.174 
020090 	0.397 	0.074 	0.067 	0.174 
020091 	0.397 	0.074 	0.066 	0.173 
020092 	0.398 	0.075 	0.064 	0.171 
020093 	0.397 	0.076 	0.065 	0.169 
020094 	0.397 	0.076 	0.065 	0.168 
020095 	0.395 	0.077 	0.065 	0.174 
020096 	0.389 	0.077 	0.068 	0.171 
020097 	0.389 	0.076 	0.066 	0.173 
020098 	0.386 	0.075 	0.063 	0.172 
020099 	0.383 	0.077 	0.063 	0.169 
020100 	0.380 	0.078 	0.063 	0.164 
020101 	0.377 	0.080 	0.063 	0.164 
020102 	0.373 	0.079 	0.063 	0.167 
020103 	0.362 	0.079 	0.064 	0.166 
020104 	0.358 	0.076 	0.063 	0.170 
020105 	0.353 	0.077 	0.062 	0.166 
020106 	0.348 	0.078 	0.064 	0.167 
020107 	0.344 	0.078 	0.064 	0.167 
020108 	0.336 	0.079 	0.068 	0.168 
020109 	0.336 	0.076 	0.066 	0.170 
020110 	0.335 	0.076 	0.067 	0.172 
020111 	0.336 	0.076 	0.066 	0.172 
020112 	0.337 	0.073 	0.066 	0.171 
020113 	0.342 	0.073 	0.065 	0.172 
020114 	0.343 	0.072 	0.067 	0.174 
020115 	0.346 	0.071 	0.065 	0.173 
020116 	0.349 	0.070 	0.065 	0.173 
020117 	0.352 	0.069 	0.064 	0.173 
020118 	0.361 	0.071 	0.061 	0.171 
020119 	0.363 	0.070 	0.064 	0.171 
020120 	0.369 	0.069 	0.064 	0.171 
020121 	0.370 	0.067 	0.066 	0.171 
020122 	0.375 	0.068 	0.064 	0.170 
020123 	0.384 	0.069 	0.062 	0.169 
020124 	0.388 	0.070 	0.061 	0.169 
020125 	0.390 	0.071 	0.063 	0.172 
020126 	0.395 	0.073 	0.064 	0.169 
020127 	0.399 	0.073 	0.064 	0.170 
020128 	0.406 	0.074 	0.063 	0.166 
020129 	0.411 	0.076 	0.062 	0.166 
020130 	0.416 	0.073 	0.059 	0.167 
020131 	0.420 	0.078 	0.059 	0.161 
020132 	0.420 	0.079 	0.062 	0.161 
020133 	0.425 	0.085 	0.063 	0.161 
020134 	0.427 	0.085 	0.062 	0.163 
020135 	0.428 	0.085 	0.064 	0.166 
020136 	0.431 	0.084 	0.063 	0.167 
020137 	0.432 	0.086 	0.064 	0.164 
020138 	0.435 	0.089 	0.064 	0.163 
020139 	0.437 	0.091 	0.063 	0.160 
020140 	0.440 	0.091 	0.062 	0.159 
020141 	0.441 	0.091 	0.062 	0.163 
020142 	0.441 	0.091 	0.062 	0.165 
020143 	0.444 	0.092 	0.062 	0.166 
020144 	0.445 	0.092 	0.064 	0.161 
020145 	0.446 	0.093 	0.063 	0.162 
020146 	0.447 	0.093 	0.063 	0.164 
020147 	0.447 	0.093 	0.063 	0.162 
020148 	0.448 	0.096 	0.063 	0.162 
020149 	0.448 	0.095 	0.064 	0.163 
020150 	0.448 	0.095 	0.064 	0.161 
020151 	0.447 	0.094 	0.064 	0.161 
020152 	0.448 	0.095 	0.062 	0.160 
020153 	0.446 	0.093 	0.064 	0.165 
020154 	0.446 	0.092 	0.064 	0.169 
020155 	0.444 	0.091 	0.065 	0.169 
020156 	0.444 	0.093 	0.064 	0.171 
020157 	0.445 	0.093 	0.064 	0.168 
020158 	0.445 	0.094 	0.062 	0.169 
020159 	0.444 	0.094 	0.063 	0.167 
020160 	0.445 	0.094 	0.063 	0.171 
020161 	0.444 	0.095 	0.064 	0.169 
020162 	0.444 	0.096 	0.064 	0.165 
020163 	0.444 	0.094 	0.064 	0.167 
020164 	0.445 	0.094 	0.064 	0.163 
020165 	0.445 	0.096 	0.063 	0.165 
020166 	0.445 	0.096 	0.064 	0.165 
020167 	0.446 	0.095 	0.063 	0.165 
020168 	0.450 	0.097 	0.062 	0.164 
020169 	0.450 	0.098 	0.063 	0.163 
020170 	0.451 	0.099 	0.062 	0.163 
020171 	0.453 	0.098 	0.061 	0.165 
020172 	0.452 	0.098 	0.062 	0.162 
020173 	0.453 	0.101 	0.061 	0.159 
020174 	0.453 	0.100 	0.062 	0.165 
020175 	0.452 	0.100 	0.063 	0.168 
020176 	0.451 	0.100 	0.064 	0.165 
020177 	0.451 	0.100 	0.064 	0.161 
020178 	0.450 	0.101 	0.065 	0.162 
020179 	0.451 	0.101 	0.064 	0.164 
020180 	0.451 	0.101 	0.064 	0.163 
020181 	0.452 	0.101 	0.064 	0.165 
020182 	0.452 	0.101 	0.064 	0.165 
020183 	0.453 	0.100 	0.064 	0.167 
020184 	0.454 	0.101 	0.064 	0.162 
020185 	0.454 	0.102 	0.064 	0.160 
020186 	0.453 	0.101 	0.065 	0.163 
020187 	0.455 	0.101 	0.064 	0.165 
020188 	0.456 	0.099 	0.061 	0.170 
020189 	0.457 	0.103 	0.061 	0.163 
020190 	0.457 	0.103 	0.061 	0.161 
020191 	0.457 	0.104 	0.061 	0.163 
020192 	0.456 	0.102 	0.062 	0.165 
020193 	0.455 	0.102 	0.063 	0.166 
