Text:  LABELS WHEN YOU PAY FOR SOMETHING PAY ATTENTION WHAT IS IN IT WHAT DO I 
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
020625 	0.300 	0.210 	0.082 	0.211 
020626 	0.307 	0.190 	0.092 	0.226 
020627 	0.315 	0.202 	0.086 	0.219 
020628 	0.319 	0.200 	0.088 	0.219 
020629 	0.325 	0.205 	0.085 	0.208 
020630 	0.329 	0.207 	0.085 	0.204 
020631 	0.339 	0.197 	0.085 	0.221 
020632 	0.342 	0.200 	0.085 	0.214 
020633 	0.345 	0.200 	0.085 	0.217 
020634 	0.346 	0.205 	0.086 	0.217 
020635 	0.348 	0.205 	0.086 	0.213 
020636 	0.350 	0.209 	0.086 	0.213 
020637 	0.349 	0.209 	0.088 	0.216 
020638 	0.348 	0.209 	0.087 	0.218 
020639 	0.350 	0.194 	0.087 	0.241 
020640 	0.349 	0.192 	0.087 	0.243 
020641 	0.343 	0.212 	0.085 	0.219 
020642 	0.339 	0.210 	0.086 	0.219 
020643 	0.336 	0.211 	0.087 	0.218 
020644 	0.335 	0.212 	0.085 	0.218 
020645 	0.332 	0.214 	0.084 	0.216 
020646 	0.330 	0.217 	0.083 	0.213 
020647 	0.327 	0.219 	0.083 	0.211 
020648 	0.328 	0.220 	0.083 	0.208 
020649 	0.327 	0.222 	0.085 	0.209 
020650 	0.328 	0.223 	0.083 	0.211 
020651 	0.330 	0.225 	0.085 	0.209 
020652 	0.331 	0.227 	0.086 	0.207 
020653 	0.333 	0.229 	0.087 	0.206 
020654 	0.333 	0.229 	0.088 	0.209 
020655 	0.335 	0.227 	0.086 	0.208 
020656 	0.335 	0.230 	0.087 	0.209 
020657 	0.335 	0.231 	0.086 	0.209 
020658 	0.335 	0.233 	0.086 	0.209 
020659 	0.332 	0.218 	0.093 	0.235 
020660 	0.332 	0.217 	0.093 	0.232 
020661 	0.330 	0.220 	0.090 	0.226 
020662 	0.328 	0.223 	0.088 	0.220 
020663 	0.327 	0.226 	0.085 	0.214 
020664 	0.326 	0.225 	0.085 	0.213 
020665 	0.326 	0.224 	0.086 	0.213 
020666 	0.325 	0.223 	0.085 	0.211 
020667 	0.325 	0.224 	0.085 	0.210 
020668 	0.325 	0.222 	0.085 	0.210 
020669 	0.325 	0.221 	0.084 	0.213 
020670 	0.325 	0.221 	0.085 	0.211 
020671 	0.326 	0.221 	0.084 	0.208 
020672 	0.327 	0.220 	0.085 	0.207 
020673 	0.328 	0.220 	0.083 	0.203 
020674 	0.329 	0.219 	0.083 	0.209 
020675 	0.330 	0.219 	0.084 	0.209 
020676 	0.332 	0.218 	0.084 	0.209 
020677 	0.333 	0.217 	0.085 	0.210 
020678 	0.335 	0.216 	0.086 	0.210 
020679 	0.336 	0.217 	0.085 	0.207 
020680 	0.337 	0.216 	0.085 	0.211 
020681 	0.339 	0.216 	0.083 	0.215 
020682 	0.339 	0.216 	0.084 	0.218 
020683 	0.339 	0.217 	0.084 	0.218 
020684 	0.338 	0.205 	0.090 	0.240 
