Text:  ON A FREEWAY IN LOS ANGELES A DRIVER MAKES A LAST SECOND DASH FOR THE EXIT RAMP 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
000168 	0.502 	0.138 	0.082 	0.200 
000169 	0.502 	0.140 	0.081 	0.200 
000170 	0.503 	0.136 	0.080 	0.209 
000171 	0.505 	0.139 	0.080 	0.206 
000172 	0.499 	0.119 	0.090 	0.236 
000173 	0.500 	0.120 	0.090 	0.238 
000174 	0.500 	0.119 	0.091 	0.237 
000175 	0.501 	0.119 	0.091 	0.233 
000176 	0.506 	0.133 	0.082 	0.209 
000177 	0.501 	0.118 	0.093 	0.228 
000178 	0.503 	0.117 	0.091 	0.233 
000179 	0.502 	0.116 	0.092 	0.232 
000180 	0.505 	0.116 	0.092 	0.233 
000181 	0.506 	0.118 	0.092 	0.229 
000182 	0.509 	0.118 	0.090 	0.229 
000183 	0.510 	0.117 	0.090 	0.230 
000184 	0.511 	0.118 	0.089 	0.229 
000185 	0.513 	0.116 	0.091 	0.232 
000186 	0.513 	0.116 	0.091 	0.232 
000187 	0.514 	0.117 	0.091 	0.233 
000188 	0.513 	0.116 	0.092 	0.233 
000189 	0.515 	0.116 	0.093 	0.232 
000190 	0.513 	0.118 	0.094 	0.231 
000191 	0.515 	0.118 	0.094 	0.229 
000192 	0.515 	0.117 	0.093 	0.228 
000193 	0.513 	0.119 	0.092 	0.224 
000194 	0.513 	0.120 	0.092 	0.224 
000195 	0.514 	0.119 	0.092 	0.224 
000196 	0.513 	0.119 	0.091 	0.227 
000197 	0.511 	0.119 	0.092 	0.227 
000198 	0.513 	0.119 	0.089 	0.228 
000199 	0.513 	0.118 	0.091 	0.231 
000200 	0.513 	0.117 	0.091 	0.231 
000201 	0.513 	0.124 	0.089 	0.229 
000202 	0.512 	0.122 	0.089 	0.232 
000203 	0.514 	0.122 	0.088 	0.237 
000204 	0.512 	0.124 	0.089 	0.238 
000205 	0.512 	0.126 	0.088 	0.238 
000206 	0.511 	0.126 	0.088 	0.235 
000207 	0.513 	0.126 	0.088 	0.235 
000208 	0.512 	0.128 	0.090 	0.233 
000209 	0.513 	0.127 	0.090 	0.235 
000210 	0.514 	0.126 	0.088 	0.237 
000211 	0.514 	0.126 	0.088 	0.237 
000212 	0.516 	0.127 	0.089 	0.236 
000213 	0.516 	0.127 	0.091 	0.237 
000214 	0.518 	0.127 	0.091 	0.237 
