Text:  3 OR 4 LANES OF TRAFFIC TWO CARS HAVE TO BRAKE REALLY HARD TO AVOID HITTING IT THIS CAUSES A TAILBACK A CHAIN REACTION OF BRAKING UNTIL 20 CARS BEHIND SOMEBODY PERHAPS NOT PAYING ATTENTION OR TAILGATING OR BOTH REAR ENDS THE VEHICLE IN THE FRONT 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
000361 	0.543 	0.168 	0.082 	0.209 
000362 	0.544 	0.168 	0.081 	0.208 
000363 	0.544 	0.168 	0.081 	0.207 
000364 	0.545 	0.169 	0.080 	0.204 
000365 	0.545 	0.168 	0.080 	0.208 
000366 	0.547 	0.170 	0.081 	0.206 
000367 	0.549 	0.172 	0.081 	0.204 
000368 	0.551 	0.174 	0.081 	0.202 
000369 	0.551 	0.176 	0.082 	0.201 
000370 	0.552 	0.176 	0.083 	0.201 
000371 	0.554 	0.176 	0.082 	0.201 
000372 	0.555 	0.176 	0.082 	0.200 
000373 	0.557 	0.178 	0.081 	0.201 
000374 	0.559 	0.176 	0.080 	0.205 
000375 	0.560 	0.178 	0.081 	0.202 
000376 	0.561 	0.178 	0.081 	0.204 
000377 	0.558 	0.159 	0.092 	0.230 
000378 	0.564 	0.172 	0.085 	0.212 
000379 	0.565 	0.153 	0.086 	0.233 
000380 	0.568 	0.155 	0.085 	0.234 
000381 	0.568 	0.155 	0.085 	0.234 
000382 	0.568 	0.156 	0.084 	0.235 
000383 	0.570 	0.182 	0.079 	0.204 
000384 	0.570 	0.181 	0.078 	0.208 
000385 	0.570 	0.182 	0.080 	0.201 
000386 	0.570 	0.183 	0.080 	0.196 
000387 	0.571 	0.183 	0.080 	0.198 
000388 	0.571 	0.182 	0.079 	0.204 
000389 	0.571 	0.183 	0.079 	0.204 
000390 	0.571 	0.182 	0.079 	0.202 
000391 	0.570 	0.176 	0.081 	0.208 
000392 	0.569 	0.157 	0.085 	0.235 
000393 	0.571 	0.183 	0.079 	0.196 
000394 	0.570 	0.182 	0.080 	0.198 
000395 	0.570 	0.182 	0.079 	0.198 
000396 	0.571 	0.185 	0.078 	0.198 
000397 	0.568 	0.160 	0.086 	0.233 
000398 	0.568 	0.160 	0.086 	0.232 
000399 	0.568 	0.160 	0.087 	0.232 
000400 	0.569 	0.185 	0.079 	0.198 
000401 	0.570 	0.184 	0.077 	0.198 
000402 	0.570 	0.184 	0.078 	0.197 
000403 	0.569 	0.185 	0.078 	0.196 
000404 	0.569 	0.184 	0.078 	0.197 
000405 	0.568 	0.183 	0.080 	0.198 
000406 	0.568 	0.183 	0.080 	0.198 
000407 	0.568 	0.182 	0.080 	0.198 
000408 	0.568 	0.182 	0.081 	0.197 
000409 	0.568 	0.181 	0.080 	0.198 
000410 	0.568 	0.181 	0.080 	0.199 
