Text:  TO PEEL OFF TO THE LANE TO THE LEFT AND TO THE RIGHT TO GET AROUND THE OBSTACLE AND BEFORE WE KNOW IT LIKE AN ARETERIAL THROMBOSIS 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
001201 	0.499 	0.155 	0.130 	0.335 
001202 	0.505 	0.155 	0.130 	0.332 
001203 	0.512 	0.155 	0.130 	0.326 
001204 	0.520 	0.157 	0.130 	0.321 
001205 	0.526 	0.154 	0.129 	0.323 
001206 	0.532 	0.156 	0.127 	0.316 
001207 	0.535 	0.154 	0.129 	0.321 
001208 	0.540 	0.151 	0.129 	0.322 
001209 	0.541 	0.152 	0.131 	0.323 
001210 	0.543 	0.150 	0.129 	0.326 
001211 	0.544 	0.152 	0.129 	0.324 
001212 	0.544 	0.152 	0.129 	0.324 
001213 	0.544 	0.154 	0.126 	0.320 
001214 	0.541 	0.156 	0.126 	0.326 
001215 	0.540 	0.151 	0.123 	0.334 
001216 	0.539 	0.156 	0.121 	0.332 
001217 	0.535 	0.160 	0.120 	0.325 
001218 	0.529 	0.162 	0.120 	0.325 
001219 	0.525 	0.168 	0.125 	0.318 
001220 	0.520 	0.168 	0.125 	0.315 
001221 	0.515 	0.166 	0.126 	0.317 
001222 	0.512 	0.166 	0.124 	0.321 
001223 	0.506 	0.167 	0.123 	0.321 
001224 	0.503 	0.164 	0.122 	0.326 
001225 	0.499 	0.164 	0.121 	0.322 
001226 	0.497 	0.163 	0.123 	0.326 
001227 	0.493 	0.164 	0.125 	0.326 
001228 	0.489 	0.167 	0.125 	0.326 
001229 	0.485 	0.168 	0.123 	0.329 
001230 	0.484 	0.170 	0.121 	0.326 
001231 	0.479 	0.172 	0.121 	0.319 
001232 	0.474 	0.174 	0.122 	0.319 
001233 	0.471 	0.180 	0.122 	0.312 
001234 	0.464 	0.173 	0.121 	0.320 
001235 	0.457 	0.170 	0.124 	0.325 
001236 	0.457 	0.170 	0.124 	0.325 
001237 	0.452 	0.171 	0.123 	0.321 
001238 	0.444 	0.171 	0.127 	0.319 
001239 	0.439 	0.167 	0.123 	0.325 
001240 	0.432 	0.170 	0.124 	0.321 
001241 	0.426 	0.176 	0.125 	0.323 
001242 	0.421 	0.180 	0.126 	0.322 
001243 	0.416 	0.188 	0.127 	0.311 
001244 	0.413 	0.192 	0.127 	0.310 
001245 	0.410 	0.196 	0.130 	0.313 
001246 	0.411 	0.197 	0.128 	0.315 
001247 	0.411 	0.194 	0.130 	0.316 
001248 	0.414 	0.192 	0.129 	0.317 
001249 	0.420 	0.187 	0.127 	0.318 
001250 	0.427 	0.186 	0.124 	0.314 
001251 	0.433 	0.181 	0.127 	0.311 
001252 	0.442 	0.170 	0.124 	0.322 
001253 	0.446 	0.171 	0.126 	0.319 
001254 	0.455 	0.163 	0.125 	0.328 
001255 	0.464 	0.167 	0.123 	0.321 
001256 	0.469 	0.164 	0.125 	0.327 
001257 	0.473 	0.167 	0.124 	0.321 
001258 	0.478 	0.169 	0.122 	0.322 
001259 	0.483 	0.169 	0.122 	0.321 
001260 	0.483 	0.169 	0.122 	0.321 
001261 	0.484 	0.170 	0.124 	0.322 
001262 	0.483 	0.169 	0.127 	0.323 
001263 	0.487 	0.169 	0.126 	0.320 
001264 	0.488 	0.169 	0.126 	0.318 
001265 	0.488 	0.169 	0.126 	0.321 
001266 	0.489 	0.171 	0.125 	0.323 
001267 	0.489 	0.173 	0.124 	0.325 
001268 	0.490 	0.171 	0.124 	0.329 
001269 	0.491 	0.170 	0.124 	0.329 
001270 	0.492 	0.168 	0.125 	0.337 
001271 	0.492 	0.170 	0.123 	0.336 
001272 	0.495 	0.172 	0.121 	0.332 
001273 	0.497 	0.173 	0.121 	0.329 
001274 	0.497 	0.169 	0.122 	0.333 
001275 	0.497 	0.171 	0.123 	0.333 
001276 	0.498 	0.171 	0.125 	0.339 
001277 	0.497 	0.167 	0.126 	0.346 
001278 	0.498 	0.168 	0.127 	0.346 
001279 	0.499 	0.170 	0.125 	0.338 
001280 	0.499 	0.172 	0.122 	0.335 
001281 	0.498 	0.173 	0.124 	0.333 
001282 	0.499 	0.173 	0.122 	0.336 
001283 	0.499 	0.174 	0.121 	0.337 
001284 	0.499 	0.175 	0.120 	0.335 
001285 	0.499 	0.175 	0.120 	0.335 
001286 	0.500 	0.174 	0.118 	0.330 
001287 	0.497 	0.176 	0.120 	0.321 
001288 	0.494 	0.173 	0.121 	0.324 
001289 	0.495 	0.173 	0.120 	0.327 
001290 	0.494 	0.174 	0.119 	0.327 
001291 	0.493 	0.174 	0.120 	0.325 
001292 	0.489 	0.174 	0.123 	0.325 
001293 	0.491 	0.176 	0.121 	0.322 
001294 	0.489 	0.176 	0.123 	0.321 
001295 	0.489 	0.178 	0.123 	0.320 
001296 	0.486 	0.177 	0.124 	0.321 
001297 	0.484 	0.177 	0.125 	0.325 
001298 	0.483 	0.179 	0.124 	0.321 
001299 	0.483 	0.176 	0.123 	0.327 
001300 	0.481 	0.179 	0.122 	0.322 
001301 	0.481 	0.179 	0.120 	0.325 
001302 	0.478 	0.180 	0.120 	0.329 
001303 	0.477 	0.185 	0.122 	0.320 
001304 	0.478 	0.186 	0.121 	0.323 
001305 	0.479 	0.188 	0.120 	0.320 
001306 	0.479 	0.188 	0.121 	0.319 
001307 	0.480 	0.190 	0.121 	0.319 
001308 	0.483 	0.190 	0.120 	0.322 
001309 	0.483 	0.190 	0.120 	0.322 
001310 	0.482 	0.192 	0.123 	0.320 
001311 	0.484 	0.192 	0.123 	0.318 
001312 	0.483 	0.184 	0.125 	0.330 
001313 	0.484 	0.182 	0.124 	0.331 
001314 	0.487 	0.181 	0.125 	0.331 
001315 	0.490 	0.182 	0.126 	0.328 
001316 	0.490 	0.181 	0.127 	0.332 
001317 	0.493 	0.180 	0.125 	0.330 
001318 	0.494 	0.177 	0.124 	0.334 
001319 	0.495 	0.177 	0.123 	0.325 
001320 	0.496 	0.174 	0.122 	0.322 
001321 	0.497 	0.176 	0.120 	0.322 
001322 	0.497 	0.173 	0.122 	0.324 
001323 	0.495 	0.171 	0.126 	0.325 
001324 	0.496 	0.172 	0.125 	0.326 
001325 	0.497 	0.172 	0.124 	0.326 
001326 	0.501 	0.178 	0.120 	0.321 
001327 	0.501 	0.175 	0.120 	0.326 
001328 	0.501 	0.173 	0.119 	0.329 
001329 	0.502 	0.172 	0.119 	0.329 
001330 	0.500 	0.170 	0.124 	0.330 
001331 	0.500 	0.169 	0.123 	0.333 
001332 	0.503 	0.168 	0.122 	0.332 
001333 	0.503 	0.168 	0.120 	0.332 
001334 	0.503 	0.168 	0.120 	0.332 
001335 	0.502 	0.168 	0.121 	0.335 
001336 	0.502 	0.166 	0.121 	0.334 
001337 	0.502 	0.164 	0.122 	0.333 
001338 	0.501 	0.164 	0.120 	0.335 
001339 	0.500 	0.164 	0.122 	0.330 
001340 	0.500 	0.166 	0.122 	0.332 
001341 	0.499 	0.169 	0.123 	0.327 
001342 	0.498 	0.169 	0.123 	0.325 
001343 	0.497 	0.172 	0.122 	0.324 
001344 	0.498 	0.173 	0.121 	0.323 
001345 	0.495 	0.171 	0.124 	0.325 
001346 	0.495 	0.171 	0.124 	0.324 
001347 	0.495 	0.171 	0.124 	0.326 
001348 	0.494 	0.172 	0.123 	0.325 
001349 	0.494 	0.174 	0.122 	0.324 
001350 	0.493 	0.171 	0.124 	0.326 
001351 	0.493 	0.169 	0.125 	0.329 
001352 	0.494 	0.166 	0.124 	0.332 
001353 	0.493 	0.166 	0.124 	0.331 
001354 	0.492 	0.166 	0.124 	0.332 
001355 	0.490 	0.166 	0.126 	0.330 
001356 	0.490 	0.168 	0.124 	0.328 
001357 	0.490 	0.171 	0.125 	0.326 
001358 	0.490 	0.171 	0.125 	0.326 
001359 	0.489 	0.171 	0.124 	0.327 
001360 	0.490 	0.169 	0.121 	0.328 
001361 	0.489 	0.168 	0.121 	0.329 
001362 	0.487 	0.169 	0.123 	0.326 
001363 	0.487 	0.169 	0.122 	0.325 
001364 	0.486 	0.170 	0.122 	0.324 
001365 	0.485 	0.169 	0.122 	0.326 
001366 	0.484 	0.163 	0.122 	0.333 
001367 	0.484 	0.165 	0.121 	0.334 
001368 	0.484 	0.163 	0.121 	0.331 
001369 	0.486 	0.163 	0.119 	0.331 
001370 	0.486 	0.163 	0.118 	0.327 
001371 	0.486 	0.161 	0.119 	0.329 
001372 	0.486 	0.159 	0.120 	0.332 
001373 	0.486 	0.158 	0.119 	0.333 
001374 	0.486 	0.157 	0.118 	0.333 
001375 	0.486 	0.153 	0.120 	0.336 
001376 	0.486 	0.150 	0.120 	0.339 
001377 	0.485 	0.151 	0.122 	0.339 
001378 	0.489 	0.152 	0.120 	0.336 
001379 	0.488 	0.154 	0.122 	0.330 
001380 	0.489 	0.151 	0.122 	0.331 
