Text:  WAY TO LAX AIRPORT FOR A FLIGHT TO THE BAY AREA FOR A BUSINESS MEETING AND NOW I'M REALLY STRESSED I'M IN DANGER OF MISSING MY FLIGHT THERE'S NOTHING I CAN DO ABOUT IT I JUST SIT THERE GRIND MY TEETH AND HOPE THAT I'M GOING TO GET TO THE AIRPORT IN TIME EVENTUALLY I DO GET TO THE AIRPORT 
Conf:  4
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
001793 	0.497 	0.181 	0.129 	0.328 
001794 	0.498 	0.178 	0.128 	0.323 
001795 	0.499 	0.174 	0.127 	0.329 
001796 	0.499 	0.171 	0.128 	0.330 
001797 	0.499 	0.171 	0.128 	0.330 
001798 	0.500 	0.165 	0.128 	0.334 
001799 	0.499 	0.163 	0.130 	0.336 
001800 	0.500 	0.164 	0.128 	0.332 
001801 	0.501 	0.166 	0.126 	0.330 
001802 	0.503 	0.167 	0.125 	0.332 
001803 	0.504 	0.166 	0.125 	0.334 
001804 	0.504 	0.162 	0.127 	0.335 
001805 	0.503 	0.160 	0.128 	0.339 
001806 	0.502 	0.159 	0.130 	0.338 
001807 	0.503 	0.158 	0.130 	0.339 
001808 	0.502 	0.159 	0.132 	0.336 
001809 	0.501 	0.159 	0.134 	0.338 
001810 	0.499 	0.158 	0.134 	0.340 
001811 	0.501 	0.158 	0.131 	0.338 
001812 	0.501 	0.157 	0.130 	0.343 
001813 	0.501 	0.159 	0.129 	0.340 
001814 	0.503 	0.162 	0.126 	0.335 
001815 	0.502 	0.162 	0.124 	0.337 
001816 	0.502 	0.163 	0.124 	0.339 
001817 	0.501 	0.164 	0.123 	0.337 
001818 	0.501 	0.163 	0.124 	0.339 
001819 	0.500 	0.164 	0.124 	0.333 
001820 	0.500 	0.163 	0.124 	0.334 
001821 	0.500 	0.163 	0.124 	0.331 
001822 	0.500 	0.163 	0.124 	0.331 
001823 	0.500 	0.166 	0.124 	0.327 
001824 	0.500 	0.165 	0.124 	0.336 
001825 	0.501 	0.167 	0.122 	0.335 
001826 	0.501 	0.168 	0.123 	0.330 
001827 	0.501 	0.168 	0.123 	0.329 
001828 	0.501 	0.167 	0.124 	0.332 
001829 	0.500 	0.169 	0.125 	0.332 
001830 	0.500 	0.169 	0.125 	0.332 
001831 	0.501 	0.168 	0.125 	0.332 
001832 	0.499 	0.166 	0.126 	0.330 
001833 	0.500 	0.168 	0.126 	0.328 
001834 	0.500 	0.167 	0.126 	0.330 
001835 	0.500 	0.167 	0.126 	0.329 
001836 	0.500 	0.166 	0.127 	0.330 
001837 	0.501 	0.165 	0.127 	0.331 
001838 	0.501 	0.165 	0.126 	0.331 
001839 	0.502 	0.166 	0.125 	0.334 
001840 	0.501 	0.162 	0.128 	0.332 
001841 	0.499 	0.162 	0.129 	0.332 
001842 	0.501 	0.162 	0.128 	0.331 
001843 	0.501 	0.160 	0.128 	0.330 
001844 	0.504 	0.161 	0.125 	0.336 
001845 	0.504 	0.160 	0.126 	0.340 
001846 	0.504 	0.160 	0.126 	0.340 
001847 	0.503 	0.159 	0.127 	0.340 
001848 	0.504 	0.160 	0.126 	0.336 
001849 	0.504 	0.161 	0.126 	0.333 
001850 	0.504 	0.163 	0.125 	0.329 
001851 	0.505 	0.161 	0.124 	0.332 
001852 	0.504 	0.160 	0.123 	0.332 
001853 	0.503 	0.159 	0.124 	0.332 
001854 	0.503 	0.154 	0.125 	0.335 
001855 	0.503 	0.154 	0.125 	0.330 
001856 	0.503 	0.152 	0.125 	0.331 
001857 	0.502 	0.158 	0.127 	0.326 
001858 	0.502 	0.155 	0.128 	0.331 
001859 	0.503 	0.152 	0.127 	0.335 
001860 	0.502 	0.150 	0.127 	0.335 
001861 	0.502 	0.149 	0.128 	0.335 
001862 	0.502 	0.145 	0.128 	0.338 
001863 	0.502 	0.142 	0.128 	0.340 
001864 	0.502 	0.141 	0.124 	0.343 
001865 	0.501 	0.143 	0.125 	0.339 
001866 	0.501 	0.141 	0.123 	0.341 
001867 	0.498 	0.141 	0.124 	0.338 
001868 	0.496 	0.144 	0.125 	0.334 
001869 	0.492 	0.144 	0.126 	0.332 
001870 	0.491 	0.145 	0.124 	0.330 
001871 	0.491 	0.145 	0.124 	0.330 
001872 	0.485 	0.142 	0.126 	0.330 
001873 	0.481 	0.146 	0.127 	0.323 
001874 	0.478 	0.143 	0.126 	0.324 
001875 	0.473 	0.141 	0.126 	0.327 
001876 	0.470 	0.144 	0.130 	0.322 
001877 	0.465 	0.144 	0.129 	0.323 
001878 	0.460 	0.144 	0.127 	0.330 
001879 	0.455 	0.145 	0.126 	0.331 
001880 	0.450 	0.143 	0.126 	0.331 
001881 	0.441 	0.149 	0.128 	0.324 
001882 	0.437 	0.148 	0.124 	0.327 
001883 	0.432 	0.152 	0.123 	0.322 
001884 	0.424 	0.158 	0.123 	0.315 
001885 	0.419 	0.152 	0.123 	0.320 
001886 	0.412 	0.157 	0.127 	0.321 
001887 	0.406 	0.152 	0.128 	0.328 
001888 	0.404 	0.157 	0.127 	0.325 
001889 	0.399 	0.152 	0.124 	0.333 
001890 	0.394 	0.155 	0.125 	0.328 
001891 	0.389 	0.159 	0.123 	0.322 
001892 	0.385 	0.156 	0.125 	0.329 
001893 	0.380 	0.161 	0.126 	0.326 
001894 	0.375 	0.164 	0.126 	0.324 
001895 	0.375 	0.164 	0.126 	0.324 
001896 	0.371 	0.167 	0.126 	0.323 
001897 	0.368 	0.170 	0.127 	0.320 
001898 	0.365 	0.171 	0.127 	0.320 
001899 	0.364 	0.171 	0.126 	0.320 
001900 	0.364 	0.177 	0.126 	0.318 
