Text:  EVEN GOING TO SHOW YOU THE INHUMANITY AND SUFFERING THAT GOES ALONG THROUGH CHECK IN SECURITY AND THEN ELBOWING MY WAY ONTO A CROWDED AIRPLANE {LG} BECAUSE I'M SURE YOU ALREADY TOO FAMILIAR WITH IT YOURSELVES 
Conf:  4
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
002771 	0.564 	0.112 	0.097 	0.255 
002772 	0.561 	0.110 	0.098 	0.256 
002773 	0.559 	0.109 	0.096 	0.257 
002774 	0.559 	0.109 	0.096 	0.257 
002775 	0.555 	0.108 	0.098 	0.258 
002776 	0.549 	0.108 	0.099 	0.254 
002777 	0.545 	0.109 	0.097 	0.248 
002778 	0.538 	0.105 	0.099 	0.250 
002779 	0.533 	0.106 	0.096 	0.252 
002780 	0.526 	0.105 	0.098 	0.251 
002781 	0.522 	0.105 	0.096 	0.255 
002782 	0.514 	0.106 	0.095 	0.248 
002783 	0.505 	0.105 	0.097 	0.252 
002784 	0.499 	0.106 	0.097 	0.251 
002785 	0.491 	0.106 	0.097 	0.252 
002786 	0.487 	0.103 	0.096 	0.258 
002787 	0.481 	0.102 	0.096 	0.260 
002788 	0.475 	0.105 	0.099 	0.258 
002789 	0.470 	0.106 	0.098 	0.254 
002790 	0.467 	0.107 	0.097 	0.257 
002791 	0.461 	0.107 	0.097 	0.259 
002792 	0.456 	0.109 	0.098 	0.258 
002793 	0.454 	0.111 	0.095 	0.256 
002794 	0.450 	0.111 	0.094 	0.255 
002795 	0.445 	0.110 	0.095 	0.254 
002796 	0.444 	0.113 	0.095 	0.253 
002797 	0.440 	0.111 	0.096 	0.256 
002798 	0.440 	0.111 	0.096 	0.256 
002799 	0.441 	0.112 	0.094 	0.255 
002800 	0.440 	0.116 	0.095 	0.252 
002801 	0.439 	0.118 	0.096 	0.249 
002802 	0.438 	0.117 	0.097 	0.250 
002803 	0.439 	0.119 	0.097 	0.254 
002804 	0.440 	0.117 	0.097 	0.255 
002805 	0.442 	0.121 	0.096 	0.251 
002806 	0.445 	0.123 	0.095 	0.252 
002807 	0.444 	0.125 	0.097 	0.250 
002808 	0.445 	0.126 	0.096 	0.252 
002809 	0.448 	0.128 	0.096 	0.253 
002810 	0.447 	0.130 	0.097 	0.245 
002811 	0.449 	0.131 	0.095 	0.242 
002812 	0.450 	0.128 	0.094 	0.248 
002813 	0.451 	0.130 	0.097 	0.243 
002814 	0.450 	0.129 	0.096 	0.247 
002815 	0.452 	0.128 	0.095 	0.248 
002816 	0.453 	0.127 	0.095 	0.250 
002817 	0.454 	0.126 	0.094 	0.250 
002818 	0.454 	0.126 	0.095 	0.251 
002819 	0.455 	0.121 	0.097 	0.256 
002820 	0.455 	0.119 	0.096 	0.257 
002821 	0.456 	0.115 	0.097 	0.259 
002822 	0.459 	0.115 	0.096 	0.260 
002823 	0.459 	0.115 	0.096 	0.260 
002824 	0.459 	0.115 	0.096 	0.257 
002825 	0.462 	0.114 	0.094 	0.258 
002826 	0.463 	0.113 	0.096 	0.259 
002827 	0.462 	0.113 	0.098 	0.251 
002828 	0.462 	0.113 	0.099 	0.251 
002829 	0.463 	0.109 	0.098 	0.260 
002830 	0.464 	0.109 	0.098 	0.266 
002831 	0.463 	0.112 	0.099 	0.264 
002832 	0.463 	0.114 	0.098 	0.255 
002833 	0.464 	0.115 	0.096 	0.255 
002834 	0.464 	0.115 	0.094 	0.255 
002835 	0.462 	0.114 	0.096 	0.259 
002836 	0.465 	0.114 	0.095 	0.258 
002837 	0.463 	0.117 	0.096 	0.257 
002838 	0.463 	0.120 	0.097 	0.257 
002839 	0.462 	0.119 	0.097 	0.258 
002840 	0.463 	0.121 	0.096 	0.257 
002841 	0.463 	0.121 	0.096 	0.257 
002842 	0.463 	0.121 	0.093 	0.252 
002843 	0.461 	0.120 	0.094 	0.254 
002844 	0.461 	0.119 	0.094 	0.256 
002845 	0.458 	0.119 	0.096 	0.257 
002846 	0.457 	0.119 	0.095 	0.260 
002847 	0.457 	0.119 	0.095 	0.260 
002848 	0.459 	0.117 	0.095 	0.257 
002849 	0.458 	0.117 	0.097 	0.261 
002850 	0.456 	0.119 	0.097 	0.256 
002851 	0.456 	0.120 	0.097 	0.252 
002852 	0.455 	0.123 	0.097 	0.249 
002853 	0.457 	0.123 	0.096 	0.250 
002854 	0.457 	0.123 	0.096 	0.254 
002855 	0.458 	0.122 	0.095 	0.257 
002856 	0.459 	0.121 	0.095 	0.258 
002857 	0.460 	0.124 	0.096 	0.253 
002858 	0.460 	0.125 	0.097 	0.253 
002859 	0.462 	0.127 	0.096 	0.255 
002860 	0.466 	0.128 	0.094 	0.255 
002861 	0.468 	0.127 	0.094 	0.255 
002862 	0.470 	0.125 	0.096 	0.262 
002863 	0.471 	0.124 	0.095 	0.258 
002864 	0.474 	0.121 	0.096 	0.260 
002865 	0.477 	0.119 	0.094 	0.258 
002866 	0.478 	0.116 	0.096 	0.263 
002867 	0.479 	0.116 	0.098 	0.261 
002868 	0.482 	0.116 	0.097 	0.260 
002869 	0.487 	0.115 	0.096 	0.260 
002870 	0.489 	0.116 	0.097 	0.259 
002871 	0.493 	0.115 	0.098 	0.260 
002872 	0.493 	0.115 	0.098 	0.260 
002873 	0.495 	0.114 	0.098 	0.257 
002874 	0.500 	0.114 	0.099 	0.250 
