Text:  IT SPANK INTO THE SLOW CRAWLING GRIND OF FREEWAY TRAFFIC AGAIN 
Conf:  3
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
003308 	0.616 	0.183 	0.068 	0.230 
003309 	0.617 	0.184 	0.067 	0.235 
003310 	0.617 	0.183 	0.069 	0.231 
003311 	0.617 	0.183 	0.069 	0.231 
003312 	0.617 	0.179 	0.069 	0.232 
003313 	0.617 	0.185 	0.067 	0.229 
003314 	0.617 	0.178 	0.067 	0.233 
003315 	0.616 	0.176 	0.067 	0.231 
003316 	0.617 	0.178 	0.066 	0.227 
003317 	0.616 	0.175 	0.066 	0.225 
003318 	0.618 	0.174 	0.065 	0.228 
003319 	0.618 	0.177 	0.064 	0.228 
003320 	0.617 	0.180 	0.065 	0.225 
003321 	0.617 	0.180 	0.064 	0.224 
003322 	0.615 	0.177 	0.066 	0.234 
003323 	0.615 	0.178 	0.066 	0.230 
003324 	0.615 	0.177 	0.065 	0.231 
003325 	0.613 	0.180 	0.066 	0.225 
003326 	0.612 	0.179 	0.068 	0.229 
003327 	0.611 	0.178 	0.067 	0.225 
003328 	0.610 	0.174 	0.069 	0.232 
003329 	0.611 	0.173 	0.069 	0.231 
003330 	0.610 	0.178 	0.069 	0.226 
003331 	0.611 	0.177 	0.070 	0.233 
003332 	0.610 	0.179 	0.071 	0.227 
003333 	0.610 	0.174 	0.071 	0.232 
003334 	0.610 	0.176 	0.071 	0.228 
003335 	0.610 	0.177 	0.071 	0.226 
003336 	0.610 	0.177 	0.071 	0.226 
003337 	0.609 	0.175 	0.073 	0.232 
003338 	0.609 	0.174 	0.072 	0.226 
003339 	0.609 	0.172 	0.071 	0.230 
003340 	0.607 	0.178 	0.069 	0.225 
003341 	0.606 	0.184 	0.067 	0.221 
003342 	0.605 	0.190 	0.066 	0.216 
003343 	0.605 	0.209 	0.064 	0.203 
003344 	0.603 	0.190 	0.067 	0.218 
003345 	0.603 	0.204 	0.066 	0.214 
003346 	0.602 	0.189 	0.066 	0.218 
003347 	0.600 	0.190 	0.066 	0.216 
003348 	0.598 	0.183 	0.068 	0.223 
003349 	0.597 	0.188 	0.067 	0.214 
003350 	0.596 	0.180 	0.068 	0.227 
003351 	0.596 	0.182 	0.066 	0.221 
003352 	0.596 	0.175 	0.066 	0.226 
003353 	0.595 	0.180 	0.066 	0.220 
003354 	0.594 	0.182 	0.067 	0.217 
003355 	0.595 	0.182 	0.066 	0.220 
003356 	0.594 	0.182 	0.065 	0.221 
003357 	0.594 	0.184 	0.066 	0.219 
003358 	0.595 	0.183 	0.065 	0.221 
003359 	0.595 	0.183 	0.064 	0.221 
003360 	0.595 	0.183 	0.064 	0.221 
003361 	0.596 	0.182 	0.065 	0.221 
003362 	0.596 	0.183 	0.064 	0.220 
003363 	0.596 	0.182 	0.064 	0.220 
003364 	0.597 	0.182 	0.064 	0.222 
003365 	0.597 	0.180 	0.065 	0.228 
003366 	0.598 	0.170 	0.062 	0.234 
003367 	0.598 	0.174 	0.064 	0.231 
003368 	0.600 	0.169 	0.062 	0.226 
003369 	0.599 	0.173 	0.065 	0.229 
003370 	0.600 	0.171 	0.064 	0.229 
003371 	0.602 	0.170 	0.059 	0.222 
003372 	0.602 	0.170 	0.059 	0.221 
003373 	0.603 	0.169 	0.059 	0.223 
003374 	0.603 	0.166 	0.059 	0.224 
003375 	0.603 	0.173 	0.061 	0.228 
003376 	0.603 	0.174 	0.062 	0.230 
003377 	0.602 	0.174 	0.063 	0.228 
003378 	0.603 	0.173 	0.060 	0.226 
003379 	0.604 	0.172 	0.060 	0.226 
003380 	0.605 	0.173 	0.060 	0.225 
003381 	0.606 	0.169 	0.061 	0.228 
003382 	0.606 	0.168 	0.062 	0.224 
003383 	0.607 	0.172 	0.063 	0.221 
003384 	0.607 	0.172 	0.063 	0.221 
003385 	0.610 	0.169 	0.068 	0.220 
003386 	0.612 	0.163 	0.069 	0.231 
003387 	0.614 	0.160 	0.068 	0.234 
003388 	0.616 	0.167 	0.067 	0.231 
003389 	0.617 	0.169 	0.068 	0.230 
003390 	0.617 	0.174 	0.069 	0.227 
003391 	0.618 	0.180 	0.070 	0.224 
003392 	0.619 	0.184 	0.070 	0.224 
003393 	0.620 	0.177 	0.070 	0.223 
003394 	0.620 	0.178 	0.070 	0.227 
003395 	0.621 	0.189 	0.070 	0.219 
003396 	0.622 	0.190 	0.069 	0.224 
003397 	0.625 	0.192 	0.066 	0.223 
003398 	0.626 	0.193 	0.065 	0.220 
003399 	0.627 	0.194 	0.066 	0.221 
003400 	0.628 	0.192 	0.063 	0.225 
003401 	0.630 	0.193 	0.063 	0.223 
003402 	0.631 	0.196 	0.061 	0.224 
003403 	0.633 	0.202 	0.062 	0.222 
003404 	0.635 	0.204 	0.059 	0.218 
003405 	0.639 	0.207 	0.064 	0.215 
003406 	0.639 	0.202 	0.066 	0.224 
003407 	0.639 	0.205 	0.065 	0.223 
003408 	0.640 	0.207 	0.065 	0.223 
003409 	0.640 	0.207 	0.065 	0.223 
003410 	0.641 	0.207 	0.064 	0.219 
003411 	0.641 	0.208 	0.064 	0.224 
003412 	0.642 	0.209 	0.063 	0.217 
003413 	0.643 	0.209 	0.063 	0.218 
003414 	0.642 	0.207 	0.064 	0.221 
003415 	0.642 	0.206 	0.064 	0.228 
003416 	0.643 	0.206 	0.063 	0.225 
003417 	0.644 	0.209 	0.063 	0.218 
003418 	0.644 	0.208 	0.063 	0.220 
003419 	0.644 	0.206 	0.064 	0.224 
003420 	0.644 	0.208 	0.063 	0.225 
003421 	0.645 	0.208 	0.063 	0.226 
003422 	0.644 	0.207 	0.064 	0.225 
003423 	0.645 	0.205 	0.064 	0.226 

WORD START END ASDSCORE
IT 0.08 0.23 3.6
SPANK 0.23 0.65 8.0
INTO 0.65 0.97 7.8
THE 0.97 1.11 3.6
SLOW 1.11 1.83 2.6
CRAWLING 1.91 2.54 2.8
GRIND 2.54 3.06 9.0
OF 3.06 3.14 10.4
FREEWAY 3.14 3.66 8.0
TRAFFIC 3.66 4.16 7.3
AGAIN 4.16 4.53 7.6
