Text:  I DO GET TO MY APPOINTMENT ON TIME BUT I'M TIRED I'M STRESSED AND FRANKLY I DON'T REALLY FEEL LIKE DOING BUSINESS ANYMORE 
Conf:  2
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
003562 	0.482 	0.170 	0.129 	0.326 
003563 	0.481 	0.170 	0.132 	0.325 
003564 	0.481 	0.166 	0.132 	0.330 
003565 	0.481 	0.169 	0.128 	0.326 
003566 	0.479 	0.171 	0.128 	0.325 
003567 	0.480 	0.170 	0.125 	0.325 
003568 	0.478 	0.172 	0.124 	0.327 
003569 	0.476 	0.177 	0.124 	0.320 
003570 	0.473 	0.176 	0.125 	0.322 
003571 	0.471 	0.179 	0.125 	0.320 
003572 	0.468 	0.177 	0.127 	0.320 
003573 	0.465 	0.178 	0.125 	0.326 
003574 	0.462 	0.175 	0.126 	0.329 
003575 	0.458 	0.177 	0.126 	0.323 
003576 	0.457 	0.177 	0.123 	0.328 
003577 	0.454 	0.176 	0.125 	0.333 
003578 	0.451 	0.174 	0.126 	0.332 
003579 	0.445 	0.173 	0.130 	0.328 
003580 	0.445 	0.173 	0.130 	0.328 
003581 	0.444 	0.176 	0.130 	0.326 
003582 	0.445 	0.177 	0.125 	0.327 
003583 	0.440 	0.173 	0.130 	0.334 
003584 	0.441 	0.178 	0.123 	0.327 
003585 	0.435 	0.171 	0.127 	0.330 
003586 	0.433 	0.172 	0.125 	0.326 
003587 	0.427 	0.177 	0.125 	0.323 
003588 	0.425 	0.176 	0.124 	0.324 
003589 	0.422 	0.177 	0.121 	0.323 
003590 	0.422 	0.180 	0.121 	0.325 
003591 	0.418 	0.178 	0.120 	0.325 
003592 	0.415 	0.176 	0.125 	0.324 
003593 	0.412 	0.178 	0.126 	0.316 
003594 	0.412 	0.178 	0.124 	0.320 
003595 	0.412 	0.175 	0.122 	0.326 
003596 	0.411 	0.174 	0.122 	0.325 
003597 	0.414 	0.173 	0.122 	0.327 
003598 	0.414 	0.172 	0.123 	0.330 
003599 	0.413 	0.173 	0.128 	0.329 
003600 	0.417 	0.174 	0.125 	0.328 
003601 	0.420 	0.175 	0.124 	0.327 
003602 	0.420 	0.179 	0.124 	0.321 
003603 	0.420 	0.181 	0.125 	0.320 
003604 	0.420 	0.181 	0.125 	0.320 
003605 	0.424 	0.180 	0.122 	0.324 
003606 	0.426 	0.177 	0.124 	0.330 
003607 	0.425 	0.177 	0.128 	0.329 
003608 	0.426 	0.170 	0.128 	0.338 
003609 	0.428 	0.170 	0.128 	0.337 
003610 	0.430 	0.170 	0.124 	0.335 
003611 	0.429 	0.174 	0.126 	0.327 
003612 	0.431 	0.174 	0.124 	0.326 
003613 	0.430 	0.174 	0.126 	0.327 
003614 	0.428 	0.174 	0.127 	0.324 
003615 	0.429 	0.172 	0.125 	0.326 
003616 	0.427 	0.172 	0.125 	0.326 
003617 	0.426 	0.173 	0.123 	0.328 
003618 	0.423 	0.171 	0.125 	0.325 
003619 	0.422 	0.170 	0.125 	0.323 
003620 	0.422 	0.168 	0.126 	0.321 
003621 	0.420 	0.164 	0.125 	0.324 
003622 	0.421 	0.163 	0.123 	0.324 
003623 	0.420 	0.165 	0.122 	0.323 
003624 	0.420 	0.166 	0.120 	0.321 
003625 	0.420 	0.162 	0.120 	0.323 
003626 	0.421 	0.158 	0.122 	0.325 
003627 	0.422 	0.158 	0.122 	0.320 
003628 	0.420 	0.159 	0.124 	0.317 
003629 	0.420 	0.159 	0.124 	0.317 
003630 	0.421 	0.159 	0.123 	0.319 
003631 	0.424 	0.165 	0.118 	0.321 
003632 	0.421 	0.164 	0.121 	0.323 
003633 	0.421 	0.168 	0.121 	0.318 
003634 	0.420 	0.169 	0.121 	0.319 
003635 	0.421 	0.166 	0.121 	0.322 
003636 	0.423 	0.167 	0.121 	0.321 
003637 	0.423 	0.165 	0.121 	0.323 
003638 	0.423 	0.165 	0.121 	0.324 
003639 	0.422 	0.164 	0.123 	0.321 
003640 	0.424 	0.163 	0.121 	0.322 
003641 	0.423 	0.164 	0.124 	0.318 
003642 	0.424 	0.164 	0.123 	0.319 
003643 	0.424 	0.164 	0.123 	0.318 
003644 	0.425 	0.166 	0.124 	0.318 
003645 	0.427 	0.165 	0.121 	0.319 
003646 	0.428 	0.168 	0.120 	0.316 
003647 	0.428 	0.167 	0.119 	0.319 
003648 	0.429 	0.167 	0.119 	0.320 
003649 	0.428 	0.165 	0.121 	0.324 
003650 	0.427 	0.165 	0.121 	0.320 
003651 	0.428 	0.163 	0.122 	0.321 
003652 	0.430 	0.164 	0.122 	0.320 
003653 	0.430 	0.164 	0.122 	0.320 
003654 	0.430 	0.164 	0.122 	0.319 
003655 	0.430 	0.163 	0.123 	0.319 
003656 	0.430 	0.162 	0.124 	0.324 
003657 	0.431 	0.166 	0.124 	0.319 
003658 	0.431 	0.163 	0.125 	0.329 
003659 	0.432 	0.168 	0.124 	0.326 
003660 	0.431 	0.169 	0.124 	0.327 
003661 	0.432 	0.171 	0.123 	0.324 
003662 	0.432 	0.172 	0.125 	0.325 
003663 	0.432 	0.175 	0.124 	0.323 
003664 	0.432 	0.176 	0.123 	0.321 
003665 	0.432 	0.177 	0.125 	0.324 
003666 	0.433 	0.176 	0.124 	0.324 
003667 	0.432 	0.178 	0.125 	0.324 
003668 	0.433 	0.184 	0.122 	0.318 
003669 	0.432 	0.181 	0.121 	0.321 
003670 	0.430 	0.183 	0.122 	0.321 
003671 	0.429 	0.186 	0.123 	0.321 
003672 	0.429 	0.186 	0.120 	0.319 
003673 	0.427 	0.186 	0.121 	0.322 
003674 	0.424 	0.186 	0.122 	0.324 
003675 	0.423 	0.185 	0.124 	0.323 
003676 	0.422 	0.182 	0.122 	0.327 
003677 	0.422 	0.182 	0.122 	0.327 
003678 	0.419 	0.181 	0.125 	0.326 
003679 	0.419 	0.184 	0.124 	0.319 
003680 	0.419 	0.183 	0.125 	0.320 
003681 	0.418 	0.187 	0.126 	0.316 
003682 	0.418 	0.188 	0.126 	0.312 
003683 	0.417 	0.188 	0.126 	0.313 
003684 	0.417 	0.187 	0.126 	0.312 
003685 	0.417 	0.184 	0.126 	0.318 
003686 	0.421 	0.184 	0.122 	0.316 
003687 	0.424 	0.183 	0.121 	0.317 
003688 	0.425 	0.181 	0.120 	0.318 
003689 	0.428 	0.183 	0.118 	0.320 
003690 	0.430 	0.178 	0.118 	0.324 
003691 	0.431 	0.173 	0.121 	0.330 
003692 	0.434 	0.174 	0.119 	0.327 
003693 	0.434 	0.178 	0.123 	0.323 
003694 	0.436 	0.173 	0.121 	0.327 
003695 	0.437 	0.174 	0.125 	0.323 
003696 	0.438 	0.172 	0.124 	0.327 
003697 	0.440 	0.171 	0.124 	0.327 
003698 	0.440 	0.170 	0.125 	0.329 
003699 	0.444 	0.175 	0.122 	0.323 
003700 	0.445 	0.172 	0.121 	0.322 
003701 	0.447 	0.173 	0.121 	0.324 
003702 	0.447 	0.173 	0.121 	0.324 
003703 	0.445 	0.171 	0.124 	0.327 
003704 	0.445 	0.171 	0.123 	0.326 
003705 	0.448 	0.177 	0.120 	0.326 
003706 	0.448 	0.176 	0.119 	0.324 
003707 	0.449 	0.176 	0.117 	0.322 
003708 	0.447 	0.170 	0.118 	0.330 
003709 	0.446 	0.169 	0.117 	0.332 
003710 	0.445 	0.169 	0.119 	0.327 
003711 	0.444 	0.163 	0.120 	0.331 
003712 	0.440 	0.161 	0.119 	0.325 
003713 	0.434 	0.153 	0.119 	0.334 
003714 	0.431 	0.149 	0.120 	0.341 
003715 	0.422 	0.154 	0.123 	0.330 
003716 	0.415 	0.150 	0.128 	0.334 
003717 	0.412 	0.152 	0.123 	0.328 
003718 	0.408 	0.152 	0.123 	0.323 
003719 	0.403 	0.153 	0.124 	0.323 
003720 	0.396 	0.155 	0.122 	0.318 
003721 	0.391 	0.155 	0.121 	0.316 
003722 	0.386 	0.152 	0.120 	0.317 
003723 	0.376 	0.151 	0.125 	0.319 
003724 	0.370 	0.146 	0.123 	0.320 
003725 	0.364 	0.146 	0.124 	0.321 
003726 	0.364 	0.146 	0.124 	0.321 
003727 	0.354 	0.140 	0.128 	0.328 
003728 	0.348 	0.146 	0.127 	0.324 
003729 	0.340 	0.146 	0.128 	0.321 
003730 	0.335 	0.140 	0.125 	0.321 
003731 	0.329 	0.136 	0.125 	0.319 
003732 	0.322 	0.135 	0.127 	0.319 
003733 	0.316 	0.133 	0.126 	0.317 
003734 	0.312 	0.130 	0.127 	0.320 
003735 	0.310 	0.130 	0.127 	0.324 
003736 	0.307 	0.126 	0.125 	0.333 
003737 	0.303 	0.129 	0.126 	0.326 
003738 	0.299 	0.127 	0.128 	0.330 
003739 	0.294 	0.125 	0.130 	0.335 
003740 	0.289 	0.127 	0.132 	0.334 
003741 	0.289 	0.129 	0.131 	0.334 
003742 	0.285 	0.130 	0.131 	0.334 
003743 	0.283 	0.129 	0.131 	0.331 
003744 	0.286 	0.128 	0.126 	0.326 
003745 	0.285 	0.126 	0.127 	0.329 
003746 	0.286 	0.127 	0.126 	0.327 
003747 	0.289 	0.129 	0.123 	0.322 
003748 	0.287 	0.129 	0.126 	0.321 
003749 	0.288 	0.128 	0.128 	0.321 
003750 	0.291 	0.128 	0.128 	0.326 
003751 	0.291 	0.128 	0.128 	0.326 
003752 	0.295 	0.126 	0.127 	0.331 
003753 	0.299 	0.130 	0.125 	0.330 
003754 	0.303 	0.129 	0.124 	0.328 
003755 	0.304 	0.124 	0.126 	0.329 
003756 	0.304 	0.129 	0.130 	0.317 
003757 	0.308 	0.129 	0.126 	0.317 
003758 	0.312 	0.128 	0.125 	0.320 
003759 	0.316 	0.130 	0.126 	0.327 
003760 	0.320 	0.134 	0.125 	0.325 
003761 	0.327 	0.133 	0.126 	0.325 
003762 	0.331 	0.130 	0.123 	0.331 
003763 	0.338 	0.130 	0.121 	0.334 
003764 	0.341 	0.135 	0.123 	0.328 
003765 	0.343 	0.135 	0.124 	0.330 
003766 	0.346 	0.137 	0.125 	0.325 
003767 	0.351 	0.136 	0.124 	0.331 
003768 	0.352 	0.137 	0.126 	0.329 
003769 	0.355 	0.139 	0.125 	0.328 
003770 	0.356 	0.138 	0.125 	0.330 
003771 	0.357 	0.142 	0.123 	0.329 
003772 	0.357 	0.142 	0.124 	0.327 
003773 	0.357 	0.144 	0.124 	0.322 
003774 	0.358 	0.147 	0.123 	0.319 
003775 	0.358 	0.147 	0.123 	0.319 
003776 	0.358 	0.148 	0.122 	0.325 
003777 	0.357 	0.155 	0.121 	0.321 
003778 	0.354 	0.157 	0.124 	0.321 
003779 	0.352 	0.158 	0.126 	0.322 
003780 	0.352 	0.160 	0.124 	0.321 
003781 	0.350 	0.162 	0.123 	0.318 
003782 	0.347 	0.160 	0.124 	0.324 
003783 	0.348 	0.163 	0.122 	0.324 
003784 	0.346 	0.164 	0.121 	0.324 
003785 	0.346 	0.164 	0.121 	0.325 
003786 	0.345 	0.164 	0.120 	0.323 
003787 	0.344 	0.160 	0.122 	0.328 
003788 	0.343 	0.160 	0.123 	0.327 
003789 	0.340 	0.157 	0.124 	0.329 
003790 	0.340 	0.159 	0.122 	0.323 
003791 	0.343 	0.163 	0.120 	0.323 
003792 	0.341 	0.164 	0.121 	0.323 
003793 	0.342 	0.166 	0.120 	0.321 
003794 	0.341 	0.166 	0.121 	0.321 

WORD START END ASDSCORE
I 0.07 0.23 6.3
DO 0.23 0.39 5.2
GET 0.39 0.64 6.4
TO 0.64 0.71 7.5
MY 0.71 0.98 7.4
APPOINTMENT 0.98 1.41 5.3
ON 1.41 1.59 4.4
TIME 1.59 2.04 5.4
BUT 2.33 2.43 2.4
I'M 2.43 2.73 4.2
TIRED 2.73 3.43 7.6
I'M 4.30 4.88 2.6
STRESSED 5.71 6.47 6.7
AND 6.67 6.78 3.1
FRANKLY 6.78 7.22 2.7
I 7.22 7.30 1.6
DON'T 7.30 7.51 2.7
REALLY 7.51 7.71 6.3
FEEL 7.71 7.96 5.7
LIKE 7.96 8.24 1.9
DOING 8.24 8.45 2.8
BUSINESS 8.45 8.90 3.5
ANYMORE 8.90 9.20 1.1
