Text:  ANOTHER REASON WHY WE NEED TO DO A BETTER JOB OF OUR FUTURE TRANSPORTATION THIS PLANET OF OURS EARTH IS THIS WONDERFUL AMAZING BEAUTIFUL SELF ORGANIZING SELF BALANCING ECOSYSTEM AND IN THE LAST FEW HUNDRED YEARS ALONE MANKIND HAS SUCCEEDED IN DANGEROUSLY UNBALANCING THIS SYSTEM TO THE POINT WHERE OUR VERY EXISTENCE IS UNDER THREAT 
Conf:  4
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
004319 	0.555 	0.118 	0.097 	0.257 
004320 	0.554 	0.117 	0.097 	0.258 
004321 	0.554 	0.117 	0.097 	0.260 
004322 	0.555 	0.118 	0.097 	0.260 
004323 	0.554 	0.120 	0.097 	0.257 
004324 	0.554 	0.121 	0.097 	0.259 
004325 	0.555 	0.123 	0.097 	0.258 
004326 	0.553 	0.125 	0.099 	0.250 
004327 	0.553 	0.125 	0.100 	0.247 
004328 	0.554 	0.127 	0.098 	0.246 
004329 	0.555 	0.124 	0.098 	0.248 
004330 	0.554 	0.125 	0.100 	0.246 
004331 	0.555 	0.124 	0.099 	0.248 
004332 	0.556 	0.121 	0.097 	0.250 
004333 	0.555 	0.123 	0.099 	0.252 
004334 	0.556 	0.123 	0.097 	0.252 
004335 	0.557 	0.126 	0.097 	0.251 
004336 	0.560 	0.128 	0.094 	0.251 
004337 	0.560 	0.128 	0.094 	0.251 
004338 	0.560 	0.131 	0.095 	0.250 
004339 	0.559 	0.129 	0.097 	0.250 
004340 	0.560 	0.130 	0.098 	0.250 
004341 	0.559 	0.131 	0.100 	0.248 
004342 	0.559 	0.132 	0.099 	0.249 
004343 	0.558 	0.133 	0.101 	0.250 
004344 	0.558 	0.134 	0.101 	0.248 
004345 	0.558 	0.134 	0.101 	0.250 
004346 	0.559 	0.133 	0.100 	0.250 
004347 	0.559 	0.135 	0.098 	0.251 
004348 	0.560 	0.136 	0.098 	0.253 
004349 	0.559 	0.135 	0.098 	0.253 
004350 	0.559 	0.136 	0.098 	0.254 
004351 	0.559 	0.133 	0.098 	0.257 
004352 	0.561 	0.133 	0.095 	0.257 
004353 	0.563 	0.136 	0.093 	0.258 
004354 	0.562 	0.133 	0.092 	0.260 
004355 	0.560 	0.133 	0.093 	0.257 
004356 	0.559 	0.132 	0.095 	0.256 
004357 	0.556 	0.130 	0.098 	0.260 
004358 	0.554 	0.133 	0.099 	0.256 
004359 	0.555 	0.131 	0.098 	0.257 
004360 	0.555 	0.132 	0.098 	0.256 
004361 	0.555 	0.132 	0.098 	0.256 
004362 	0.553 	0.131 	0.097 	0.256 
004363 	0.552 	0.130 	0.098 	0.259 
004364 	0.550 	0.132 	0.100 	0.256 
004365 	0.549 	0.133 	0.099 	0.254 
004366 	0.549 	0.133 	0.099 	0.254 
004367 	0.548 	0.133 	0.100 	0.255 
004368 	0.550 	0.134 	0.098 	0.255 
004369 	0.550 	0.135 	0.099 	0.254 
004370 	0.550 	0.134 	0.098 	0.255 
004371 	0.551 	0.135 	0.096 	0.255 
004372 	0.549 	0.135 	0.098 	0.256 
004373 	0.549 	0.136 	0.097 	0.254 
004374 	0.550 	0.134 	0.097 	0.257 
004375 	0.550 	0.133 	0.096 	0.257 
004376 	0.550 	0.133 	0.096 	0.258 
004377 	0.550 	0.132 	0.096 	0.257 
004378 	0.549 	0.132 	0.096 	0.255 
004379 	0.550 	0.133 	0.097 	0.253 
004380 	0.550 	0.133 	0.096 	0.255 
004381 	0.550 	0.133 	0.096 	0.255 
004382 	0.550 	0.131 	0.098 	0.259 
004383 	0.549 	0.131 	0.098 	0.258 
004384 	0.548 	0.131 	0.102 	0.251 
004385 	0.548 	0.131 	0.102 	0.251 
004386 	0.549 	0.130 	0.099 	0.255 
004387 	0.549 	0.130 	0.100 	0.255 
004388 	0.549 	0.131 	0.099 	0.256 
004389 	0.550 	0.134 	0.100 	0.251 
004390 	0.550 	0.132 	0.097 	0.253 
004391 	0.551 	0.133 	0.095 	0.252 
004392 	0.550 	0.133 	0.096 	0.253 
004393 	0.550 	0.131 	0.096 	0.256 
004394 	0.551 	0.133 	0.094 	0.254 
004395 	0.550 	0.132 	0.096 	0.255 
004396 	0.550 	0.132 	0.096 	0.256 
004397 	0.551 	0.133 	0.097 	0.258 
004398 	0.551 	0.131 	0.099 	0.259 
004399 	0.550 	0.132 	0.098 	0.257 
004400 	0.550 	0.132 	0.100 	0.252 
004401 	0.550 	0.131 	0.099 	0.253 
004402 	0.552 	0.133 	0.097 	0.249 
004403 	0.552 	0.132 	0.098 	0.250 
004404 	0.552 	0.132 	0.099 	0.250 
004405 	0.553 	0.132 	0.098 	0.249 
004406 	0.553 	0.133 	0.099 	0.251 
004407 	0.553 	0.135 	0.098 	0.250 
004408 	0.553 	0.134 	0.099 	0.247 
004409 	0.552 	0.132 	0.099 	0.248 
004410 	0.552 	0.132 	0.099 	0.248 
004411 	0.553 	0.131 	0.100 	0.249 
004412 	0.554 	0.129 	0.098 	0.251 
004413 	0.554 	0.129 	0.098 	0.251 
004414 	0.555 	0.131 	0.097 	0.254 
004415 	0.555 	0.129 	0.098 	0.253 
004416 	0.556 	0.130 	0.096 	0.252 
004417 	0.556 	0.130 	0.096 	0.255 
004418 	0.556 	0.130 	0.097 	0.255 
004419 	0.555 	0.130 	0.097 	0.256 
004420 	0.552 	0.132 	0.099 	0.253 
004421 	0.552 	0.133 	0.098 	0.254 
004422 	0.551 	0.137 	0.098 	0.251 
004423 	0.551 	0.138 	0.096 	0.251 
004424 	0.548 	0.138 	0.098 	0.257 
004425 	0.546 	0.141 	0.098 	0.252 
004426 	0.543 	0.141 	0.097 	0.253 
004427 	0.537 	0.145 	0.095 	0.255 
004428 	0.534 	0.150 	0.096 	0.253 
004429 	0.532 	0.157 	0.095 	0.248 
004430 	0.530 	0.160 	0.095 	0.250 
004431 	0.527 	0.168 	0.095 	0.248 
004432 	0.522 	0.172 	0.096 	0.246 
004433 	0.517 	0.178 	0.098 	0.240 
004434 	0.517 	0.178 	0.098 	0.240 
004435 	0.512 	0.184 	0.097 	0.236 
004436 	0.504 	0.185 	0.098 	0.239 
004437 	0.499 	0.186 	0.095 	0.241 
004438 	0.492 	0.192 	0.098 	0.240 
004439 	0.488 	0.188 	0.097 	0.244 
004440 	0.481 	0.192 	0.098 	0.241 
004441 	0.477 	0.189 	0.099 	0.247 
004442 	0.471 	0.195 	0.101 	0.239 
004443 	0.467 	0.198 	0.099 	0.233 
004444 	0.460 	0.200 	0.099 	0.231 
004445 	0.451 	0.199 	0.101 	0.232 
004446 	0.448 	0.197 	0.098 	0.236 
004447 	0.442 	0.198 	0.100 	0.237 
004448 	0.436 	0.188 	0.099 	0.246 
004449 	0.430 	0.220 	0.103 	0.202 
004450 	0.424 	0.191 	0.099 	0.237 
004451 	0.421 	0.187 	0.097 	0.245 
004452 	0.418 	0.187 	0.097 	0.242 
004453 	0.412 	0.186 	0.099 	0.244 
004454 	0.406 	0.183 	0.100 	0.243 
004455 	0.403 	0.179 	0.095 	0.249 
004456 	0.396 	0.179 	0.095 	0.249 
004457 	0.392 	0.175 	0.095 	0.247 
004458 	0.389 	0.171 	0.096 	0.249 
004459 	0.389 	0.171 	0.096 	0.249 
004460 	0.383 	0.166 	0.097 	0.252 
004461 	0.379 	0.157 	0.099 	0.254 
004462 	0.373 	0.152 	0.101 	0.252 
004463 	0.370 	0.146 	0.100 	0.248 
004464 	0.367 	0.135 	0.100 	0.255 
004465 	0.366 	0.124 	0.098 	0.266 
004466 	0.363 	0.126 	0.096 	0.256 
004467 	0.359 	0.118 	0.097 	0.259 
004468 	0.356 	0.116 	0.097 	0.254 
004469 	0.350 	0.114 	0.099 	0.248 
004470 	0.347 	0.113 	0.098 	0.246 
004471 	0.344 	0.110 	0.098 	0.251 
004472 	0.343 	0.105 	0.098 	0.257 
004473 	0.341 	0.105 	0.098 	0.261 
004474 	0.340 	0.103 	0.102 	0.264 
004475 	0.340 	0.102 	0.101 	0.268 
004476 	0.340 	0.101 	0.099 	0.266 
004477 	0.341 	0.106 	0.099 	0.260 
004478 	0.340 	0.109 	0.098 	0.259 
004479 	0.342 	0.109 	0.096 	0.260 
004480 	0.342 	0.112 	0.095 	0.259 
004481 	0.344 	0.111 	0.095 	0.259 
004482 	0.343 	0.109 	0.097 	0.254 
004483 	0.343 	0.109 	0.097 	0.254 
004484 	0.343 	0.111 	0.098 	0.254 
004485 	0.344 	0.113 	0.098 	0.254 
004486 	0.344 	0.113 	0.097 	0.262 
004487 	0.344 	0.113 	0.098 	0.265 
004488 	0.343 	0.114 	0.100 	0.261 
004489 	0.344 	0.117 	0.099 	0.258 
004490 	0.343 	0.117 	0.099 	0.257 
004491 	0.346 	0.119 	0.096 	0.258 
004492 	0.347 	0.120 	0.095 	0.257 
004493 	0.347 	0.121 	0.095 	0.257 
004494 	0.347 	0.122 	0.096 	0.255 
004495 	0.349 	0.122 	0.095 	0.255 
004496 	0.350 	0.121 	0.094 	0.254 
004497 	0.349 	0.118 	0.098 	0.254 
004498 	0.352 	0.118 	0.098 	0.252 
004499 	0.352 	0.118 	0.098 	0.250 
004500 	0.353 	0.115 	0.099 	0.250 
004501 	0.354 	0.113 	0.099 	0.253 
004502 	0.356 	0.112 	0.099 	0.251 
004503 	0.358 	0.113 	0.098 	0.252 
004504 	0.358 	0.112 	0.098 	0.250 
004505 	0.361 	0.110 	0.097 	0.254 
004506 	0.361 	0.110 	0.097 	0.256 
004507 	0.361 	0.110 	0.097 	0.256 
004508 	0.362 	0.110 	0.096 	0.254 
