Text:  ON THE CUSP OF EXCITING DEVELOPMENTS TECHNOLOGY IS RAPIDLY BRINGING US AUTOMATION TO OUR TRANSPORTATION OUR TRAINS OUR TRUCKS AND OUR AUTOMOBILES AND AUTOMATION HAS THE POSSIBILITY OF REMOVING CHAOS FROM OUR TRANSPORTATION BY REMOVING THAT UNPREDICTAIBLE HUMAN ELEMENT 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
005228 	0.355 	0.155 	0.133 	0.328 
005229 	0.355 	0.154 	0.133 	0.330 
005230 	0.358 	0.148 	0.130 	0.337 
005231 	0.358 	0.152 	0.131 	0.324 
005232 	0.358 	0.150 	0.129 	0.327 
005233 	0.360 	0.149 	0.127 	0.331 
005234 	0.360 	0.152 	0.129 	0.327 
005235 	0.360 	0.154 	0.128 	0.326 
005236 	0.360 	0.153 	0.129 	0.329 
005237 	0.361 	0.153 	0.124 	0.332 
005238 	0.357 	0.155 	0.130 	0.328 
005239 	0.358 	0.155 	0.128 	0.332 
005240 	0.358 	0.155 	0.128 	0.332 
005241 	0.359 	0.153 	0.128 	0.334 
005242 	0.362 	0.157 	0.128 	0.331 
005243 	0.365 	0.158 	0.122 	0.326 
005244 	0.364 	0.159 	0.124 	0.325 
005245 	0.368 	0.158 	0.122 	0.322 
005246 	0.370 	0.153 	0.123 	0.332 
005247 	0.372 	0.157 	0.128 	0.322 
005248 	0.374 	0.156 	0.128 	0.320 
005249 	0.376 	0.154 	0.129 	0.324 
005250 	0.377 	0.156 	0.132 	0.320 
005251 	0.381 	0.155 	0.129 	0.322 
005252 	0.382 	0.153 	0.132 	0.325 
005253 	0.383 	0.155 	0.131 	0.325 
005254 	0.387 	0.155 	0.129 	0.324 
005255 	0.389 	0.157 	0.128 	0.327 
005256 	0.389 	0.146 	0.128 	0.342 
005257 	0.390 	0.147 	0.127 	0.341 
005258 	0.389 	0.148 	0.129 	0.339 
005259 	0.389 	0.146 	0.129 	0.337 
005260 	0.388 	0.144 	0.130 	0.335 
005261 	0.391 	0.147 	0.126 	0.333 
005262 	0.392 	0.147 	0.124 	0.332 
005263 	0.392 	0.148 	0.123 	0.330 
005264 	0.392 	0.148 	0.123 	0.330 
005265 	0.386 	0.149 	0.130 	0.324 
005266 	0.385 	0.149 	0.131 	0.325 
