Text:  TO THE CONCLUSION THAT THERE IS ONE PARTICULARLY CRUCIAL MISSING PIECE WHICH I AM GOING TO EXPLAIN TO YOU AND THAT THE ROOT MOST IMPORTANTLY OF THIS MISSING PIECE IS THE FUNDMATMENTALS OF DESIGN PROCESS BUT FIRST I WANT TO TALK TO YOU ABOUT A COUPLE OF CHALLENGES THAT WE HAVE 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
006259 	0.432 	0.156 	0.132 	0.319 
006260 	0.431 	0.156 	0.133 	0.316 
006261 	0.433 	0.156 	0.129 	0.322 
006262 	0.437 	0.153 	0.124 	0.329 
006263 	0.439 	0.155 	0.124 	0.329 
006264 	0.436 	0.153 	0.128 	0.324 
006265 	0.436 	0.153 	0.128 	0.324 
006266 	0.433 	0.154 	0.131 	0.323 
006267 	0.432 	0.149 	0.131 	0.327 
006268 	0.433 	0.153 	0.128 	0.325 
006269 	0.431 	0.154 	0.131 	0.324 
006270 	0.431 	0.153 	0.132 	0.321 
006271 	0.432 	0.152 	0.131 	0.326 
006272 	0.436 	0.154 	0.127 	0.322 
006273 	0.436 	0.153 	0.127 	0.323 
006274 	0.433 	0.151 	0.128 	0.327 
006275 	0.434 	0.150 	0.127 	0.327 
006276 	0.434 	0.149 	0.127 	0.333 
006277 	0.435 	0.149 	0.125 	0.337 
006278 	0.433 	0.154 	0.127 	0.330 
006279 	0.434 	0.155 	0.126 	0.329 
006280 	0.434 	0.156 	0.126 	0.326 
006281 	0.433 	0.154 	0.126 	0.327 
006282 	0.433 	0.151 	0.126 	0.330 
006283 	0.433 	0.148 	0.125 	0.329 
006284 	0.433 	0.147 	0.126 	0.328 
006285 	0.432 	0.149 	0.126 	0.325 
006286 	0.431 	0.149 	0.128 	0.322 
006287 	0.431 	0.150 	0.130 	0.319 
006288 	0.435 	0.149 	0.127 	0.320 
006289 	0.435 	0.151 	0.127 	0.318 
006290 	0.435 	0.151 	0.127 	0.318 
006291 	0.436 	0.153 	0.128 	0.317 
006292 	0.439 	0.155 	0.127 	0.317 
006293 	0.440 	0.158 	0.128 	0.314 
006294 	0.443 	0.159 	0.127 	0.316 
006295 	0.446 	0.158 	0.127 	0.315 
006296 	0.447 	0.160 	0.127 	0.316 
006297 	0.447 	0.156 	0.129 	0.322 
006298 	0.449 	0.155 	0.127 	0.320 
006299 	0.452 	0.151 	0.127 	0.321 
006300 	0.454 	0.148 	0.128 	0.321 
006301 	0.458 	0.146 	0.125 	0.321 
006302 	0.463 	0.142 	0.125 	0.323 
006303 	0.466 	0.143 	0.126 	0.322 
006304 	0.470 	0.141 	0.127 	0.326 
006305 	0.475 	0.142 	0.126 	0.321 
006306 	0.481 	0.139 	0.125 	0.327 
006307 	0.482 	0.132 	0.129 	0.334 
006308 	0.492 	0.131 	0.125 	0.335 
006309 	0.493 	0.133 	0.131 	0.330 
006310 	0.497 	0.136 	0.129 	0.323 
006311 	0.500 	0.138 	0.129 	0.314 
006312 	0.502 	0.139 	0.131 	0.316 
006313 	0.506 	0.138 	0.131 	0.321 
006314 	0.506 	0.138 	0.131 	0.321 
006315 	0.510 	0.141 	0.128 	0.320 
006316 	0.513 	0.143 	0.127 	0.324 
006317 	0.518 	0.145 	0.126 	0.322 
006318 	0.522 	0.146 	0.123 	0.322 
006319 	0.523 	0.153 	0.125 	0.319 
006320 	0.525 	0.151 	0.123 	0.317 
006321 	0.527 	0.152 	0.120 	0.317 
006322 	0.529 	0.153 	0.122 	0.316 
006323 	0.532 	0.153 	0.123 	0.315 
006324 	0.533 	0.155 	0.123 	0.314 
006325 	0.536 	0.153 	0.122 	0.316 
006326 	0.536 	0.151 	0.126 	0.318 
006327 	0.537 	0.149 	0.126 	0.321 
006328 	0.537 	0.147 	0.126 	0.322 
006329 	0.536 	0.145 	0.127 	0.321 
006330 	0.534 	0.146 	0.127 	0.320 
006331 	0.531 	0.143 	0.128 	0.321 
006332 	0.528 	0.142 	0.127 	0.323 
006333 	0.525 	0.141 	0.126 	0.323 
006334 	0.523 	0.142 	0.127 	0.325 
006335 	0.523 	0.140 	0.121 	0.323 
006336 	0.518 	0.139 	0.120 	0.324 
006337 	0.511 	0.138 	0.126 	0.331 
006338 	0.506 	0.135 	0.127 	0.330 
006339 	0.506 	0.135 	0.127 	0.330 
006340 	0.504 	0.137 	0.126 	0.325 
006341 	0.505 	0.141 	0.123 	0.325 
006342 	0.501 	0.142 	0.122 	0.327 
006343 	0.497 	0.143 	0.123 	0.329 
006344 	0.497 	0.146 	0.122 	0.328 
006345 	0.493 	0.147 	0.122 	0.322 
006346 	0.490 	0.147 	0.123 	0.321 
