Text:  INTO THEIR OWN UNIQUE CULTURES INDUSTRIAL CULTURES AND THEIR SILENT CULTURES THEIR CULTURES WHICH REGARD EACH OTHER SUSPICIOUSLY AND THOSE COMPETITORS RATHER THAN COLLABORATORS 
Conf:  2
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
007136 	0.475 	0.134 	0.098 	0.252 
007137 	0.476 	0.138 	0.096 	0.248 
007138 	0.476 	0.138 	0.098 	0.247 
007139 	0.477 	0.137 	0.097 	0.246 
007140 	0.475 	0.138 	0.100 	0.244 
007141 	0.476 	0.139 	0.098 	0.243 
007142 	0.476 	0.137 	0.098 	0.245 
007143 	0.476 	0.138 	0.098 	0.248 
007144 	0.476 	0.138 	0.098 	0.248 
007145 	0.476 	0.139 	0.099 	0.248 
007146 	0.475 	0.139 	0.099 	0.246 
007147 	0.475 	0.139 	0.098 	0.243 
007148 	0.476 	0.138 	0.098 	0.248 
007149 	0.474 	0.138 	0.100 	0.246 
007150 	0.473 	0.141 	0.101 	0.241 
007151 	0.475 	0.138 	0.097 	0.247 
007152 	0.473 	0.139 	0.099 	0.246 
007153 	0.473 	0.139 	0.099 	0.246 
007154 	0.473 	0.140 	0.099 	0.244 
007155 	0.474 	0.137 	0.098 	0.249 
007156 	0.475 	0.137 	0.097 	0.245 
007157 	0.474 	0.135 	0.096 	0.247 
007158 	0.473 	0.137 	0.096 	0.244 
007159 	0.474 	0.134 	0.097 	0.248 
007160 	0.474 	0.132 	0.097 	0.250 
007161 	0.473 	0.132 	0.097 	0.251 
007162 	0.474 	0.132 	0.097 	0.253 
007163 	0.475 	0.134 	0.096 	0.251 
007164 	0.474 	0.132 	0.097 	0.254 
007165 	0.474 	0.133 	0.097 	0.252 
007166 	0.474 	0.133 	0.097 	0.250 
007167 	0.474 	0.133 	0.097 	0.249 
007168 	0.472 	0.133 	0.099 	0.248 
007169 	0.472 	0.133 	0.099 	0.248 
007170 	0.475 	0.132 	0.096 	0.252 
007171 	0.472 	0.133 	0.098 	0.253 
007172 	0.472 	0.132 	0.099 	0.255 
007173 	0.471 	0.132 	0.100 	0.252 
007174 	0.470 	0.133 	0.100 	0.251 
007175 	0.471 	0.133 	0.099 	0.254 
007176 	0.471 	0.132 	0.100 	0.255 
007177 	0.471 	0.131 	0.100 	0.257 
007178 	0.472 	0.131 	0.100 	0.257 
007179 	0.473 	0.131 	0.098 	0.255 
007180 	0.472 	0.133 	0.099 	0.250 
007181 	0.472 	0.130 	0.099 	0.253 
007182 	0.473 	0.131 	0.099 	0.250 
007183 	0.473 	0.130 	0.098 	0.249 
007184 	0.472 	0.127 	0.097 	0.251 
007185 	0.473 	0.125 	0.095 	0.252 
007186 	0.472 	0.127 	0.095 	0.248 
007187 	0.468 	0.125 	0.097 	0.250 
007188 	0.468 	0.122 	0.097 	0.250 
007189 	0.465 	0.121 	0.097 	0.252 
007190 	0.462 	0.121 	0.099 	0.251 
007191 	0.460 	0.119 	0.099 	0.251 
007192 	0.458 	0.118 	0.098 	0.253 
007193 	0.458 	0.118 	0.098 	0.253 
007194 	0.454 	0.118 	0.097 	0.253 
007195 	0.450 	0.118 	0.098 	0.253 
007196 	0.445 	0.119 	0.098 	0.249 
007197 	0.441 	0.119 	0.097 	0.249 
007198 	0.438 	0.116 	0.096 	0.251 
007199 	0.435 	0.114 	0.096 	0.252 
007200 	0.428 	0.112 	0.097 	0.256 
007201 	0.425 	0.115 	0.098 	0.253 
007202 	0.420 	0.114 	0.096 	0.252 
007203 	0.415 	0.112 	0.097 	0.253 
007204 	0.409 	0.109 	0.097 	0.255 
007205 	0.401 	0.108 	0.098 	0.257 
007206 	0.395 	0.108 	0.098 	0.258 
007207 	0.390 	0.108 	0.100 	0.254 
007208 	0.385 	0.109 	0.097 	0.252 
007209 	0.380 	0.105 	0.097 	0.258 
007210 	0.375 	0.104 	0.097 	0.259 
007211 	0.370 	0.106 	0.100 	0.257 
007212 	0.367 	0.105 	0.099 	0.260 
007213 	0.362 	0.105 	0.097 	0.258 
007214 	0.357 	0.106 	0.098 	0.254 
007215 	0.351 	0.107 	0.097 	0.254 
007216 	0.345 	0.109 	0.099 	0.252 
007217 	0.340 	0.108 	0.097 	0.257 
007218 	0.340 	0.108 	0.097 	0.257 
007219 	0.335 	0.108 	0.097 	0.255 
007220 	0.333 	0.103 	0.096 	0.256 
007221 	0.329 	0.100 	0.098 	0.257 
007222 	0.326 	0.100 	0.097 	0.254 
007223 	0.320 	0.096 	0.097 	0.259 
007224 	0.319 	0.096 	0.097 	0.261 
007225 	0.316 	0.097 	0.097 	0.263 
007226 	0.313 	0.098 	0.098 	0.261 
007227 	0.311 	0.100 	0.098 	0.258 
007228 	0.311 	0.100 	0.097 	0.261 
007229 	0.308 	0.102 	0.098 	0.257 
007230 	0.308 	0.103 	0.097 	0.261 
007231 	0.305 	0.105 	0.099 	0.258 
007232 	0.305 	0.107 	0.098 	0.259 
007233 	0.306 	0.109 	0.097 	0.259 
007234 	0.307 	0.110 	0.097 	0.258 
007235 	0.305 	0.113 	0.096 	0.253 
007236 	0.304 	0.113 	0.097 	0.258 
007237 	0.302 	0.113 	0.099 	0.260 
007238 	0.301 	0.113 	0.100 	0.261 
007239 	0.301 	0.115 	0.098 	0.259 
007240 	0.300 	0.117 	0.098 	0.258 
007241 	0.300 	0.117 	0.098 	0.258 
007242 	0.300 	0.117 	0.098 	0.258 
007243 	0.299 	0.121 	0.097 	0.255 
007244 	0.299 	0.124 	0.096 	0.253 
007245 	0.297 	0.124 	0.098 	0.257 
007246 	0.297 	0.126 	0.097 	0.256 
007247 	0.296 	0.127 	0.097 	0.256 
007248 	0.296 	0.130 	0.097 	0.252 
007249 	0.295 	0.130 	0.098 	0.254 
007250 	0.295 	0.132 	0.098 	0.256 
007251 	0.295 	0.130 	0.100 	0.256 
007252 	0.296 	0.130 	0.099 	0.253 
007253 	0.295 	0.132 	0.099 	0.247 
007254 	0.297 	0.133 	0.097 	0.251 
007255 	0.297 	0.134 	0.097 	0.250 
007256 	0.297 	0.136 	0.099 	0.253 
007257 	0.301 	0.137 	0.099 	0.255 
007258 	0.300 	0.137 	0.099 	0.256 
007259 	0.300 	0.142 	0.102 	0.249 
007260 	0.303 	0.142 	0.100 	0.250 
007261 	0.303 	0.138 	0.099 	0.247 
007262 	0.305 	0.134 	0.098 	0.254 
007263 	0.307 	0.129 	0.096 	0.256 
007264 	0.307 	0.132 	0.097 	0.255 
007265 	0.308 	0.133 	0.096 	0.254 
007266 	0.308 	0.133 	0.096 	0.254 
007267 	0.306 	0.134 	0.098 	0.254 
007268 	0.307 	0.134 	0.097 	0.255 
007269 	0.307 	0.134 	0.097 	0.257 
007270 	0.307 	0.134 	0.096 	0.256 
007271 	0.308 	0.135 	0.096 	0.256 
007272 	0.309 	0.134 	0.097 	0.258 
007273 	0.310 	0.132 	0.096 	0.259 
007274 	0.309 	0.132 	0.098 	0.256 
007275 	0.310 	0.131 	0.100 	0.255 
007276 	0.309 	0.127 	0.102 	0.260 
007277 	0.310 	0.128 	0.100 	0.257 
007278 	0.312 	0.127 	0.098 	0.262 
007279 	0.313 	0.128 	0.096 	0.257 
007280 	0.313 	0.127 	0.095 	0.255 
007281 	0.312 	0.129 	0.097 	0.261 
007282 	0.312 	0.128 	0.099 	0.262 
007283 	0.313 	0.133 	0.100 	0.259 
007284 	0.314 	0.133 	0.099 	0.259 
007285 	0.314 	0.134 	0.099 	0.259 
007286 	0.316 	0.134 	0.098 	0.261 
007287 	0.315 	0.135 	0.099 	0.259 
007288 	0.314 	0.133 	0.099 	0.261 
007289 	0.315 	0.134 	0.099 	0.262 
007290 	0.316 	0.133 	0.099 	0.264 
007291 	0.316 	0.133 	0.099 	0.264 
007292 	0.317 	0.135 	0.099 	0.259 
007293 	0.318 	0.134 	0.097 	0.257 
007294 	0.316 	0.133 	0.098 	0.257 
007295 	0.317 	0.133 	0.098 	0.257 
007296 	0.317 	0.131 	0.099 	0.258 
007297 	0.317 	0.129 	0.099 	0.259 
007298 	0.316 	0.132 	0.100 	0.255 
007299 	0.316 	0.131 	0.100 	0.253 
007300 	0.315 	0.136 	0.101 	0.248 
007301 	0.315 	0.133 	0.099 	0.251 
007302 	0.314 	0.135 	0.098 	0.250 
007303 	0.314 	0.134 	0.099 	0.249 
007304 	0.312 	0.134 	0.102 	0.251 
007305 	0.312 	0.136 	0.101 	0.249 
007306 	0.312 	0.136 	0.099 	0.248 
007307 	0.311 	0.137 	0.100 	0.246 
007308 	0.311 	0.136 	0.100 	0.246 
007309 	0.310 	0.136 	0.100 	0.247 
007310 	0.308 	0.137 	0.102 	0.248 
007311 	0.309 	0.138 	0.100 	0.247 
007312 	0.309 	0.139 	0.100 	0.249 
007313 	0.309 	0.141 	0.099 	0.246 
007314 	0.309 	0.142 	0.099 	0.244 
007315 	0.309 	0.142 	0.099 	0.244 
007316 	0.310 	0.141 	0.098 	0.245 
007317 	0.309 	0.142 	0.099 	0.243 
007318 	0.309 	0.141 	0.099 	0.246 
007319 	0.308 	0.143 	0.101 	0.247 
007320 	0.307 	0.144 	0.101 	0.245 
007321 	0.309 	0.143 	0.099 	0.248 
007322 	0.307 	0.144 	0.100 	0.243 
007323 	0.308 	0.144 	0.100 	0.244 
007324 	0.308 	0.144 	0.100 	0.245 
007325 	0.308 	0.145 	0.102 	0.243 
007326 	0.308 	0.146 	0.101 	0.241 
007327 	0.307 	0.143 	0.101 	0.246 
007328 	0.307 	0.145 	0.101 	0.243 
007329 	0.308 	0.145 	0.100 	0.243 
007330 	0.308 	0.147 	0.101 	0.244 
007331 	0.308 	0.144 	0.101 	0.249 
007332 	0.310 	0.145 	0.100 	0.250 
007333 	0.310 	0.148 	0.100 	0.250 
007334 	0.310 	0.150 	0.100 	0.247 
007335 	0.310 	0.148 	0.100 	0.249 
007336 	0.311 	0.149 	0.100 	0.249 
007337 	0.311 	0.152 	0.099 	0.248 
007338 	0.312 	0.151 	0.098 	0.251 
007339 	0.311 	0.149 	0.099 	0.254 
007340 	0.311 	0.149 	0.099 	0.254 
007341 	0.310 	0.150 	0.101 	0.253 
007342 	0.311 	0.149 	0.100 	0.254 
007343 	0.310 	0.148 	0.101 	0.251 
007344 	0.310 	0.144 	0.101 	0.254 
007345 	0.311 	0.146 	0.100 	0.249 
007346 	0.310 	0.139 	0.099 	0.257 
007347 	0.310 	0.139 	0.101 	0.257 
007348 	0.308 	0.138 	0.103 	0.259 
007349 	0.311 	0.138 	0.099 	0.259 
007350 	0.312 	0.141 	0.098 	0.256 
007351 	0.312 	0.139 	0.098 	0.256 
007352 	0.311 	0.139 	0.100 	0.256 
007353 	0.312 	0.138 	0.097 	0.258 
007354 	0.313 	0.138 	0.096 	0.256 
007355 	0.313 	0.137 	0.097 	0.257 
007356 	0.314 	0.138 	0.097 	0.256 
007357 	0.313 	0.136 	0.098 	0.258 
007358 	0.313 	0.133 	0.098 	0.263 
007359 	0.313 	0.134 	0.096 	0.260 
007360 	0.313 	0.131 	0.096 	0.260 
007361 	0.312 	0.134 	0.096 	0.254 
007362 	0.313 	0.136 	0.096 	0.246 
007363 	0.314 	0.135 	0.095 	0.248 
007364 	0.314 	0.135 	0.095 	0.248 
007365 	0.314 	0.134 	0.097 	0.250 
007366 	0.315 	0.134 	0.097 	0.254 
007367 	0.315 	0.132 	0.099 	0.256 
007368 	0.315 	0.134 	0.100 	0.251 
007369 	0.317 	0.135 	0.097 	0.248 
007370 	0.315 	0.133 	0.099 	0.250 
007371 	0.316 	0.136 	0.099 	0.248 
007372 	0.315 	0.138 	0.100 	0.248 
007373 	0.316 	0.138 	0.099 	0.253 
007374 	0.316 	0.140 	0.099 	0.250 
007375 	0.316 	0.137 	0.098 	0.255 
007376 	0.316 	0.137 	0.098 	0.253 
007377 	0.317 	0.138 	0.098 	0.252 
007378 	0.315 	0.137 	0.100 	0.253 
007379 	0.315 	0.136 	0.099 	0.254 
007380 	0.316 	0.136 	0.098 	0.254 
007381 	0.316 	0.136 	0.099 	0.255 
007382 	0.315 	0.138 	0.100 	0.253 
007383 	0.316 	0.139 	0.100 	0.250 
007384 	0.315 	0.138 	0.101 	0.253 
007385 	0.314 	0.140 	0.102 	0.253 
007386 	0.315 	0.137 	0.101 	0.258 
007387 	0.315 	0.137 	0.101 	0.257 
007388 	0.315 	0.137 	0.101 	0.257 
007389 	0.313 	0.137 	0.103 	0.253 
007390 	0.313 	0.136 	0.102 	0.251 
007391 	0.315 	0.137 	0.100 	0.254 
007392 	0.314 	0.138 	0.100 	0.253 
007393 	0.313 	0.138 	0.100 	0.253 
007394 	0.315 	0.137 	0.100 	0.252 
007395 	0.316 	0.137 	0.098 	0.253 
007396 	0.317 	0.134 	0.097 	0.255 
007397 	0.318 	0.135 	0.099 	0.256 
007398 	0.319 	0.132 	0.098 	0.259 
007399 	0.320 	0.133 	0.099 	0.254 
007400 	0.320 	0.134 	0.099 	0.252 
007401 	0.320 	0.136 	0.099 	0.256 
007402 	0.322 	0.136 	0.099 	0.259 
007403 	0.324 	0.146 	0.097 	0.254 
007404 	0.324 	0.146 	0.097 	0.253 
007405 	0.324 	0.144 	0.097 	0.258 
007406 	0.323 	0.144 	0.098 	0.256 
007407 	0.323 	0.145 	0.098 	0.255 
007408 	0.321 	0.144 	0.099 	0.252 
007409 	0.322 	0.139 	0.098 	0.254 
007410 	0.321 	0.138 	0.098 	0.254 
007411 	0.321 	0.138 	0.099 	0.253 
007412 	0.321 	0.135 	0.099 	0.255 
007413 	0.321 	0.135 	0.099 	0.255 
007414 	0.321 	0.132 	0.100 	0.256 
007415 	0.321 	0.128 	0.101 	0.259 
007416 	0.321 	0.127 	0.099 	0.257 
007417 	0.320 	0.126 	0.101 	0.259 
007418 	0.320 	0.125 	0.102 	0.260 
007419 	0.318 	0.127 	0.103 	0.259 
007420 	0.317 	0.131 	0.101 	0.257 
007421 	0.317 	0.132 	0.102 	0.255 
007422 	0.316 	0.133 	0.101 	0.255 
007423 	0.316 	0.133 	0.100 	0.257 
007424 	0.316 	0.135 	0.100 	0.255 
007425 	0.316 	0.139 	0.101 	0.251 
007426 	0.316 	0.139 	0.101 	0.250 
007427 	0.316 	0.140 	0.097 	0.248 
007428 	0.316 	0.139 	0.097 	0.250 
007429 	0.315 	0.137 	0.101 	0.251 
007430 	0.316 	0.136 	0.100 	0.253 
007431 	0.317 	0.136 	0.099 	0.254 
007432 	0.317 	0.135 	0.098 	0.253 
007433 	0.317 	0.135 	0.098 	0.255 
007434 	0.317 	0.137 	0.099 	0.253 
007435 	0.316 	0.135 	0.100 	0.255 
007436 	0.317 	0.134 	0.101 	0.257 
007437 	0.317 	0.134 	0.101 	0.257 
007438 	0.318 	0.136 	0.100 	0.254 
007439 	0.316 	0.135 	0.101 	0.255 
007440 	0.315 	0.134 	0.102 	0.256 
007441 	0.317 	0.133 	0.100 	0.255 
007442 	0.316 	0.132 	0.100 	0.257 
007443 	0.316 	0.132 	0.101 	0.257 
007444 	0.317 	0.132 	0.100 	0.259 
007445 	0.318 	0.134 	0.100 	0.255 
007446 	0.319 	0.131 	0.098 	0.258 
007447 	0.321 	0.132 	0.098 	0.256 
007448 	0.320 	0.132 	0.098 	0.254 
007449 	0.319 	0.133 	0.101 	0.251 
007450 	0.320 	0.132 	0.100 	0.252 
007451 	0.321 	0.132 	0.100 	0.254 
007452 	0.322 	0.131 	0.099 	0.257 
007453 	0.322 	0.130 	0.098 	0.257 
007454 	0.322 	0.128 	0.099 	0.256 
007455 	0.320 	0.130 	0.102 	0.251 
007456 	0.322 	0.126 	0.101 	0.256 
007457 	0.322 	0.125 	0.101 	0.254 
007458 	0.325 	0.124 	0.100 	0.262 
007459 	0.326 	0.127 	0.100 	0.262 
007460 	0.328 	0.131 	0.099 	0.258 
007461 	0.330 	0.133 	0.095 	0.257 
007462 	0.330 	0.133 	0.095 	0.257 
007463 	0.331 	0.136 	0.095 	0.256 
007464 	0.332 	0.135 	0.094 	0.258 
007465 	0.330 	0.132 	0.097 	0.259 
007466 	0.330 	0.131 	0.097 	0.258 
007467 	0.330 	0.129 	0.097 	0.261 
007468 	0.329 	0.128 	0.097 	0.258 
007469 	0.329 	0.127 	0.096 	0.259 
007470 	0.329 	0.127 	0.096 	0.258 
007471 	0.327 	0.125 	0.097 	0.258 
007472 	0.326 	0.124 	0.097 	0.256 
007473 	0.324 	0.120 	0.096 	0.258 
007474 	0.324 	0.123 	0.096 	0.255 
007475 	0.325 	0.121 	0.095 	0.260 
007476 	0.324 	0.120 	0.096 	0.259 
007477 	0.324 	0.118 	0.098 	0.257 
007478 	0.326 	0.120 	0.098 	0.250 
007479 	0.327 	0.119 	0.098 	0.253 
007480 	0.329 	0.121 	0.099 	0.250 
007481 	0.333 	0.122 	0.096 	0.249 
007482 	0.335 	0.121 	0.095 	0.252 
007483 	0.337 	0.121 	0.097 	0.251 
007484 	0.340 	0.120 	0.094 	0.249 
007485 	0.341 	0.119 	0.098 	0.250 
007486 	0.341 	0.119 	0.098 	0.250 
007487 	0.345 	0.120 	0.096 	0.251 
007488 	0.351 	0.121 	0.096 	0.251 
007489 	0.356 	0.121 	0.098 	0.249 
007490 	0.359 	0.119 	0.098 	0.253 
007491 	0.365 	0.118 	0.096 	0.253 
007492 	0.369 	0.116 	0.096 	0.258 
007493 	0.373 	0.116 	0.095 	0.259 
007494 	0.373 	0.118 	0.098 	0.253 
007495 	0.376 	0.116 	0.097 	0.251 
007496 	0.384 	0.117 	0.094 	0.255 
007497 	0.389 	0.122 	0.092 	0.251 
007498 	0.391 	0.123 	0.094 	0.251 
007499 	0.396 	0.125 	0.094 	0.248 
007500 	0.400 	0.125 	0.093 	0.250 
007501 	0.402 	0.125 	0.097 	0.250 
007502 	0.406 	0.126 	0.096 	0.247 
007503 	0.410 	0.125 	0.096 	0.250 
007504 	0.415 	0.128 	0.094 	0.245 
007505 	0.416 	0.128 	0.097 	0.248 
007506 	0.421 	0.127 	0.094 	0.250 

WORD START END ASDSCORE
INTO 0.08 0.30 8.3
THEIR 0.30 0.55 5.3
OWN 0.55 0.86 3.5
UNIQUE 0.89 1.38 4.2
CULTURES 2.45 3.07 3.1
INDUSTRIAL 3.07 3.76 6.6
CULTURES 3.76 4.45 3.5
AND 4.75 4.85 2.3
THEIR 4.85 4.99 3.2
SILENT 4.99 5.66 7.0
CULTURES 5.66 6.30 5.0
THEIR 8.14 8.31 3.3
CULTURES 8.31 8.85 3.7
WHICH 8.85 9.10 5.4
REGARD 9.10 9.59 5.0
EACH 9.59 9.80 5.8
OTHER 9.80 10.01 6.2
SUSPICIOUSLY 10.01 11.24 4.4
AND 11.50 11.69 4.9
THOSE 11.69 12.28 5.9
COMPETITORS 12.42 13.26 5.0
RATHER 13.26 13.68 5.2
THAN 13.68 13.80 2.7
COLLABORATORS 13.80 14.74 4.3
