Text:  IF WE DO GET A CHANCE TO DEVELOP A NEW TRANSPORTATION SYSTEM THERE LOTS AND LOTS OF DIFFERENT STAKEHOLDERS INVOLVED THERE ARE POLITICIANS THERE ARE GOVERNMENT AGENCIES THERE ARE ENGINEERS THERE ARE LOBBYISTS JUST TO NAME A FRACTION OF THEM THEY ALL SQUABBLE THEY ALL HAVE COMPETING AGENDAS 
Conf:  4
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
008303 	0.422 	0.133 	0.101 	0.252 
008304 	0.422 	0.134 	0.098 	0.253 
008305 	0.424 	0.133 	0.096 	0.256 
008306 	0.425 	0.132 	0.095 	0.258 
008307 	0.425 	0.133 	0.097 	0.254 
008308 	0.424 	0.133 	0.097 	0.253 
008309 	0.424 	0.134 	0.097 	0.254 
008310 	0.425 	0.134 	0.095 	0.255 
008311 	0.424 	0.133 	0.097 	0.257 
008312 	0.424 	0.133 	0.096 	0.255 
008313 	0.425 	0.135 	0.096 	0.254 
008314 	0.425 	0.134 	0.095 	0.254 
008315 	0.424 	0.134 	0.097 	0.255 
008316 	0.424 	0.134 	0.097 	0.255 
008317 	0.424 	0.133 	0.096 	0.255 
008318 	0.424 	0.135 	0.094 	0.257 
008319 	0.424 	0.132 	0.098 	0.259 
008320 	0.426 	0.132 	0.097 	0.260 
008321 	0.427 	0.133 	0.096 	0.254 
008322 	0.426 	0.133 	0.097 	0.253 
008323 	0.428 	0.132 	0.095 	0.253 
008324 	0.428 	0.131 	0.095 	0.258 
008325 	0.429 	0.131 	0.095 	0.258 
008326 	0.429 	0.131 	0.095 	0.257 
008327 	0.429 	0.134 	0.095 	0.253 
008328 	0.429 	0.128 	0.097 	0.260 
008329 	0.430 	0.128 	0.097 	0.255 
008330 	0.429 	0.126 	0.099 	0.256 
008331 	0.430 	0.125 	0.100 	0.258 
008332 	0.434 	0.127 	0.098 	0.255 
008333 	0.432 	0.127 	0.100 	0.255 
008334 	0.434 	0.128 	0.099 	0.254 
008335 	0.433 	0.128 	0.099 	0.254 
008336 	0.434 	0.130 	0.098 	0.253 
008337 	0.433 	0.128 	0.099 	0.255 
008338 	0.433 	0.128 	0.099 	0.252 
008339 	0.434 	0.129 	0.099 	0.251 
008340 	0.434 	0.131 	0.099 	0.248 
008341 	0.434 	0.131 	0.099 	0.248 
008342 	0.437 	0.132 	0.094 	0.248 
008343 	0.435 	0.130 	0.096 	0.250 
008344 	0.432 	0.129 	0.094 	0.249 
008345 	0.428 	0.127 	0.098 	0.253 
008346 	0.428 	0.128 	0.094 	0.253 
008347 	0.427 	0.127 	0.096 	0.254 
008348 	0.425 	0.126 	0.096 	0.255 
008349 	0.423 	0.125 	0.098 	0.249 
008350 	0.422 	0.127 	0.098 	0.248 
008351 	0.420 	0.123 	0.097 	0.256 
008352 	0.421 	0.126 	0.094 	0.254 
008353 	0.419 	0.128 	0.095 	0.252 
008354 	0.419 	0.124 	0.095 	0.256 
008355 	0.416 	0.125 	0.094 	0.247 
008356 	0.413 	0.124 	0.096 	0.251 
008357 	0.414 	0.128 	0.093 	0.249 
008358 	0.410 	0.126 	0.094 	0.250 
008359 	0.409 	0.127 	0.092 	0.251 
008360 	0.406 	0.125 	0.095 	0.255 
008361 	0.407 	0.124 	0.093 	0.259 
008362 	0.404 	0.125 	0.095 	0.255 
008363 	0.404 	0.124 	0.096 	0.254 
008364 	0.403 	0.124 	0.094 	0.254 
008365 	0.403 	0.124 	0.094 	0.254 
008366 	0.402 	0.126 	0.094 	0.255 
008367 	0.401 	0.127 	0.095 	0.254 
008368 	0.400 	0.126 	0.095 	0.255 
