Text:  THE WAY WHO IS THE MOST IMPORTANT STAKEHOLDER OF ALL IT'S US THE END USER AND WHEN WAS THE LAST TIME ANYBODY ASKED YOU WHAT YOUR NEEDS AND ASPIRATIONS WERE FOR A HIGH SPEED CONNECTION BETWEEN NORTHERN AND SOUTHERN CALIFORNIA 
Conf:  4
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
009192 	0.440 	0.198 	0.121 	0.308 
009193 	0.441 	0.195 	0.123 	0.311 
009194 	0.443 	0.195 	0.123 	0.310 
009195 	0.443 	0.195 	0.123 	0.310 
009196 	0.446 	0.189 	0.119 	0.317 
009197 	0.445 	0.189 	0.122 	0.314 
009198 	0.446 	0.187 	0.120 	0.317 
009199 	0.446 	0.185 	0.121 	0.324 
009200 	0.446 	0.186 	0.122 	0.322 
009201 	0.446 	0.189 	0.124 	0.321 
009202 	0.448 	0.186 	0.124 	0.323 
009203 	0.447 	0.186 	0.125 	0.325 
009204 	0.448 	0.184 	0.126 	0.327 
009205 	0.447 	0.184 	0.127 	0.327 
009206 	0.447 	0.181 	0.128 	0.328 
009207 	0.448 	0.182 	0.127 	0.324 
009208 	0.449 	0.181 	0.126 	0.323 
009209 	0.450 	0.182 	0.126 	0.312 
009210 	0.450 	0.180 	0.126 	0.313 
009211 	0.452 	0.176 	0.122 	0.311 
009212 	0.455 	0.171 	0.120 	0.319 
009213 	0.455 	0.157 	0.122 	0.324 
009214 	0.455 	0.152 	0.126 	0.320 
009215 	0.459 	0.134 	0.125 	0.331 
009216 	0.460 	0.124 	0.124 	0.329 
009217 	0.461 	0.119 	0.123 	0.325 
009218 	0.462 	0.109 	0.124 	0.328 
009219 	0.462 	0.103 	0.127 	0.330 
009220 	0.462 	0.103 	0.127 	0.330 
009221 	0.465 	0.103 	0.126 	0.323 
009222 	0.467 	0.105 	0.126 	0.318 
009223 	0.468 	0.099 	0.130 	0.326 
009224 	0.473 	0.098 	0.124 	0.321 
009225 	0.478 	0.099 	0.123 	0.319 
009226 	0.482 	0.098 	0.127 	0.322 
009227 	0.485 	0.096 	0.131 	0.320 
009228 	0.492 	0.092 	0.131 	0.312 
009229 	0.497 	0.085 	0.133 	0.324 
009230 	0.503 	0.085 	0.137 	0.323 
009231 	0.513 	0.082 	0.133 	0.332 
