Text:  LOOKING AT OTHER FIELDS AND OTHER INDUSTRIES TO SEE WHERE THERE MIGHT BE COLLABORATIVE PROCESSES FOR COMING UP WITH SOLUTIONS AND IT TURNS OUT THAT THERE ARE AND A REALLY GOOD EXAMPLE IS FROM OUR FRIENDS ERIC JPL WHO USED AN EXTREME COLLABORATION PROCESS CALLED TEAM X TO DESIGN THE COMPLEX SPACE MACHINES THAT YOU'VE JUST SEEN AND THEY DO IT REPEATEDLY AND THEY DO IT REALLY SUCCESSFULLY 
Conf:  2
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
010216 	0.398 	0.133 	0.132 	0.329 
010217 	0.399 	0.133 	0.128 	0.326 
010218 	0.400 	0.131 	0.127 	0.331 
010219 	0.403 	0.131 	0.126 	0.333 
010220 	0.401 	0.131 	0.126 	0.331 
010221 	0.401 	0.131 	0.126 	0.331 
010222 	0.400 	0.130 	0.128 	0.333 
010223 	0.401 	0.133 	0.128 	0.331 
010224 	0.400 	0.132 	0.128 	0.333 
010225 	0.400 	0.132 	0.129 	0.331 
010226 	0.402 	0.132 	0.127 	0.329 
010227 	0.401 	0.129 	0.129 	0.328 
010228 	0.404 	0.129 	0.126 	0.328 
010229 	0.404 	0.127 	0.127 	0.330 
010230 	0.405 	0.124 	0.128 	0.338 
010231 	0.407 	0.126 	0.126 	0.326 
010232 	0.407 	0.128 	0.128 	0.321 
010233 	0.409 	0.128 	0.124 	0.318 
010234 	0.411 	0.123 	0.125 	0.326 
010235 	0.411 	0.126 	0.125 	0.319 
010236 	0.413 	0.126 	0.125 	0.319 
010237 	0.413 	0.127 	0.126 	0.321 
010238 	0.413 	0.130 	0.128 	0.320 
010239 	0.414 	0.130 	0.128 	0.323 
010240 	0.415 	0.135 	0.127 	0.319 
010241 	0.416 	0.135 	0.128 	0.322 
010242 	0.416 	0.137 	0.128 	0.322 
010243 	0.416 	0.137 	0.128 	0.324 
010244 	0.415 	0.138 	0.128 	0.322 
010245 	0.415 	0.138 	0.128 	0.322 
010246 	0.417 	0.136 	0.126 	0.325 
010247 	0.416 	0.135 	0.126 	0.323 
010248 	0.417 	0.135 	0.124 	0.320 
010249 	0.415 	0.134 	0.125 	0.318 
010250 	0.414 	0.132 	0.125 	0.323 
010251 	0.414 	0.135 	0.125 	0.324 
010252 	0.410 	0.130 	0.128 	0.328 
010253 	0.409 	0.131 	0.130 	0.322 
010254 	0.406 	0.127 	0.133 	0.327 
010255 	0.406 	0.125 	0.133 	0.333 
010256 	0.406 	0.124 	0.132 	0.333 
010257 	0.408 	0.125 	0.130 	0.330 
010258 	0.409 	0.126 	0.128 	0.325 
010259 	0.407 	0.126 	0.131 	0.321 
010260 	0.409 	0.125 	0.129 	0.326 
010261 	0.408 	0.124 	0.129 	0.330 
010262 	0.407 	0.120 	0.130 	0.333 
010263 	0.408 	0.125 	0.128 	0.329 
010264 	0.409 	0.125 	0.127 	0.330 
