Text:  LOOKED AT THE DESIGN PROCESSES THAT WE USE WHEN WE ARE DESIGNING AND WHAT ALL HAPPENS IF WE CAN EXPAND THESE PROCESSES FROM JUST DESIGNING PRODUCTS OR SERVICES OR EXPERIENCES 
Conf:  4
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
010956 	0.621 	0.128 	0.127 	0.421 
010957 	0.618 	0.124 	0.129 	0.426 
010958 	0.619 	0.121 	0.126 	0.435 
010959 	0.618 	0.131 	0.126 	0.423 
010960 	0.616 	0.124 	0.128 	0.429 
010961 	0.618 	0.119 	0.126 	0.435 
010962 	0.617 	0.118 	0.126 	0.442 
010963 	0.614 	0.127 	0.127 	0.435 
010964 	0.614 	0.127 	0.126 	0.431 
010965 	0.611 	0.128 	0.125 	0.428 
010966 	0.610 	0.125 	0.125 	0.434 
010967 	0.608 	0.127 	0.126 	0.433 
010968 	0.607 	0.144 	0.127 	0.411 
010969 	0.602 	0.136 	0.128 	0.418 
010970 	0.603 	0.135 	0.128 	0.422 
010971 	0.600 	0.139 	0.129 	0.416 
010972 	0.597 	0.137 	0.133 	0.414 
010973 	0.592 	0.139 	0.132 	0.417 
010974 	0.590 	0.137 	0.135 	0.422 
010975 	0.590 	0.140 	0.133 	0.418 
010976 	0.587 	0.150 	0.128 	0.407 
010977 	0.587 	0.150 	0.128 	0.407 
010978 	0.586 	0.146 	0.126 	0.412 
010979 	0.583 	0.147 	0.126 	0.414 
010980 	0.579 	0.140 	0.128 	0.428 
010981 	0.577 	0.139 	0.128 	0.422 
010982 	0.572 	0.131 	0.137 	0.428 
010983 	0.573 	0.135 	0.134 	0.420 
010984 	0.570 	0.137 	0.131 	0.419 
010985 	0.566 	0.135 	0.130 	0.418 
010986 	0.563 	0.130 	0.127 	0.421 
010987 	0.561 	0.125 	0.125 	0.428 
010988 	0.558 	0.134 	0.127 	0.423 
010989 	0.557 	0.131 	0.122 	0.424 
010990 	0.553 	0.132 	0.124 	0.424 
010991 	0.550 	0.146 	0.123 	0.409 
010992 	0.549 	0.154 	0.120 	0.394 
010993 	0.546 	0.158 	0.120 	0.396 
010994 	0.546 	0.153 	0.116 	0.405 
010995 	0.544 	0.156 	0.116 	0.401 
010996 	0.544 	0.162 	0.112 	0.388 
010997 	0.542 	0.163 	0.113 	0.392 
010998 	0.541 	0.161 	0.111 	0.394 
010999 	0.538 	0.155 	0.112 	0.398 
011000 	0.536 	0.159 	0.115 	0.392 
011001 	0.536 	0.161 	0.114 	0.389 
011002 	0.536 	0.161 	0.114 	0.389 
011003 	0.537 	0.161 	0.112 	0.385 
011004 	0.537 	0.167 	0.113 	0.380 
011005 	0.535 	0.162 	0.113 	0.387 
011006 	0.535 	0.167 	0.114 	0.382 
011007 	0.534 	0.160 	0.115 	0.389 
011008 	0.535 	0.161 	0.115 	0.387 
011009 	0.532 	0.160 	0.118 	0.386 
011010 	0.531 	0.148 	0.122 	0.401 
011011 	0.532 	0.151 	0.120 	0.396 
011012 	0.534 	0.157 	0.123 	0.394 
011013 	0.540 	0.155 	0.120 	0.403 
011014 	0.541 	0.152 	0.124 	0.409 
011015 	0.542 	0.155 	0.124 	0.404 
011016 	0.544 	0.165 	0.126 	0.397 
011017 	0.549 	0.164 	0.124 	0.407 
011018 	0.552 	0.157 	0.126 	0.417 
011019 	0.556 	0.162 	0.124 	0.406 
011020 	0.557 	0.167 	0.126 	0.398 
011021 	0.558 	0.163 	0.126 	0.407 
011022 	0.559 	0.163 	0.124 	0.407 
011023 	0.558 	0.166 	0.125 	0.399 
011024 	0.557 	0.161 	0.125 	0.407 
011025 	0.556 	0.161 	0.126 	0.414 
011026 	0.556 	0.161 	0.126 	0.414 
011027 	0.553 	0.145 	0.128 	0.436 
011028 	0.550 	0.147 	0.126 	0.433 
011029 	0.550 	0.159 	0.125 	0.421 
011030 	0.549 	0.156 	0.122 	0.416 
011031 	0.548 	0.154 	0.123 	0.420 
011032 	0.548 	0.149 	0.123 	0.422 
011033 	0.549 	0.149 	0.124 	0.423 
011034 	0.547 	0.151 	0.122 	0.415 
011035 	0.545 	0.146 	0.122 	0.420 
011036 	0.543 	0.149 	0.120 	0.413 
011037 	0.540 	0.143 	0.120 	0.415 
011038 	0.539 	0.153 	0.116 	0.393 
011039 	0.537 	0.149 	0.118 	0.393 
011040 	0.538 	0.148 	0.115 	0.395 
011041 	0.537 	0.147 	0.115 	0.393 
011042 	0.538 	0.155 	0.114 	0.382 
011043 	0.538 	0.157 	0.115 	0.379 
011044 	0.539 	0.154 	0.114 	0.382 
011045 	0.540 	0.156 	0.113 	0.382 
011046 	0.539 	0.150 	0.115 	0.385 
011047 	0.539 	0.151 	0.115 	0.387 
011048 	0.541 	0.149 	0.113 	0.395 
011049 	0.542 	0.147 	0.113 	0.397 
011050 	0.542 	0.152 	0.113 	0.389 
011051 	0.542 	0.152 	0.113 	0.389 
011052 	0.543 	0.150 	0.114 	0.398 
011053 	0.543 	0.152 	0.114 	0.395 
011054 	0.542 	0.149 	0.119 	0.400 
011055 	0.543 	0.148 	0.118 	0.402 
011056 	0.541 	0.147 	0.123 	0.403 
011057 	0.541 	0.142 	0.124 	0.409 
011058 	0.543 	0.144 	0.124 	0.411 
011059 	0.542 	0.144 	0.123 	0.414 
011060 	0.543 	0.149 	0.124 	0.410 
011061 	0.545 	0.151 	0.122 	0.413 
011062 	0.545 	0.149 	0.120 	0.417 
011063 	0.542 	0.146 	0.121 	0.421 
011064 	0.541 	0.150 	0.120 	0.418 
011065 	0.541 	0.155 	0.118 	0.411 
011066 	0.539 	0.159 	0.120 	0.403 
011067 	0.537 	0.158 	0.121 	0.395 
011068 	0.536 	0.157 	0.121 	0.395 
011069 	0.536 	0.152 	0.120 	0.402 
011070 	0.535 	0.153 	0.119 	0.402 
011071 	0.536 	0.156 	0.117 	0.397 
011072 	0.536 	0.158 	0.117 	0.392 
011073 	0.537 	0.162 	0.116 	0.391 
011074 	0.536 	0.164 	0.116 	0.391 
011075 	0.536 	0.164 	0.116 	0.391 
011076 	0.535 	0.164 	0.116 	0.394 
011077 	0.537 	0.166 	0.113 	0.399 
011078 	0.538 	0.181 	0.110 	0.378 
011079 	0.536 	0.166 	0.114 	0.402 
011080 	0.536 	0.171 	0.114 	0.395 
011081 	0.535 	0.171 	0.114 	0.396 
011082 	0.534 	0.169 	0.114 	0.396 
011083 	0.535 	0.175 	0.113 	0.388 
