Text:  THEM TO DESIGNING COMPLEX TRANSPORTATION SYSTEMS IN THE FUTURE 
Conf:  4
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
011306 	0.366 	0.139 	0.080 	0.211 
011307 	0.362 	0.121 	0.089 	0.232 
011308 	0.366 	0.136 	0.080 	0.212 
011309 	0.366 	0.135 	0.079 	0.209 
011310 	0.365 	0.132 	0.080 	0.208 
011311 	0.365 	0.131 	0.081 	0.205 
011312 	0.358 	0.116 	0.092 	0.224 
011313 	0.356 	0.113 	0.091 	0.225 
011314 	0.357 	0.112 	0.091 	0.229 
011315 	0.358 	0.113 	0.090 	0.231 
011316 	0.358 	0.112 	0.091 	0.232 
011317 	0.359 	0.114 	0.090 	0.228 
011318 	0.360 	0.114 	0.091 	0.228 
011319 	0.360 	0.114 	0.091 	0.228 
011320 	0.359 	0.114 	0.092 	0.226 
011321 	0.360 	0.112 	0.090 	0.231 
011322 	0.362 	0.112 	0.089 	0.237 
011323 	0.363 	0.113 	0.090 	0.234 
011324 	0.363 	0.114 	0.092 	0.233 
011325 	0.364 	0.112 	0.090 	0.234 
011326 	0.369 	0.136 	0.080 	0.207 
011327 	0.365 	0.114 	0.090 	0.236 
011328 	0.366 	0.113 	0.088 	0.240 
011329 	0.367 	0.114 	0.090 	0.241 
011330 	0.368 	0.113 	0.090 	0.239 
011331 	0.371 	0.134 	0.081 	0.209 
011332 	0.369 	0.112 	0.090 	0.243 
011333 	0.370 	0.112 	0.091 	0.244 
011334 	0.370 	0.113 	0.091 	0.243 
011335 	0.371 	0.112 	0.089 	0.243 
011336 	0.371 	0.109 	0.090 	0.247 
011337 	0.373 	0.111 	0.090 	0.244 
011338 	0.373 	0.112 	0.090 	0.243 
011339 	0.372 	0.109 	0.091 	0.245 
011340 	0.372 	0.110 	0.092 	0.243 
011341 	0.373 	0.110 	0.091 	0.245 
011342 	0.374 	0.111 	0.089 	0.245 
011343 	0.373 	0.110 	0.089 	0.246 
011344 	0.373 	0.110 	0.089 	0.246 
011345 	0.373 	0.110 	0.089 	0.244 
011346 	0.372 	0.111 	0.089 	0.242 
011347 	0.371 	0.110 	0.091 	0.238 
011348 	0.375 	0.132 	0.084 	0.207 
