Text:  THOUGH WILL NOT BE TO DESIGN THE SOLUTIONS BUT IT WILL BE TO DO WHAT DESIGNERS INSTINCTIVELY DO WHENEVER THEY START A NEW PROJECT AND THAT 
Conf:  2
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
013184 	0.535 	0.137 	0.114 	0.372 
013185 	0.537 	0.134 	0.112 	0.377 
013186 	0.542 	0.129 	0.110 	0.380 
013187 	0.543 	0.131 	0.111 	0.375 
013188 	0.547 	0.123 	0.112 	0.387 
013189 	0.552 	0.125 	0.108 	0.385 
013190 	0.553 	0.120 	0.110 	0.390 
013191 	0.555 	0.124 	0.108 	0.384 
013192 	0.556 	0.121 	0.112 	0.393 
013193 	0.557 	0.119 	0.112 	0.391 
013194 	0.559 	0.116 	0.110 	0.396 
013195 	0.559 	0.119 	0.112 	0.387 
013196 	0.558 	0.119 	0.111 	0.389 
013197 	0.560 	0.119 	0.109 	0.394 
013198 	0.562 	0.122 	0.108 	0.392 
013199 	0.562 	0.122 	0.108 	0.392 
013200 	0.562 	0.123 	0.107 	0.390 
013201 	0.561 	0.133 	0.106 	0.378 
013202 	0.562 	0.130 	0.106 	0.380 
013203 	0.561 	0.128 	0.107 	0.382 
013204 	0.560 	0.130 	0.107 	0.382 
013205 	0.559 	0.125 	0.108 	0.389 
013206 	0.558 	0.128 	0.105 	0.385 
013207 	0.558 	0.133 	0.105 	0.378 
013208 	0.555 	0.134 	0.107 	0.381 
013209 	0.555 	0.139 	0.106 	0.378 
013210 	0.554 	0.134 	0.106 	0.382 
013211 	0.552 	0.135 	0.110 	0.381 
013212 	0.553 	0.136 	0.108 	0.377 
013213 	0.551 	0.139 	0.109 	0.376 
013214 	0.551 	0.140 	0.108 	0.374 
013215 	0.553 	0.138 	0.107 	0.378 
013216 	0.552 	0.138 	0.108 	0.377 
013217 	0.551 	0.133 	0.111 	0.383 
013218 	0.553 	0.133 	0.108 	0.385 
013219 	0.554 	0.132 	0.107 	0.384 
013220 	0.554 	0.131 	0.109 	0.385 
013221 	0.552 	0.134 	0.108 	0.379 
013222 	0.555 	0.130 	0.109 	0.378 
013223 	0.555 	0.127 	0.111 	0.382 
013224 	0.555 	0.127 	0.111 	0.382 
013225 	0.556 	0.133 	0.113 	0.382 
013226 	0.557 	0.139 	0.115 	0.378 
013227 	0.558 	0.135 	0.115 	0.384 
013228 	0.559 	0.130 	0.116 	0.386 
013229 	0.559 	0.124 	0.118 	0.393 
013230 	0.558 	0.124 	0.117 	0.394 
013231 	0.559 	0.131 	0.116 	0.386 
013232 	0.559 	0.122 	0.115 	0.395 
013233 	0.558 	0.121 	0.116 	0.396 
013234 	0.558 	0.130 	0.116 	0.387 
013235 	0.557 	0.124 	0.118 	0.393 
013236 	0.556 	0.127 	0.117 	0.386 
013237 	0.556 	0.136 	0.118 	0.389 
013238 	0.556 	0.131 	0.115 	0.397 
013239 	0.555 	0.137 	0.116 	0.392 
013240 	0.555 	0.127 	0.115 	0.406 
013241 	0.556 	0.134 	0.114 	0.403 
013242 	0.556 	0.129 	0.113 	0.407 
