Text:  JOB WILL BE TO IDENTIFY FROM AROUND THE WORLD OR AROUND THE COUNTRY EXPERTS TO REPRESENT EACH OF THOSE STAKEHOLDERS THAT THEY'VE IDENTIFIED AND THESE EXPERTS HAVE TO BE HIGHLY REGARDED IN THEIR FIELD AND THEY HAVE TO HAVE THE EXPERIENCE TO BE ABLE TO MAKE EXTREMELY IMPORTANT DECISIONS ON BEHALF OF THEIR STAKEHOLDERS THAT THEY REPRESENT I'M GOING TO CALL 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
014333 	0.442 	0.160 	0.125 	0.318 
014334 	0.442 	0.157 	0.127 	0.322 
014335 	0.441 	0.155 	0.128 	0.322 
014336 	0.443 	0.154 	0.128 	0.323 
014337 	0.444 	0.150 	0.126 	0.324 
014338 	0.443 	0.149 	0.129 	0.323 
014339 	0.446 	0.150 	0.125 	0.322 
014340 	0.444 	0.149 	0.128 	0.327 
014341 	0.447 	0.152 	0.126 	0.324 
014342 	0.447 	0.154 	0.125 	0.325 
014343 	0.447 	0.154 	0.126 	0.323 
014344 	0.446 	0.152 	0.127 	0.323 
014345 	0.446 	0.152 	0.127 	0.324 
014346 	0.447 	0.155 	0.126 	0.320 
014347 	0.447 	0.155 	0.126 	0.320 
014348 	0.446 	0.152 	0.128 	0.322 
014349 	0.445 	0.154 	0.129 	0.316 
014350 	0.446 	0.153 	0.129 	0.317 
014351 	0.446 	0.154 	0.130 	0.320 
014352 	0.449 	0.155 	0.126 	0.322 
014353 	0.450 	0.155 	0.125 	0.329 
014354 	0.450 	0.154 	0.125 	0.331 
014355 	0.450 	0.155 	0.126 	0.329 
014356 	0.449 	0.152 	0.125 	0.331 
014357 	0.450 	0.158 	0.125 	0.323 
014358 	0.449 	0.157 	0.126 	0.324 
014359 	0.450 	0.154 	0.125 	0.328 
014360 	0.448 	0.154 	0.127 	0.327 
014361 	0.447 	0.153 	0.127 	0.325 
014362 	0.446 	0.153 	0.128 	0.322 
014363 	0.447 	0.153 	0.126 	0.326 
014364 	0.446 	0.154 	0.127 	0.323 
014365 	0.446 	0.155 	0.126 	0.322 
014366 	0.443 	0.152 	0.130 	0.329 
014367 	0.444 	0.153 	0.127 	0.324 
014368 	0.444 	0.156 	0.126 	0.322 
014369 	0.445 	0.159 	0.124 	0.318 
