Text:  THAT THESE CONCEPT TEAM MEMBERS ARE GOING TO HAVE TO BE ABLE TO MAKE IMPORTANT DECISIONS AND ALSO UNDER PRESSURE IS BECAUSE THEY GOING TO BE ASKED TO PARTICIPATE IN AN EXTREME COLLABORATION PROCESS 
Conf:  3
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
015082 	0.472 	0.152 	0.081 	0.197 
015083 	0.474 	0.153 	0.080 	0.198 
015084 	0.474 	0.153 	0.080 	0.197 
015085 	0.476 	0.151 	0.078 	0.199 
015086 	0.475 	0.154 	0.079 	0.197 
015087 	0.476 	0.153 	0.079 	0.200 
015088 	0.476 	0.151 	0.080 	0.199 
015089 	0.476 	0.151 	0.081 	0.200 
015090 	0.476 	0.153 	0.081 	0.198 
015091 	0.477 	0.153 	0.080 	0.201 
015092 	0.477 	0.153 	0.080 	0.200 
015093 	0.478 	0.155 	0.079 	0.199 
015094 	0.479 	0.155 	0.078 	0.199 
015095 	0.480 	0.156 	0.076 	0.198 
015096 	0.479 	0.152 	0.079 	0.202 
015097 	0.479 	0.153 	0.079 	0.201 
015098 	0.480 	0.154 	0.078 	0.200 
015099 	0.481 	0.156 	0.077 	0.199 
015100 	0.481 	0.154 	0.078 	0.202 
015101 	0.482 	0.155 	0.077 	0.200 
015102 	0.482 	0.155 	0.079 	0.200 
015103 	0.482 	0.155 	0.079 	0.200 
015104 	0.481 	0.149 	0.080 	0.209 
015105 	0.481 	0.152 	0.078 	0.201 
015106 	0.480 	0.150 	0.079 	0.201 
015107 	0.480 	0.151 	0.079 	0.201 
015108 	0.480 	0.148 	0.079 	0.200 
015109 	0.478 	0.146 	0.079 	0.201 
015110 	0.478 	0.146 	0.077 	0.201 
015111 	0.475 	0.145 	0.079 	0.204 
015112 	0.473 	0.143 	0.079 	0.204 
015113 	0.467 	0.140 	0.077 	0.200 
015114 	0.466 	0.140 	0.078 	0.196 
015115 	0.462 	0.138 	0.078 	0.198 
015116 	0.455 	0.140 	0.080 	0.200 
015117 	0.454 	0.140 	0.077 	0.199 
015118 	0.449 	0.138 	0.079 	0.203 
015119 	0.446 	0.133 	0.081 	0.210 
015120 	0.441 	0.134 	0.078 	0.204 
015121 	0.436 	0.134 	0.076 	0.199 
015122 	0.430 	0.137 	0.078 	0.198 
015123 	0.425 	0.135 	0.078 	0.203 
015124 	0.420 	0.131 	0.079 	0.204 
015125 	0.412 	0.132 	0.077 	0.199 
015126 	0.407 	0.132 	0.077 	0.194 
015127 	0.402 	0.131 	0.076 	0.195 
015128 	0.402 	0.131 	0.076 	0.195 
015129 	0.396 	0.125 	0.078 	0.200 
015130 	0.385 	0.124 	0.079 	0.201 
015131 	0.380 	0.127 	0.076 	0.199 
015132 	0.374 	0.127 	0.077 	0.199 
015133 	0.370 	0.124 	0.079 	0.200 
015134 	0.364 	0.126 	0.081 	0.197 
015135 	0.356 	0.126 	0.077 	0.200 
015136 	0.354 	0.128 	0.074 	0.199 
015137 	0.349 	0.130 	0.076 	0.199 
015138 	0.346 	0.125 	0.077 	0.202 
015139 	0.342 	0.127 	0.078 	0.201 
015140 	0.340 	0.124 	0.079 	0.205 
015141 	0.336 	0.125 	0.078 	0.204 
015142 	0.333 	0.126 	0.078 	0.202 
015143 	0.331 	0.127 	0.079 	0.202 
015144 	0.328 	0.120 	0.081 	0.217 
015145 	0.329 	0.126 	0.078 	0.208 
015146 	0.329 	0.129 	0.078 	0.204 
015147 	0.330 	0.128 	0.077 	0.205 
015148 	0.331 	0.129 	0.076 	0.209 
015149 	0.331 	0.133 	0.075 	0.205 
015150 	0.331 	0.133 	0.076 	0.206 
