Text:  BE PUT THROUGH AN ITERATIVE PROCESS OF INTENSE DISCUSSIONS INTENSE COLLABORATIVE PROCESSES BREAKOUT SESSIONS WORKING BY THEMSELVES VERY HARD AND THEY EACH WILL HAVE A WORK STATION WHICH IS HIGHLY NETWORKED SO THAT EVERYBODY CAN SHARE INFORMATION AND THEY'LL HAVE AROUND THE WALLS SOME SMART BOARDS SO THAT THERE THEY CAN SEE THE PROGRESS THEY MAKE AND IT MIGHT SOUND LIKE A RATHER CHAOTIC PROCESS BUT THE SECRET IS ACTUALLY IN THE MODERATION 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
015650 	0.451 	0.145 	0.128 	0.325 
015651 	0.452 	0.151 	0.126 	0.322 
015652 	0.455 	0.149 	0.124 	0.323 
015653 	0.453 	0.151 	0.126 	0.322 
015654 	0.452 	0.150 	0.126 	0.324 
015655 	0.451 	0.148 	0.127 	0.325 
015656 	0.451 	0.151 	0.128 	0.319 
015657 	0.450 	0.151 	0.128 	0.317 
015658 	0.452 	0.152 	0.124 	0.320 
015659 	0.450 	0.150 	0.124 	0.319 
015660 	0.448 	0.148 	0.125 	0.322 
015661 	0.449 	0.148 	0.126 	0.319 
015662 	0.447 	0.146 	0.126 	0.322 
015663 	0.446 	0.146 	0.128 	0.321 
015664 	0.446 	0.147 	0.127 	0.319 
015665 	0.446 	0.147 	0.127 	0.319 
015666 	0.446 	0.145 	0.127 	0.322 
015667 	0.444 	0.144 	0.128 	0.322 
015668 	0.446 	0.143 	0.124 	0.326 
015669 	0.445 	0.143 	0.126 	0.327 
015670 	0.444 	0.142 	0.126 	0.328 
015671 	0.443 	0.142 	0.126 	0.330 
015672 	0.443 	0.146 	0.124 	0.321 
015673 	0.442 	0.145 	0.123 	0.325 
015674 	0.442 	0.147 	0.124 	0.326 
015675 	0.442 	0.147 	0.124 	0.328 
015676 	0.440 	0.147 	0.124 	0.326 
015677 	0.438 	0.145 	0.125 	0.329 
015678 	0.438 	0.148 	0.126 	0.321 
015679 	0.438 	0.146 	0.125 	0.323 
015680 	0.440 	0.144 	0.123 	0.327 
015681 	0.438 	0.143 	0.126 	0.326 
015682 	0.438 	0.145 	0.125 	0.324 
015683 	0.438 	0.144 	0.124 	0.324 
015684 	0.438 	0.142 	0.124 	0.326 
015685 	0.439 	0.144 	0.124 	0.323 
015686 	0.440 	0.142 	0.123 	0.323 
015687 	0.438 	0.143 	0.126 	0.320 
015688 	0.439 	0.143 	0.126 	0.319 
015689 	0.439 	0.143 	0.126 	0.319 
015690 	0.439 	0.140 	0.126 	0.323 
015691 	0.441 	0.138 	0.125 	0.325 
015692 	0.443 	0.137 	0.124 	0.324 
015693 	0.442 	0.134 	0.125 	0.321 
015694 	0.444 	0.134 	0.123 	0.322 
015695 	0.443 	0.134 	0.125 	0.323 
015696 	0.444 	0.134 	0.125 	0.324 
015697 	0.447 	0.140 	0.122 	0.318 
015698 	0.447 	0.141 	0.122 	0.319 
015699 	0.447 	0.142 	0.124 	0.321 
015700 	0.448 	0.142 	0.123 	0.320 
015701 	0.446 	0.144 	0.123 	0.319 
015702 	0.447 	0.148 	0.123 	0.320 
015703 	0.447 	0.151 	0.125 	0.321 
015704 	0.447 	0.155 	0.125 	0.322 
015705 	0.448 	0.155 	0.124 	0.323 
015706 	0.447 	0.156 	0.126 	0.320 
015707 	0.449 	0.157 	0.125 	0.322 
015708 	0.449 	0.160 	0.124 	0.316 
015709 	0.448 	0.160 	0.124 	0.319 
015710 	0.448 	0.161 	0.124 	0.320 
015711 	0.449 	0.161 	0.123 	0.321 
015712 	0.447 	0.155 	0.125 	0.324 
015713 	0.448 	0.158 	0.123 	0.320 
015714 	0.448 	0.158 	0.123 	0.320 
015715 	0.445 	0.156 	0.126 	0.322 
015716 	0.446 	0.161 	0.125 	0.320 
015717 	0.445 	0.155 	0.125 	0.327 
015718 	0.446 	0.158 	0.124 	0.323 
015719 	0.446 	0.157 	0.124 	0.324 
015720 	0.444 	0.152 	0.126 	0.328 
015721 	0.446 	0.158 	0.126 	0.322 
015722 	0.446 	0.160 	0.126 	0.320 
015723 	0.448 	0.158 	0.125 	0.320 
015724 	0.449 	0.156 	0.127 	0.321 
015725 	0.450 	0.155 	0.126 	0.322 
015726 	0.451 	0.151 	0.127 	0.328 
015727 	0.451 	0.151 	0.127 	0.327 
015728 	0.452 	0.151 	0.126 	0.328 
015729 	0.453 	0.154 	0.125 	0.324 
015730 	0.452 	0.150 	0.126 	0.330 
015731 	0.453 	0.151 	0.125 	0.328 
015732 	0.453 	0.151 	0.125 	0.326 
015733 	0.454 	0.152 	0.123 	0.320 
015734 	0.452 	0.152 	0.122 	0.322 
015735 	0.452 	0.153 	0.123 	0.318 
015736 	0.451 	0.150 	0.124 	0.321 
015737 	0.450 	0.150 	0.125 	0.317 
015738 	0.450 	0.150 	0.125 	0.317 
015739 	0.448 	0.149 	0.127 	0.318 
015740 	0.448 	0.152 	0.127 	0.314 
015741 	0.449 	0.153 	0.125 	0.316 
015742 	0.447 	0.153 	0.129 	0.317 
015743 	0.446 	0.154 	0.129 	0.318 
015744 	0.448 	0.157 	0.125 	0.316 
015745 	0.447 	0.156 	0.127 	0.317 
015746 	0.447 	0.157 	0.126 	0.316 
015747 	0.447 	0.158 	0.124 	0.315 
015748 	0.448 	0.159 	0.123 	0.315 
015749 	0.446 	0.156 	0.125 	0.319 
015750 	0.448 	0.158 	0.125 	0.316 
015751 	0.449 	0.154 	0.123 	0.321 
015752 	0.449 	0.155 	0.124 	0.323 
015753 	0.449 	0.152 	0.124 	0.326 
015754 	0.449 	0.152 	0.123 	0.327 
015755 	0.448 	0.150 	0.123 	0.328 
015756 	0.449 	0.150 	0.124 	0.324 
015757 	0.447 	0.147 	0.124 	0.327 
015758 	0.446 	0.150 	0.125 	0.321 
015759 	0.446 	0.149 	0.125 	0.319 
015760 	0.447 	0.151 	0.123 	0.317 
015761 	0.445 	0.149 	0.125 	0.317 
015762 	0.446 	0.150 	0.123 	0.318 
015763 	0.446 	0.150 	0.123 	0.318 
015764 	0.447 	0.152 	0.122 	0.320 
015765 	0.447 	0.150 	0.123 	0.323 
015766 	0.448 	0.149 	0.122 	0.322 
015767 	0.448 	0.154 	0.122 	0.317 
015768 	0.448 	0.153 	0.122 	0.320 
015769 	0.450 	0.153 	0.120 	0.322 
015770 	0.449 	0.156 	0.121 	0.317 
015771 	0.448 	0.155 	0.124 	0.319 
015772 	0.449 	0.156 	0.124 	0.321 
015773 	0.448 	0.156 	0.126 	0.324 
015774 	0.449 	0.156 	0.124 	0.326 
015775 	0.448 	0.154 	0.126 	0.328 
015776 	0.450 	0.155 	0.125 	0.323 
015777 	0.451 	0.154 	0.124 	0.323 
015778 	0.450 	0.152 	0.124 	0.323 
015779 	0.450 	0.152 	0.124 	0.323 
015780 	0.451 	0.152 	0.123 	0.324 
015781 	0.451 	0.153 	0.122 	0.320 
015782 	0.451 	0.152 	0.124 	0.323 
015783 	0.450 	0.148 	0.124 	0.330 
015784 	0.450 	0.147 	0.125 	0.328 
015785 	0.451 	0.149 	0.124 	0.323 
015786 	0.451 	0.150 	0.124 	0.322 
015787 	0.451 	0.150 	0.124 	0.322 
015788 	0.451 	0.153 	0.125 	0.319 
015789 	0.450 	0.150 	0.125 	0.323 
