Text:  THE REASON THE PROCESS THAT I'VE DESCRIBED IS ACTUALLY THE PROCESS THAT WE USE IN DESIGN EVERY DAY BUT ON STEROIDS SO DESIGNERS NEED TO BE ALL OVER THIS PROCESS ALSO DESIGNERS ARE VERY GOOD AT WORKING ACROSS DIFFERENT DISCIPLINES WE ARE GOOD AT TRANSLATING THE LANGUAGE OF ONE DISCIPLINE TO ANOTHER 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
017352 	0.413 	0.140 	0.075 	0.204 
017353 	0.412 	0.120 	0.087 	0.230 
017354 	0.417 	0.138 	0.081 	0.207 
017355 	0.419 	0.137 	0.080 	0.205 
017356 	0.420 	0.134 	0.080 	0.208 
017357 	0.420 	0.131 	0.082 	0.209 
017358 	0.423 	0.135 	0.079 	0.203 
017359 	0.424 	0.132 	0.079 	0.206 
017360 	0.427 	0.136 	0.077 	0.200 
017361 	0.427 	0.134 	0.079 	0.205 
017362 	0.430 	0.131 	0.080 	0.205 
017363 	0.434 	0.133 	0.080 	0.204 
017364 	0.438 	0.133 	0.078 	0.203 
017365 	0.443 	0.135 	0.081 	0.202 
017366 	0.446 	0.131 	0.081 	0.208 
017367 	0.449 	0.125 	0.081 	0.212 
017368 	0.455 	0.134 	0.077 	0.198 
017369 	0.455 	0.127 	0.079 	0.203 
017370 	0.458 	0.133 	0.077 	0.202 
017371 	0.461 	0.134 	0.076 	0.203 
017372 	0.461 	0.132 	0.077 	0.205 
017373 	0.462 	0.131 	0.077 	0.201 
017374 	0.462 	0.131 	0.077 	0.201 
017375 	0.462 	0.129 	0.075 	0.200 
017376 	0.463 	0.128 	0.075 	0.199 
017377 	0.461 	0.128 	0.077 	0.201 
017378 	0.460 	0.129 	0.077 	0.203 
017379 	0.458 	0.130 	0.077 	0.202 
017380 	0.456 	0.130 	0.076 	0.196 
017381 	0.453 	0.128 	0.077 	0.198 
017382 	0.450 	0.129 	0.079 	0.197 
017383 	0.445 	0.130 	0.081 	0.198 
017384 	0.439 	0.127 	0.076 	0.204 
017385 	0.435 	0.129 	0.075 	0.198 
017386 	0.428 	0.129 	0.078 	0.199 
017387 	0.424 	0.128 	0.079 	0.202 
017388 	0.419 	0.126 	0.079 	0.200 
017389 	0.411 	0.126 	0.077 	0.198 
017390 	0.406 	0.129 	0.075 	0.197 
017391 	0.401 	0.132 	0.076 	0.194 
017392 	0.395 	0.131 	0.079 	0.200 
017393 	0.387 	0.132 	0.077 	0.202 
017394 	0.383 	0.136 	0.075 	0.199 
017395 	0.378 	0.134 	0.076 	0.202 
017396 	0.371 	0.137 	0.080 	0.202 
017397 	0.368 	0.133 	0.082 	0.206 
017398 	0.368 	0.133 	0.082 	0.206 
017399 	0.365 	0.143 	0.079 	0.201 
017400 	0.357 	0.140 	0.080 	0.209 
017401 	0.353 	0.140 	0.081 	0.210 
017402 	0.350 	0.142 	0.079 	0.208 
017403 	0.346 	0.144 	0.080 	0.209 
017404 	0.345 	0.141 	0.078 	0.204 
017405 	0.342 	0.144 	0.079 	0.199 
017406 	0.341 	0.145 	0.077 	0.200 
017407 	0.340 	0.145 	0.078 	0.204 
017408 	0.338 	0.144 	0.080 	0.203 
017409 	0.338 	0.146 	0.080 	0.202 
017410 	0.337 	0.147 	0.080 	0.201 
017411 	0.337 	0.148 	0.081 	0.199 
017412 	0.337 	0.149 	0.081 	0.198 
017413 	0.337 	0.151 	0.080 	0.198 
017414 	0.338 	0.151 	0.079 	0.200 
017415 	0.338 	0.153 	0.078 	0.196 
017416 	0.338 	0.150 	0.080 	0.201 
017417 	0.338 	0.145 	0.080 	0.205 
017418 	0.338 	0.147 	0.079 	0.204 
017419 	0.340 	0.147 	0.078 	0.204 
017420 	0.340 	0.144 	0.078 	0.205 
017421 	0.341 	0.144 	0.078 	0.204 
017422 	0.343 	0.148 	0.077 	0.203 
017423 	0.343 	0.148 	0.077 	0.203 
017424 	0.346 	0.148 	0.075 	0.204 
017425 	0.346 	0.149 	0.077 	0.201 
017426 	0.348 	0.151 	0.075 	0.203 
017427 	0.349 	0.153 	0.075 	0.202 
017428 	0.349 	0.156 	0.077 	0.199 
017429 	0.351 	0.159 	0.076 	0.195 
017430 	0.352 	0.159 	0.075 	0.197 
017431 	0.351 	0.157 	0.076 	0.195 
017432 	0.352 	0.157 	0.076 	0.193 
017433 	0.354 	0.157 	0.075 	0.193 
017434 	0.353 	0.153 	0.078 	0.202 
017435 	0.354 	0.153 	0.078 	0.201 
017436 	0.354 	0.150 	0.078 	0.202 
017437 	0.352 	0.143 	0.082 	0.210 
017438 	0.354 	0.145 	0.081 	0.205 
017439 	0.353 	0.142 	0.082 	0.211 
017440 	0.354 	0.143 	0.081 	0.209 
017441 	0.352 	0.127 	0.088 	0.232 
017442 	0.357 	0.142 	0.080 	0.208 
017443 	0.357 	0.146 	0.080 	0.203 
017444 	0.363 	0.148 	0.080 	0.199 
017445 	0.363 	0.148 	0.080 	0.197 
017446 	0.364 	0.147 	0.079 	0.199 
017447 	0.364 	0.147 	0.079 	0.199 
017448 	0.365 	0.145 	0.079 	0.202 
017449 	0.365 	0.146 	0.079 	0.204 
017450 	0.366 	0.145 	0.079 	0.207 
017451 	0.367 	0.144 	0.079 	0.209 
017452 	0.366 	0.144 	0.081 	0.209 
017453 	0.367 	0.144 	0.080 	0.207 
017454 	0.367 	0.141 	0.082 	0.214 
017455 	0.366 	0.144 	0.081 	0.207 
017456 	0.366 	0.143 	0.081 	0.209 
017457 	0.366 	0.142 	0.082 	0.210 
017458 	0.367 	0.144 	0.080 	0.207 
017459 	0.367 	0.143 	0.079 	0.209 
017460 	0.367 	0.142 	0.080 	0.209 
017461 	0.366 	0.143 	0.080 	0.206 
017462 	0.365 	0.144 	0.080 	0.203 
017463 	0.367 	0.145 	0.077 	0.202 
017464 	0.366 	0.145 	0.078 	0.204 
017465 	0.364 	0.145 	0.080 	0.207 
017466 	0.359 	0.125 	0.088 	0.233 
017467 	0.358 	0.125 	0.089 	0.232 
017468 	0.358 	0.123 	0.088 	0.235 
017469 	0.354 	0.125 	0.090 	0.232 
017470 	0.356 	0.125 	0.089 	0.234 
017471 	0.354 	0.125 	0.088 	0.233 
017472 	0.354 	0.125 	0.088 	0.233 
017473 	0.358 	0.141 	0.079 	0.208 
017474 	0.357 	0.147 	0.076 	0.199 
017475 	0.356 	0.144 	0.080 	0.212 
017476 	0.357 	0.149 	0.078 	0.204 
017477 	0.355 	0.143 	0.081 	0.215 
017478 	0.354 	0.149 	0.079 	0.201 
017479 	0.356 	0.149 	0.076 	0.204 
017480 	0.352 	0.144 	0.082 	0.215 
017481 	0.354 	0.150 	0.078 	0.207 
017482 	0.353 	0.151 	0.078 	0.206 
017483 	0.349 	0.148 	0.083 	0.213 
017484 	0.352 	0.151 	0.077 	0.199 
017485 	0.352 	0.153 	0.076 	0.197 
017486 	0.353 	0.154 	0.075 	0.198 
017487 	0.354 	0.156 	0.073 	0.197 
017488 	0.352 	0.154 	0.076 	0.201 
017489 	0.352 	0.159 	0.075 	0.199 
017490 	0.353 	0.158 	0.076 	0.201 
017491 	0.354 	0.161 	0.076 	0.198 
017492 	0.354 	0.159 	0.075 	0.199 
017493 	0.352 	0.158 	0.077 	0.203 
017494 	0.353 	0.159 	0.078 	0.201 
017495 	0.353 	0.158 	0.077 	0.203 
017496 	0.353 	0.158 	0.077 	0.203 
017497 	0.354 	0.158 	0.077 	0.202 
017498 	0.355 	0.159 	0.076 	0.201 
017499 	0.354 	0.159 	0.077 	0.196 
017500 	0.355 	0.156 	0.076 	0.202 
017501 	0.356 	0.154 	0.076 	0.200 
017502 	0.356 	0.153 	0.076 	0.202 
017503 	0.355 	0.154 	0.077 	0.202 
017504 	0.355 	0.152 	0.078 	0.204 
017505 	0.356 	0.154 	0.078 	0.203 
017506 	0.356 	0.152 	0.078 	0.204 
017507 	0.351 	0.132 	0.089 	0.231 
017508 	0.356 	0.144 	0.082 	0.215 
017509 	0.355 	0.142 	0.081 	0.220 
017510 	0.356 	0.150 	0.077 	0.202 
017511 	0.356 	0.154 	0.075 	0.202 
017512 	0.355 	0.154 	0.077 	0.204 
017513 	0.354 	0.155 	0.080 	0.203 
017514 	0.353 	0.158 	0.080 	0.203 
017515 	0.352 	0.158 	0.080 	0.201 
017516 	0.353 	0.159 	0.079 	0.201 
017517 	0.352 	0.159 	0.079 	0.200 
017518 	0.354 	0.159 	0.078 	0.200 
017519 	0.354 	0.161 	0.078 	0.198 
017520 	0.354 	0.161 	0.078 	0.198 
017521 	0.355 	0.161 	0.076 	0.200 
017522 	0.356 	0.159 	0.076 	0.198 
017523 	0.357 	0.161 	0.075 	0.196 
017524 	0.357 	0.161 	0.075 	0.193 
017525 	0.356 	0.162 	0.075 	0.190 
017526 	0.357 	0.161 	0.076 	0.193 
017527 	0.357 	0.162 	0.076 	0.195 
017528 	0.358 	0.162 	0.075 	0.196 
017529 	0.357 	0.161 	0.076 	0.195 
017530 	0.357 	0.161 	0.075 	0.197 
017531 	0.356 	0.162 	0.075 	0.199 
017532 	0.356 	0.161 	0.077 	0.200 
017533 	0.356 	0.161 	0.076 	0.200 
017534 	0.356 	0.162 	0.076 	0.202 
017535 	0.354 	0.160 	0.077 	0.200 
017536 	0.353 	0.156 	0.079 	0.203 
017537 	0.354 	0.158 	0.077 	0.203 
017538 	0.354 	0.158 	0.076 	0.201 
017539 	0.354 	0.158 	0.076 	0.197 
017540 	0.353 	0.158 	0.076 	0.198 
017541 	0.353 	0.158 	0.077 	0.200 
017542 	0.353 	0.158 	0.077 	0.202 
017543 	0.354 	0.160 	0.076 	0.199 
017544 	0.355 	0.161 	0.075 	0.197 
017545 	0.355 	0.161 	0.075 	0.197 
017546 	0.355 	0.160 	0.075 	0.203 
017547 	0.356 	0.159 	0.076 	0.204 
017548 	0.356 	0.160 	0.075 	0.203 
017549 	0.355 	0.160 	0.076 	0.203 
017550 	0.355 	0.160 	0.077 	0.203 
017551 	0.354 	0.160 	0.079 	0.203 
017552 	0.355 	0.160 	0.078 	0.203 
017553 	0.355 	0.158 	0.079 	0.202 
017554 	0.356 	0.160 	0.079 	0.201 
017555 	0.355 	0.158 	0.079 	0.203 
017556 	0.355 	0.136 	0.085 	0.234 
017557 	0.357 	0.156 	0.079 	0.204 
017558 	0.356 	0.155 	0.079 	0.205 
017559 	0.356 	0.155 	0.078 	0.206 
017560 	0.359 	0.156 	0.076 	0.203 
017561 	0.357 	0.154 	0.079 	0.196 
017562 	0.357 	0.153 	0.079 	0.195 
017563 	0.359 	0.152 	0.077 	0.199 
017564 	0.360 	0.151 	0.076 	0.204 
017565 	0.359 	0.151 	0.077 	0.203 
017566 	0.359 	0.152 	0.078 	0.200 
017567 	0.360 	0.154 	0.077 	0.200 
017568 	0.360 	0.153 	0.076 	0.201 
017569 	0.360 	0.153 	0.076 	0.201 
017570 	0.360 	0.153 	0.077 	0.204 
017571 	0.364 	0.153 	0.079 	0.199 
017572 	0.359 	0.145 	0.081 	0.209 
017573 	0.360 	0.154 	0.077 	0.196 
017574 	0.360 	0.155 	0.076 	0.198 
017575 	0.360 	0.155 	0.076 	0.200 
017576 	0.359 	0.156 	0.077 	0.204 
017577 	0.360 	0.159 	0.076 	0.201 
017578 	0.360 	0.161 	0.076 	0.198 
017579 	0.359 	0.160 	0.076 	0.199 
017580 	0.360 	0.161 	0.074 	0.193 
017581 	0.359 	0.159 	0.075 	0.193 
017582 	0.359 	0.161 	0.077 	0.198 
017583 	0.359 	0.164 	0.075 	0.199 
017584 	0.358 	0.165 	0.077 	0.201 
017585 	0.358 	0.169 	0.078 	0.199 
017586 	0.357 	0.171 	0.082 	0.202 
017587 	0.357 	0.171 	0.081 	0.206 
017588 	0.357 	0.180 	0.080 	0.194 
017589 	0.358 	0.183 	0.080 	0.194 
017590 	0.358 	0.185 	0.079 	0.193 
017591 	0.358 	0.186 	0.080 	0.192 
017592 	0.358 	0.189 	0.078 	0.193 
017593 	0.358 	0.190 	0.080 	0.191 
017594 	0.358 	0.190 	0.080 	0.191 
017595 	0.357 	0.190 	0.081 	0.192 
017596 	0.357 	0.190 	0.080 	0.193 
017597 	0.358 	0.190 	0.079 	0.195 
017598 	0.359 	0.190 	0.081 	0.193 
017599 	0.359 	0.191 	0.080 	0.190 
017600 	0.358 	0.189 	0.082 	0.191 
017601 	0.358 	0.189 	0.080 	0.191 
017602 	0.358 	0.190 	0.080 	0.190 
017603 	0.358 	0.190 	0.080 	0.190 
017604 	0.359 	0.190 	0.079 	0.190 
017605 	0.358 	0.190 	0.080 	0.190 
017606 	0.359 	0.190 	0.079 	0.190 
017607 	0.360 	0.189 	0.076 	0.191 
017608 	0.360 	0.189 	0.077 	0.191 
017609 	0.360 	0.190 	0.078 	0.191 
017610 	0.359 	0.189 	0.078 	0.196 
017611 	0.360 	0.188 	0.077 	0.194 
017612 	0.359 	0.185 	0.078 	0.194 
017613 	0.359 	0.185 	0.079 	0.190 
017614 	0.361 	0.179 	0.084 	0.199 
017615 	0.357 	0.170 	0.083 	0.206 
017616 	0.358 	0.169 	0.080 	0.212 
017617 	0.358 	0.169 	0.080 	0.206 
017618 	0.358 	0.169 	0.080 	0.206 
017619 	0.358 	0.165 	0.078 	0.207 
017620 	0.359 	0.165 	0.078 	0.202 
017621 	0.357 	0.166 	0.080 	0.201 
017622 	0.356 	0.142 	0.090 	0.226 
017623 	0.357 	0.138 	0.087 	0.232 
017624 	0.356 	0.139 	0.090 	0.227 
017625 	0.358 	0.139 	0.090 	0.227 
017626 	0.362 	0.160 	0.083 	0.195 
017627 	0.359 	0.161 	0.078 	0.194 
017628 	0.364 	0.159 	0.080 	0.198 
017629 	0.364 	0.159 	0.079 	0.199 
017630 	0.364 	0.160 	0.080 	0.197 
017631 	0.364 	0.159 	0.079 	0.199 
017632 	0.365 	0.160 	0.079 	0.199 
017633 	0.364 	0.159 	0.079 	0.202 
017634 	0.364 	0.160 	0.080 	0.199 
017635 	0.364 	0.160 	0.081 	0.199 
017636 	0.359 	0.137 	0.089 	0.227 
017637 	0.364 	0.160 	0.081 	0.196 
017638 	0.362 	0.161 	0.083 	0.193 
017639 	0.362 	0.160 	0.082 	0.194 
017640 	0.362 	0.159 	0.083 	0.194 
017641 	0.362 	0.160 	0.083 	0.195 
017642 	0.362 	0.158 	0.083 	0.195 
017643 	0.362 	0.158 	0.083 	0.195 
017644 	0.358 	0.154 	0.079 	0.196 
017645 	0.358 	0.153 	0.079 	0.194 
017646 	0.358 	0.153 	0.079 	0.195 
017647 	0.358 	0.146 	0.082 	0.207 
017648 	0.358 	0.145 	0.082 	0.211 
017649 	0.357 	0.146 	0.082 	0.206 
017650 	0.358 	0.146 	0.081 	0.210 
017651 	0.358 	0.146 	0.081 	0.209 
017652 	0.355 	0.133 	0.089 	0.226 
017653 	0.355 	0.133 	0.089 	0.227 
017654 	0.358 	0.153 	0.079 	0.203 
017655 	0.358 	0.155 	0.078 	0.202 
017656 	0.358 	0.154 	0.079 	0.201 
017657 	0.357 	0.153 	0.080 	0.201 
017658 	0.358 	0.154 	0.081 	0.200 
017659 	0.358 	0.154 	0.080 	0.202 
017660 	0.359 	0.155 	0.079 	0.199 
017661 	0.356 	0.135 	0.090 	0.227 
017662 	0.359 	0.157 	0.078 	0.197 
017663 	0.363 	0.156 	0.080 	0.198 
017664 	0.365 	0.155 	0.079 	0.201 
017665 	0.365 	0.156 	0.079 	0.201 
017666 	0.365 	0.156 	0.080 	0.204 
017667 	0.365 	0.156 	0.080 	0.204 
017668 	0.361 	0.132 	0.084 	0.235 
017669 	0.360 	0.132 	0.088 	0.234 
017670 	0.360 	0.131 	0.088 	0.234 
017671 	0.361 	0.129 	0.084 	0.238 
017672 	0.360 	0.131 	0.088 	0.233 
017673 	0.365 	0.151 	0.079 	0.208 
017674 	0.360 	0.131 	0.089 	0.229 
017675 	0.365 	0.150 	0.079 	0.207 
017676 	0.366 	0.153 	0.079 	0.204 
017677 	0.365 	0.150 	0.080 	0.202 
017678 	0.365 	0.151 	0.079 	0.203 
017679 	0.365 	0.152 	0.079 	0.202 
017680 	0.363 	0.152 	0.080 	0.201 
017681 	0.363 	0.154 	0.080 	0.201 
017682 	0.361 	0.153 	0.081 	0.197 
017683 	0.358 	0.128 	0.085 	0.233 
017684 	0.359 	0.153 	0.078 	0.201 
017685 	0.358 	0.152 	0.077 	0.199 
017686 	0.358 	0.152 	0.077 	0.201 
017687 	0.358 	0.152 	0.078 	0.202 
017688 	0.358 	0.150 	0.079 	0.203 
017689 	0.358 	0.151 	0.079 	0.197 
017690 	0.358 	0.151 	0.078 	0.195 
017691 	0.358 	0.151 	0.078 	0.195 
017692 	0.358 	0.151 	0.079 	0.196 
