Text:  WHICH THE EVENTUAL IMPORTANT DECISION MAKERS CAN UNDERSTAND EVEN THOUGH THEY ARE NOT SUBJECT EXPERTS THEMSELVES 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
018069 	0.438 	0.148 	0.079 	0.204 
018070 	0.438 	0.142 	0.081 	0.211 
018071 	0.438 	0.143 	0.080 	0.208 
018072 	0.442 	0.148 	0.083 	0.199 
018073 	0.440 	0.149 	0.077 	0.200 
018074 	0.440 	0.148 	0.077 	0.202 
018075 	0.442 	0.149 	0.082 	0.200 
018076 	0.439 	0.142 	0.080 	0.215 
018077 	0.438 	0.142 	0.080 	0.214 
018078 	0.438 	0.142 	0.080 	0.212 
018079 	0.437 	0.142 	0.082 	0.208 
018080 	0.436 	0.141 	0.082 	0.209 
018081 	0.435 	0.140 	0.083 	0.210 
018082 	0.435 	0.140 	0.083 	0.210 
018083 	0.434 	0.140 	0.083 	0.211 
018084 	0.435 	0.140 	0.082 	0.208 
018085 	0.435 	0.144 	0.079 	0.200 
018086 	0.434 	0.141 	0.080 	0.204 
018087 	0.434 	0.142 	0.079 	0.202 
018088 	0.432 	0.140 	0.081 	0.215 
018089 	0.431 	0.141 	0.083 	0.214 
018090 	0.432 	0.145 	0.080 	0.207 
018091 	0.432 	0.146 	0.078 	0.205 
018092 	0.432 	0.147 	0.079 	0.206 
018093 	0.430 	0.148 	0.081 	0.203 
018094 	0.430 	0.148 	0.082 	0.202 
018095 	0.430 	0.147 	0.082 	0.200 
018096 	0.432 	0.147 	0.081 	0.203 
018097 	0.430 	0.143 	0.084 	0.209 
018098 	0.430 	0.145 	0.085 	0.207 
018099 	0.431 	0.143 	0.084 	0.209 
018100 	0.432 	0.141 	0.084 	0.215 
018101 	0.430 	0.143 	0.085 	0.212 
018102 	0.433 	0.146 	0.080 	0.203 
018103 	0.431 	0.145 	0.083 	0.208 
018104 	0.432 	0.148 	0.080 	0.203 
018105 	0.430 	0.143 	0.083 	0.211 
018106 	0.430 	0.143 	0.083 	0.211 
018107 	0.429 	0.142 	0.084 	0.213 
