Text:  I BELIEVE I WON'T OWN A CAR ANYMORE WELL AT LEAST NOT MY EVERYDAY CAR INSTEAD I WILL SUBSCRIBE MONTHLY TO WHAT I WILL CALL A TOTAL MOBILITY PACKAGE 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
018521 	0.422 	0.152 	0.124 	0.312 
018522 	0.420 	0.155 	0.125 	0.311 
018523 	0.422 	0.155 	0.123 	0.315 
018524 	0.421 	0.152 	0.124 	0.319 
018525 	0.423 	0.151 	0.121 	0.319 
018526 	0.425 	0.148 	0.119 	0.314 
018527 	0.422 	0.148 	0.124 	0.310 
018528 	0.424 	0.147 	0.120 	0.314 
018529 	0.423 	0.144 	0.122 	0.322 
018530 	0.425 	0.148 	0.121 	0.316 
018531 	0.424 	0.147 	0.122 	0.318 
018532 	0.423 	0.144 	0.124 	0.323 
018533 	0.424 	0.145 	0.123 	0.317 
018534 	0.424 	0.146 	0.123 	0.313 
018535 	0.426 	0.146 	0.123 	0.313 
018536 	0.427 	0.144 	0.121 	0.324 
018537 	0.428 	0.143 	0.121 	0.325 
018538 	0.426 	0.142 	0.126 	0.320 
018539 	0.427 	0.142 	0.123 	0.320 
018540 	0.431 	0.139 	0.121 	0.331 
018541 	0.431 	0.138 	0.123 	0.331 
018542 	0.430 	0.139 	0.123 	0.324 
018543 	0.429 	0.134 	0.125 	0.327 
018544 	0.432 	0.130 	0.123 	0.334 
018545 	0.432 	0.134 	0.123 	0.329 
018546 	0.432 	0.134 	0.123 	0.329 
018547 	0.433 	0.134 	0.122 	0.330 
018548 	0.432 	0.132 	0.125 	0.332 
018549 	0.431 	0.131 	0.126 	0.331 
018550 	0.431 	0.132 	0.125 	0.333 
018551 	0.432 	0.132 	0.123 	0.334 
018552 	0.434 	0.133 	0.121 	0.333 
018553 	0.432 	0.135 	0.122 	0.331 
018554 	0.431 	0.136 	0.123 	0.331 
018555 	0.430 	0.138 	0.124 	0.330 
018556 	0.429 	0.136 	0.125 	0.331 
018557 	0.430 	0.139 	0.122 	0.331 
018558 	0.430 	0.142 	0.123 	0.328 
018559 	0.429 	0.144 	0.124 	0.325 
018560 	0.429 	0.144 	0.126 	0.325 
018561 	0.429 	0.143 	0.124 	0.333 
018562 	0.428 	0.144 	0.127 	0.331 
018563 	0.428 	0.146 	0.125 	0.330 
018564 	0.429 	0.152 	0.124 	0.322 
018565 	0.429 	0.155 	0.125 	0.317 
018566 	0.428 	0.156 	0.123 	0.319 
018567 	0.430 	0.156 	0.120 	0.322 
018568 	0.427 	0.153 	0.120 	0.330 
018569 	0.427 	0.155 	0.119 	0.330 
018570 	0.427 	0.155 	0.119 	0.330 
018571 	0.425 	0.160 	0.120 	0.324 
018572 	0.425 	0.160 	0.120 	0.321 
018573 	0.422 	0.161 	0.122 	0.319 
018574 	0.422 	0.163 	0.123 	0.308 
018575 	0.422 	0.162 	0.122 	0.312 
018576 	0.421 	0.161 	0.124 	0.311 
018577 	0.421 	0.158 	0.124 	0.316 
018578 	0.423 	0.158 	0.122 	0.316 
018579 	0.423 	0.159 	0.120 	0.314 
018580 	0.422 	0.158 	0.122 	0.316 
018581 	0.422 	0.158 	0.121 	0.313 
018582 	0.422 	0.158 	0.122 	0.315 
018583 	0.422 	0.156 	0.121 	0.316 
018584 	0.420 	0.154 	0.122 	0.321 
018585 	0.420 	0.154 	0.122 	0.319 
018586 	0.420 	0.152 	0.122 	0.316 
018587 	0.418 	0.151 	0.126 	0.319 
018588 	0.419 	0.152 	0.122 	0.313 
018589 	0.420 	0.149 	0.124 	0.320 
018590 	0.418 	0.149 	0.126 	0.318 
018591 	0.418 	0.146 	0.125 	0.320 
018592 	0.417 	0.148 	0.125 	0.320 
018593 	0.418 	0.148 	0.123 	0.320 
018594 	0.418 	0.145 	0.124 	0.325 
018595 	0.418 	0.145 	0.124 	0.325 
018596 	0.417 	0.144 	0.125 	0.327 
018597 	0.417 	0.145 	0.126 	0.320 
018598 	0.417 	0.144 	0.125 	0.318 
018599 	0.418 	0.142 	0.124 	0.325 
018600 	0.418 	0.143 	0.125 	0.325 
018601 	0.416 	0.142 	0.127 	0.326 
018602 	0.418 	0.145 	0.124 	0.326 
018603 	0.416 	0.149 	0.126 	0.324 
018604 	0.417 	0.150 	0.125 	0.326 
018605 	0.419 	0.158 	0.123 	0.315 
018606 	0.420 	0.162 	0.121 	0.310 
018607 	0.418 	0.160 	0.124 	0.313 
018608 	0.418 	0.160 	0.123 	0.318 
018609 	0.419 	0.166 	0.124 	0.313 
018610 	0.419 	0.168 	0.124 	0.313 
018611 	0.420 	0.176 	0.122 	0.304 
018612 	0.422 	0.176 	0.119 	0.307 
018613 	0.423 	0.177 	0.119 	0.310 
018614 	0.425 	0.178 	0.118 	0.309 
018615 	0.425 	0.177 	0.117 	0.308 
018616 	0.424 	0.175 	0.119 	0.309 
018617 	0.425 	0.179 	0.119 	0.306 
018618 	0.426 	0.178 	0.118 	0.306 
018619 	0.426 	0.178 	0.118 	0.306 
018620 	0.428 	0.180 	0.117 	0.305 
018621 	0.429 	0.180 	0.116 	0.306 
018622 	0.427 	0.179 	0.119 	0.308 
018623 	0.428 	0.179 	0.120 	0.312 
018624 	0.429 	0.182 	0.118 	0.311 
018625 	0.429 	0.182 	0.118 	0.312 
018626 	0.431 	0.186 	0.119 	0.308 
018627 	0.429 	0.193 	0.121 	0.299 
018628 	0.430 	0.192 	0.120 	0.303 
018629 	0.429 	0.191 	0.122 	0.306 
018630 	0.430 	0.193 	0.122 	0.308 
018631 	0.431 	0.194 	0.122 	0.308 
018632 	0.430 	0.193 	0.120 	0.309 
018633 	0.429 	0.195 	0.121 	0.312 
018634 	0.431 	0.198 	0.118 	0.311 
018635 	0.432 	0.198 	0.117 	0.311 
018636 	0.431 	0.196 	0.118 	0.316 
018637 	0.429 	0.196 	0.122 	0.308 
018638 	0.429 	0.196 	0.122 	0.311 
018639 	0.431 	0.198 	0.122 	0.309 
018640 	0.433 	0.199 	0.121 	0.310 
018641 	0.432 	0.200 	0.120 	0.307 
018642 	0.432 	0.201 	0.119 	0.308 
018643 	0.431 	0.202 	0.120 	0.305 
018644 	0.431 	0.202 	0.120 	0.305 
018645 	0.431 	0.201 	0.120 	0.309 
018646 	0.431 	0.201 	0.120 	0.309 
018647 	0.431 	0.203 	0.121 	0.306 
018648 	0.431 	0.200 	0.120 	0.308 
018649 	0.430 	0.198 	0.121 	0.309 
018650 	0.430 	0.193 	0.123 	0.313 
018651 	0.428 	0.189 	0.123 	0.313 
018652 	0.428 	0.185 	0.123 	0.315 
