Text:  MOBILITY CREDITS AND I CAN USE THESE CREDITS TO ACCESS ALL OF THE DIFFERENT TRANSPORTATION REQUIREMENTS I HAVE IN A MONTH SO A DAY BEFORE I MAKE MY TRIP TO THE BAY AREA I LOG ONTO MY TOTAL MOBILITY PACKAGE PROVIDER 
Conf:  2
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
018982 	0.461 	0.151 	0.078 	0.203 
018983 	0.462 	0.149 	0.075 	0.199 
018984 	0.462 	0.149 	0.075 	0.196 
018985 	0.462 	0.149 	0.075 	0.196 
018986 	0.462 	0.150 	0.075 	0.197 
018987 	0.461 	0.149 	0.077 	0.199 
018988 	0.460 	0.149 	0.078 	0.202 
018989 	0.460 	0.147 	0.079 	0.202 
018990 	0.462 	0.149 	0.077 	0.199 
018991 	0.461 	0.148 	0.078 	0.200 
018992 	0.461 	0.149 	0.078 	0.200 
018993 	0.458 	0.148 	0.081 	0.203 
018994 	0.456 	0.144 	0.084 	0.211 
018995 	0.458 	0.148 	0.081 	0.203 
018996 	0.459 	0.148 	0.080 	0.204 
018997 	0.459 	0.149 	0.081 	0.207 
018998 	0.459 	0.149 	0.081 	0.208 
018999 	0.458 	0.130 	0.089 	0.231 
019000 	0.461 	0.151 	0.081 	0.204 
019001 	0.460 	0.151 	0.080 	0.202 
019002 	0.460 	0.152 	0.080 	0.200 
019003 	0.462 	0.153 	0.079 	0.201 
019004 	0.461 	0.154 	0.079 	0.201 
019005 	0.461 	0.153 	0.079 	0.202 
019006 	0.461 	0.154 	0.080 	0.201 
019007 	0.461 	0.154 	0.079 	0.201 
019008 	0.461 	0.154 	0.079 	0.202 
019009 	0.461 	0.154 	0.080 	0.201 
019010 	0.461 	0.154 	0.080 	0.201 
019011 	0.460 	0.155 	0.080 	0.200 
019012 	0.461 	0.155 	0.080 	0.200 
019013 	0.461 	0.153 	0.080 	0.200 
019014 	0.461 	0.154 	0.080 	0.201 
019015 	0.460 	0.153 	0.080 	0.205 
019016 	0.460 	0.152 	0.079 	0.205 
019017 	0.460 	0.152 	0.080 	0.203 
019018 	0.460 	0.152 	0.079 	0.202 
019019 	0.459 	0.143 	0.084 	0.215 
019020 	0.459 	0.145 	0.083 	0.211 
019021 	0.459 	0.146 	0.083 	0.213 
019022 	0.460 	0.153 	0.081 	0.202 
019023 	0.460 	0.143 	0.084 	0.213 
019024 	0.460 	0.145 	0.084 	0.209 
019025 	0.458 	0.132 	0.089 	0.228 
019026 	0.458 	0.134 	0.090 	0.227 
019027 	0.463 	0.154 	0.081 	0.199 
