Text:  AN ITINERARY IS SENT BACK TO ME FOR MY APPROVAL I READ THROUGH IT IT LOOKS GOOD AND I ACCEPT IT AT 9 O'CLOCK THE NEXT MORNING I GET A MESSAGE FROM MY PROVIDER TO REMIND ME THAT IN 15 MINUTES' TIME A CAR WILL COME TO MY OFFICE AND PICK ME UP TO TAKE ME TO THE AIRPORT 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
019713 	0.457 	0.158 	0.125 	0.320 
019714 	0.454 	0.157 	0.128 	0.324 
019715 	0.453 	0.154 	0.128 	0.326 
019716 	0.453 	0.154 	0.127 	0.326 
019717 	0.453 	0.156 	0.126 	0.322 
019718 	0.453 	0.156 	0.126 	0.322 
019719 	0.451 	0.158 	0.127 	0.321 
019720 	0.454 	0.159 	0.123 	0.317 
019721 	0.453 	0.158 	0.123 	0.323 
019722 	0.453 	0.156 	0.123 	0.321 
019723 	0.453 	0.155 	0.122 	0.323 
019724 	0.452 	0.157 	0.124 	0.321 
019725 	0.453 	0.158 	0.122 	0.318 
019726 	0.453 	0.156 	0.122 	0.318 
019727 	0.453 	0.157 	0.123 	0.318 
019728 	0.453 	0.155 	0.123 	0.322 
019729 	0.452 	0.156 	0.125 	0.317 
019730 	0.451 	0.153 	0.126 	0.323 
019731 	0.453 	0.155 	0.124 	0.318 
019732 	0.453 	0.155 	0.123 	0.318 
019733 	0.453 	0.153 	0.123 	0.324 
019734 	0.452 	0.153 	0.125 	0.322 
019735 	0.452 	0.153 	0.125 	0.320 
019736 	0.453 	0.153 	0.124 	0.319 
019737 	0.452 	0.153 	0.125 	0.322 
019738 	0.452 	0.154 	0.125 	0.322 
019739 	0.453 	0.158 	0.123 	0.315 
019740 	0.453 	0.158 	0.123 	0.314 
019741 	0.452 	0.156 	0.123 	0.317 
019742 	0.452 	0.156 	0.123 	0.317 
019743 	0.452 	0.159 	0.124 	0.314 
019744 	0.453 	0.159 	0.123 	0.313 
019745 	0.455 	0.159 	0.122 	0.317 
019746 	0.453 	0.156 	0.122 	0.323 
019747 	0.452 	0.156 	0.123 	0.320 
019748 	0.450 	0.152 	0.126 	0.321 
019749 	0.452 	0.154 	0.125 	0.316 
019750 	0.452 	0.153 	0.125 	0.315 
019751 	0.451 	0.152 	0.126 	0.318 
019752 	0.452 	0.152 	0.126 	0.321 
019753 	0.452 	0.150 	0.126 	0.325 
019754 	0.455 	0.152 	0.123 	0.323 
019755 	0.454 	0.155 	0.123 	0.322 
019756 	0.456 	0.156 	0.121 	0.323 
019757 	0.455 	0.156 	0.122 	0.320 
019758 	0.454 	0.154 	0.123 	0.319 
019759 	0.455 	0.157 	0.124 	0.312 
019760 	0.457 	0.157 	0.123 	0.317 
019761 	0.455 	0.154 	0.126 	0.324 
019762 	0.456 	0.155 	0.126 	0.324 
019763 	0.457 	0.157 	0.126 	0.315 
019764 	0.457 	0.156 	0.127 	0.319 
019765 	0.456 	0.159 	0.127 	0.315 
019766 	0.455 	0.156 	0.128 	0.321 
019767 	0.455 	0.156 	0.128 	0.321 
019768 	0.454 	0.155 	0.130 	0.323 
019769 	0.456 	0.157 	0.127 	0.324 
019770 	0.457 	0.157 	0.126 	0.325 
019771 	0.456 	0.158 	0.126 	0.322 
019772 	0.457 	0.157 	0.125 	0.324 
019773 	0.457 	0.157 	0.125 	0.320 
019774 	0.454 	0.159 	0.127 	0.316 
019775 	0.456 	0.158 	0.125 	0.319 
019776 	0.456 	0.159 	0.125 	0.320 
019777 	0.456 	0.159 	0.126 	0.320 
