Text:  AT 9 15 AS GET ONTO THE SIDEWALK A SLEEK LOOKING SINGLE SEAT VEHICLE ARRIVES AT THE CURBSIDE THERE IS NO DRIVER BECAUSE THIS CAR CAN DRIVE ITSELF THE DOOR SLIDES OPEN AND A VOICE GREETS ME BY NAME AND I PUT MY BAGGAGE 
Conf:  2
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
020216 	0.490 	0.213 	0.067 	0.228 
020217 	0.491 	0.213 	0.066 	0.221 
020218 	0.491 	0.209 	0.066 	0.227 
020219 	0.494 	0.213 	0.066 	0.217 
020220 	0.495 	0.204 	0.066 	0.224 
020221 	0.498 	0.209 	0.065 	0.214 
020222 	0.500 	0.209 	0.063 	0.210 
020223 	0.502 	0.204 	0.071 	0.220 
020224 	0.507 	0.197 	0.072 	0.227 
020225 	0.509 	0.194 	0.072 	0.233 
020226 	0.513 	0.194 	0.072 	0.225 
020227 	0.516 	0.159 	0.081 	0.263 
020228 	0.521 	0.154 	0.082 	0.263 
020229 	0.527 	0.152 	0.081 	0.269 
020230 	0.532 	0.152 	0.087 	0.267 
020231 	0.532 	0.152 	0.087 	0.267 
020232 	0.535 	0.153 	0.088 	0.266 
020233 	0.538 	0.150 	0.088 	0.266 
020234 	0.546 	0.142 	0.088 	0.268 
020235 	0.550 	0.137 	0.089 	0.269 
020236 	0.558 	0.132 	0.086 	0.268 
020237 	0.563 	0.135 	0.085 	0.267 
020238 	0.568 	0.135 	0.085 	0.266 
020239 	0.575 	0.131 	0.090 	0.275 
020240 	0.580 	0.131 	0.088 	0.271 
020241 	0.583 	0.126 	0.089 	0.275 
020242 	0.584 	0.124 	0.089 	0.278 
020243 	0.586 	0.125 	0.091 	0.275 
020244 	0.588 	0.124 	0.092 	0.274 
020245 	0.591 	0.121 	0.092 	0.277 
020246 	0.596 	0.124 	0.093 	0.274 
020247 	0.599 	0.116 	0.092 	0.284 
020248 	0.601 	0.124 	0.090 	0.275 
020249 	0.607 	0.119 	0.088 	0.283 
020250 	0.610 	0.125 	0.088 	0.277 
020251 	0.611 	0.130 	0.091 	0.275 
020252 	0.614 	0.128 	0.090 	0.278 
020253 	0.617 	0.129 	0.088 	0.278 
020254 	0.620 	0.132 	0.089 	0.273 
020255 	0.620 	0.132 	0.089 	0.273 
020256 	0.622 	0.130 	0.089 	0.274 
020257 	0.625 	0.128 	0.089 	0.277 
020258 	0.627 	0.131 	0.088 	0.275 
020259 	0.628 	0.130 	0.091 	0.276 
