Text:  BEHIND THE SEAT I GET IN AND BELT UP NOW THIS VEHICLE IS AN OBJECT LESSON IN BEING THE RIGHT TOOL FOR THE JOB IT'S BIG ENOUGH AND COMFORTABLE ENOUGH TO TAKE ME AND MY BAGGAGE TO THE AIRFIELD BUT IT'S NO BIGGER THAN IT NEEDS TO BE IT USES NO MORE RESOURCES THAN IT HAS TO NO MORE ENERGY TO MOVEMENT 
Conf:  2
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
020648 	0.398 	0.160 	0.124 	0.326 
020649 	0.398 	0.157 	0.123 	0.326 
020650 	0.399 	0.159 	0.121 	0.323 
020651 	0.395 	0.157 	0.124 	0.322 
020652 	0.396 	0.161 	0.122 	0.318 
020653 	0.395 	0.162 	0.124 	0.323 
020654 	0.395 	0.162 	0.123 	0.323 
020655 	0.395 	0.167 	0.121 	0.319 
020656 	0.395 	0.166 	0.122 	0.321 
020657 	0.394 	0.169 	0.122 	0.318 
020658 	0.394 	0.171 	0.122 	0.316 
020659 	0.392 	0.169 	0.123 	0.317 
020660 	0.394 	0.168 	0.123 	0.317 
020661 	0.392 	0.165 	0.125 	0.324 
020662 	0.395 	0.167 	0.123 	0.326 
020663 	0.395 	0.169 	0.124 	0.326 
020664 	0.397 	0.171 	0.123 	0.327 
020665 	0.398 	0.172 	0.126 	0.327 
020666 	0.400 	0.177 	0.126 	0.323 
020667 	0.401 	0.177 	0.127 	0.322 
020668 	0.403 	0.174 	0.126 	0.327 
020669 	0.405 	0.177 	0.125 	0.319 
020670 	0.405 	0.177 	0.125 	0.319 
020671 	0.408 	0.178 	0.125 	0.324 
020672 	0.409 	0.180 	0.126 	0.329 
020673 	0.411 	0.190 	0.123 	0.313 
020674 	0.413 	0.197 	0.122 	0.301 
020675 	0.413 	0.200 	0.123 	0.302 
020676 	0.413 	0.204 	0.124 	0.300 
020677 	0.413 	0.206 	0.126 	0.294 
020678 	0.414 	0.206 	0.125 	0.295 
020679 	0.415 	0.205 	0.124 	0.295 
020680 	0.414 	0.205 	0.125 	0.299 
020681 	0.415 	0.205 	0.123 	0.300 
020682 	0.415 	0.206 	0.122 	0.297 
020683 	0.414 	0.206 	0.123 	0.297 
020684 	0.414 	0.207 	0.124 	0.294 
020685 	0.415 	0.208 	0.123 	0.292 
020686 	0.414 	0.206 	0.124 	0.294 
020687 	0.413 	0.205 	0.124 	0.297 
020688 	0.414 	0.201 	0.124 	0.301 
020689 	0.414 	0.198 	0.126 	0.308 
020690 	0.415 	0.193 	0.124 	0.315 
020691 	0.415 	0.190 	0.124 	0.313 
020692 	0.415 	0.187 	0.124 	0.313 
020693 	0.415 	0.182 	0.123 	0.319 
020694 	0.415 	0.182 	0.123 	0.319 
020695 	0.413 	0.180 	0.126 	0.315 
020696 	0.412 	0.177 	0.127 	0.318 
020697 	0.411 	0.175 	0.127 	0.320 
020698 	0.410 	0.170 	0.127 	0.327 
020699 	0.410 	0.168 	0.125 	0.327 
020700 	0.408 	0.164 	0.127 	0.324 
020701 	0.407 	0.164 	0.127 	0.324 
020702 	0.407 	0.158 	0.126 	0.326 
020703 	0.407 	0.156 	0.128 	0.325 
020704 	0.408 	0.155 	0.128 	0.324 
020705 	0.408 	0.157 	0.126 	0.322 
020706 	0.409 	0.155 	0.124 	0.324 
