Text:  WE'RE NOT GOING TO LAX THIS TIME WE ARE GOING TO A SMALL LOCAL AIRFIELD EL MONTE WHICH HAPPENS TO BE CLOSE TO MY OFFICE 
Conf:  2
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
021512 	0.354 	0.131 	0.085 	0.234 
021513 	0.354 	0.152 	0.081 	0.199 
021514 	0.355 	0.153 	0.079 	0.196 
021515 	0.354 	0.154 	0.080 	0.196 
021516 	0.355 	0.153 	0.079 	0.199 
021517 	0.355 	0.155 	0.079 	0.198 
021518 	0.355 	0.155 	0.080 	0.200 
021519 	0.349 	0.132 	0.089 	0.229 
021520 	0.355 	0.156 	0.080 	0.199 
021521 	0.355 	0.155 	0.079 	0.198 
021522 	0.348 	0.133 	0.090 	0.229 
021523 	0.348 	0.136 	0.091 	0.227 
021524 	0.348 	0.136 	0.091 	0.227 
021525 	0.348 	0.136 	0.090 	0.229 
021526 	0.347 	0.135 	0.091 	0.228 
021527 	0.348 	0.134 	0.089 	0.229 
021528 	0.355 	0.155 	0.080 	0.200 
021529 	0.356 	0.157 	0.078 	0.201 
021530 	0.356 	0.155 	0.080 	0.200 
021531 	0.356 	0.155 	0.078 	0.199 
021532 	0.355 	0.128 	0.084 	0.238 
021533 	0.353 	0.129 	0.088 	0.232 
021534 	0.354 	0.129 	0.089 	0.233 
021535 	0.352 	0.127 	0.091 	0.233 
021536 	0.353 	0.127 	0.089 	0.233 
021537 	0.353 	0.127 	0.089 	0.233 
021538 	0.352 	0.128 	0.090 	0.235 
021539 	0.355 	0.125 	0.085 	0.240 
021540 	0.357 	0.123 	0.085 	0.242 
021541 	0.356 	0.122 	0.086 	0.242 
021542 	0.356 	0.126 	0.085 	0.238 
021543 	0.358 	0.155 	0.079 	0.202 
021544 	0.357 	0.129 	0.084 	0.239 
021545 	0.356 	0.131 	0.086 	0.235 
021546 	0.356 	0.131 	0.085 	0.239 
021547 	0.358 	0.130 	0.084 	0.237 
021548 	0.357 	0.130 	0.085 	0.237 
021549 	0.357 	0.130 	0.085 	0.237 
021550 	0.358 	0.129 	0.084 	0.237 
021551 	0.358 	0.129 	0.085 	0.235 
021552 	0.358 	0.131 	0.085 	0.234 
021553 	0.359 	0.130 	0.085 	0.235 
021554 	0.359 	0.130 	0.085 	0.235 
021555 	0.356 	0.132 	0.089 	0.229 
021556 	0.356 	0.131 	0.090 	0.230 
021557 	0.357 	0.130 	0.089 	0.231 
021558 	0.362 	0.148 	0.082 	0.201 
021559 	0.364 	0.150 	0.080 	0.200 
021560 	0.358 	0.151 	0.079 	0.195 
021561 	0.362 	0.150 	0.082 	0.197 
021562 	0.358 	0.152 	0.081 	0.195 
021563 	0.357 	0.153 	0.081 	0.196 
021564 	0.357 	0.151 	0.081 	0.198 
021565 	0.358 	0.153 	0.079 	0.196 
021566 	0.358 	0.154 	0.078 	0.199 
021567 	0.358 	0.154 	0.078 	0.198 
021568 	0.358 	0.154 	0.079 	0.198 
021569 	0.357 	0.154 	0.079 	0.199 
021570 	0.357 	0.155 	0.080 	0.197 
021571 	0.357 	0.154 	0.078 	0.197 
021572 	0.357 	0.156 	0.078 	0.199 
021573 	0.357 	0.156 	0.078 	0.199 
021574 	0.358 	0.155 	0.079 	0.199 
021575 	0.358 	0.155 	0.080 	0.200 
021576 	0.354 	0.131 	0.089 	0.230 
021577 	0.357 	0.131 	0.086 	0.233 
021578 	0.358 	0.129 	0.085 	0.235 
021579 	0.359 	0.128 	0.085 	0.236 
021580 	0.359 	0.129 	0.085 	0.236 
021581 	0.360 	0.128 	0.084 	0.237 
021582 	0.360 	0.131 	0.085 	0.234 
021583 	0.360 	0.128 	0.084 	0.236 
021584 	0.364 	0.156 	0.080 	0.203 
021585 	0.365 	0.154 	0.080 	0.204 
021586 	0.365 	0.155 	0.079 	0.204 
021587 	0.365 	0.155 	0.079 	0.204 
021588 	0.365 	0.153 	0.080 	0.205 
021589 	0.365 	0.154 	0.080 	0.199 
021590 	0.366 	0.152 	0.079 	0.201 
021591 	0.366 	0.152 	0.081 	0.204 
021592 	0.367 	0.153 	0.080 	0.204 
021593 	0.368 	0.152 	0.079 	0.205 
021594 	0.369 	0.151 	0.078 	0.205 
021595 	0.369 	0.152 	0.079 	0.202 
021596 	0.370 	0.151 	0.078 	0.201 
021597 	0.372 	0.153 	0.077 	0.203 
021598 	0.372 	0.153 	0.077 	0.203 
021599 	0.373 	0.154 	0.077 	0.204 
021600 	0.373 	0.153 	0.077 	0.204 
021601 	0.373 	0.152 	0.078 	0.206 
021602 	0.373 	0.154 	0.078 	0.204 
021603 	0.373 	0.153 	0.079 	0.204 
021604 	0.373 	0.152 	0.078 	0.205 
021605 	0.373 	0.152 	0.079 	0.205 
021606 	0.372 	0.151 	0.080 	0.206 
021607 	0.373 	0.152 	0.079 	0.205 
021608 	0.372 	0.151 	0.080 	0.204 
021609 	0.371 	0.146 	0.083 	0.215 
021610 	0.370 	0.146 	0.083 	0.214 
021611 	0.371 	0.148 	0.081 	0.204 
021612 	0.370 	0.148 	0.080 	0.202 
021613 	0.371 	0.150 	0.080 	0.200 
021614 	0.369 	0.148 	0.080 	0.204 
021615 	0.370 	0.149 	0.079 	0.202 
021616 	0.369 	0.149 	0.079 	0.202 
021617 	0.369 	0.150 	0.079 	0.203 
021618 	0.369 	0.151 	0.078 	0.203 
021619 	0.370 	0.151 	0.077 	0.206 
021620 	0.370 	0.151 	0.077 	0.203 
021621 	0.367 	0.149 	0.079 	0.203 
021622 	0.367 	0.149 	0.079 	0.203 
