Text:  MY BAGGAGE INTO THE CARGO HAUL A GREEN LIGHT INFORMS ME THAT THE WEIGHT OF THE BAGGAGE AND THE POSITION IS WITHIN THE LIMITS I GET INTO THE AIRCRAFT JOIN MY FELLOW PASSENGERS THE DOOR CLOSES AND LOCKS BEHIND ME AN AIRCRAFT INSPECTOR DOES LAST MINUTE PRE FLIGHT CHECK AND THEN WE ARE ON OUR WAY SILENTLY CRUISING UP TO THE RUNWAY 
Conf:  2
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
022335 	0.445 	0.108 	0.129 	0.333 
022336 	0.444 	0.103 	0.129 	0.333 
022337 	0.443 	0.104 	0.132 	0.327 
022338 	0.445 	0.105 	0.129 	0.327 
022339 	0.445 	0.104 	0.129 	0.331 
022340 	0.447 	0.105 	0.127 	0.330 
022341 	0.445 	0.103 	0.130 	0.335 
022342 	0.443 	0.100 	0.131 	0.331 
022343 	0.440 	0.102 	0.132 	0.325 
022344 	0.441 	0.101 	0.131 	0.324 
022345 	0.440 	0.096 	0.130 	0.336 
022346 	0.439 	0.098 	0.131 	0.335 
022347 	0.435 	0.097 	0.132 	0.335 
022348 	0.434 	0.099 	0.132 	0.332 
022349 	0.434 	0.099 	0.130 	0.332 
022350 	0.432 	0.101 	0.129 	0.332 
022351 	0.434 	0.098 	0.124 	0.337 
022352 	0.432 	0.103 	0.123 	0.328 
022353 	0.430 	0.101 	0.120 	0.332 
022354 	0.428 	0.107 	0.121 	0.325 
022355 	0.428 	0.107 	0.121 	0.325 
022356 	0.426 	0.101 	0.124 	0.333 
022357 	0.426 	0.107 	0.121 	0.325 
022358 	0.426 	0.107 	0.121 	0.324 
022359 	0.425 	0.105 	0.121 	0.325 
022360 	0.426 	0.107 	0.120 	0.324 
022361 	0.424 	0.109 	0.123 	0.324 
022362 	0.424 	0.112 	0.121 	0.319 
022363 	0.423 	0.113 	0.124 	0.320 
022364 	0.423 	0.115 	0.123 	0.318 
022365 	0.423 	0.116 	0.124 	0.317 
022366 	0.422 	0.115 	0.125 	0.319 
022367 	0.422 	0.119 	0.124 	0.316 
022368 	0.422 	0.121 	0.123 	0.317 
