Text:  OF THE AIRCRAFT THERE WAITING FOR ME IS AN AUTOMATED SHUTTLE SENT TO ME BY THE COMPANY THAT I'M VISITING 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
023210 	0.465 	0.109 	0.125 	0.328 
023211 	0.464 	0.110 	0.124 	0.325 
023212 	0.463 	0.109 	0.123 	0.326 
023213 	0.459 	0.109 	0.126 	0.326 
023214 	0.456 	0.109 	0.129 	0.325 
023215 	0.453 	0.107 	0.131 	0.327 
023216 	0.451 	0.110 	0.131 	0.324 
023217 	0.449 	0.109 	0.133 	0.328 
023218 	0.448 	0.109 	0.132 	0.329 
023219 	0.449 	0.108 	0.130 	0.334 
023220 	0.448 	0.108 	0.130 	0.336 
023221 	0.448 	0.107 	0.129 	0.334 
023222 	0.448 	0.108 	0.129 	0.328 
023223 	0.449 	0.110 	0.126 	0.330 
023224 	0.447 	0.108 	0.127 	0.329 
023225 	0.448 	0.104 	0.126 	0.338 
023226 	0.448 	0.104 	0.125 	0.338 
023227 	0.448 	0.106 	0.126 	0.334 
023228 	0.447 	0.110 	0.125 	0.332 
023229 	0.448 	0.114 	0.122 	0.328 
023230 	0.448 	0.116 	0.123 	0.324 
023231 	0.445 	0.116 	0.125 	0.322 
023232 	0.445 	0.118 	0.126 	0.319 
023233 	0.445 	0.119 	0.126 	0.316 
023234 	0.445 	0.119 	0.126 	0.316 
023235 	0.447 	0.119 	0.124 	0.316 
023236 	0.446 	0.118 	0.125 	0.321 
023237 	0.445 	0.115 	0.126 	0.326 
023238 	0.445 	0.115 	0.127 	0.329 
023239 	0.445 	0.116 	0.128 	0.328 
023240 	0.446 	0.117 	0.126 	0.326 
023241 	0.445 	0.118 	0.126 	0.320 
023242 	0.445 	0.115 	0.127 	0.322 
023243 	0.446 	0.115 	0.127 	0.326 
023244 	0.447 	0.113 	0.126 	0.331 
023245 	0.446 	0.111 	0.127 	0.331 
023246 	0.447 	0.112 	0.125 	0.329 
023247 	0.450 	0.115 	0.122 	0.330 
023248 	0.450 	0.113 	0.121 	0.332 
023249 	0.449 	0.113 	0.125 	0.332 
023250 	0.447 	0.115 	0.126 	0.329 
023251 	0.446 	0.115 	0.127 	0.328 
023252 	0.449 	0.119 	0.126 	0.321 
023253 	0.449 	0.114 	0.126 	0.330 
023254 	0.451 	0.114 	0.125 	0.328 
023255 	0.452 	0.115 	0.123 	0.323 
023256 	0.451 	0.108 	0.129 	0.324 
023257 	0.453 	0.106 	0.129 	0.324 
023258 	0.453 	0.106 	0.129 	0.324 
023259 	0.453 	0.106 	0.129 	0.322 
023260 	0.454 	0.107 	0.129 	0.322 
023261 	0.454 	0.106 	0.131 	0.323 
023262 	0.455 	0.103 	0.128 	0.330 
023263 	0.456 	0.104 	0.131 	0.326 
023264 	0.456 	0.103 	0.131 	0.327 
023265 	0.456 	0.103 	0.132 	0.331 
023266 	0.459 	0.103 	0.130 	0.330 
023267 	0.463 	0.104 	0.126 	0.331 
023268 	0.464 	0.104 	0.125 	0.331 
023269 	0.466 	0.105 	0.124 	0.329 
023270 	0.464 	0.104 	0.125 	0.329 
023271 	0.467 	0.104 	0.125 	0.329 
023272 	0.468 	0.104 	0.122 	0.328 
023273 	0.466 	0.104 	0.125 	0.326 
023274 	0.467 	0.104 	0.125 	0.327 
023275 	0.465 	0.105 	0.127 	0.327 
023276 	0.466 	0.104 	0.126 	0.331 
023277 	0.465 	0.104 	0.127 	0.324 
023278 	0.462 	0.105 	0.131 	0.326 
023279 	0.463 	0.105 	0.130 	0.324 
023280 	0.465 	0.103 	0.129 	0.338 
023281 	0.465 	0.104 	0.129 	0.335 
023282 	0.465 	0.104 	0.129 	0.335 
023283 	0.465 	0.105 	0.129 	0.325 
023284 	0.466 	0.105 	0.127 	0.326 
023285 	0.466 	0.104 	0.128 	0.328 
023286 	0.467 	0.104 	0.126 	0.330 
023287 	0.467 	0.105 	0.126 	0.328 
023288 	0.469 	0.104 	0.125 	0.331 
023289 	0.470 	0.105 	0.123 	0.327 
023290 	0.468 	0.103 	0.124 	0.333 
023291 	0.465 	0.103 	0.127 	0.333 
023292 	0.466 	0.103 	0.126 	0.333 
023293 	0.461 	0.100 	0.130 	0.334 
023294 	0.463 	0.099 	0.131 	0.333 
023295 	0.461 	0.100 	0.132 	0.329 
023296 	0.462 	0.101 	0.130 	0.326 
023297 	0.461 	0.101 	0.131 	0.325 
023298 	0.461 	0.100 	0.132 	0.326 
023299 	0.463 	0.100 	0.130 	0.326 
023300 	0.463 	0.100 	0.130 	0.324 
023301 	0.461 	0.099 	0.131 	0.325 
